overall_rank,index,merchant_abn,name,tags,tag,numd_sa2_code,returning_customers,unique_customers,median_weekly_income,commission_avg_tot_dollar_value_monthly,avg_num_order_id_monthly,avg_discounted_value,stddev_tot_dollar_value_monthly,rate_fraud_order,stddev_tot_discounted_value_daily,minmax_numd_sa2_code,minmax_returning_customers,minmax_unique_customers,minmax_median_weekly_income,minmax_commission_avg_tot_dollar_value_monthly,minmax_avg_num_order_id_monthly,minmax_avg_discounted_value,minmax_stddev_tot_dollar_value_monthly,minmax_rate_fraud_order,minmax_stddev_tot_discounted_value_daily,average_minmax
20,1247,19933438190,Dui Nec Corporation,"[[tent and awning shops], [c], [take rate: 2.22]]",tent and awning shops,2222.0,10709.0,22040.0,818.471523591677,975.297661628719,2811.3809523809523,14.648953756828003,12838.378718876711,0.06234116922737635,356.6801757274581,0.0,0.5550523516702676,0.08475913621262454,0.8993977322454241,0.9672068484468027,0.7946569558351941,0.9968961617455273,0.09351514336400647,0.005497228689506049,0.07760475051738105,0.44745863087267346
21,2649,20985347699,Semper Tellus PC,"[(tent and awning Shops), (a), (take rate: 6.10)]",tent and awning shops,2221.0,9551.0,21553.0,814.3288915951782,2475.465545409924,2590.3333333333335,14.686590674661439,11348.552227470624,0.062335546134942445,320.4267740939807,0.0004502476361999408,0.6031660295828486,0.10498338870431889,0.9004859546004752,0.9167655988636532,0.8108022565857662,0.9968757765409254,0.08266320162104433,0.005367824257261675,0.06971691042805074,0.44912771888205444
22,3890,47086412084,Eros Limited,"[[digital goods: books, movies, music], [c], [take rate: 2.52]]","digital goods: books, movies, music",2221.0,8258.0,21086.0,814.4694382249432,729.0209701737813,2382.6190476190477,11.384100101687652,8302.807907100685,0.062290022658019195,235.20289908790124,0.0004502476361999408,0.6568888150240983,0.12437707641196016,0.9004490345977892,0.9754875910186804,0.8259736917158816,0.998664497560105,0.06047790681035941,0.004320190814580921,0.05117431118074942,0.45982633627704045
23,3103,94493496784,Dictum Phasellus In Institute,"[(gift, card, novelty, and souvenir shops), (a), (take rate: 5.65)]","gift, card, novelty, and souvenir shops",2222.0,18868.0,23660.0,816.382063217311,24525.35774186756,4722.142857142857,85.9957039354147,125608.5516376377,0.06379194940727498,3373.992299073754,0.0,0.21605451221538974,0.01748338870431898,0.899946609744391,0.17536583448549747,0.6550950562407396,0.9582527715905415,0.9149365329804384,0.03888408613457027,0.7340969541779518,0.4610115746273839
24,2683,32361057556,Orci In Consequat Corporation,"([gift, card, novelty, and souvenir shops], [a], [take rate: 6.61])","gift, card, novelty, and souvenir shops",2222.0,16653.0,23396.0,816.5657560907017,29696.05000427129,4084.6190476190477,102.86251252003413,129674.2939457223,0.06408959875175027,3371.3052990516107,0.0,0.3080854246302144,0.02844684385382057,0.8998983557137514,0.001507840493402357,0.7016597452645784,0.949117237551872,0.9445515243393242,0.045733901406590165,0.7335123296864635,0.46125132029400173
25,879,60956456424,Ultricies Dignissim LLP,"([gift, card, Novelty, and souvenir shops], [b], [take rate: 4.69])","gift, card, novelty, and souvenir shops",2219.0,17480.0,23499.0,816.1485468516074,17926.901282484334,4319.285714285715,82.83869015297537,111392.82495833094,0.06366895900395149,2852.6705498751016,0.0013507429085997114,0.2737244473990361,0.024169435215946833,0.9000079518403444,0.3972305955763553,0.6845197103445397,0.9599626983218095,0.811388744934253,0.03605370347580028,0.6206702850244644,0.4709078315041149
26,2317,79417999332,Phasellus At Company,"([gift, card, novelty, and souvenIr shops], [b], [take rate: 4.95])","gift, card, novelty, and souvenir shops",2222.0,18813.0,23731.0,816.1930861801847,21512.20159890512,4724.523809523809,86.0552825396088,127234.97955592806,0.06378410416748176,3313.5081017386988,0.0,0.21833970417151405,0.014534883720930258,0.8999962518648028,0.2766794025756777,0.6549211516656581,0.9582205021565308,0.9267834836959921,0.038703543343713516,0.7209370945506042,0.4709116017745424
27,882,62694031334,Vel Est Tempor LLP,"[[computers, computer peripheral equipment, and software], [a], [take rate: 5.76]]","computers, computer peripheral equipment, and software",2217.0,6890.0,20399.0,819.5127312387503,3432.894589104175,2143.2380952380954,26.05362582438841,16886.97700905803,0.06259474305026963,483.9775229139617,0.002251238180999593,0.7137277713146086,0.15290697674418607,0.8991242188272027,0.8845732570109452,0.8434580576945818,0.9907190732139087,0.12300525717198298,0.011332732368174649,0.10530149270324779,0.47264000752298385
28,3273,75944642726,Et PC,"[(tent and awning shops), (a), (take rate: 6.03)]",tent and awning shops,2222.0,6809.0,20304.0,810.423553145037,3720.562027296959,2122.5238095238096,27.245241987602743,17674.7229456597,0.06260548073133072,498.03409936229264,0.0,0.7170932358318098,0.15685215946843856,0.9015118426371331,0.874900802878509,0.8449710274977914,0.9900736606590997,0.12874322267438748,0.011579839015924917,0.1083598547391428,0.47340856454022373
29,1422,81219314324,Faucibus Leo Ltd,"([gift, card, novelty, and souvenir shops], [a], [take rate: 6.35])","gift, card, novelty, and souvenir shops",2222.0,8382.0,21127.0,818.3127655712079,13512.86583447312,2403.4761904761904,82.87634803623362,62338.47538027071,0.06372098125954545,1693.5941973350962,0.0,0.6517367458866545,0.12267441860465111,0.899439436173522,0.5456469602440286,0.8244502876381672,0.9599423017617487,0.4540753618451958,0.03725089355018332,0.3684840484723258,0.4863700454176478
30,3557,11566786699,Euismod Et Institute,"[(opticians, optical goods, and eyeglasses), (c), (take rate: 2.62)]","opticians, optical goods, and eyeglasses",2222.0,6114.0,19930.0,820.759914691471,1678.372944083422,1998.4761904761904,30.029654634506958,18949.081026644657,0.06265438323630239,562.8438785700853,0.0,0.7459697523682898,0.17238372093023258,0.8987965979052267,0.9435668304318501,0.8540314558595408,0.9885655450967585,0.13802568592382924,0.012705234154911177,0.1224608535856568,0.4876505676256296
31,853,49505931725,Suspendisse Ac Associates,"([digital goods: books, movies, music], [b], [take rate: 4.70])","digital goods: books, movies, music",2222.0,12986.0,22686.0,813.2004493110069,16070.903550925152,3249.5238095238096,98.4187578680692,97001.06835218631,0.06402016473474509,2575.620730046794,0.0,0.4604454046867209,0.05793189368770768,0.9007823835666633,0.4596361741889089,0.7626550359286852,0.9515240990324452,0.7065587495155435,0.04413601382878209,0.5603911228736367,0.4904060877309093
32,2716,46298404088,Feugiat Sed Nec Institute,"[[books, periodicals, and newspapers], [a], [take rate: 6.16]]","books, periodicals, and newspapers",2222.0,6076.0,19803.0,815.8508012243816,7912.832195439276,1987.142857142857,60.52561614985909,37382.89007135026,0.06327538890026986,1051.3977123234797,0.0,0.7475486122652484,0.17765780730897007,0.9000861662334982,0.7339410155390673,0.854859241636929,0.9720480816378149,0.27229811496704964,0.026996460257068262,0.2287580379060791,0.49141935377517243
33,3721,75034515922,Ac Eleifend Corp.,"[[digital goods: books, movies, music], [a], [take rate: 6.22]]","digital goods: books, movies, music",2218.0,4853.0,18823.0,817.9414988697566,4057.9377026207558,1757.3809523809523,34.77006905155083,19484.731768248435,0.06271001315842033,595.3669600146487,0.0018009905447996521,0.7983629715805218,0.2183554817275748,0.8995369637174957,0.8635569720804533,0.8716410331322997,0.9859980044119254,0.1419273823133011,0.013985447591216485,0.12953706861895423,0.4924702315718542
34,3632,41251795489,Ultricies Sem Limited,"([opticians, optical goods, and eyeglasses], [c], [take rate: 2.91])","opticians, optical goods, and eyeglasses",2216.0,5095.0,19062.0,812.4637676746088,1662.0016175513367,1804.904761904762,29.64580924201752,16597.15710216841,0.06261983795561978,498.87602498241773,0.0027014858171994227,0.7883081269735749,0.20843023255813953,0.9009759014620404,0.9441172956008088,0.8681698978136717,0.9887734464689169,0.12089420010348599,0.011910242344621408,0.10854303685059809,0.4942823865993057
35,473,80779820715,Euismod Enim LLC,"([watch, clock, and jewelry repair shops], [b], [take rate: 4.71])","watch, clock, and jewelry repair shops",2220.0,4640.0,18764.0,822.575980886438,2852.7393033243056,1724.6666666666667,32.904795154204706,17986.87534986506,0.06269595049783322,532.7857225340025,0.0009004952723997706,0.8072128967924215,0.22080564784053158,0.8983195379507616,0.904080245450963,0.8740304819939203,0.9870082887876066,0.13101695033656985,0.01366182306778737,0.11592094512162399,0.49529573126145854
36,638,54550134954,Tempor Diam Dictum Company,"[(tent and awning  shops), (b), (take rate: 3.94)]",tent and awning  shops,2216.0,4576.0,18629.0,811.8582070048774,2306.0896869252515,1711.7619047619048,32.04069696202901,17291.69952261314,0.06268873831999532,509.07932796883836,0.0027014858171994227,0.8098720292504571,0.22641196013289033,0.9011349753693289,0.9224606480935109,0.8749730447908624,0.9874763084730006,0.12595326834274695,0.013495848954907385,0.11076302225096264,0.49752425914758674
37,1084,48534649627,Dignissim Maecenas Foundation,"[[opticians, oPtical goods, and eyeglasses], [a], [take rate: 6.64]]","opticians, optical goods, and eyeglasses",2222.0,12321.0,22523.0,816.9967785752876,29740.894529352656,3120.095238095238,133.88614437212905,129952.19649501782,0.06470559631346658,3740.909513325194,0.0,0.48807545288349674,0.06470099667774087,0.8997851310045201,0.0,0.7721084886301188,0.9323139731188838,0.9465757750105077,0.05990987586811504,0.8139290301110785,0.4977398723304462
38,4022,98973094975,Ornare Fusce Inc.,"[(hobby, toy and game shops), (a), (take rate: 5.98)]","hobby, toy and game shops",2222.0,9590.0,21560.0,818.1214609929306,19422.059257567198,2600.5238095238096,116.75491311069496,94291.11427456819,0.06437118334837463,2586.7666582900806,0.0,0.6015456207412332,0.10469269102990031,0.8994896897125476,0.3469577978430113,0.8100579450044172,0.9415927258555371,0.6868193611061864,0.052214018047610444,0.5628162001262222,0.5006186049466665
39,1120,63465140133,Vitae Odio Limited,"[(digital goods: Books, movies, music), (b), (take rate: 3.68)]","digital goods: books, movies, music",2216.0,4188.0,18266.0,813.1742449557051,2239.621677313373,1639.4285714285713,34.77103821774192,17662.063227073322,0.06269021575968638,542.9054214825153,0.0027014858171994227,0.8259930197772977,0.2414867109634552,0.9007892671530555,0.9246955509323034,0.8802562657818402,0.9859974794844809,0.1286510088968945,0.01352984932865979,0.1181227403590762,0.5022223378494263
40,2000,29521780474,At Sem Corp.,"((cable, satellite, and other pay television and radio services), (a), (take rate: 5.93))","cable, satellite, and other pay television and radio services",2220.0,3569.0,17662.0,820.5942558100407,3702.587208774878,1517.5238095238096,38.53065900748171,18043.215027575487,0.06281486023269453,568.1896157100758,0.0009004952723997706,0.8517118165198604,0.26656976744186045,0.8988401146110885,0.8755051834395692,0.8891601800260162,0.9839611639879929,0.13142733027266146,0.016398297153697734,0.12362395326237519,0.5038098301987523
41,529,14492521225,Praesent Eu Associates,"([tent and awning shops], [c], [take rate: 2.50])",tent and awning shops,2221.0,3266.0,17205.0,802.3904921802889,995.3460416853203,1441.8095238095239,25.87962901060109,11153.24204869774,0.06255371197249303,336.7909392355261,0.0004502476361999408,0.8643011467508726,0.2855481727574751,0.9036220364773573,0.966532746999154,0.8946903455136097,0.9908133147419962,0.08124055630356815,0.010388482671683442,0.07327734647035329,0.507086439632227
42,3483,71961434094,Amet Diam Corporation,"([tent and awning shops], [b], [take rate: 3.99])",tent and awning shops,2222.0,2811.0,16746.0,815.5929322168809,1161.569813569714,1361.2380952380952,20.045487355934316,8628.158662738271,0.06244335665625919,268.8745064742309,0.0,0.8832059165697191,0.30460963455149503,0.9001539054917462,0.9609436826984707,0.9005752763343698,0.9939732486088706,0.06284777166816279,0.007848871735130982,0.05850041694316215,0.5072658724601128
43,206,71528203369,Ipsum Primis Associates,"((watch, clock, and jewelry repair shops), (a), (take rate: 6.94))","watch, clock, and jewelry repair shops",2213.0,3453.0,17616.0,823.8921520514349,6209.24013521482,1494.0,56.04020471324139,25898.340754031015,0.06315305062622656,821.1789110624237,0.004052228725799134,0.8565314941000499,0.26848006644518274,0.8979737947406397,0.7912221460223183,0.8908783572278219,0.9744775055949957,0.18864430638287044,0.024181085073321056,0.17866814266635495,0.5075109126979355
44,1503,19618998054,Morbi Accumsan Industries,"([tent and aWning shops], [c], [take rate: 1.52])",tent and awning shops,2211.0,3209.0,17311.0,814.1659245429428,607.6216189983351,1448.904761904762,25.856783634242497,12003.972973833444,0.06252898877565441,373.47902716210893,0.004952723998199016,0.8666694365963105,0.2811461794019934,0.9005287641933932,0.9795694908100815,0.8941721098798667,0.9908256884351168,0.0874373063894092,0.009819526836834007,0.08125976350459224,0.5096380990045797
45,788,22059270846,Montes Nascetur Ridiculus Limited,"[[opticians, optical goods, and eyeglasses], [a], [take rate: 6.59]]","opticians, optical goods, and eyeglasses",2221.0,2389.0,16279.0,815.7015854131367,2672.0208297030636,1279.904761904762,29.67802335976201,11641.317123344643,0.06261654805652672,380.934015190427,0.0004502476361999408,0.9007395712148911,0.3240033222591362,0.9001253635316557,0.9101566757830393,0.9065158566191559,0.9887559984041152,0.08479571007940229,0.011834531776231854,0.08288178380574222,0.511025906110957
46,3897,49322182190,Gravida Mauris Incorporated,"([watch, clock, and jewelry repair shops], [a], [take rate: 6.35])","watch, clock, and jewelry repair shops",2222.0,8771.0,21356.0,809.0297032719088,23751.975745434273,2471.5714285714284,141.47605048351605,109535.88094395891,0.0649000963118771,3000.83795085623,0.0,0.635574206415157,0.11316445182724255,0.901877991161261,0.20136982692325023,0.8194766167908345,0.9282030682441994,0.7978627079224606,0.06438591145915203,0.6529078327505127,0.511482261349407
47,912,73972053940,Quis Tristique Ac Associates,"([tent and awning shops], [b], [take rate: 3.88])",tent and awning shops,2211.0,2788.0,16765.0,818.6385599896835,1811.1489598408548,1357.7142857142858,32.216175905847436,13329.888299907921,0.06267959789475219,397.7528470791681,0.004952723998199016,0.8841615422968256,0.3038205980066445,0.8993538536816097,0.9391024046686508,0.9008326551054905,0.9873812641819434,0.09709531418941877,0.013285500013828838,0.08654114404368507,0.5116527000186296
48,2616,98269572896,Eget Laoreet Posuere PC,"[(furniture, home furnishings and equipment shops, and manufacturers, except appliances), (b), (take rate: 3.59)]","furniture, home furnishings and equipment shops, and manufacturers, except appliances",2221.0,6839.0,20327.0,815.1235352476012,6719.720627756749,2128.190476190476,82.21398022825058,54522.34195627785,0.06370763548310503,1639.5043088665652,0.0004502476361999408,0.7158467674921056,0.15589700996677736,0.9002772107420787,0.7740578844686481,0.8445571346090973,0.9603010586436799,0.3971424068590504,0.03694376670789268,0.35671543169525893,0.5142188918820789
49,1421,80682333501,Orci Corp.,"[(florists supplies, nursery stock, and flowers), (b), (take rate: 4.88)]","florists supplies, nursery stock, and flowers",2195.0,2054.0,15522.0,828.5637840970968,973.1250294510428,1176.952380952381,15.88162872870972,5799.088273573455,0.062383028026980814,193.0403917965586,0.012156686177397513,0.9146584676749211,0.35544019933554816,0.8967466100834074,0.9672799004585884,0.9140354904456827,0.9962285105945852,0.04224073640127038,0.006460526778754432,0.04200079641262821,0.5147247924362783
50,1937,91720867026,Eget Mollis LLC,"((watch, clock, and jewelry repair shops), (a), (take rate: 6.31))","watch, clock, and jewelry repair shops",2211.0,2625.0,16499.0,820.1607588481661,4398.972413767555,1320.4285714285713,49.45126428315587,20199.166165208506,0.0630398593453504,629.0269066319703,0.004952723998199016,0.890934020275885,0.31486710963455145,0.8989539893373875,0.8520901108261554,0.9035560007512677,0.9780462595341789,0.14713134431807237,0.02157620997852865,0.13686063728754652,0.5148968405941772
51,2386,17488304283,Posuere Cubilia Curae Corporation,"((cable, satellite, and other pay television and radio services), (a), (take rate: 6.18))","cable, satellite, and other pay television and radio services",2220.0,4028.0,18224.0,812.6503519969941,9764.053940939337,1614.2857142857142,91.54685642604973,45181.32762165279,0.06388215170562912,1348.8719205427788,0.0009004952723997706,0.8326408509223866,0.2432308970099668,0.9009268878806039,0.671696023423144,0.8820926980947015,0.9552461125490507,0.3291021726678494,0.04095991493213311,0.2934810398703203,0.5150277092622556
52,2675,29616684420,Tellus Id LLC,"((watch,  clock, and jewelry repair shops), (b), (take rate: 3.50))","watch,  clock, and jewelry repair shops",2222.0,6790.0,20194.0,816.5705997945922,6419.581905277692,2110.285714285714,81.28215928558645,55247.883492310575,0.06371940785045664,1589.7144181624187,0.0,0.7178826657802893,0.16142026578073088,0.8998970833277757,0.7841496697773528,0.8458648970137106,0.960805758859903,0.40242727360463726,0.037214684629163663,0.34588238767058793,0.5155544686444151
53,3136,21025433654,Lorem Foundation,"[(digital goods: books,  movies, music), (a), (take rate: 6.55)]","digital goods: books,  movies, music",2210.0,2318.0,15814.0,803.9415722219882,2980.1334481806625,1233.2380952380952,34.55489369621916,13111.579285983955,0.06277119767033496,429.8841112075578,0.0054029716343989564,0.9036895462855243,0.3433139534883721,0.9032145853744649,0.8997967782966504,0.9099243862907546,0.9861145493868122,0.09550514465307867,0.015393489006065589,0.0935321093570954,0.5155887513773217
54,1148,69703285964,Suspendisse Incorporated,"((cable, satellite, and other pay television and radio services), (a), (take rate: 5.77))","cable, satellite, and other pay television and radio services",2219.0,2318.0,16062.0,821.2880195531394,2945.983950436624,1249.6190476190477,38.26469322965309,14886.199814200407,0.06276960298264428,488.98103306097875,0.0013507429085997114,0.9036895462855243,0.33301495016611293,0.898657870758629,0.9009450120093363,0.9087279228141933,0.9841052184725319,0.10843153487311968,0.015356790399801397,0.10639013228316978,0.516066972097102
55,3256,70038202360,Varius Orci Institute,"([tent and awning shops], [a], [take rate: 6.30])",tent and awning shops,2215.0,1705.0,14910.0,823.1763469242111,1089.1759629247779,1098.4761904761904,14.753560479571766,4972.509052887277,0.06237124666192942,166.37083647938445,0.0031517334533993635,0.9291590493601463,0.3808554817275748,0.8981618286142647,0.9633778344545145,0.9197673852403709,0.9968395038264252,0.03621990806953381,0.006189401793088688,0.03619816333222888,0.5169920289871548
56,1806,35556933338,Semper Cursus Integer Limited,"[[digital goods: books, movies, muSiC], [a], [take rate: 6.87]]","digital goods: books, movies, music",2212.0,2524.0,16159.0,809.3788805268223,4624.261565270748,1282.6666666666667,49.13400501925783,20064.179902358443,0.0630759540177508,658.69769379493,0.004502476361999075,0.8951304636862224,0.3289867109634551,0.9017862662639027,0.8445150477667425,0.9063141273120613,0.9782180960016341,0.14614810024972014,0.022406857997198607,0.1433162639024533,0.517132441050539
57,3224,56946407125,Quisque Fringilla Limited,"([computers, computer peripheral equiPment, and software], [a], [take rate: 5.80])","computers, computer peripheral equipment, and software",2209.0,2263.0,15749.0,806.5138354680589,2766.6167087522067,1224.952380952381,36.47784898308439,13868.315207142714,0.06275490913622457,427.2247106246861,0.005853219270598786,0.9059747382416486,0.3460132890365448,0.9025388810469223,0.9069760088748606,0.9105295742120384,0.9850730231615122,0.1010172322542806,0.015018640373676319,0.09295348981834864,0.5171948096290431
