POA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
POA2019,0,0,6,21,9,0,3,0,0,38,0,0,4,5,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,4,0,10,15,158,66,50,49,29,9,378,23,26,39,141,37,27,20,23,6,332,461,748,734,2355,975,685,488,267,95,6816,0,0,0,3,0,0,0,0,0,3,884,1437,1178,2378,1071,693,415,207,71,8326,0,0,0,12,10,0,4,0,0,31,0,0,0,7,3,0,0,3,0,24,0,0,3,80,4,7,8,0,0,99,0,0,0,0,4,0,0,0,0,8,0,0,0,14,9,3,0,0,0,26,0,5,0,18,7,13,10,12,0,61,0,14,22,213,35,60,18,0,9,364,0,0,0,6,5,3,13,28,7,59,0,0,0,3,0,7,8,12,4,36,0,11,20,169,111,63,50,21,4,454,0,0,0,19,7,13,4,0,0,51,0,4,0,18,10,0,0,0,0,31
POA2020,0,4,62,80,20,14,6,0,0,192,0,0,0,4,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,3,9,50,91,554,82,70,68,24,13,957,19,17,103,263,17,26,27,15,11,507,548,669,1744,5088,896,707,471,295,112,10539,0,0,0,3,5,0,0,0,0,10,1040,1112,1276,2515,749,480,223,132,43,7576,0,6,13,91,42,47,12,5,0,214,0,0,0,7,0,0,0,0,0,10,0,5,37,282,18,4,0,0,0,348,0,0,8,15,5,0,4,0,0,34,0,0,5,20,3,0,0,0,0,30,0,0,0,29,15,11,14,16,0,90,3,20,611,1497,91,136,72,22,8,2451,0,0,0,9,4,5,14,10,3,41,0,0,0,12,3,8,22,15,8,73,3,7,36,274,48,46,22,8,8,450,0,3,6,42,14,10,14,4,0,91,0,5,6,43,6,0,3,0,0,58
POA2021,0,3,4,10,8,3,0,0,0,28,0,0,0,7,4,3,0,0,0,12,0,0,0,4,4,3,0,0,0,11,0,5,8,181,38,26,51,18,10,342,8,18,38,117,43,23,30,15,12,302,363,612,810,2969,1061,755,617,429,159,7776,0,0,0,0,0,0,0,0,0,0,657,1032,1149,3474,1206,893,694,445,140,9691,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,9,0,5,5,50,12,4,0,0,0,77,0,0,4,4,0,0,0,0,0,5,0,0,6,35,11,15,4,4,0,72,0,0,4,28,3,3,0,4,0,42,0,0,0,46,7,15,11,4,0,90,0,0,0,5,4,3,0,6,0,23,0,0,0,4,0,4,6,0,0,20,15,48,61,442,204,175,110,61,29,1142,0,0,0,3,0,0,5,3,0,15,3,3,11,74,15,9,11,10,0,132
POA2022,0,0,7,9,15,0,4,0,0,33,0,0,0,9,4,0,0,0,0,17,0,0,0,0,0,3,0,0,0,3,6,11,27,297,59,74,85,62,48,670,13,25,44,188,35,25,33,44,21,435,329,629,656,2765,815,617,557,399,189,6959,0,0,0,3,0,0,0,0,0,3,605,1077,803,1827,823,557,428,238,90,6445,0,0,0,6,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,29,357,11,4,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,6,9,38,8,7,5,3,0,80,0,0,3,56,0,5,3,4,0,68,0,16,24,145,49,48,41,13,7,342,0,0,0,0,0,6,0,4,0,11,0,0,0,9,0,0,3,11,3,31,7,37,86,672,135,82,64,49,19,1151,0,0,0,6,0,0,3,0,0,16,0,8,10,110,9,3,9,5,0,156
POA2023,0,5,0,11,7,3,0,0,0,20,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,12,0,12,13,151,56,36,70,45,20,411,7,18,25,74,19,15,21,17,0,204,254,625,582,1677,773,667,564,289,98,5529,0,0,0,0,0,0,0,0,0,0,466,1066,939,1544,803,698,473,264,79,6340,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,13,76,4,4,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,4,19,3,5,0,0,0,35,0,0,0,12,5,0,0,0,0,20,0,25,17,90,39,36,23,14,8,255,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,6,4,0,19,5,45,50,269,80,73,64,44,9,639,0,0,0,3,0,0,0,0,0,5,0,4,5,45,4,0,9,4,5,76
POA2024,0,0,0,3,3,0,0,0,0,7,0,0,0,5,0,0,0,0,3,15,0,0,0,0,0,3,0,0,0,3,0,11,11,147,47,41,49,45,20,364,17,25,26,102,32,24,24,19,17,282,316,699,555,1959,842,585,441,289,262,5961,0,0,0,0,0,0,0,0,0,0,582,1190,859,1905,957,727,437,259,198,7121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,66,7,4,3,0,0,83,0,0,0,0,0,0,0,0,0,0,0,3,0,29,14,6,4,0,0,56,0,3,0,27,3,0,4,5,0,43,0,8,15,17,11,13,6,4,4,69,0,0,0,4,0,0,5,0,4,16,0,0,0,0,0,3,8,3,0,14,5,60,46,425,183,119,54,41,10,953,0,0,0,5,0,0,4,0,0,11,0,0,5,84,3,6,9,0,0,116
POA2025,0,0,0,14,3,0,0,0,0,19,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,5,5,10,73,26,20,25,23,26,222,7,12,13,42,21,11,12,16,10,138,182,387,351,1202,474,419,430,354,175,3966,0,0,0,0,0,0,0,0,0,0,322,580,488,1228,482,466,475,341,146,4539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,24,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,4,0,17,0,0,0,6,0,0,0,5,0,6,0,9,7,62,18,10,9,3,0,117,0,0,0,5,3,0,0,4,0,12,0,0,0,0,0,3,5,5,0,17,0,25,31,149,86,62,58,45,18,484,0,0,0,4,3,0,0,0,0,10,0,0,4,27,9,5,4,0,4,54
POA2026,0,0,0,16,9,0,0,0,0,23,0,3,0,36,9,0,0,0,0,49,0,0,0,8,3,7,0,3,0,26,4,19,64,862,131,128,184,133,67,1601,37,75,74,483,94,62,47,42,21,935,894,1345,1433,8104,1895,1227,915,608,282,16699,0,0,0,4,0,0,0,0,0,4,1704,2381,1937,6299,2046,1272,764,365,137,16897,0,0,0,7,5,0,0,0,0,10,0,0,0,10,0,3,0,0,0,15,0,5,45,554,22,16,8,0,0,646,0,0,0,0,0,0,0,0,0,0,0,3,6,180,32,21,6,4,0,255,4,0,8,234,9,5,5,8,0,273,0,10,8,66,30,30,14,23,8,184,0,0,0,7,4,0,7,4,3,29,0,0,0,6,0,3,14,11,6,40,26,62,125,2041,367,171,116,73,24,2994,0,0,0,11,3,4,4,0,0,24,0,7,41,430,44,16,18,9,6,559
POA2027,0,0,3,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,7,78,23,27,40,34,30,243,5,17,20,81,26,31,23,19,9,238,138,299,350,1247,475,510,566,432,216,4230,0,0,0,0,0,0,0,0,0,0,250,454,438,1238,484,513,576,467,181,4601,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,3,19,7,10,5,3,4,48,0,0,0,12,0,3,0,0,0,10,0,5,9,69,20,37,12,11,7,174,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,10,7,6,24,0,15,37,176,56,65,53,56,16,485,0,0,0,8,3,3,0,0,0,16,0,0,0,22,8,4,6,7,0,51
POA2028,0,0,0,10,3,0,0,0,0,11,0,0,0,0,3,0,0,0,0,9,0,0,0,0,6,0,0,0,0,3,3,4,0,54,19,28,39,33,12,187,0,12,11,50,7,12,13,7,9,117,115,163,248,907,276,275,312,210,97,2598,0,0,0,0,0,0,0,0,0,0,215,259,327,964,295,269,255,191,71,2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,5,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,8,18,31,20,16,5,8,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,11,8,5,11,128,30,40,23,30,11,282,0,0,0,3,3,3,0,5,0,15,0,0,0,24,6,3,8,0,0,37
POA2029,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,4,10,0,7,16,131,65,43,81,50,23,426,14,21,21,64,31,25,22,30,37,266,259,550,537,1540,710,568,516,400,212,5297,0,0,0,0,0,0,0,0,0,0,467,901,796,1427,591,456,389,276,133,5431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,5,67,11,3,3,0,0,87,0,0,0,0,0,0,0,0,0,0,3,3,0,28,5,3,3,0,0,48,0,0,0,12,5,0,0,0,0,21,0,22,18,75,28,26,19,11,4,206,0,0,0,0,0,0,6,5,0,6,0,0,0,3,0,6,14,9,7,31,0,21,35,230,106,61,38,45,22,553,0,0,0,4,11,4,0,0,0,20,0,0,3,28,6,0,0,4,4,45
POA2030,0,0,0,0,3,4,0,0,0,14,0,0,0,4,0,0,0,0,0,6,0,0,0,0,8,9,4,0,0,21,0,18,25,142,114,72,98,56,36,557,17,31,30,79,53,24,25,25,29,302,321,1044,947,1588,1217,934,697,455,254,7450,0,0,0,0,0,0,0,0,0,0,606,1739,1536,1523,1108,803,592,322,160,8389,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,4,0,9,0,3,5,50,0,9,0,0,0,68,0,0,0,0,0,0,0,0,0,6,0,0,0,20,15,5,0,8,0,48,0,5,3,3,0,0,0,0,0,16,0,28,33,111,68,57,45,24,7,384,0,0,0,8,0,3,0,4,0,13,0,0,0,3,0,9,18,20,7,57,4,57,60,151,150,104,75,57,23,683,0,0,0,0,5,5,0,0,0,18,0,4,3,38,13,8,8,6,3,75
