POA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
POA2019,0,0,0,0,0,0,4,3,0,13,0,0,0,7,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,3,4,0,0,0,0,5,0,0,7,46,41,28,16,4,6,144,0,0,0,3,0,6,3,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,10,65,38,30,30,7,0,183,0,0,0,12,0,0,4,0,0,23,0,0,0,0,0,0,0,0,0,5,0,0,3,16,9,6,8,0,0,42,0,0,3,8,3,3,0,0,0,19,0,0,3,19,18,6,6,4,0,62,0,0,0,3,0,0,3,0,0,12,0,0,0,3,4,0,0,0,0,9,0,0,0,23,0,0,0,0,0,22,0,0,0,3,3,3,6,0,0,10,0,3,0,13,6,9,0,0,0,29
POA2020,0,0,0,0,0,3,10,12,6,34,0,0,0,5,0,0,0,0,0,12,0,0,4,11,4,4,0,0,0,26,0,0,26,23,0,0,0,0,0,49,0,0,0,4,0,0,0,0,0,0,0,0,25,51,23,19,10,0,0,132,0,0,0,8,0,5,0,0,0,12,0,0,0,15,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,3,9,22,163,32,29,15,10,0,275,0,0,0,10,0,0,4,0,0,17,0,0,0,0,0,0,0,6,0,8,0,0,0,9,3,0,8,0,0,17,0,5,7,28,5,0,0,0,0,45,0,0,0,14,3,9,0,0,0,30,0,0,3,6,0,3,0,0,0,16,0,0,7,52,4,0,4,0,0,67,0,4,16,183,28,12,5,0,0,245,0,0,0,13,14,19,7,7,0,55,3,4,0,27,4,0,0,0,0,41
POA2021,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,6,0,0,7,0,17,0,5,19,84,49,44,36,21,4,257,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,11,0,0,3,37,11,3,0,0,0,58,0,0,0,5,4,7,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,3,0,8,0,37,0,5,0,7,4,5,0,0,0,30,0,0,8,36,14,9,10,4,0,82,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,3,0,4,4,38,8,4,0,0,0,62,0,0,0,0,3,0,0,0,0,5,6,22,11,69,29,10,4,11,0,157
POA2022,0,0,0,0,0,0,0,4,5,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,14,4,4,11,48,17,27,22,11,5,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,3,61,9,11,8,0,0,100,0,0,0,10,4,7,10,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,3,16,7,3,3,5,0,42,0,0,5,11,0,3,5,0,0,31,0,6,6,46,30,20,26,25,16,172,0,0,0,0,0,0,0,0,0,5,0,0,0,11,9,3,0,0,0,24,0,0,5,31,0,0,4,0,0,37,0,0,3,0,0,0,0,0,0,3,7,5,15,37,15,9,10,3,3,97
POA2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,4,3,0,13,0,0,9,41,21,14,10,3,3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,18,5,10,0,0,0,34,0,0,0,9,0,9,11,3,5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,17,0,4,3,6,3,7,3,0,0,39,0,8,13,64,54,61,75,10,3,301,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,5,0,0,6,0,0,0,11,3,0,0,4,0,23,0,0,0,3,0,0,0,0,0,5,5,15,10,35,16,4,5,0,0,99
POA2024,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,14,0,0,6,71,32,26,19,8,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,12,3,6,4,0,0,26,0,0,0,4,6,0,4,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,9,6,3,0,34,4,7,0,11,0,4,0,0,0,33,0,0,3,34,27,11,15,4,3,92,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,4,0,5,4,6,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,5,4,28,14,47,9,6,3,0,3,109
POA2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,5,0,11,0,0,6,31,13,15,22,10,3,108,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,4,22,3,3,0,0,0,42,0,0,0,6,6,0,6,6,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,15,0,4,3,9,6,0,3,0,0,29,0,0,3,34,11,10,19,20,15,119,0,0,0,5,5,0,0,0,0,14,0,0,0,10,0,0,0,0,0,10,0,3,0,6,4,0,0,0,0,16,0,0,0,3,0,0,0,0,0,3,0,16,3,24,4,3,8,0,0,57
POA2026,0,0,0,0,0,0,3,4,3,9,0,0,0,4,5,6,0,0,0,14,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,5,0,56,3,3,6,0,3,73,7,0,20,197,67,56,15,4,0,371,0,0,0,4,0,4,5,0,0,11,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,8,58,21,16,12,0,4,117,0,0,0,44,4,6,16,0,5,83,0,0,0,0,0,0,0,0,0,4,0,0,7,53,16,8,3,7,0,90,0,13,3,18,0,4,9,7,0,56,0,7,29,233,116,94,63,40,16,605,0,0,0,5,0,3,0,0,0,12,0,0,0,9,0,0,0,0,0,6,0,0,3,34,13,4,4,5,0,68,0,0,0,13,0,3,4,0,0,22,11,32,25,273,28,21,4,0,0,398
POA2027,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,54,18,24,21,15,0,135,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,9,3,0,0,31,0,0,0,3,3,3,0,9,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,5,0,17,0,5,10,6,0,0,6,0,0,33,0,0,3,21,10,22,36,20,11,125,0,0,0,0,0,0,0,0,0,4,0,3,0,8,0,0,0,0,0,16,0,5,0,19,3,3,0,0,0,24,0,0,0,3,0,0,0,0,0,9,0,5,9,25,12,3,14,5,0,81
POA2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,10,33,3,8,14,11,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,15,0,0,0,4,0,0,7,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,7,0,0,9,0,4,9,19,13,10,22,8,7,87,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,7,0,0,0,4,4,0,0,0,0,9,0,3,3,16,0,5,4,0,0,44
POA2029,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,5,0,3,11,40,21,16,16,10,3,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,18,10,0,0,0,59,0,0,0,3,4,5,6,9,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,3,0,3,24,0,8,3,5,0,3,0,0,0,22,3,10,21,122,89,107,70,49,19,489,0,0,3,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,8,0,0,3,15,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,4,10,3,28,0,8,4,0,0,59
POA2030,0,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,3,0,17,0,8,8,35,29,23,14,9,6,125,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,7,3,27,15,5,8,0,0,60,0,0,0,4,6,0,11,7,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,0,0,4,26,0,9,0,3,3,4,0,9,0,28,0,8,44,146,178,167,82,45,24,678,0,0,0,0,0,0,0,0,0,9,0,0,0,7,4,0,7,0,0,21,0,0,0,5,3,4,0,0,0,12,0,0,0,0,6,0,0,0,0,10,7,16,17,22,14,15,4,3,0,95
POA2031,0,0,0,0,0,0,3,3,3,14,0,0,0,8,0,3,0,0,0,14,0,0,5,3,0,0,0,0,0,15,0,0,0,14,0,0,0,0,0,13,0,0,4,17,4,0,3,3,6,39,0,6,24,130,54,59,51,18,4,358,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,3,4,3,3,0,0,19,0,3,13,92,43,31,21,6,4,214,0,0,0,34,14,6,10,4,11,84,0,0,0,0,0,4,0,0,0,4,0,0,5,67,20,17,9,5,8,134,0,13,12,22,7,6,4,5,0,66,0,0,18,81,55,55,29,34,26,293,0,0,0,12,4,6,3,0,3,29,0,0,0,10,8,6,3,0,0,29,0,3,8,52,11,11,3,0,0,100,0,0,0,11,5,0,3,0,0,17,12,22,16,115,40,18,7,0,4,237
