POA_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
POA2323,66,28,13,25,23,3,5,3,218,0,0,0,0,0,0,0,0,0,0,0,58,56,81,27,16,37,27,5,5,5,323,85,28,32,7,0,7,5,3,0,0,168,38,75,62,5,6,4,7,0,3,4,213,0,3,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,36,83,69,5,6,3,7,4,3,4,223,0,0,0,0,0,0,0,0,0,0,0,124,104,102,11,11,12,15,0,3,4,390,152,38,11,0,0,0,0,4,0,4,215,66,55,30,0,0,4,0,3,0,0,157,4,13,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,68,65,31,0,4,0,0,3,0,0,177,0,0,0,0,0,0,0,0,0,0,0,223,105,44,0,4,0,0,3,0,6,390,250,16,15,0,0,0,9,0,0,8,295,76,8,3,0
POA2324,23,8,13,16,12,6,0,3,97,0,0,0,0,0,0,0,0,0,0,0,28,21,33,11,9,19,16,9,0,13,161,93,26,14,0,0,9,0,0,0,5,146,22,40,28,6,3,6,5,0,0,0,121,3,0,0,3,0,8,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,26,39,35,13,10,6,8,0,0,3,141,0,0,0,0,0,0,0,0,0,4,4,119,65,51,11,10,17,6,0,0,6,287,143,14,11,0,0,0,5,0,0,5,188,37,17,4,0,0,0,0,0,0,3,69,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,42,21,7,0,0,0,0,0,0,3,79,0,0,0,0,0,0,0,0,0,0,0,191,31,17,0,0,6,0,0,0,12,262,350,15,7,3,0,0,0,0,0,16,395,48,0,6,0
POA2325,39,10,20,20,20,4,0,4,141,0,0,0,0,0,0,0,0,0,47,50,42,26,62,19,22,24,19,4,4,52,272,75,31,23,11,3,0,0,0,0,4,142,23,35,27,9,6,8,0,0,0,6,106,0,3,5,4,0,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,22,39,31,9,11,8,0,4,0,8,125,0,0,0,0,0,0,0,0,0,63,63,95,70,50,11,12,8,7,7,0,63,324,193,17,18,5,0,0,0,0,0,9,242,36,8,3,0,0,0,0,0,0,0,59,5,8,5,3,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,43,14,11,4,3,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,54,54,237,37,23,8,4,4,3,0,0,62,374,316,13,12,0,0,0,0,4,0,7,359,61,6,0,0
POA2326,0,0,0,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,8,12,9,0,0,3,10,0,0,0,39,15,3,0,0,0,0,0,0,0,0,19,9,4,3,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,20,9,5,0,0,0,0,0,0,3,37,31,0,4,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,36,0,3,0,0,0,0,0,0,3,50,69,0,0,0,0,0,0,0,0,4,71,0,4,0,0
POA2327,9,3,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,11,4,11,3,0,0,5,0,0,0,41,9,3,0,0,0,0,0,0,0,0,21,3,8,5,0,0,0,0,0,0,0,20,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,21,10,8,0,0,0,0,0,0,0,44,30,3,4,0,0,0,0,0,0,0,38,4,7,6,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,7,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,5,40,8,8,0,0,0,0,0,0,4,58,62,0,0,0,0,0,0,0,0,0,61,10,0,0,0
POA2328,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,4,0,0,0,0,21,10,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,22,16,4,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,6,0,0,0,0,0,0,0,0,28,30,0,0,0,0,0,0,0,0,0,31,3,0,0,0
POA2329,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,5,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,20,29,0,0,0,0,0,0,0,0,0,27,0,0,0,0
POA2330,31,13,4,22,16,4,7,0,132,0,0,0,0,0,0,0,0,0,0,0,58,69,57,29,7,34,25,8,13,7,296,84,41,30,5,3,0,6,0,0,4,177,15,33,44,7,4,6,10,7,0,0,129,0,4,6,3,4,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,17,40,53,13,11,11,8,7,0,0,155,0,0,0,0,0,0,0,0,0,0,0,98,88,81,15,8,11,18,7,6,4,328,174,33,18,4,0,0,0,0,0,8,240,36,43,8,0,0,0,0,6,0,0,100,3,0,3,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,45,39,13,0,5,0,5,6,0,0,115,0,0,0,0,0,0,0,0,0,0,0,216,74,29,3,12,0,5,4,0,11,358,198,24,10,0,0,0,0,0,0,5,244,33,11,0,0
POA2331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2333,30,3,10,12,15,0,0,0,94,0,0,0,0,0,0,0,0,0,21,21,25,31,51,7,15,19,22,7,0,18,194,41,21,15,3,0,0,3,0,0,4,89,11,40,42,0,5,7,19,0,3,4,128,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,40,42,0,5,7,19,0,6,3,133,0,0,0,0,0,0,0,0,0,20,24,54,66,53,5,5,10,21,0,3,25,242,69,14,12,0,0,0,0,0,0,0,100,25,29,27,0,0,0,7,0,0,0,84,0,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,29,34,27,0,0,0,7,0,0,3,94,0,0,0,0,0,0,0,0,0,16,16,97,44,33,0,3,0,7,0,0,16,202,99,12,5,0,0,0,0,0,0,3,115,24,0,0,0
POA2334,0,0,0,4,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,5,5,0,0,0,23,12,0,7,0,0,0,0,0,0,0,18,0,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,16,9,11,0,0,0,0,0,0,0,39,22,9,0,0,0,0,0,0,0,0,26,5,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,31,13,0,0,0,0,0,0,0,0,39,28,4,0,0,0,0,0,0,0,0,31,0,0,0,0
POA2335,8,3,0,7,12,6,0,0,45,0,0,0,0,0,0,0,0,0,0,0,25,15,14,3,0,12,15,6,0,0,84,31,13,12,0,0,0,0,0,0,0,64,7,20,14,0,0,0,5,0,0,0,47,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,20,19,0,0,0,3,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,42,31,32,4,0,3,3,0,0,0,118,60,15,12,0,0,0,0,0,0,0,90,6,13,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,70,27,14,3,0,0,0,0,0,0,116,73,5,3,0,0,0,0,0,0,0,88,12,0,0,0
POA2336,7,0,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,8,3,7,0,0,0,0,0,33,5,11,5,0,0,0,0,0,0,0,15,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,12,5,0,0,0,0,0,0,0,24,17,4,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,15,3,5,0,0,0,0,0,0,3,31,24,0,0,0,0,0,0,0,0,0,29,4,0,0,0
POA2337,15,6,10,18,48,18,13,0,145,0,0,0,0,0,0,0,0,0,0,0,12,26,43,17,18,22,62,24,10,4,239,27,21,15,0,0,0,0,0,0,0,65,3,18,16,6,3,11,22,0,4,0,84,0,0,0,0,0,6,17,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,9,16,21,6,3,13,35,0,4,0,107,0,0,0,0,0,0,0,0,0,0,0,30,38,34,4,8,13,37,0,5,0,174,31,9,7,0,0,0,0,0,0,3,53,5,5,7,0,0,0,0,0,0,0,25,6,0,3,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10,4,3,4,3,3,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,44,18,15,4,3,7,0,0,0,3,90,87,0,0,0,0,0,0,0,0,0,93,8,9,0,0
POA2338,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,0,5,0,0,0,0,22,5,4,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,6,5,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,13,0,0,0,0
POA2339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0
POA2340,236,109,162,165,192,53,21,21,1084,0,0,0,0,0,0,0,0,0,0,6,96,103,288,124,183,171,211,62,28,35,1304,84,53,26,9,16,0,8,3,4,0,196,42,143,180,41,41,41,47,17,14,8,569,0,7,15,9,14,28,5,3,0,6,97,0,0,0,0,0,0,0,0,0,0,0,41,148,193,47,61,73,57,22,14,13,668,0,0,0,0,0,0,0,0,0,0,0,128,205,221,49,71,73,58,25,15,19,865,220,22,16,0,3,0,5,5,0,4,283,60,62,62,7,11,6,11,4,4,3,229,5,3,7,5,6,4,9,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,67,63,68,12,11,11,16,3,4,9,261,0,0,0,0,0,0,0,0,0,0,0,288,91,81,12,14,17,25,13,4,11,547,303,18,23,0,0,0,3,0,0,13,354,62,10,12,0
POA2341,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0
POA2342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0
POA2343,4,3,4,6,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,4,3,14,3,5,5,4,0,0,0,45,3,4,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,6,8,4,0,0,4,0,0,0,0,24,20,0,0,0,0,0,0,0,0,0,22,5,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,28,4,5,3,0,0,0,0,0,0,34,28,0,0,0,0,0,0,0,0,5,36,3,0,0,0
POA2344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0
POA2345,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
POA2346,4,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,6,0,0,0,15,7,0,0,0,0,0,0,0,0,0,8,0,4,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,6,6,0,0,0,0,0,0,0,17,10,3,0,0,0,0,0,0,0,0,16,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,16,18,0,0,0,0,0,0,0,0,0,24,0,0,0,0
POA2347,7,0,0,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,7,0,0,0,15,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,0,0,0,0,13,4,0,0,0
POA2350,104,36,64,153,212,27,7,10,677,0,0,0,0,0,0,0,0,0,4,4,70,56,119,52,81,161,220,40,7,14,827,81,48,16,6,4,3,8,7,0,6,183,45,117,120,28,47,66,45,13,4,0,486,0,3,0,0,0,25,23,3,0,0,54,0,0,0,0,0,0,0,0,0,0,0,44,122,121,28,48,91,67,15,5,0,543,0,0,0,0,0,0,0,0,0,0,0,119,168,144,38,54,100,72,21,4,3,729,181,19,18,4,3,7,3,0,0,6,241,58,68,34,5,9,15,7,0,0,0,195,4,4,0,0,0,11,24,4,0,0,49,0,0,0,0,0,0,0,0,0,0,0,63,70,35,3,9,24,34,3,0,0,246,0,0,0,0,0,0,0,0,0,0,0,247,89,51,5,7,28,39,7,0,4,485,281,9,9,0,0,0,5,0,0,0,312,65,18,5,0
POA2352,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,9,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,3,0,0,0,15,18,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,3,22,21,0,0,0,0,0,0,0,0,0,19,3,0,0,0
