POA_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
POA2204,11,0,224,23,83,9,0,90,0,106,0,14,18,0,30,0,30,0,0,0,0,0,0,0,23,92,27,0,122,0,144,0,0,0,0,0,0,0,236,101,29,0,129,0,369,83,5,3,0,9,0,90,12,37,4,0,46,0,53,0,13,19,0,33,0,33,0,0,0,0,0,0,0,12,49,28,0,77,0,87,0,0,0,0,0,0,0,91,60,28,0,85,0,179,39,4,0,0,4,0,45,6,24,4,0,22,0,27,0,6,6,0,10,0,10,0,0,0,0,0,0,0,6,22,5,0,35,0,36,0,0,0,0,0,0,0,44,29,5,0,39,0,84,1994,135,6,0,147,4,2140,274,664,47,0,708,3,986,5,84,89,0,174,0,174,0,0,0,0,0,0,0,274,747,131,0,887,3,1161,0,3,0,0,3,0,3,2265,888,142,0,1030,7,3304
POA2205,9,0,87,19,146,10,0,161,0,176,0,13,13,0,28,0,28,0,0,0,0,0,0,0,19,161,22,0,183,0,201,0,0,0,0,0,0,0,95,169,22,0,194,0,287,37,7,0,0,7,0,41,10,94,5,0,105,0,108,0,11,9,0,18,0,18,0,0,0,0,0,0,0,10,105,16,0,117,0,125,0,0,0,0,0,0,0,43,112,16,0,128,0,169,20,0,0,0,0,0,20,0,46,5,0,57,0,58,0,13,3,0,15,0,15,0,0,0,0,0,0,0,0,61,9,0,73,0,70,0,0,0,0,0,0,0,20,62,9,0,70,0,90,699,90,0,0,92,5,794,169,1559,193,3,1756,6,1929,9,142,145,0,291,0,297,0,0,0,0,0,0,0,176,1703,337,7,2041,3,2227,0,5,0,0,5,0,8,873,1802,334,7,2141,10,3023
POA2206,34,0,274,40,207,10,0,216,0,252,0,14,8,0,20,0,20,0,0,0,0,0,0,0,40,213,20,0,233,0,273,0,0,0,0,0,0,0,279,249,18,0,269,0,548,111,19,0,0,19,0,123,34,162,11,0,178,0,208,0,9,9,0,18,0,18,0,0,0,0,0,0,0,34,170,16,0,191,0,226,0,0,0,0,0,0,0,145,190,16,0,209,0,352,53,9,0,0,9,0,59,13,70,0,0,70,0,83,0,4,3,0,6,0,6,0,0,0,0,0,0,0,13,74,3,0,77,0,91,0,0,0,0,0,0,0,66,83,3,0,86,0,152,1637,242,0,0,244,0,1882,303,1423,67,0,1495,0,1802,6,64,41,0,107,0,111,0,0,0,0,0,0,0,313,1489,114,0,1599,0,1915,6,0,0,0,0,3,6,1951,1727,113,0,1840,0,3796
POA2207,22,0,215,36,359,19,0,373,0,415,0,18,12,0,34,0,34,0,0,0,0,0,0,0,36,374,31,0,407,0,448,0,0,0,0,0,0,0,233,399,33,0,435,0,664,123,14,0,0,14,0,134,22,235,15,0,258,0,282,0,17,25,0,39,0,39,0,0,0,0,0,0,0,22,254,39,0,300,0,324,0,0,0,0,0,0,0,143,267,41,0,310,0,451,62,11,0,0,11,0,69,14,114,16,0,129,0,139,0,13,12,0,32,0,29,0,0,0,0,0,0,0,14,122,31,0,159,0,169,0,0,0,0,0,0,0,76,137,31,0,165,0,243,1623,231,3,0,230,3,1863,349,2737,201,3,2942,5,3295,10,145,104,0,252,0,262,0,0,0,3,3,0,3,359,2887,303,4,3194,5,3554,11,9,0,0,9,4,17,1990,3121,313,4,3439,12,5434
POA2208,11,0,123,10,150,3,0,158,0,172,0,12,12,0,23,0,23,0,0,0,0,0,0,0,10,168,14,0,180,0,194,0,0,0,0,0,0,0,127,173,14,0,186,0,318,65,3,0,0,3,0,65,0,99,9,0,110,0,115,0,4,18,0,25,0,21,0,0,0,0,0,0,0,4,105,22,0,135,0,135,0,0,0,0,0,0,0,73,110,22,0,136,0,205,32,0,0,0,0,0,30,3,54,6,0,63,0,70,0,5,8,0,15,0,15,0,0,0,0,0,0,0,6,58,20,0,81,0,85,0,0,0,0,0,0,0,37,61,20,0,80,0,118,847,99,0,0,99,0,945,147,1217,55,5,1273,0,1422,3,75,69,0,141,0,146,0,0,0,0,0,0,0,153,1290,124,5,1413,0,1568,0,4,0,0,4,7,6,999,1392,124,5,1522,5,2521
POA2209,7,0,100,15,174,20,0,193,0,209,0,19,28,0,49,0,48,0,0,0,0,0,0,0,15,189,47,0,239,0,255,0,0,0,0,0,0,0,104,202,47,0,250,0,354,50,5,0,0,5,0,51,8,118,18,0,142,0,151,0,18,21,0,37,0,37,0,0,0,0,0,0,0,8,140,39,0,177,0,190,0,0,0,0,0,0,0,59,147,39,0,182,0,244,29,3,0,0,3,0,31,11,72,14,0,83,0,95,0,12,15,0,28,0,28,0,0,0,0,0,0,0,11,78,31,0,112,0,119,0,0,0,0,0,0,0,36,86,31,0,114,0,151,693,103,0,0,103,0,796,192,1395,119,0,1513,5,1706,0,144,148,0,291,0,296,0,0,0,0,0,0,0,195,1537,263,0,1804,5,1996,0,6,0,0,6,3,13,888,1649,263,0,1914,9,2806
POA2210,34,0,375,36,276,19,0,296,4,331,0,23,35,0,53,0,56,0,0,0,0,0,0,0,40,293,51,0,345,4,392,0,0,0,0,0,0,0,383,324,51,0,378,4,764,193,13,0,0,13,0,205,30,181,23,0,204,0,231,6,21,22,0,42,0,46,0,0,0,0,0,0,0,33,199,42,0,244,0,277,0,0,0,0,0,0,0,224,210,42,0,254,0,484,105,3,0,0,3,0,107,8,110,19,0,132,0,139,0,13,17,0,35,0,37,0,0,0,0,0,0,0,11,123,38,0,163,0,175,0,0,0,0,0,0,0,114,127,38,0,168,0,283,2388,253,7,0,257,4,2648,348,2305,188,6,2495,7,2844,11,228,201,4,429,0,439,0,0,0,0,0,0,0,359,2529,385,4,2924,7,3288,0,4,0,0,4,0,4,2751,2792,392,4,3191,10,5949
POA2211,13,0,187,22,158,11,0,172,0,197,0,20,11,0,29,0,29,0,0,0,0,0,0,0,25,180,18,0,199,0,228,0,0,0,0,0,0,0,198,192,18,0,214,0,411,81,9,0,0,9,0,86,18,133,9,0,137,0,155,0,19,19,0,39,0,39,0,0,0,0,0,0,0,14,155,25,0,178,0,197,0,0,0,0,0,0,0,96,155,25,0,183,0,279,32,6,0,0,6,0,39,3,67,3,0,77,0,80,0,10,17,0,27,0,27,0,0,0,0,0,0,0,3,75,18,0,103,0,103,0,0,0,0,0,0,0,38,83,18,0,106,0,150,1224,145,0,0,145,0,1367,212,1361,88,4,1453,0,1670,0,96,88,0,183,0,193,0,0,0,0,0,0,0,210,1461,180,9,1641,0,1862,0,0,0,0,0,0,3,1437,1602,180,9,1786,0,3228
POA2212,19,0,178,11,196,16,0,208,0,216,0,13,16,0,29,0,29,0,0,0,0,0,0,0,11,209,26,0,237,0,246,0,0,0,0,0,0,0,172,227,26,0,251,0,423,75,11,0,0,11,0,82,9,109,6,0,115,0,127,0,11,18,0,28,0,28,0,0,0,0,0,0,0,9,119,25,0,146,0,156,0,0,0,0,0,0,0,80,129,25,0,155,0,238,28,5,0,0,5,0,36,3,65,7,0,72,0,77,0,19,14,0,26,0,26,0,0,0,0,0,0,0,3,82,19,0,98,0,100,0,0,0,0,0,0,0,32,86,19,0,102,0,139,1177,167,3,0,173,3,1346,184,1490,107,0,1596,0,1778,4,121,117,0,239,0,241,0,4,0,0,4,0,4,182,1610,223,0,1838,0,2022,0,0,0,0,0,0,0,1364,1784,226,5,2009,4,3374
POA2213,28,0,353,39,230,12,0,242,0,281,0,15,15,0,32,0,33,0,0,0,0,0,0,0,38,245,28,0,272,0,311,0,0,0,0,0,0,0,367,266,28,0,296,0,662,170,5,0,0,5,0,174,18,159,3,0,157,0,176,0,8,9,0,19,0,19,0,0,0,0,0,0,0,18,165,16,0,179,0,195,0,0,0,0,0,0,0,181,174,16,0,185,0,368,97,0,0,0,0,0,101,15,79,0,0,82,0,93,0,7,6,0,16,0,16,0,0,0,0,0,0,0,15,80,12,0,95,0,107,0,0,0,0,0,0,0,106,88,12,0,98,0,203,2355,193,0,0,193,0,2543,317,1862,72,0,1937,0,2253,3,95,74,0,169,0,175,3,0,5,0,3,0,5,321,1965,150,0,2111,0,2431,3,3,0,0,3,3,13,2677,2163,150,0,2308,3,4993
POA2214,13,0,90,7,24,0,0,24,0,29,0,0,0,0,5,0,5,0,0,0,0,0,0,0,7,29,0,0,27,0,31,0,0,0,0,0,0,0,87,35,0,0,40,0,124,31,0,0,0,0,0,29,3,12,0,0,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,10,0,18,0,0,0,0,0,0,0,37,12,0,0,18,0,51,11,0,0,0,0,0,11,5,7,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,10,0,10,0,0,0,0,0,0,0,14,7,0,0,7,0,22,582,46,0,0,52,0,633,53,196,9,0,201,0,249,0,14,9,0,26,0,26,0,0,0,0,0,0,0,53,210,18,0,229,0,278,0,0,0,0,0,0,0,638,254,20,0,272,0,914
POA2216,13,0,124,29,186,8,0,194,0,223,0,22,10,0,34,0,37,0,4,0,0,4,0,4,26,211,23,0,229,0,257,0,0,0,0,0,0,0,141,225,23,0,242,0,383,69,6,0,0,6,0,74,13,161,11,0,169,0,185,0,12,11,0,23,0,23,0,0,0,0,0,0,0,13,176,22,0,196,0,210,0,0,0,0,0,0,0,90,178,22,0,196,0,288,28,0,0,0,0,0,35,5,74,3,0,79,0,88,0,9,6,0,18,0,18,0,0,0,0,0,0,0,5,85,11,0,97,0,102,0,0,0,0,0,0,0,40,93,11,0,98,0,137,1073,166,0,0,166,3,1245,258,2132,83,3,2219,3,2482,8,174,71,0,247,0,253,0,4,0,0,3,0,3,264,2315,151,3,2471,3,2739,3,0,0,0,0,0,10,1341,2482,151,3,2641,14,3994
POA2217,15,0,169,35,249,16,0,264,0,304,0,14,9,0,28,0,32,0,0,0,0,0,0,0,39,270,23,0,295,0,329,0,0,0,0,0,0,0,196,280,23,0,307,0,499,107,9,0,0,9,0,117,10,161,17,0,178,0,189,0,12,10,0,19,0,19,0,0,0,0,0,0,0,10,178,25,0,202,0,207,0,0,0,0,0,0,0,121,181,25,0,209,0,327,45,4,0,0,4,0,46,5,96,9,0,107,0,114,0,7,9,0,15,0,15,0,0,0,0,0,0,0,5,101,18,0,119,0,130,0,0,0,0,0,0,0,52,107,18,0,127,0,178,1336,173,3,0,177,0,1516,284,2521,107,0,2628,0,2915,3,135,71,0,206,0,210,0,0,0,0,0,0,0,288,2658,176,0,2839,0,3122,0,4,4,0,0,0,0,1623,2836,182,0,3019,0,4643
POA2218,10,0,89,13,148,12,0,162,0,176,0,7,11,0,19,0,19,0,0,0,0,0,0,0,13,155,23,0,181,0,197,0,0,0,0,0,0,0,93,164,29,0,187,0,285,59,3,0,0,3,0,61,12,105,16,0,118,0,132,0,8,22,0,35,0,35,0,0,0,0,0,0,0,12,114,40,0,157,0,163,0,0,0,0,0,0,0,68,114,40,0,152,0,226,27,0,0,0,0,0,30,0,54,4,0,62,0,63,0,14,9,0,23,0,20,0,0,0,0,0,0,0,0,66,12,0,79,0,86,0,0,0,0,0,0,0,31,68,15,0,84,0,117,618,102,0,0,101,0,723,127,1418,91,0,1509,3,1639,9,123,98,0,221,0,229,3,4,0,0,4,0,6,133,1542,192,0,1733,0,1876,0,6,0,0,8,0,8,754,1651,192,0,1842,0,2603
POA2219,13,0,141,20,131,9,0,141,0,160,0,5,5,0,6,0,6,0,0,0,3,3,0,3,20,134,10,3,143,0,167,0,0,0,0,0,0,0,148,146,10,3,155,0,307,76,7,0,0,7,0,80,11,69,3,0,71,0,81,0,9,0,0,9,0,9,0,0,0,0,0,0,0,11,75,3,0,80,0,91,0,0,0,0,0,0,0,81,83,3,0,84,0,167,36,7,0,0,7,0,43,7,39,0,0,45,0,51,0,4,3,0,4,0,4,0,0,0,0,0,0,0,7,46,6,0,48,0,58,0,0,0,0,0,0,0,43,48,6,0,51,0,99,1026,155,0,0,154,0,1185,213,893,24,0,921,0,1133,0,23,7,0,30,0,33,0,0,0,3,3,0,3,212,919,30,3,953,0,1167,5,5,0,0,5,0,7,1244,1079,33,3,1115,5,2357
POA2220,14,0,103,22,264,25,0,285,0,312,0,36,65,0,95,0,95,0,0,0,0,0,0,0,22,298,92,0,390,0,408,0,0,0,0,0,0,0,114,312,92,0,402,0,512,62,3,0,0,3,0,66,11,188,26,0,216,0,226,0,38,56,0,95,0,95,0,0,0,0,0,0,0,11,225,89,0,311,0,323,0,0,0,0,0,0,0,72,231,89,0,314,0,391,39,0,0,0,0,0,39,10,95,14,0,111,0,120,0,32,43,0,78,0,78,0,0,0,0,0,0,0,10,121,65,0,186,0,194,0,0,0,0,0,0,0,52,121,65,0,186,0,239,689,89,0,0,89,0,781,229,2666,253,3,2921,4,3158,0,361,417,0,775,0,780,0,0,0,0,9,0,9,235,3025,671,3,3701,4,3938,4,4,3,0,7,0,11,926,3125,671,3,3802,4,4733
POA2221,29,0,203,36,233,12,0,243,0,279,0,16,11,0,28,0,28,0,0,0,0,0,0,0,36,247,20,0,265,0,303,0,0,0,0,0,0,0,208,278,20,0,300,0,501,126,13,0,0,13,0,141,18,167,8,0,178,0,200,0,14,9,0,23,0,23,0,0,0,0,0,0,0,18,179,16,0,202,0,219,0,0,0,0,0,0,0,147,192,16,0,212,0,356,84,7,0,0,7,0,85,8,84,9,0,90,0,97,0,7,9,0,13,0,13,0,0,0,0,0,0,0,8,93,15,0,105,0,115,0,0,0,0,0,0,0,88,99,15,0,113,0,203,1209,198,0,0,198,0,1410,218,1616,97,0,1709,0,1927,0,118,71,0,189,0,188,0,7,0,0,7,0,7,225,1733,166,0,1900,0,2125,0,0,0,0,0,3,6,1430,1936,166,0,2099,3,3534
POA2222,6,0,102,12,129,13,0,134,0,149,0,8,16,0,23,0,23,0,0,0,0,0,0,0,12,137,29,0,163,0,175,0,0,0,0,0,0,0,101,148,29,0,171,0,273,53,0,0,0,0,0,58,7,85,8,0,95,0,102,0,7,17,0,21,0,24,0,0,0,0,0,0,0,11,91,24,0,121,0,128,0,0,0,0,0,0,0,64,94,24,0,118,0,189,27,7,0,0,7,0,30,7,43,5,0,50,0,55,0,5,9,0,13,0,12,0,0,0,0,0,0,0,9,44,19,0,61,0,70,0,0,0,0,0,0,0,37,50,19,0,66,0,99,660,55,0,0,55,0,708,147,1026,61,0,1090,0,1244,4,69,73,0,146,0,149,0,0,0,0,0,0,0,148,1097,143,0,1239,0,1388,0,0,0,0,0,3,3,813,1151,143,0,1293,3,2104
POA2223,15,0,359,28,144,17,0,158,0,186,0,12,6,0,14,0,18,0,0,0,0,0,0,0,31,150,14,0,172,0,199,0,0,0,0,0,0,0,374,167,14,0,183,0,557,212,9,0,0,9,0,215,11,120,10,0,132,0,141,0,9,8,0,20,0,20,0,0,0,0,0,0,0,11,125,23,0,149,0,158,0,0,0,0,0,0,0,219,133,23,0,155,0,374,93,9,0,0,9,0,101,7,60,5,0,67,0,75,0,6,6,0,8,0,8,0,0,0,0,0,0,0,7,68,12,0,78,0,85,0,0,0,0,0,0,0,101,76,12,0,84,0,186,2340,139,0,0,142,6,2487,296,1394,100,0,1491,0,1788,0,61,40,0,102,0,105,0,0,0,0,0,0,0,298,1458,139,0,1594,0,1892,0,5,0,0,5,0,5,2629,1605,139,0,1740,6,4383
POA2224,9,0,239,15,118,4,0,127,0,143,0,3,4,0,10,0,10,0,0,0,0,0,0,0,15,130,12,0,134,0,148,0,0,0,0,0,0,0,251,132,12,0,145,0,395,103,3,0,0,3,0,107,14,80,6,0,86,0,100,0,6,7,0,3,0,3,0,0,0,0,0,0,0,14,87,9,0,91,0,106,0,0,0,0,0,0,0,115,89,9,0,98,0,209,42,3,0,0,3,0,47,3,46,4,0,50,0,52,0,0,3,0,9,0,9,0,0,0,0,0,0,0,3,49,7,0,57,0,59,0,0,0,0,0,0,0,47,53,7,0,60,0,107,1603,86,0,0,89,0,1695,173,821,25,0,850,3,1025,0,26,24,0,45,0,45,0,0,0,0,0,0,0,176,848,49,0,894,3,1076,0,0,0,0,0,4,4,1783,930,51,0,986,8,2773
POA2225,3,0,209,7,13,0,0,13,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,13,0,21,0,0,0,0,0,0,0,208,15,0,0,15,0,223,114,0,0,0,0,0,114,6,11,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,4,0,9,0,14,0,0,0,0,0,0,0,116,11,4,0,9,0,126,43,0,0,0,0,0,43,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,43,4,0,0,4,0,50,1358,33,0,0,33,0,1387,52,86,4,0,88,0,141,0,0,0,0,0,0,3,0,0,0,0,0,0,0,54,86,8,0,88,0,143,0,0,0,0,0,0,0,1413,115,8,0,121,0,1529
POA2226,6,0,329,16,26,0,0,25,0,45,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16,31,5,0,35,0,47,0,0,0,0,0,0,0,333,31,5,0,39,0,375,175,5,0,0,5,0,186,5,28,3,0,26,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,3,0,26,0,37,0,0,0,0,0,0,0,187,34,3,0,35,0,220,72,3,0,0,3,0,76,3,13,0,0,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,14,0,19,0,0,0,0,0,0,0,76,19,0,0,21,0,98,2520,56,0,0,56,3,2578,156,266,9,0,274,0,436,3,7,11,0,20,0,17,0,0,0,0,0,0,0,161,277,19,0,292,0,453,0,0,0,0,0,0,0,2680,330,19,0,348,4,3032
POA2227,4,0,400,24,29,3,0,32,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,3,0,39,0,59,0,0,0,0,0,0,0,414,38,3,0,47,0,458,183,3,0,0,3,0,189,4,20,0,0,22,0,24,0,6,0,0,6,0,6,0,0,0,0,0,0,0,4,26,0,0,23,0,29,0,0,0,0,0,0,0,187,26,0,0,26,0,212,81,4,0,0,4,0,83,3,13,4,0,18,0,15,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,13,4,0,15,0,17,0,0,0,0,0,0,0,86,16,4,0,22,0,102,2754,93,0,0,93,0,2848,152,291,8,0,301,0,457,0,19,0,0,19,0,21,0,0,0,0,0,0,0,154,312,15,0,323,0,481,3,0,0,0,0,0,3,2908,407,15,0,417,0,3329
POA2228,16,0,341,25,74,0,0,75,0,98,0,4,4,0,5,0,5,0,0,0,0,0,0,0,25,78,8,0,81,0,103,0,0,0,0,0,0,0,350,92,8,0,100,0,443,166,9,0,0,9,0,173,9,61,0,0,63,0,69,0,9,0,0,9,0,9,0,0,0,0,0,0,0,9,70,0,0,68,0,75,0,0,0,0,0,0,0,175,79,0,0,75,0,249,56,0,0,0,0,0,55,0,20,4,0,24,0,25,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,21,4,0,29,0,30,0,0,0,0,0,0,0,57,28,4,0,29,0,87,2562,121,0,0,121,3,2690,210,785,23,0,814,0,1031,3,52,11,0,64,0,65,0,0,0,0,0,0,0,213,835,37,0,876,0,1090,0,4,0,0,4,8,7,2776,961,37,0,1003,12,3792
POA2229,13,0,675,31,71,0,0,71,0,102,4,5,0,0,5,0,7,0,0,0,0,0,0,0,30,77,0,0,77,0,106,0,0,0,0,0,0,0,690,93,0,0,93,0,778,305,10,0,0,10,0,315,15,53,5,0,55,0,75,0,4,0,0,4,0,3,0,0,0,0,0,0,0,17,61,5,0,60,0,78,0,0,0,0,0,0,0,325,69,5,0,71,0,395,189,3,0,0,3,0,192,7,28,0,0,27,0,35,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,26,0,0,31,0,34,0,0,0,0,0,0,0,193,35,0,0,38,0,230,5191,165,0,0,165,0,5356,251,648,12,0,658,0,911,7,39,8,0,41,0,56,0,0,0,0,0,0,0,262,688,15,0,703,0,961,8,0,0,0,0,0,8,5455,853,15,0,871,4,6326
POA2230,11,0,584,33,41,0,0,37,0,72,0,3,0,0,3,0,3,0,0,0,0,0,0,0,39,42,0,0,44,0,79,0,0,0,0,0,0,0,607,52,0,0,53,0,661,327,3,0,0,3,0,332,12,26,0,0,28,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,0,0,28,0,36,0,0,0,0,0,0,0,338,27,0,0,36,0,375,129,0,0,0,0,0,137,7,10,0,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,14,0,13,0,0,0,0,0,0,0,141,12,0,0,9,0,152,4047,101,0,0,101,0,4152,268,323,9,0,328,0,596,8,19,0,0,19,0,28,0,0,0,0,0,0,0,272,341,9,0,349,0,626,0,6,0,0,6,3,8,4321,445,9,0,455,5,4781
