POA_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
POA2019,7,448,27,477,35,773,52,854,20,313,14,344,7,340,32,381,17,1001,86,1099,5,1059,79,1141,11,884,36,928,27,621,36,694,35,369,32,436,44,153,28,231,24,27,12,64,234,5991,428,6647,0,433,21,461,14,708,34,748,8,334,11,351,0,356,28,386,7,1090,97,1188,17,1086,64,1166,16,922,40,975,23,631,33,685,45,405,33,488,59,178,31,267,52,21,27,95,241,6163,415,6816,15,885,43,938,42,1477,83,1606,22,648,28,690,14,698,62,769,24,2088,186,2296,26,2145,144,2304,30,1803,73,1907,50,1256,76,1381,81,777,67,925,108,336,62,499,72,49,38,155,476,12154,845,13467
POA2020,5,566,29,596,25,660,33,717,10,328,20,362,10,1365,103,1478,19,3573,250,3842,17,1613,106,1733,19,841,35,897,35,620,34,689,43,379,27,447,53,163,9,231,35,43,4,77,267,10143,644,11057,4,518,32,548,13,633,28,669,6,324,16,347,3,1299,99,1399,6,3339,221,3565,12,1427,79,1522,25,853,24,896,44,634,32,707,55,396,22,471,98,186,13,295,72,29,11,112,333,9629,568,10539,4,1082,54,1138,42,1295,57,1393,12,657,33,702,16,2665,196,2876,33,6909,467,7408,28,3043,182,3256,45,1695,59,1794,74,1248,68,1394,96,772,55,917,153,348,27,522,106,73,13,190,606,19773,1217,21591
POA2021,7,333,8,347,6,600,15,617,4,259,14,271,12,361,26,393,3,1422,81,1508,5,1143,65,1213,0,941,44,987,15,748,28,787,26,526,24,583,32,280,28,346,36,54,22,108,143,6661,370,7167,3,352,9,363,9,581,21,612,3,248,17,267,9,515,23,540,5,1701,70,1780,8,1123,60,1191,12,1003,46,1061,18,716,24,755,6,574,33,617,52,345,32,429,58,49,56,159,180,7205,391,7776,12,690,16,714,15,1179,36,1238,5,502,26,536,15,874,45,931,10,3125,152,3288,13,2265,124,2406,15,1940,91,2051,32,1458,54,1549,36,1100,61,1195,85,625,62,772,92,101,78,267,326,13865,757,14946
POA2022,7,318,15,333,20,614,23,658,3,223,13,239,4,311,33,353,0,1415,133,1552,9,1030,77,1117,13,763,44,817,12,542,37,590,27,425,32,489,39,227,19,293,41,68,14,119,175,5941,430,6547,3,316,11,329,12,590,26,629,9,214,16,227,0,392,37,423,5,1519,137,1659,14,1029,64,1107,14,765,39,815,23,563,33,617,34,496,33,557,71,285,38,399,95,69,27,189,277,6232,449,6959,7,628,30,666,33,1206,50,1288,10,429,22,471,6,702,68,778,8,2932,270,3211,22,2061,138,2222,27,1528,75,1628,32,1107,68,1206,63,920,65,1046,114,509,54,688,128,139,39,306,451,12169,883,13509
POA2023,7,239,10,253,7,662,24,693,9,371,27,405,9,241,20,261,8,644,50,705,6,625,30,660,3,603,26,639,4,561,23,587,12,489,14,519,24,227,12,263,24,51,4,79,113,4716,239,5066,0,244,9,254,5,592,17,625,4,263,15,288,6,283,7,295,5,839,47,893,6,755,25,785,11,742,24,773,10,637,15,667,10,524,25,564,28,245,17,289,41,57,3,98,125,5179,218,5529,5,484,15,509,13,1256,49,1314,10,635,48,690,12,522,27,557,9,1480,101,1593,10,1380,57,1449,11,1347,55,1409,21,1206,36,1257,26,1013,45,1083,57,473,25,555,69,104,7,177,239,9900,455,10590
POA2024,0,294,17,314,13,673,30,722,0,284,10,302,0,201,8,215,5,801,74,880,5,794,33,836,12,742,35,790,9,571,35,614,15,320,30,368,52,174,27,252,44,33,65,143,157,4902,356,5421,0,301,19,316,4,668,32,699,11,290,21,322,3,224,6,238,6,950,75,1026,13,884,41,935,10,798,31,842,15,541,30,585,23,388,24,441,60,170,57,289,92,58,108,262,233,5278,442,5961,0,594,36,631,18,1344,64,1421,10,577,32,617,8,429,9,452,13,1752,144,1909,15,1681,71,1765,19,1537,70,1630,20,1119,61,1199,40,710,50,813,109,344,81,542,137,91,172,401,396,10185,798,11380
POA2025,0,167,8,175,5,326,20,358,4,135,5,148,0,139,6,149,0,463,24,494,6,420,13,435,0,391,20,413,3,333,16,353,13,334,9,354,41,178,21,236,31,52,28,105,101,2945,178,3220,4,168,10,182,3,371,14,387,0,137,6,148,0,195,7,203,4,624,21,650,8,516,27,552,4,445,23,474,8,399,14,419,22,384,22,430,47,272,33,354,53,60,63,175,155,3577,237,3966,4,332,21,357,11,701,33,744,5,276,14,294,0,334,13,351,3,1091,46,1143,12,941,40,983,5,836,41,886,12,730,28,768,37,723,31,789,88,446,55,589,81,110,96,284,254,6520,414,7189
POA2026,7,908,52,966,31,1365,75,1466,6,524,45,570,10,604,47,665,15,4140,324,4478,17,2793,224,3039,28,1889,114,2034,19,1176,70,1270,40,777,53,873,63,373,35,473,56,95,22,171,290,14645,1054,15997,10,833,50,894,15,1252,79,1345,8,546,22,574,8,796,55,859,21,4826,342,5185,13,2729,178,2914,31,1765,93,1895,45,1121,63,1227,62,811,50,915,132,422,49,608,128,103,53,282,468,15202,1034,16699,17,1740,105,1858,42,2612,157,2815,16,1067,60,1143,14,1400,111,1519,40,8965,666,9669,29,5521,398,5951,63,3659,212,3931,64,2298,132,2496,102,1586,98,1791,197,799,82,1079,182,198,71,449,761,29845,2088,32693
POA2027,0,128,11,140,4,242,21,268,0,109,10,117,0,135,16,152,0,527,27,552,0,471,33,502,0,374,27,406,3,420,27,446,15,426,26,461,36,345,23,395,38,84,8,129,97,3252,231,3580,0,134,9,138,5,284,15,299,0,134,8,145,0,184,12,196,3,654,53,706,3,508,31,547,5,440,33,475,6,468,30,510,12,533,21,566,44,359,32,432,73,100,38,216,156,3799,277,4230,0,262,22,281,11,526,36,565,0,247,13,262,0,325,31,350,3,1175,81,1257,3,979,62,1048,6,816,59,882,7,887,59,954,24,958,46,1025,75,702,51,831,107,187,44,341,254,7054,507,7810
POA2028,0,120,7,128,5,159,13,175,3,71,5,74,0,104,5,108,0,416,21,440,0,307,13,325,0,229,8,233,3,193,14,209,3,213,4,219,10,145,3,161,15,27,5,48,39,1985,90,2114,0,111,0,115,5,150,10,163,0,65,0,68,0,173,7,182,0,530,32,568,3,315,23,339,4,256,13,276,3,261,10,275,8,290,7,312,23,179,9,210,39,49,9,97,82,2391,119,2598,0,231,8,242,8,311,19,342,5,136,0,139,0,274,7,286,0,951,55,1005,3,628,31,663,7,484,20,509,5,463,21,488,11,506,17,532,34,322,11,365,52,77,11,144,124,4377,207,4709
POA2029,0,240,5,251,15,520,22,558,5,228,12,240,5,209,14,230,5,612,33,649,0,645,38,683,5,588,21,620,10,458,33,503,8,397,19,422,34,251,26,310,41,69,40,150,134,4209,259,4610,3,241,13,259,6,515,30,550,5,227,14,246,0,280,14,293,6,733,38,779,0,727,34,771,14,664,29,710,8,526,30,568,18,475,25,516,52,309,41,400,67,79,65,212,175,4785,337,5297,7,483,23,514,22,1034,48,1108,10,459,19,486,7,491,26,522,13,1344,68,1427,8,1374,75,1452,22,1248,50,1326,17,987,66,1063,31,864,43,936,81,561,68,710,104,150,107,361,315,8997,602,9911
POA2030,3,330,9,340,28,977,46,1049,11,530,37,581,4,402,17,427,5,560,51,609,3,715,46,761,6,1045,45,1098,9,849,32,893,43,634,20,693,38,293,26,357,67,93,19,174,217,6420,348,6990,0,300,22,321,17,983,32,1044,3,513,21,538,3,393,13,408,8,609,38,654,5,887,45,936,11,1146,57,1217,15,887,28,934,25,640,27,697,66,357,29,455,109,94,46,254,280,6800,367,7450,3,630,29,664,45,1965,79,2088,17,1042,53,1119,7,791,36,837,10,1161,86,1264,8,1603,91,1698,19,2188,106,2315,28,1737,62,1825,69,1273,48,1391,109,653,55,814,180,185,64,428,495,13218,719,14434
POA2031,14,918,47,973,39,1629,56,1717,19,716,42,781,8,892,68,966,17,3067,166,3251,25,2445,126,2595,21,1997,93,2110,31,1392,73,1493,62,967,56,1093,110,515,62,682,96,127,112,341,439,14666,912,16017,3,856,44,896,27,1553,60,1651,12,686,38,737,7,958,53,1011,28,3775,186,3988,19,2758,115,2897,39,2166,71,2275,32,1628,54,1718,72,1135,70,1276,138,602,76,814,203,148,196,553,581,16269,967,17814,16,1769,89,1873,63,3186,117,3364,28,1400,84,1511,16,1851,118,1984,44,6841,351,7238,44,5208,245,5497,61,4163,159,4386,70,3024,130,3218,131,2106,132,2368,245,1114,140,1502,306,277,316,890,1018,30932,1875,33830
POA2032,4,333,11,352,32,634,19,681,9,348,12,369,18,821,61,892,9,1460,120,1595,16,905,41,961,29,791,30,850,41,609,30,675,43,445,22,511,65,233,18,321,74,67,21,166,338,6647,390,7381,3,259,13,275,14,636,30,679,7,342,16,364,6,769,57,821,15,1186,82,1285,12,901,52,967,22,790,32,841,53,653,24,728,60,517,27,611,139,289,27,461,107,78,43,229,441,6416,400,7263,11,588,25,622,35,1272,46,1356,14,690,28,735,22,1581,116,1717,22,2647,207,2880,26,1806,92,1925,44,1577,70,1691,97,1256,51,1407,110,970,47,1126,208,524,50,781,186,152,62,397,777,13071,793,14643
POA2033,3,228,12,249,19,448,24,489,3,347,29,384,12,831,93,930,6,1142,93,1246,11,789,48,849,4,575,30,612,16,454,21,497,24,307,13,341,43,203,9,255,56,52,10,117,203,5391,381,5974,0,234,15,252,7,424,20,449,12,332,30,375,3,772,65,847,13,1168,83,1264,7,781,33,818,9,577,28,617,18,482,23,520,24,325,20,370,70,192,12,274,103,54,12,171,274,5346,335,5954,7,464,28,499,21,874,43,943,16,679,62,754,18,1600,159,1777,15,2318,171,2503,18,1568,87,1670,17,1153,55,1228,32,938,41,1017,49,631,28,717,118,390,19,530,164,103,21,291,475,10730,718,11927
POA2034,0,499,25,527,25,933,60,1013,3,405,25,429,10,401,19,433,6,1887,151,2051,14,1491,106,1604,27,1104,62,1196,31,963,39,1030,35,603,30,675,50,311,17,375,54,72,12,132,254,8673,541,9469,4,477,26,515,13,949,49,1008,7,423,19,448,9,573,30,602,16,2434,146,2594,22,1596,105,1727,21,1344,75,1440,53,931,39,1023,62,685,40,789,87,327,28,450,83,76,16,180,371,9828,583,10779,7,982,52,1041,39,1878,106,2025,5,826,39,874,16,975,52,1035,24,4324,293,4648,34,3090,207,3337,46,2455,140,2636,77,1895,79,2058,95,1291,73,1460,139,635,40,815,134,147,25,312,624,18502,1120,20249
POA2035,6,862,49,923,63,1811,92,1968,27,867,41,927,17,949,49,1013,23,2393,133,2551,38,2380,121,2535,65,2070,121,2255,71,1736,86,1892,118,1162,66,1346,173,703,63,940,157,191,55,398,769,15116,856,16740,3,829,37,863,24,1789,67,1878,9,825,30,863,8,938,45,993,27,2472,133,2635,25,2493,134,2654,55,2247,105,2408,98,1846,88,2031,154,1450,81,1690,300,848,79,1231,293,223,113,628,993,15968,901,17862,9,1686,87,1784,88,3601,157,3841,39,1686,69,1784,27,1882,91,1999,49,4866,266,5183,66,4870,248,5192,117,4316,219,4657,167,3585,169,3922,275,2614,147,3033,474,1555,140,2167,449,418,168,1030,1763,31082,1759,34602
POA2036,19,867,52,940,77,1726,133,1934,22,880,48,951,27,1003,116,1152,39,2139,386,2564,30,2093,368,2491,47,1966,317,2334,100,1696,243,2038,119,1235,164,1524,171,581,124,881,115,112,48,278,758,14307,2003,17072,3,883,53,945,25,1760,122,1909,9,753,38,803,15,930,75,1013,27,2190,154,2373,26,2272,145,2449,51,2126,124,2299,93,1728,85,1912,163,1324,71,1559,248,662,69,981,214,142,96,450,891,14766,1039,16699,21,1755,105,1886,102,3480,254,3837,32,1633,79,1751,38,1933,192,2163,67,4322,535,4930,57,4364,517,4941,102,4091,449,4635,194,3426,331,3948,285,2565,236,3083,418,1244,191,1861,326,247,149,728,1651,29077,3038,33767
POA2037,8,328,18,349,28,499,36,563,7,232,23,262,13,643,55,710,18,1710,114,1843,32,1280,77,1384,28,867,65,957,49,778,69,894,59,563,48,663,49,251,15,316,33,30,4,62,313,7186,521,8024,3,307,16,328,8,492,20,520,6,276,17,293,18,815,47,885,20,1822,128,1967,24,1230,84,1339,49,939,59,1046,88,816,60,964,71,686,42,801,89,248,20,360,48,52,12,114,427,7688,506,8623,10,634,30,673,40,989,59,1091,17,503,40,557,30,1460,105,1596,39,3533,241,3813,49,2512,162,2724,74,1809,126,2005,145,1590,130,1863,129,1249,91,1468,139,501,36,678,76,85,13,180,741,14875,1024,16641
