POA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2019,..,28,71,15,13,15,15,8,0,162,..,23,106,95,54,120,143,73,33,652,12,16,16,9,10,3,8,0,3,84,1163,684,1100,1113,931,655,463,239,71,6421,..,14,637,1318,1121,740,456,233,37,4557,..,113,675,358,206,95,42,8,0,1498,..,10,28,125,181,109,40,31,18,540,2401,..,..,..,..,..,..,..,..,2401,..,646,..,..,..,..,..,..,..,646,..,363,272,80,50,24,4,0,0,786,..,62,58,25,33,47,49,42,13,326,..,22,29,13,24,18,0,4,0,114,..,58,150,44,36,31,30,14,0,366,..,55,220,193,136,235,224,105,47,1213,29,32,31,24,20,10,13,0,3,173,2431,1357,2106,2178,1812,1311,861,438,124,12623
POA2020,..,436,548,78,25,19,15,3,3,1130,..,116,274,145,73,91,76,76,49,896,16,38,53,15,10,13,4,5,0,148,1171,1627,3360,1441,880,679,449,285,104,9995,..,66,1810,1604,976,746,503,258,64,6034,..,474,1890,501,194,89,35,12,0,3200,..,13,47,122,132,123,68,51,15,576,2398,..,..,..,..,..,..,..,..,2398,..,563,..,..,..,..,..,..,..,563,..,339,330,113,80,52,0,0,0,916,..,331,286,59,37,57,73,49,23,917,..,304,614,98,43,20,9,0,0,1090,..,949,1295,232,84,49,35,8,4,2653,..,229,588,309,165,166,127,115,63,1763,27,74,93,36,11,21,10,5,0,279,2428,3333,6962,3067,1730,1312,869,500,177,20374
POA2021,..,202,409,33,20,13,7,16,6,697,..,56,313,256,202,191,228,201,56,1497,20,65,87,35,18,20,9,4,3,258,921,741,1656,1102,980,705,566,394,101,7150,..,5,452,1046,960,703,506,311,57,4037,..,89,870,430,304,160,106,40,3,1998,..,6,9,71,169,102,24,14,18,413,1789,..,..,..,..,..,..,..,..,1789,..,521,..,..,..,..,..,..,..,521,..,136,115,28,22,20,4,0,0,319,..,37,59,13,6,17,19,16,14,184,..,15,83,11,8,4,0,0,0,115,..,312,772,81,52,40,28,26,4,1317,..,108,544,459,350,354,371,277,83,2541,42,108,137,67,27,25,20,7,3,439,1835,1339,3038,2198,1891,1434,1076,697,177,13683
POA2022,..,117,322,79,16,14,10,0,3,561,..,32,167,126,102,136,173,192,101,1027,15,27,42,25,13,10,8,3,0,146,911,588,1492,1030,768,572,512,356,165,6398,..,11,400,1057,850,569,473,287,76,3727,..,89,1116,374,192,117,64,17,8,1985,..,0,4,76,141,83,38,26,23,391,1832,..,..,..,..,..,..,..,..,1832,..,506,..,..,..,..,..,..,..,506,..,132,117,39,46,22,9,0,0,358,..,35,58,17,13,22,28,13,17,204,..,24,147,17,7,5,0,0,0,206,..,206,654,147,45,40,36,10,3,1137,..,57,323,285,214,224,282,255,140,1778,26,45,67,34,30,20,15,7,4,252,1863,1114,2890,2047,1538,1106,943,624,274,12380
POA2023,..,59,179,37,17,17,10,0,6,326,..,18,100,111,83,105,117,104,54,685,10,29,34,14,6,6,6,8,0,114,826,544,827,746,737,626,523,273,98,5210,..,8,282,782,863,767,721,327,69,3801,..,41,425,217,145,91,50,23,4,1001,..,0,13,53,112,83,21,21,14,312,1676,..,..,..,..,..,..,..,..,1676,..,715,..,..,..,..,..,..,..,715,..,137,156,45,21,22,5,0,0,387,..,26,35,12,0,16,24,18,6,131,..,9,41,13,9,6,0,0,0,81,..,95,300,55,28,26,14,4,3,535,..,29,163,169,139,174,169,132,72,1050,33,79,51,27,17,13,12,4,0,234,1715,1139,1470,1367,1338,1187,1011,530,167,9939
POA2024,..,49,230,43,8,12,4,0,0,352,..,6,115,92,84,107,125,97,59,688,12,24,24,19,10,9,12,7,0,120,954,511,947,878,792,546,403,207,101,5341,..,3,216,886,926,601,392,187,41,3256,..,60,690,387,210,146,63,16,0,1579,..,0,10,54,131,68,16,21,23,322,1906,..,..,..,..,..,..,..,..,1906,..,587,..,..,..,..,..,..,..,587,..,170,88,34,31,23,9,0,0,360,..,23,32,7,4,18,16,17,17,128,..,15,45,6,3,4,0,0,0,71,..,78,413,75,26,30,14,5,0,640,..,16,205,177,171,200,191,137,73,1166,24,38,54,25,28,17,20,3,0,211,1935,994,1746,1660,1528,1102,725,393,154,10229
POA2025,..,54,162,20,8,11,10,7,0,264,..,22,93,70,58,93,139,154,75,701,3,15,15,18,6,4,0,4,0,82,526,323,609,504,437,381,389,312,103,3596,..,0,156,506,487,379,370,245,54,2204,..,23,377,155,87,79,56,32,3,809,..,0,7,52,88,53,25,12,13,245,1004,..,..,..,..,..,..,..,..,1004,..,314,..,..,..,..,..,..,..,314,..,74,55,15,11,13,0,0,0,173,..,27,19,9,8,12,19,24,4,114,..,11,21,6,4,3,3,0,6,43,..,84,261,33,9,16,21,9,0,433,..,30,131,117,109,138,199,197,91,1003,11,31,27,24,11,7,7,5,0,133,1012,600,1051,910,815,695,707,517,171,6479
POA2026,..,278,1508,235,47,34,24,13,9,2143,..,70,562,478,257,249,282,273,134,2298,20,65,140,52,32,29,15,9,8,368,2090,1316,4781,2687,1760,1138,851,560,224,15409,..,6,978,2140,1880,1197,855,446,115,7627,..,171,3104,1380,590,257,140,44,0,5681,..,0,26,179,315,171,65,35,32,816,4314,..,..,..,..,..,..,..,..,4314,..,1172,..,..,..,..,..,..,..,1172,..,315,262,77,61,36,6,0,0,752,..,77,132,25,25,33,30,43,23,387,..,40,265,56,19,18,4,4,0,406,..,457,2796,491,111,69,53,27,12,4016,..,113,1046,988,577,486,469,377,179,4241,48,92,247,103,59,45,23,15,7,643,4360,2437,8864,5445,3634,2311,1646,990,378,30054
POA2027,..,58,129,27,13,11,11,0,3,257,..,18,110,90,99,123,162,160,119,888,16,44,27,17,10,11,12,7,3,152,412,311,638,503,435,456,526,398,167,3852,..,0,191,411,370,444,524,427,95,2467,..,18,386,209,119,94,89,57,5,986,..,0,3,45,79,53,25,13,16,245,754,..,..,..,..,..,..,..,..,754,..,268,..,..,..,..,..,..,..,268,..,65,81,32,15,10,4,0,0,203,..,17,22,7,5,5,14,14,4,88,..,4,17,5,5,0,5,4,0,48,..,82,205,56,30,23,22,8,8,427,..,39,182,161,168,206,232,221,151,1355,29,52,53,35,17,16,20,11,3,235,780,556,1144,964,800,857,937,753,290,7076
POA2028,..,62,153,8,0,4,8,4,9,247,..,17,63,51,39,72,113,90,57,497,0,21,21,3,6,3,0,3,3,65,260,232,527,319,259,262,295,202,85,2434,..,0,172,317,255,235,277,196,35,1491,..,20,293,125,49,34,33,21,0,572,..,0,4,32,65,36,6,8,15,159,536,..,..,..,..,..,..,..,..,536,..,157,..,..,..,..,..,..,..,157,..,48,49,4,11,4,3,0,0,127,..,17,28,9,4,16,7,10,4,85,..,0,16,3,5,9,0,0,0,37,..,96,237,29,8,7,11,4,7,401,..,23,107,90,65,108,152,108,64,724,12,33,37,9,11,10,5,4,0,121,548,397,941,627,471,450,502,345,131,4409
POA2029,..,51,105,17,8,10,9,10,0,209,..,18,92,95,77,85,141,158,81,761,12,34,17,8,7,3,4,3,4,106,764,511,741,725,669,523,488,349,135,4914,..,3,313,780,766,605,535,331,91,3424,..,56,448,241,132,74,46,13,5,1017,..,0,5,82,122,89,35,29,18,379,1510,..,..,..,..,..,..,..,..,1510,..,542,..,..,..,..,..,..,..,542,..,161,134,27,33,19,5,0,0,376,..,20,25,11,5,13,24,20,7,128,..,6,34,7,5,3,5,0,0,64,..,87,187,38,20,16,18,10,8,385,..,36,169,171,153,153,208,207,105,1199,23,42,39,22,18,10,10,9,3,178,1536,959,1348,1370,1253,983,888,625,237,9192
POA2030,..,27,49,15,3,13,4,8,7,137,..,14,41,59,54,104,145,137,107,657,13,25,11,5,9,14,11,0,5,106,1298,883,600,881,1138,881,657,410,177,6932,..,0,303,1063,1611,1285,929,456,123,5772,..,15,257,232,158,93,56,20,5,839,..,0,7,66,178,88,38,28,23,422,2582,..,..,..,..,..,..,..,..,2582,..,1259,..,..,..,..,..,..,..,1259,..,311,318,46,46,21,9,0,0,747,..,35,20,8,15,22,38,33,20,183,..,18,29,15,14,9,5,0,0,99,..,35,91,30,17,28,14,10,7,235,..,38,69,119,116,165,214,175,143,1036,33,50,28,21,23,21,15,4,3,192,2618,1770,1135,1600,2168,1730,1308,723,323,13366
POA2031,..,274,852,150,38,42,33,13,4,1404,..,52,415,444,338,359,427,313,141,2497,38,99,105,46,40,26,27,8,5,385,2438,1503,3753,2755,2182,1635,1173,712,273,16418,..,16,1077,2589,2345,1553,1140,647,155,9524,..,209,2615,1146,532,305,144,40,3,4997,..,3,36,167,395,257,79,72,45,1056,4938,..,..,..,..,..,..,..,..,4938,..,1408,..,..,..,..,..,..,..,1408,..,442,337,122,96,65,11,0,0,1070,..,98,150,50,39,66,62,44,45,558,..,43,183,32,14,10,5,0,3,289,..,478,1464,261,93,93,78,23,3,2497,..,105,713,729,586,623,621,441,197,4016,73,178,174,74,57,51,28,17,11,671,5010,2984,6754,5173,4170,3006,2160,1297,459,31011
POA2032,..,316,238,47,28,18,23,6,0,686,..,55,145,75,69,140,182,163,94,922,20,53,25,13,10,4,7,3,3,145,917,1080,1132,899,812,704,587,434,188,6744,..,7,449,1016,929,725,557,376,125,4177,..,129,508,214,140,87,46,12,0,1138,..,8,29,75,149,105,64,52,44,522,1884,..,..,..,..,..,..,..,..,1884,..,698,..,..,..,..,..,..,..,698,..,256,263,97,90,50,7,0,0,760,..,103,80,29,24,49,46,46,31,417,..,86,122,32,13,8,3,0,4,270,..,712,723,102,59,46,49,16,10,1725,..,123,301,187,190,254,288,224,119,1689,29,90,51,34,21,12,10,10,6,267,1914,2213,2531,1783,1618,1344,1077,734,334,13542
POA2033,..,191,163,35,12,15,12,0,3,435,..,57,167,118,88,92,79,69,41,709,7,113,31,8,8,11,5,4,0,190,654,748,1117,770,579,490,345,239,101,5045,..,14,433,809,644,509,354,264,83,3108,..,131,671,244,120,70,44,18,3,1301,..,0,15,66,95,74,35,31,22,336,1339,..,..,..,..,..,..,..,..,1339,..,406,..,..,..,..,..,..,..,406,..,118,165,52,38,30,0,0,0,402,..,76,81,24,15,28,35,26,16,295,..,35,72,16,5,0,8,0,0,141,..,411,362,92,39,34,31,15,0,988,..,130,304,231,168,188,140,105,56,1328,22,206,56,22,16,16,11,5,0,348,1352,1524,2162,1550,1145,952,652,463,193,9995
POA2034,..,204,735,136,33,23,18,9,0,1157,..,27,214,227,183,218,269,172,88,1393,19,49,64,30,26,16,16,3,0,212,1443,993,2418,1609,1350,968,739,419,147,10082,..,6,541,1440,1357,1047,661,359,87,5497,..,76,1583,734,350,216,93,21,0,3074,..,6,35,120,240,128,46,43,23,646,2854,..,..,..,..,..,..,..,..,2854,..,935,..,..,..,..,..,..,..,935,..,301,230,51,43,40,6,0,0,673,..,48,79,26,20,31,49,38,30,323,..,38,145,23,4,8,7,0,0,232,..,283,1187,227,53,43,45,15,5,1860,..,46,375,417,348,399,431,275,117,2412,36,70,109,47,33,30,26,9,0,360,2887,1810,4289,3093,2453,1940,1361,763,270,18867
POA2035,..,167,338,83,36,53,43,12,8,741,..,54,206,202,215,315,465,424,271,2148,26,30,64,27,17,22,18,15,11,231,2647,1770,2487,2533,2303,1957,1610,1160,521,16988,..,36,927,2750,2717,2201,1684,1063,271,11656,..,180,1504,883,425,241,89,29,10,3358,..,4,77,241,399,298,132,159,93,1409,5356,..,..,..,..,..,..,..,..,5356,..,1894,..,..,..,..,..,..,..,1894,..,760,689,235,236,136,19,0,0,2074,..,135,145,50,62,100,118,126,105,840,..,83,252,78,38,38,13,8,0,508,..,334,765,191,89,117,83,35,8,1624,..,102,415,447,424,578,716,601,363,3636,50,64,107,65,45,43,29,27,21,452,5406,3598,4876,4944,4431,3751,2891,2046,867,32810
POA2036,..,114,155,36,31,43,36,11,5,437,..,59,189,133,171,261,388,326,141,1663,22,25,36,29,17,19,28,19,19,208,2702,1693,2212,2302,2187,1825,1488,904,322,15626,..,30,1139,2587,2493,2188,1632,844,179,11096,..,203,1203,742,456,258,117,44,4,3026,..,25,115,259,467,277,143,100,54,1449,5341,..,..,..,..,..,..,..,..,5341,..,1725,..,..,..,..,..,..,..,1725,..,979,800,243,190,80,14,0,0,2314,..,147,117,47,63,131,137,103,76,815,..,81,151,45,29,35,11,11,0,369,..,247,409,106,68,94,84,32,8,1046,..,126,367,314,380,514,651,491,192,3034,48,65,86,57,45,38,38,27,18,415,5385,3625,4388,4407,4192,3607,2841,1653,532,30626
