POA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
POA2019,0,3,0,5,5,0,5,0,0,14,0,0,0,34,20,15,3,5,0,73,0,0,0,4,5,0,0,0,0,12,0,0,0,3,3,0,0,0,0,11,0,0,0,6,0,0,0,0,0,14,0,0,0,5,0,5,0,6,0,17,0,0,3,9,4,0,0,0,0,18,0,0,0,7,3,5,4,0,0,15,0,0,0,6,0,5,0,0,0,14,0,0,0,0,5,3,0,0,0,4,4,7,8,127,53,53,54,19,9,340,15,41,41,149,38,28,20,24,0,351,477,854,725,2247,928,694,436,231,64,6647,0,0,0,0,0,0,0,0,0,0,434,679,575,1224,545,338,209,119,45,4173,0,0,0,6,5,0,3,0,0,14,0,0,0,5,0,0,0,3,0,9,0,0,0,31,0,5,3,0,0,43,0,0,0,0,4,0,0,0,0,4,0,0,0,12,4,0,0,0,0,17
POA2020,4,0,3,34,3,0,3,0,0,51,0,0,8,26,0,0,5,0,0,40,0,0,4,17,4,4,7,0,0,38,0,0,14,55,3,0,0,0,0,75,0,3,10,91,13,3,0,0,0,126,0,0,0,13,14,22,9,7,0,62,5,0,5,24,0,5,0,0,0,40,0,0,39,47,15,6,10,0,0,114,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,4,17,49,100,619,59,57,51,32,11,986,18,29,118,322,33,34,30,14,5,600,596,717,1833,5580,897,689,447,231,77,11057,0,0,0,0,0,0,0,0,0,6,500,534,602,1097,344,233,100,74,32,3507,0,4,6,39,25,18,0,3,0,95,0,0,0,0,0,0,0,0,0,5,0,3,16,125,8,0,0,0,0,156,0,0,4,11,5,0,4,0,0,20,0,0,5,13,0,0,0,0,0,15
POA2021,0,3,0,8,6,0,0,0,0,19,0,5,8,44,16,9,6,6,4,102,0,0,0,6,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,5,0,0,3,9,5,3,0,0,0,22,0,0,0,5,0,0,0,0,0,4,11,17,13,36,21,19,10,6,0,133,0,0,0,3,4,3,0,0,0,15,0,0,0,7,0,4,0,0,0,11,0,0,0,3,0,3,0,0,0,10,0,8,13,124,40,20,28,35,12,290,5,13,38,134,41,30,20,10,6,298,347,617,664,2722,987,787,583,346,108,7167,0,0,0,0,0,0,0,0,0,0,333,512,631,1799,639,446,365,269,84,5080,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,5,3,22,8,0,0,0,0,39,0,0,0,7,0,0,0,0,0,7,0,0,6,22,5,7,0,0,0,40
POA2022,4,0,0,3,3,0,3,0,0,22,0,9,3,57,37,25,18,14,0,168,0,0,0,5,0,0,0,6,0,6,0,0,0,4,3,0,5,0,0,7,0,0,0,7,3,0,0,0,0,14,0,0,0,13,4,0,3,0,0,18,3,7,8,28,9,4,9,4,0,79,0,0,5,9,9,0,0,0,0,20,0,0,3,20,0,0,5,0,0,30,0,0,0,7,0,0,0,0,0,6,0,8,15,230,67,48,71,55,16,505,9,20,37,203,37,40,35,24,12,422,333,658,588,2666,817,590,489,293,119,6547,0,0,0,0,0,0,0,0,0,0,297,520,398,935,400,276,219,137,48,3226,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,5,0,0,16,172,8,3,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,8,23,10,5,3,5,0,49
POA2023,0,8,5,4,3,0,5,4,0,28,0,8,13,59,39,55,72,26,7,283,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,3,7,22,22,10,6,6,0,0,72,0,3,6,0,3,0,0,0,0,8,0,0,0,0,0,0,6,0,0,9,0,0,0,0,4,5,0,0,0,8,0,0,21,97,50,37,80,30,18,338,8,25,43,71,26,10,13,6,4,198,253,693,666,1363,639,587,519,263,79,5066,0,0,0,0,0,0,0,0,0,0,230,495,454,842,436,381,239,140,48,3263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,39,3,5,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,5,0,0,0,23
POA2024,0,8,8,3,5,0,0,0,0,16,0,0,7,30,30,17,13,9,0,97,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,7,18,5,26,13,3,0,4,0,74,0,0,0,3,0,0,0,0,0,4,0,0,0,9,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,10,4,103,41,35,31,34,16,278,11,18,15,90,37,30,16,13,18,250,314,722,514,1711,790,614,368,252,143,5421,0,0,0,0,0,0,0,0,0,0,291,576,421,997,501,349,234,141,139,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,3,0,19,7,3,4,0,0,40
POA2025,0,11,0,5,3,0,4,0,0,22,0,4,3,19,16,12,19,7,3,85,0,0,0,0,4,0,0,0,0,10,0,0,0,6,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,19,11,17,9,10,4,0,0,67,0,0,0,0,4,0,0,0,0,7,0,0,0,3,4,0,0,0,0,7,0,0,0,3,4,0,0,0,0,6,0,14,6,46,23,18,20,17,11,152,3,18,10,32,17,13,7,7,4,123,175,358,292,928,413,353,354,236,105,3220,0,0,0,0,0,0,0,0,0,0,161,313,267,682,274,265,264,205,89,2521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,10
POA2026,0,10,5,7,8,3,4,10,4,48,0,12,19,198,125,77,70,30,19,567,0,0,0,5,0,3,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,21,0,0,0,22,0,8,0,0,0,40,5,29,20,190,41,29,13,6,0,322,0,4,0,7,5,3,0,0,0,16,0,0,0,47,4,3,4,4,0,67,0,0,0,3,3,0,3,0,0,14,3,25,39,700,147,114,138,102,36,1302,35,69,80,514,103,60,39,36,11,949,966,1466,1234,7514,2034,1270,873,473,171,15997,0,0,0,0,0,0,0,0,0,0,812,1141,1000,3132,1023,611,376,208,98,8408,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,8,0,0,25,278,11,7,8,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,6,121,9,10,3,4,0,153
POA2027,0,3,11,9,3,0,3,0,0,38,0,0,0,24,15,21,23,21,6,109,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,0,0,4,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,4,5,8,6,16,8,9,10,5,0,54,0,0,0,6,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,8,37,16,25,37,34,13,170,10,16,24,64,31,28,25,21,0,224,140,268,270,1058,406,446,461,395,129,3580,0,0,0,0,0,0,0,0,0,0,130,235,252,650,273,273,322,253,121,2494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,5,3,0,0,34
POA2028,0,0,0,0,0,0,0,0,0,3,0,4,3,32,12,8,22,9,0,87,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,9,8,7,0,0,0,37,0,0,0,3,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,51,11,16,31,13,8,129,4,14,6,33,6,9,6,10,0,80,128,175,177,759,233,209,219,161,48,2114,0,0,0,0,0,0,0,0,0,0,100,127,192,538,150,159,151,105,51,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,10
POA2029,0,14,0,0,0,3,0,0,0,20,0,15,19,101,91,91,70,44,11,436,0,0,0,4,0,0,3,0,0,5,0,0,0,5,0,0,0,0,0,9,0,3,0,0,5,0,3,0,0,7,0,0,0,4,0,0,0,0,0,9,4,9,5,20,3,3,4,0,0,54,0,0,0,0,3,0,0,0,0,5,0,0,0,4,0,0,0,0,0,5,0,0,0,5,5,5,3,0,0,15,3,21,8,102,64,47,61,45,21,374,6,18,26,62,19,33,15,19,23,225,251,558,469,1335,620,503,422,310,150,4610,0,0,0,0,0,0,0,0,0,0,232,462,415,748,322,255,222,165,89,2909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,5,31,3,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,3,0,20,6,0,0,0,0,28
POA2030,0,9,0,0,0,4,0,0,0,19,0,7,52,133,157,187,93,34,11,684,0,0,0,0,0,3,5,0,0,10,0,0,0,10,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,4,0,3,0,10,8,18,17,17,12,11,11,0,0,94,0,0,0,4,4,3,0,0,0,10,0,0,0,0,3,0,0,0,0,6,0,0,0,4,4,8,0,0,0,16,0,14,10,105,92,81,99,46,32,482,8,36,48,84,42,29,21,23,11,309,340,1049,1009,1368,1098,893,693,357,174,6990,0,0,0,0,0,0,0,0,0,0,297,860,748,780,574,424,307,179,105,4270,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,24,0,6,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,0,0,0,32
