POA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA2121,608,41,650,7003,949,61,8008,18818,897,27722
POA2122,815,75,900,5527,826,44,6407,18666,1217,26287
POA2125,276,14,291,3170,725,38,3934,9341,310,13584
POA2126,336,177,511,3749,707,35,4495,10531,540,15571
POA2127,52,6,63,4253,447,40,4736,13829,954,19524
POA2128,13,0,13,425,59,4,489,1195,1440,3125
POA2130,122,22,145,1193,145,8,1346,4644,297,6290
POA2131,772,39,816,3121,465,24,3610,15749,954,20315
POA2132,333,115,453,1879,291,22,2191,6405,462,9063
POA2133,230,18,245,1925,290,31,2244,6394,376,9014
POA2134,340,86,428,2074,332,19,2418,12845,1241,16497
POA2135,650,45,704,2991,690,32,3712,17897,1382,22989
POA2136,166,34,202,1264,197,12,1471,4627,371,6476
POA2137,663,51,715,4799,895,55,5755,16557,955,23270
POA2138,165,32,202,3296,432,27,3756,12147,910,16820
POA2140,111,6,123,3394,305,18,3717,12589,1346,17653
POA2141,368,66,439,4417,754,44,5209,20672,1943,27822
POA2142,234,17,252,4086,524,47,4666,15907,2306,22873
POA2143,136,5,148,1473,235,12,1712,5691,484,7894
POA2144,413,98,515,5197,767,62,6018,23104,3342,32463
POA2145,1160,305,1476,17061,1806,145,19010,45032,5131,69180
POA2146,235,26,261,3801,513,31,4343,10251,924,15510
POA2147,569,66,643,6648,1127,78,7848,20572,1746,30164
POA2148,1091,131,1229,11625,1795,147,13569,37056,3790,54421
POA2150,231,41,274,6119,399,44,6553,20712,2337,29599
POA2151,371,25,396,3931,551,44,4527,11868,950,17345
POA2152,289,56,346,2150,235,22,2405,6291,399,9098
POA2153,1144,147,1294,13232,2075,135,15442,32732,1515,49688
POA2154,1137,221,1371,7932,1481,75,9489,22492,1221,33204
POA2155,395,158,559,17634,2138,181,19941,35953,1927,57820
POA2156,410,34,443,2213,578,31,2818,7948,324,11092
POA2157,59,4,66,691,187,12,890,2259,89,3240
POA2158,274,45,326,1535,370,17,1922,5157,298,7379
POA2159,169,13,182,851,233,21,1099,2975,187,4257
POA2160,571,63,633,5892,816,73,6779,21226,3286,31293
POA2161,432,133,569,5050,742,75,5862,17860,2705,26427
POA2162,366,119,493,2889,442,22,3354,10916,1563,15829
POA2163,135,101,235,1345,226,18,1588,5447,1469,8503
POA2164,418,74,499,2910,536,38,3478,12561,1015,17053
POA2165,714,112,831,5330,794,68,6195,27485,2948,36632
POA2166,946,303,1253,7061,1160,66,8284,33246,3641,45170
POA2167,120,207,327,2081,285,16,2387,5188,765,8339
POA2168,433,48,486,6138,1190,104,7430,25132,2681,35243
POA2170,1453,483,1947,18583,2774,227,21589,61411,7343,90344
POA2171,234,11,248,7423,940,92,8453,19840,1293,29586
POA2172,12,0,17,587,99,10,688,1567,57,2310
POA2173,85,8,90,2967,363,42,3371,7422,489,11284
POA2174,33,0,36,2871,308,28,3209,5080,538,8822
POA2175,42,3,42,241,67,5,311,1071,109,1499
POA2176,841,180,1028,6257,1403,73,7736,31551,2184,41467
POA2177,190,82,274,2279,496,37,2818,10380,810,14003
POA2178,99,7,109,569,148,15,734,2495,257,3485
POA2179,112,97,211,3563,433,28,4027,7307,770,12111
POA2190,468,43,512,4266,695,64,5024,14241,1772,21031
POA2191,153,7,159,1102,169,8,1277,3775,257,5309
POA2192,251,88,348,1976,281,14,2273,8125,1162,11563
POA2193,316,17,335,2947,381,38,3370,10942,756,15068
POA2194,433,54,493,3520,445,33,3999,16536,2207,22740
POA2195,271,132,409,4950,390,35,5375,12964,2179,20525
POA2196,548,91,637,5227,762,66,6055,18566,2084,26706
POA2197,183,51,239,1510,228,22,1765,5133,821,7714
POA2198,221,112,340,1590,258,18,1871,4926,760,7553
POA2199,366,30,400,3020,438,37,3488,10542,1291,15324
POA2200,691,165,864,7523,980,82,8587,25861,3406,37856
POA2203,200,23,226,2265,299,30,2591,8726,643,11966
POA2204,459,103,570,3949,545,54,4548,17102,1364,23018
POA2205,204,70,280,3310,458,30,3795,16496,1886,22174
POA2206,588,165,758,3400,580,36,4019,11511,915,16450
POA2207,797,255,1059,4761,781,53,5595,16260,1486,23339
POA2208,373,27,406,2172,335,29,2538,7557,472,10563
POA2209,405,25,433,2557,451,16,3022,9536,645,13198
POA2210,906,230,1132,5396,937,69,6405,19488,1781,27681
POA2211,466,137,604,2852,495,35,3380,10414,833,14630
POA2212,357,184,538,2951,430,42,3421,9605,907,13928
POA2213,444,40,494,4314,669,63,5046,12901,738,18690
POA2214,40,4,43,772,121,11,900,2231,92,3220
POA2216,539,72,611,4112,638,41,4791,17513,1689,24000
POA2217,710,242,959,4716,674,43,5431,17233,1583,24255
POA2218,266,22,292,2624,425,16,3070,9950,747,13760
POA2219,377,61,443,2242,435,28,2706,8084,739,11534
POA2220,522,151,672,4937,852,57,5840,21689,1715,29240
POA2221,496,94,587,2932,520,36,3488,9959,637,14084
POA2222,215,74,291,2054,378,14,2449,7638,636,10726
POA2223,505,63,576,3981,679,39,4694,12269,634,17596
POA2224,587,51,649,2444,590,34,3066,8504,493,12063
POA2225,83,4,83,1259,197,7,1471,2748,88,4308
POA2226,198,97,302,2781,436,42,3265,6622,451,10340
POA2227,353,20,377,3094,593,36,3725,8242,380,12346
POA2228,849,84,941,3727,762,58,4539,11935,834,17315
POA2229,868,178,1050,5793,1330,77,7196,16726,1127,25052
POA2230,672,114,792,4702,1584,74,6363,18696,1193,26249
POA2231,31,0,35,523,90,13,634,1231,75,1936
POA2232,783,237,1025,6793,1194,71,8055,19630,1238,28924
POA2233,495,205,707,6232,1438,90,7752,15204,765,23727
POA2234,411,65,479,5539,1472,80,7096,17280,565,24944
POA2250,1884,540,2431,12021,2713,265,15003,40164,3415,58575
POA2251,911,257,1173,5902,1574,120,7598,18744,1284,27627
POA2256,588,67,653,2250,642,50,2942,9870,862,13669
POA2257,832,177,1015,4724,1260,113,6096,17658,1612,25363
POA2258,65,10,75,936,275,17,1224,2881,195,4302
POA2259,1253,419,1678,10905,2743,351,13999,36123,3477,53591
POA2260,409,59,467,4751,1307,92,6147,13771,1002,20916
POA2261,1376,465,1851,8967,2443,243,11654,30536,2995,45189
POA2262,392,51,451,3554,915,126,4589,11605,1013,17207
POA2263,789,117,910,3482,999,107,4580,14368,1484,20435
POA2264,565,51,620,2264,853,103,3217,9557,749,13526
POA2265,319,25,344,1313,322,40,1680,4077,240,5998
POA2267,77,4,79,360,198,19,572,1782,148,2501
POA2278,15,0,15,455,215,13,679,1367,40,2089
POA2280,711,111,820,4421,2042,133,6597,14942,926,22461
POA2281,432,63,494,2224,1025,84,3329,8926,608,12859
POA2282,410,33,450,2758,1235,87,4080,8831,421,13342
POA2283,639,100,746,3397,1783,156,5333,14177,999,20511
POA2284,300,120,425,2002,784,93,2881,6840,696,10409
POA2285,539,121,669,6543,2015,218,8773,16908,1204,26887
POA2286,50,3,55,810,359,47,1214,2394,154,3768
POA2287,846,177,1027,7136,2199,230,9572,21976,1532,33083
POA2289,479,35,521,3939,1075,132,5143,10565,535,16253
POA2290,976,172,1161,6254,2226,218,8699,18378,1230,28305
POA2291,305,17,325,2370,915,42,3328,8126,398,11856
POA2292,34,3,42,392,129,27,547,1541,136,2222
POA2293,35,0,34,433,232,15,686,2115,104,2907
POA2294,31,4,30,319,115,17,447,1207,94,1745
POA2295,147,89,233,1277,529,38,1843,4363,463,6675
POA2296,14,5,15,307,91,19,419,1278,62,1759
POA2297,20,6,21,303,72,15,389,1039,78,1502
POA2298,364,203,569,1388,457,42,1888,6176,707,8772
POA2299,228,76,310,1803,573,48,2425,6714,742,9880
POA2300,137,17,149,1284,705,47,2031,8239,631,10901
POA2302,69,6,73,101,70,3,172,1095,57,1332
POA2303,251,27,281,1328,535,48,1906,5786,635,8329
POA2304,375,164,541,2410,723,80,3210,9252,869,13334
POA2305,284,22,316,2432,779,75,3287,6896,420,10598
POA2306,32,10,42,415,148,23,582,1707,374,2659
POA2307,101,10,120,629,229,26,885,2736,210,3835
POA2308,0,0,0,0,18,0,18,939,402,1358
POA2311,17,3,22,158,52,8,214,480,42,738
POA2312,21,0,21,215,86,4,308,869,66,1240
POA2315,492,161,653,1848,813,71,2727,9729,815,13270
POA2316,109,18,124,857,379,39,1268,3994,355,5618
POA2317,289,37,329,746,287,23,1054,4366,302,5722
POA2318,143,18,155,2406,871,110,3390,6938,498,10824
POA2319,134,20,163,910,353,43,1309,4129,353,5792
POA2320,609,101,712,7339,2189,283,9816,19492,1441,30747
POA2321,208,20,230,3938,1191,165,5289,9347,654,15292
POA2322,217,28,247,4595,1395,197,6185,12137,757,19080
POA2323,456,79,545,4291,1707,195,6189,13998,1039,21235
POA2324,573,94,671,3319,1515,151,4981,14745,1454,21181
POA2325,633,100,736,4705,1933,198,6829,15535,2912,25278
POA2326,95,8,103,1344,491,82,1916,3954,337,6200
POA2327,176,19,202,1187,450,39,1676,4331,378,6386
POA2328,54,6,70,361,119,9,498,1400,160,2056
POA2329,69,8,77,318,104,8,431,1090,198,1720
POA2330,318,21,340,3834,1306,159,5297,10520,1065,16875
POA2331,0,0,0,0,0,0,0,406,170,575
POA2333,158,34,189,2329,648,80,3064,6722,1007,10799
POA2334,20,3,20,709,137,34,883,1591,105,2572
POA2335,52,9,55,1658,456,44,2165,3740,283,6191
POA2336,43,10,56,402,142,5,551,1402,161,2115
POA2337,185,37,221,1282,401,40,1729,4371,419,6514
POA2338,45,6,51,170,53,7,231,878,115,1217
POA2339,11,0,11,108,23,4,135,375,94,598
POA2340,1063,217,1292,8080,2833,382,11296,27046,3194,41533
POA2341,38,5,45,180,75,5,266,863,104,1233
POA2342,6,0,6,93,22,3,122,216,35,374
POA2343,105,27,128,624,221,37,890,2582,504,3983
POA2344,4,0,6,94,50,10,155,392,24,572
POA2345,4,0,10,125,45,4,173,365,35,575
POA2346,72,7,79,377,145,12,524,1757,256,2546
POA2347,58,10,73,235,99,14,352,1069,157,1582
POA2350,508,115,628,3706,1253,155,5116,14807,2165,22094
POA2352,36,0,39,520,157,22,694,1506,123,2325
POA2353,65,5,68,184,75,9,263,677,77,1014
POA2354,73,11,86,465,180,27,673,1915,317,2906
POA2355,22,5,17,89,44,4,133,350,48,534
POA2356,0,0,0,6,3,0,11,81,19,105
POA2357,141,54,196,461,210,20,688,2141,555,3384
POA2358,75,13,87,539,209,34,785,2058,222,3069
POA2359,12,4,13,90,30,0,122,369,84,581
POA2360,348,65,411,2052,881,130,3056,7840,1171,12065
POA2361,25,0,24,89,29,9,125,580,79,783
POA2365,74,27,105,490,165,17,678,1981,411,3067
POA2369,19,0,20,103,56,0,161,486,70,722
POA2370,197,63,265,913,335,28,1278,4439,819,6535
POA2371,33,8,37,110,40,0,153,757,130,1037
POA2372,150,19,166,541,186,22,746,3003,362,4105
POA2379,3,0,8,47,8,3,62,142,36,241
POA2380,271,33,308,1766,632,96,2496,5296,810,8600
POA2381,20,4,21,198,45,9,246,662,133,1041
POA2382,35,11,48,189,55,3,249,712,164,1129
POA2386,5,0,7,32,20,0,47,146,49,244
POA2387,6,0,6,25,9,0,38,101,31,158
POA2388,44,5,53,355,114,15,481,1193,324,2007
POA2390,174,20,194,1252,479,52,1780,4407,648,6838
POA2395,7,0,7,72,20,0,98,436,92,619
POA2396,25,5,32,106,30,5,143,440,97,683
POA2397,4,0,4,33,9,5,42,154,33,229
POA2398,0,0,3,26,17,0,46,87,59,196
POA2399,3,0,3,68,22,4,91,293,113,500
POA2400,127,37,156,1190,460,59,1712,4455,1539,7697
POA2401,7,0,7,51,10,0,65,164,3,236
POA2402,52,7,58,193,99,6,301,1009,126,1439
POA2403,12,5,14,98,27,3,126,329,108,567
POA2404,89,0,96,160,80,9,240,1094,111,1447
POA2405,6,0,9,47,13,0,61,210,144,417
POA2406,4,7,11,95,18,5,122,359,91,569
POA2408,0,0,0,41,7,0,53,132,54,238
POA2409,7,4,9,88,46,9,149,439,247,834
POA2410,0,0,0,30,11,0,41,123,37,204
POA2411,0,0,0,17,7,5,24,41,15,84
POA2415,0,0,7,51,15,0,66,251,47,358
POA2420,117,9,125,546,240,25,814,2375,188,3381
POA2421,23,0,22,352,140,12,509,1049,91,1647
POA2422,203,22,222,616,262,25,907,3566,355,4833
POA2423,88,8,93,360,187,15,564,2009,270,2840
POA2424,4,0,6,50,16,7,74,292,49,412
POA2425,34,8,47,312,104,5,421,1058,172,1654
POA2426,9,3,11,115,55,8,176,472,53,702
POA2427,122,19,141,249,118,24,394,2629,163,3184
POA2428,1120,289,1416,2591,1150,107,3854,16455,1741,22044
POA2429,195,42,237,1289,516,64,1864,5600,612,8076
POA2430,1127,185,1319,4563,1924,230,6716,21417,2471,30602
POA2431,208,27,233,585,239,25,851,3742,310,4905
POA2439,88,7,99,500,220,25,750,2496,185,3427
POA2440,501,94,595,2772,1259,149,4187,12422,2494,19097
POA2441,52,6,56,580,254,35,872,2430,283,3581
POA2443,525,51,580,781,399,31,1206,6155,470,7832
POA2444,1757,407,2183,7300,2606,328,10240,30168,2512,42920
POA2445,136,8,145,1008,394,35,1438,4555,215,6201
POA2446,357,36,398,2235,908,116,3251,8191,710,12155
POA2447,227,28,255,1035,410,69,1511,4463,492,6462
POA2448,378,47,422,1012,483,57,1552,6055,663,8271
POA2449,25,3,33,270,120,16,403,1175,208,1790
POA2450,1099,297,1408,6945,2448,330,9720,26270,3026,39011
POA2452,463,78,544,2227,864,132,3225,8548,754,12526
POA2453,83,9,88,345,153,16,511,1654,197,2362
POA2454,163,32,196,1249,438,91,1782,4170,534,6477
POA2455,109,13,119,383,178,29,585,1938,214,2738
POA2456,326,52,379,2627,982,140,3748,9403,850,14003
POA2460,816,115,936,4034,1835,244,6111,16656,2994,25759
POA2462,55,3,62,292,171,15,479,1552,145,2168
POA2463,284,35,322,1054,483,39,1573,4974,459,7003
POA2464,281,24,310,793,298,31,1131,4589,426,6142
POA2465,5,0,5,42,22,9,71,183,20,281
POA2466,63,11,70,152,81,4,228,1264,112,1601
POA2469,57,14,75,407,180,26,605,2683,483,3771
POA2470,425,90,512,1987,802,101,2891,8388,1195,12469
POA2471,56,8,65,370,149,11,529,1484,316,2321
POA2472,24,4,28,308,106,5,419,1037,163,1620
POA2473,120,22,146,338,180,22,550,1957,252,2753
POA2474,131,56,186,776,320,50,1147,3712,548,5413
POA2475,11,0,14,32,8,0,46,269,34,351
POA2476,16,3,17,73,55,8,138,480,115,733
POA2477,421,52,478,1927,766,96,2788,7369,538,10696
POA2478,1131,215,1347,4711,1742,183,6638,18552,1751,26942
POA2479,81,10,89,964,284,29,1279,2902,466,4646
POA2480,958,134,1099,6627,2598,358,9590,25454,3059,38110
POA2481,172,30,204,1871,615,57,2549,7980,1221,11748
POA2482,116,12,133,1059,384,70,1513,3539,728,5781
POA2483,170,20,189,1820,588,97,2504,6310,922,9728
POA2484,422,174,603,2872,1100,123,4104,10821,1727,16651
POA2485,673,140,822,1736,716,72,2526,9725,1208,13453
POA2486,1448,198,1652,4604,1674,187,6461,19554,1693,27704
POA2487,374,44,419,2452,751,116,3318,8339,688,12347
POA2488,52,13,72,649,201,24,875,1713,215,2806
POA2489,198,49,244,1485,390,64,1940,3830,393,6170
POA2490,6,0,8,117,35,5,153,350,35,541
POA2500,847,200,1052,5388,1556,105,7044,28726,2375,38144
POA2502,387,28,422,1851,497,47,2398,7087,648,10130
POA2505,184,13,199,769,306,23,1091,2866,257,4216
POA2506,187,34,220,1093,382,37,1516,4369,430,6313
POA2508,80,57,142,2039,442,28,2505,4555,294,7355
POA2515,171,24,197,2358,588,28,2970,6140,315,9425
POA2516,99,5,107,1487,324,23,1832,3295,174,5304
POA2517,467,75,538,2609,631,53,3293,7533,463,11290
POA2518,560,103,670,3187,937,58,4189,11436,883,16509
POA2519,438,42,476,2838,770,56,3656,9942,694,14288
POA2525,269,59,322,2377,562,42,2980,6590,344,9916
POA2526,366,138,504,2949,857,63,3868,9032,685,13594
POA2527,396,130,526,4980,1407,159,6544,13159,878,20585
POA2528,550,141,694,3289,1213,111,4607,13712,1418,19737
POA2529,452,143,598,5124,1542,140,6812,15757,1094,23656
POA2530,716,61,781,6283,1802,166,8258,18744,1102,28108
POA2533,441,130,572,2604,1141,133,3879,9705,783,14365
POA2534,189,12,205,855,385,40,1276,3294,234,4804
POA2535,312,82,394,1013,432,51,1498,4913,472,6881
POA2536,623,52,675,2121,999,113,3229,11989,1293,16506
POA2537,397,53,449,1436,714,90,2240,8102,894,11243
POA2538,130,9,144,323,166,23,511,1521,163,2190
POA2539,555,70,631,2616,1136,104,3861,12358,1085,17304
POA2540,1198,172,1377,6183,2723,309,9221,28333,3390,40949
POA2541,855,72,932,4094,1445,204,5741,15216,1726,22680
POA2545,10,0,12,104,75,3,187,705,100,990
POA2546,375,63,447,1066,451,41,1564,6487,751,8795
POA2548,281,53,337,956,415,54,1426,5509,435,7372
POA2549,119,5,133,620,245,26,898,2326,207,3425
POA2550,295,93,390,2345,992,142,3479,9518,1146,14145
POA2551,98,40,140,400,218,24,647,2166,313,3131
POA2555,6,0,6,21,7,0,30,90,22,134
POA2556,32,10,42,309,103,0,417,1428,193,2042
POA2557,94,10,105,4785,573,55,5415,8745,619,14778
POA2558,64,8,76,1854,425,36,2320,6075,422,8810
POA2559,14,0,11,539,74,6,614,1186,284,2083
POA2560,812,166,973,14112,2949,308,17368,43356,4361,65085
POA2563,7,0,7,38,19,3,57,140,22,226
POA2564,103,23,126,2361,450,44,2851,7240,875,10966
POA2565,257,20,275,6479,942,111,7529,15330,1293,24155
POA2566,160,37,202,5089,969,98,6154,14008,1341,21499
POA2567,214,28,242,8701,1514,182,10389,19839,1042,31271
POA2568,51,67,121,144,52,0,206,687,182,1074
POA2569,18,0,18,249,80,6,329,746,44,1120
POA2570,801,147,951,14080,2293,310,16684,28947,2238,47868
POA2571,88,8,96,2671,579,77,3329,6329,529,10184
POA2572,93,88,178,970,230,16,1215,2847,356,4416
POA2573,80,11,91,1099,210,41,1350,2890,197,4435
POA2574,78,7,91,992,278,40,1311,3211,224,4749
POA2575,362,28,395,3070,907,104,4074,9713,669,14459
POA2576,681,170,859,1849,644,66,2566,8939,670,12174
POA2577,280,85,369,2477,856,88,3417,9546,934,13902
POA2578,104,22,129,328,134,13,470,1924,121,2519
POA2579,53,19,67,731,222,26,980,2488,300,3774
POA2580,753,80,834,4597,1817,203,6619,17244,2190,26053
POA2581,29,4,30,474,111,14,603,1208,169,1977
POA2582,260,39,305,2345,812,102,3261,7130,609,11000
POA2583,139,21,166,588,276,21,883,2702,319,3904
POA2584,9,0,11,82,29,3,113,286,42,440
POA2585,5,0,5,22,6,0,30,131,33,198
POA2586,65,14,81,350,143,11,502,1575,295,2366
POA2587,68,5,72,391,160,15,572,1650,204,2422
POA2588,6,3,7,38,9,3,48,185,22,249
POA2590,250,28,275,898,453,40,1395,4155,430,5981
POA2594,328,32,357,1824,608,82,2507,6472,726,9709
POA2619,54,0,55,1948,517,87,2551,4760,197,7509
POA2620,511,72,596,7903,2465,288,10663,23683,2627,36975
POA2621,54,4,57,1304,370,45,1720,3289,241,5248
POA2622,77,12,85,571,212,26,810,2350,295,3457
POA2623,6,3,7,85,29,0,119,338,27,489
POA2624,0,0,0,26,7,0,28,88,23,142
POA2625,3,0,5,40,9,0,50,194,119,363
POA2626,9,0,4,66,23,3,100,288,34,420
POA2627,40,3,43,805,203,35,1045,3099,262,4407
POA2628,39,3,44,372,105,11,489,1163,143,1793
POA2629,13,3,18,42,22,4,59,331,78,475
POA2630,252,35,284,1210,439,38,1685,4998,752,7432
POA2631,3,3,10,83,31,3,116,348,63,527
POA2632,49,0,52,256,105,10,371,1062,130,1564
POA2633,9,0,18,32,18,0,50,203,15,276
POA2640,904,108,1009,6426,2366,288,9086,21352,1876,32307
POA2641,335,44,385,2434,988,130,3547,8994,953,13496
POA2642,60,5,70,872,335,38,1247,2565,447,4258
POA2643,90,6,99,410,155,23,584,1772,139,2501
POA2644,61,4,64,331,104,10,448,1389,197,2032
POA2645,18,0,18,34,14,3,56,230,20,310
POA2646,225,36,265,859,414,32,1308,3998,476,5783
POA2647,65,19,79,315,150,14,478,1459,220,2158
POA2648,66,9,78,304,127,11,439,1430,393,2262
POA2649,0,0,0,11,0,0,11,13,0,22
POA2650,1281,229,1524,9964,3616,457,14030,31919,3013,48965
POA2651,13,0,13,525,115,19,661,1464,299,2422
POA2652,69,14,81,786,300,24,1113,2294,354,3760
POA2653,65,12,80,325,145,17,484,1374,330,2188
POA2655,43,4,49,234,84,12,328,691,68,1088
POA2656,61,4,61,181,90,4,278,730,71,1073
POA2658,46,7,55,195,80,8,289,817,118,1219
POA2659,15,0,17,91,48,7,153,474,82,710
POA2660,33,0,37,252,108,14,373,805,95,1268
POA2661,0,0,0,60,0,0,61,248,7,321
POA2663,92,12,102,644,245,25,914,2457,1066,4436
POA2665,53,4,63,290,123,19,429,1080,121,1627
POA2666,206,26,231,756,343,26,1132,3212,275,4610
POA2668,4,0,7,58,12,0,67,219,32,325
POA2669,24,0,26,233,78,7,312,742,158,1217
POA2671,125,23,149,603,259,30,897,1995,300,3190
POA2672,40,7,44,205,92,8,304,739,146,1186
POA2675,38,4,44,239,75,3,320,849,178,1344
POA2678,0,0,0,0,10,0,10,416,7,433
POA2680,513,151,667,3772,1372,133,5281,13230,1906,20420
POA2681,17,0,20,288,93,12,392,941,111,1451
POA2700,158,13,168,665,268,31,966,2546,388,3899
POA2701,77,16,93,399,165,19,584,1261,133,1981
POA2702,14,0,17,112,55,6,165,437,44,644
