POA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA2019,99,188,291,562,619,1178,5,6,14,35,36,66,0,0,0,2171,2372,4546,0,0,3,331,333,662,11,14,31,20,24,40,9,3,16,19,13,30,33,36,68,50,64,111,69,86,158,0,4,0,7,3,6,61,67,123,153,164,321,3,6,4,3528,3849,7377,56,66,128,125,111,232,178,189,365,0,0,0,8,8,10,11,7,19,24,15,31,2121,1914,4040,24,15,41,9,18,21,2158,1943,4097,481,457,940,6647,6816,13467
POA2020,804,1022,1829,403,371,780,9,11,14,89,107,199,0,0,4,2474,2591,5067,0,0,0,466,491,960,16,20,31,30,19,46,6,8,16,38,29,69,52,50,98,120,152,267,161,167,327,0,0,0,8,11,18,100,107,207,329,375,701,7,4,11,4295,4514,8813,384,345,728,523,420,944,70,56,126,0,0,0,27,23,51,36,38,73,63,61,125,4058,3426,7490,40,26,62,15,8,23,4117,3461,7576,802,663,1458,11057,10539,21591
POA2021,76,134,211,768,956,1727,0,0,0,8,22,28,0,0,0,1317,1649,2963,0,0,0,196,206,399,8,6,17,0,4,8,12,9,18,0,6,4,28,19,45,19,22,42,97,99,196,5,0,5,0,9,5,66,68,137,71,88,165,0,0,6,2601,3163,5756,34,39,73,43,26,66,214,228,440,0,0,0,4,6,4,10,17,26,12,23,32,3657,3602,7259,52,36,83,20,32,48,3721,3671,7393,462,499,962,7167,7776,14946
POA2022,81,156,239,447,534,982,0,0,0,13,28,44,0,0,0,1399,1460,2851,4,3,4,152,174,325,9,8,13,7,5,5,5,15,21,5,3,13,15,18,36,23,30,50,66,65,136,0,3,4,6,5,3,42,57,94,64,82,140,0,4,4,2248,2489,4732,54,54,111,44,30,73,678,831,1508,0,0,0,5,4,11,18,21,40,19,28,45,2822,2736,5553,25,27,51,3,17,20,2851,2773,5627,576,597,1170,6547,6959,13509
POA2023,36,72,111,465,560,1026,0,0,0,11,17,28,0,0,0,759,986,1744,0,0,0,184,191,373,3,7,4,0,0,0,5,4,9,8,5,9,4,7,13,17,18,33,59,58,123,0,0,0,0,6,9,38,39,79,63,73,137,0,0,0,1616,1964,3583,28,22,52,17,22,41,1230,1316,2543,0,0,0,7,4,12,13,33,47,20,39,57,1723,1719,3445,28,25,49,13,16,32,1767,1760,3525,344,332,675,5066,5529,10590
POA2024,42,70,110,545,610,1153,0,0,0,6,7,16,0,0,0,1241,1381,2625,0,0,0,125,182,308,9,9,9,0,0,3,18,13,31,0,0,3,14,13,32,20,22,44,37,47,84,0,0,0,0,0,6,46,62,109,40,56,100,5,7,6,2109,2416,4525,17,19,40,20,17,40,251,265,517,0,0,0,0,0,0,13,10,22,11,10,24,2489,2599,5094,38,28,71,5,33,37,2534,2662,5200,426,492,919,5421,5961,11380
POA2025,39,60,104,441,607,1044,0,0,0,3,7,12,0,0,0,594,777,1375,0,0,0,58,94,152,0,4,4,0,0,0,8,7,16,0,6,6,7,3,10,7,7,12,42,47,89,0,0,0,3,5,5,28,51,80,31,39,72,3,6,6,1224,1654,2879,29,28,53,17,16,31,257,303,553,0,0,0,0,0,4,6,10,19,7,11,22,1391,1571,2967,18,21,37,6,12,17,1415,1602,3013,236,297,527,3220,3966,7189
POA2026,135,226,362,940,1014,1954,0,0,3,35,45,73,0,0,0,2755,3054,5812,0,0,5,302,393,696,11,10,24,11,4,15,13,35,51,10,13,18,37,45,76,31,41,68,103,107,208,0,0,0,3,4,13,74,85,167,127,190,314,0,4,8,4458,5050,9511,60,69,132,75,66,137,2158,2276,4441,3,0,5,7,9,16,31,37,67,41,47,84,7597,7515,15110,76,57,130,39,85,124,7712,7657,15364,1352,1312,2667,15997,16699,32693
POA2027,47,75,123,522,635,1155,0,0,0,9,10,18,0,0,0,617,893,1511,3,0,0,99,136,240,0,4,0,0,0,0,15,17,25,0,4,4,9,6,13,4,8,14,69,58,126,0,0,0,3,6,11,39,43,75,30,36,71,4,3,10,1422,1857,3279,25,22,47,16,37,56,343,398,748,0,0,0,3,0,6,10,12,23,14,13,28,1389,1460,2851,10,10,21,4,12,23,1408,1482,2890,303,342,642,3580,4230,7810
POA2028,27,46,72,236,346,587,6,6,7,4,7,12,0,0,0,383,538,920,0,0,0,59,63,131,3,5,7,0,0,0,0,8,8,3,0,4,4,9,8,9,4,8,29,23,61,0,0,0,0,0,4,17,33,53,18,31,49,0,0,0,769,1079,1850,11,6,16,9,14,22,294,355,653,0,0,0,0,0,0,4,5,8,8,3,14,839,917,1760,10,6,19,4,9,9,858,932,1789,141,157,301,2114,2598,4709
POA2029,27,78,108,344,424,766,0,0,0,3,9,11,0,0,0,752,959,1707,0,0,0,122,190,322,9,5,10,0,0,3,7,7,20,4,4,3,8,3,14,12,5,18,62,54,110,0,0,0,0,3,5,27,31,57,47,51,99,0,0,0,1403,1749,3160,21,42,61,25,22,51,1364,1512,2875,0,0,0,0,4,4,10,12,17,10,12,21,1382,1421,2803,9,7,14,5,19,27,1401,1449,2850,357,432,792,4610,5297,9911
POA2030,79,100,179,573,658,1232,0,0,0,19,28,52,0,0,0,1089,1286,2373,0,0,0,382,445,824,6,13,14,0,0,0,10,22,29,6,8,16,13,11,21,4,11,16,58,63,121,4,0,4,0,3,3,40,42,83,63,79,142,5,5,7,2271,2666,4945,35,39,71,39,49,91,2162,2238,4397,0,0,0,3,8,11,10,12,20,12,17,29,1856,1834,3688,26,11,40,6,13,17,1891,1854,3744,494,484,975,6990,7450,14434
POA2031,196,350,552,1203,1605,2808,4,6,11,49,64,114,0,0,0,3922,4682,8604,0,0,0,475,568,1040,13,27,46,0,3,10,32,44,78,18,20,33,51,42,90,50,68,120,178,198,373,0,4,10,0,8,6,116,130,242,176,216,395,9,8,17,6298,7692,13993,176,150,321,174,128,299,817,867,1690,0,0,0,15,14,24,41,50,94,49,65,114,7025,7247,14272,82,54,134,22,62,90,7129,7368,14494,1168,1192,2362,16017,17814,33830
POA2032,313,351,661,390,446,839,8,3,10,42,43,91,0,0,6,1567,1717,3275,3,3,3,595,674,1267,16,20,40,0,0,0,17,8,23,15,16,25,29,32,62,35,54,83,120,114,234,0,4,4,6,5,7,51,57,106,143,167,310,0,3,8,3042,3372,6409,255,171,419,287,220,506,237,251,492,0,0,3,3,4,12,9,12,26,18,23,35,2634,2351,4985,35,16,58,11,15,19,2679,2384,5065,551,497,1050,7381,7263,14643
POA2033,196,310,504,345,403,753,0,0,0,32,39,74,0,0,0,1242,1247,2494,6,4,6,376,419,796,6,5,10,4,3,6,5,5,11,18,23,45,22,18,43,38,57,92,77,91,162,7,4,8,0,4,7,41,46,88,103,117,220,0,4,4,2330,2493,4824,187,159,353,156,156,315,172,216,387,0,0,0,7,10,17,19,20,43,30,29,56,2378,2156,4529,41,20,60,9,12,17,2424,2183,4608,474,409,885,5974,5954,11927
POA2034,86,138,226,707,861,1572,8,10,25,21,36,53,0,0,0,2397,2906,5301,0,0,0,418,506,924,9,12,19,8,0,13,12,15,30,17,18,33,15,24,43,27,53,75,92,99,194,3,3,9,3,6,3,72,80,153,100,129,234,0,0,3,3909,4766,8679,59,60,121,64,65,132,338,372,709,0,4,4,0,3,7,13,24,36,14,32,46,4250,4562,8806,48,38,89,17,27,47,4311,4633,8943,682,719,1397,9469,10779,20249
POA2035,330,557,882,1098,1419,2521,20,19,36,105,136,240,0,0,0,4759,5100,9864,4,3,9,1376,1559,2932,28,42,70,16,16,26,27,36,55,47,56,110,37,66,101,104,138,241,229,242,472,4,9,14,7,14,23,109,143,253,266,348,613,0,3,3,8232,9345,17578,141,146,285,207,225,434,846,938,1788,3,3,8,13,22,38,46,71,114,65,95,152,5727,5397,11128,56,51,107,26,34,60,5811,5488,11295,1122,1068,2185,16740,17862,34602
POA2036,286,417,703,1316,1545,2859,84,86,169,100,132,237,4,5,7,5229,5740,10964,5,6,7,777,882,1660,24,37,55,27,19,48,22,33,56,47,58,103,48,68,112,97,112,208,180,209,388,3,0,5,18,22,38,110,139,249,278,343,627,9,7,10,8363,9436,17803,224,168,392,496,434,930,400,419,817,4,5,6,30,30,60,42,57,96,74,88,162,4951,4478,9429,36,35,73,23,41,60,5013,4552,9562,2218,1176,3398,17072,16699,33767
POA2037,232,385,615,475,610,1088,0,0,0,34,42,74,0,0,0,1175,1330,2508,0,0,0,144,157,301,12,15,22,3,12,16,15,21,28,7,17,21,16,23,41,26,42,67,59,69,128,0,0,5,9,13,18,86,95,181,91,146,239,10,10,13,2155,2600,4757,117,114,235,110,108,212,55,49,103,7,3,14,16,11,25,52,59,115,76,78,153,4520,4552,9071,56,63,117,18,40,59,4598,4649,9244,689,632,1318,8024,8623,16641
POA2038,76,91,164,324,384,710,0,0,0,12,15,19,0,0,0,814,963,1774,0,0,3,104,126,234,4,8,13,0,0,0,7,18,23,13,11,18,7,14,19,9,13,25,55,56,112,5,9,8,3,0,0,42,63,108,50,55,104,3,4,8,1456,1723,3178,23,30,54,44,39,77,40,37,74,0,0,4,9,0,16,20,21,44,29,30,60,2449,2595,5046,29,40,68,9,28,40,2485,2662,5152,388,344,731,4535,4956,9487
POA2039,55,87,142,318,443,761,0,0,0,14,19,33,0,0,0,863,1002,1868,3,0,3,91,79,170,0,0,4,0,0,0,10,9,19,5,6,11,6,11,18,7,7,20,56,56,114,0,0,0,0,4,4,40,51,89,30,54,86,0,3,6,1444,1761,3212,44,23,65,23,17,46,19,28,52,0,0,0,7,8,13,10,11,21,13,22,35,2228,2302,4534,27,28,51,7,20,22,2261,2349,4610,211,182,391,4082,4472,8553
POA2040,160,286,441,709,867,1579,6,0,3,53,58,110,0,0,0,2475,2962,5440,0,0,0,320,386,706,28,28,53,7,10,10,20,26,46,23,18,41,25,46,71,46,45,91,109,138,250,4,4,7,9,8,20,109,152,262,119,144,262,11,4,12,4057,4901,8959,79,88,162,89,72,164,50,58,106,0,3,0,4,11,17,42,51,92,47,62,110,5682,5718,11403,81,72,154,18,31,48,5779,5822,11602,612,634,1248,10881,11923,22803
POA2041,59,137,197,755,861,1612,0,0,0,16,29,46,0,0,0,1491,1726,3218,0,0,0,152,151,302,0,5,4,0,9,5,17,33,50,21,18,37,19,14,32,11,29,37,107,157,259,10,8,13,0,0,0,94,109,195,56,92,148,0,9,8,2759,3239,5992,46,46,100,30,29,62,58,52,114,0,0,0,0,6,6,22,20,44,22,22,44,4021,4055,8079,49,48,89,12,23,29,4083,4120,8201,463,412,874,7519,8058,15584
POA2042,235,280,513,431,502,928,0,0,0,37,26,58,0,0,0,1010,988,1997,0,0,0,231,278,510,3,5,9,7,7,10,9,14,20,11,3,16,24,18,41,19,20,41,55,41,91,0,0,4,0,4,3,47,66,119,83,103,188,10,4,16,1977,2077,4053,75,67,138,116,74,194,74,102,179,4,4,10,3,3,6,57,68,125,67,71,137,6146,5812,11957,120,82,205,28,43,70,6293,5941,12231,694,535,1229,9524,9146,18673
POA2043,100,140,240,213,207,416,0,0,0,15,23,34,0,0,0,579,625,1209,0,0,0,72,77,150,0,5,3,0,0,0,12,17,24,9,4,14,7,5,14,16,18,33,25,39,66,5,3,7,6,6,9,27,36,62,43,61,109,0,3,3,1030,1123,2147,38,40,73,49,33,74,45,35,80,0,0,4,0,0,0,15,23,36,20,23,43,3341,3019,6355,53,38,97,6,25,30,3406,3075,6480,289,220,510,4963,4694,9657
POA2044,156,202,356,179,170,349,0,0,5,14,14,32,0,0,0,663,671,1337,6,4,3,240,228,469,5,0,9,0,5,4,0,0,0,0,0,4,13,15,25,11,8,21,36,38,74,0,0,0,4,6,9,32,34,70,74,81,159,4,0,4,1280,1296,2576,68,66,132,80,62,140,31,20,47,0,0,0,4,0,4,28,20,44,26,17,50,2331,2116,4444,40,39,72,9,7,21,2379,2163,4535,243,196,439,4258,4025,8278
POA2045,31,45,75,213,217,426,0,0,0,9,19,29,0,0,0,1400,1461,2857,0,0,0,115,138,255,10,16,25,0,0,0,0,8,8,0,4,4,0,0,12,4,6,13,29,36,66,0,0,0,0,0,0,38,49,92,45,31,76,0,0,0,1875,1989,3862,23,21,43,27,16,45,15,9,23,0,0,0,0,0,0,9,8,19,9,8,19,1071,1034,2104,12,21,37,4,4,10,1091,1064,2151,135,122,255,3208,3269,6480
POA2046,244,399,641,851,1069,1920,8,21,30,78,71,149,0,4,4,5152,5895,11046,6,3,6,690,770,1459,25,44,68,12,17,26,21,23,40,84,91,173,28,31,58,61,70,137,191,268,455,0,8,9,6,10,16,125,155,287,195,232,434,3,8,17,7531,8789,16317,120,155,278,147,177,327,34,48,79,0,0,0,4,9,18,43,53,95,54,60,117,4053,3881,7936,38,43,86,19,36,55,4110,3962,8072,688,770,1459,12924,14360,27288
POA2047,56,133,194,485,608,1095,0,3,4,21,33,59,0,0,0,1762,2044,3805,0,5,5,319,339,662,8,14,21,0,5,7,16,13,30,33,35,73,10,19,27,20,28,47,118,144,259,0,0,0,4,0,4,70,111,181,74,90,160,4,3,7,2949,3493,6445,76,88,167,94,85,184,16,27,41,0,0,0,7,9,15,19,21,39,26,30,53,2101,2037,4138,33,44,72,13,23,29,2138,2098,4237,303,383,686,5673,6336,12011
POA2048,62,107,164,205,248,455,0,0,0,17,12,30,0,0,0,678,765,1440,0,0,0,158,189,350,0,5,4,3,4,5,10,7,14,0,0,0,7,6,19,6,9,13,33,36,67,6,0,6,0,4,4,34,34,68,44,49,94,3,0,3,1202,1370,2579,44,40,83,38,33,69,12,11,28,0,0,0,0,0,3,18,21,40,16,22,42,2092,2020,4113,33,42,68,8,11,16,2130,2071,4200,256,193,450,3764,3849,7619
POA2049,120,184,308,287,353,644,0,0,0,41,37,70,0,0,0,1075,1187,2262,0,0,0,199,228,426,9,11,18,0,0,6,13,5,16,3,4,4,11,11,29,7,22,24,34,46,80,5,0,4,3,4,11,51,63,106,66,85,154,3,0,5,1802,2063,3857,57,53,107,60,46,106,23,46,69,6,3,14,5,5,10,21,31,50,35,39,71,3321,3376,6699,59,62,116,15,24,38,3396,3456,6857,474,406,882,5971,6286,12258
POA2050,109,140,247,277,302,584,0,0,4,27,27,49,0,0,0,630,750,1375,4,0,4,52,62,116,0,0,3,0,3,5,6,9,20,3,3,3,6,10,22,8,15,16,37,39,75,0,0,0,5,0,3,23,46,76,53,64,115,5,0,3,1146,1325,2472,63,55,117,47,52,102,28,36,61,0,3,3,6,13,20,20,10,30,29,23,51,2844,2607,5446,53,54,110,9,19,34,2906,2682,5590,433,316,746,4758,4626,9381
POA2060,149,279,437,674,773,1445,0,0,0,35,49,82,0,0,0,1340,1675,3015,0,3,3,79,94,171,0,6,12,0,9,6,18,16,33,4,15,20,28,39,63,28,35,61,110,119,230,0,4,3,0,0,0,114,133,249,114,147,264,3,3,6,2549,3114,5667,284,253,535,94,81,177,49,50,94,0,0,3,18,11,35,22,38,63,49,53,98,3491,3368,6856,48,44,92,23,28,45,3561,3439,6998,572,563,1131,7302,7831,15135
POA2061,64,109,178,296,343,642,0,0,0,19,25,42,0,0,0,557,718,1281,3,0,3,45,49,95,0,0,5,5,0,6,4,16,22,5,7,14,14,4,25,15,29,48,55,58,112,0,4,4,3,0,6,35,58,93,48,64,111,4,6,8,1114,1389,2500,92,93,179,39,36,76,20,28,51,0,0,0,6,9,13,9,8,22,16,22,36,1224,1237,2463,8,16,21,0,6,13,1241,1258,2495,294,347,645,2879,3272,6158
POA2062,43,90,135,432,450,887,0,0,0,16,20,41,0,0,0,732,931,1660,3,3,3,38,51,89,0,0,7,0,0,0,11,11,25,8,10,21,7,16,20,11,19,29,47,45,97,0,0,0,0,4,3,57,73,128,40,60,100,0,3,3,1413,1696,3112,67,70,136,17,19,41,41,43,89,0,0,0,6,10,20,12,13,26,22,22,44,1560,1599,3156,12,10,27,6,9,13,1582,1614,3196,178,167,345,3362,3726,7088
POA2063,64,88,148,481,530,1012,3,0,9,20,18,44,0,0,0,784,884,1667,0,0,0,100,106,197,6,4,6,0,0,0,7,8,16,14,30,47,14,4,14,12,14,32,43,43,84,0,0,0,0,0,0,52,69,123,43,46,90,0,0,0,1579,1774,3350,31,21,51,9,15,24,46,55,99,0,0,0,7,3,9,5,15,22,11,17,27,1242,1184,2430,8,11,22,4,4,3,1253,1196,2458,151,186,336,3143,3356,6493
POA2064,171,292,459,408,420,828,3,3,3,39,48,85,0,0,0,696,792,1490,0,0,0,26,35,57,0,0,0,0,6,3,4,5,12,14,12,30,23,22,43,19,40,61,74,80,154,0,0,0,0,0,0,62,95,160,85,90,177,4,0,9,1463,1642,3100,418,410,826,130,118,249,36,40,74,0,0,0,18,18,37,26,28,55,46,48,87,2080,1911,3990,24,15,42,8,11,24,2114,1936,4058,292,272,558,4666,4750,9417
POA2065,385,638,1019,1367,1634,2998,5,9,13,110,132,238,0,0,0,2736,3389,6127,6,12,13,167,223,388,14,7,24,13,3,13,27,34,61,37,43,81,51,45,103,49,85,134,213,249,459,6,8,6,5,20,24,185,263,451,235,331,569,9,15,23,5234,6493,11722,557,540,1098,169,152,322,140,158,306,0,0,0,39,32,77,65,59,129,106,99,205,7630,7403,15033,102,84,185,23,42,68,7748,7535,15280,826,912,1746,15174,16520,31698
