POA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA2045,43,5,0,0,0,48,0,0,0,0,0,0,4,0,0,0,0,4,10,0,0,0,0,11,6,0,0,0,0,6,30,3,4,0,0,36,24,0,4,0,0,27,51,11,4,0,0,60,36,11,5,0,0,50,71,21,4,0,0,93,268,36,4,0,0,309,27,3,0,5,0,38,576,87,27,0,0,692
POA2046,98,23,49,3,0,172,17,5,11,0,0,35,14,4,8,0,0,24,28,3,16,0,0,50,40,4,17,0,0,57,75,22,79,0,0,174,68,26,79,0,0,185,147,42,151,0,0,343,85,46,176,7,0,314,263,79,214,7,0,559,742,123,160,3,0,1031,134,28,61,0,0,212,1714,409,1017,20,0,3164
POA2047,35,9,31,0,0,76,0,0,12,0,0,13,5,0,5,0,0,9,3,0,12,0,0,15,9,6,6,0,0,20,18,3,34,0,0,53,40,4,41,0,0,90,46,23,65,0,0,139,40,20,77,0,0,141,67,37,145,0,0,249,285,77,135,4,0,503,45,11,31,0,0,91,593,200,594,11,5,1398
POA2048,10,34,7,0,0,56,0,7,0,0,0,13,0,5,0,0,0,9,0,7,5,0,0,12,0,10,4,0,0,12,8,23,17,0,0,53,9,25,17,3,0,54,18,41,64,0,0,124,6,43,44,0,0,97,37,71,32,0,0,136,83,213,19,0,0,312,18,14,8,0,0,42,206,490,223,4,0,919
POA2049,30,30,15,3,0,75,9,5,5,0,0,17,3,0,5,0,0,5,5,9,5,0,0,21,9,5,16,0,0,33,26,22,33,0,0,89,24,19,50,3,0,99,33,50,129,4,0,216,46,39,106,0,0,200,73,114,96,0,0,288,179,163,54,0,0,404,19,20,25,0,0,70,467,488,539,11,4,1501
POA2050,3,17,18,0,0,36,0,0,0,0,0,8,0,0,4,0,0,10,0,3,6,0,0,9,0,4,5,0,0,13,0,10,41,0,0,52,0,10,49,0,0,59,3,26,117,0,0,151,4,23,112,0,0,138,10,71,113,0,0,191,29,106,78,0,0,214,0,18,33,0,0,54,46,285,596,3,0,931
POA2060,11,14,40,0,0,62,3,4,5,0,0,13,0,4,8,0,0,13,4,3,5,0,0,15,0,5,14,0,0,20,15,7,45,0,0,69,6,6,73,0,0,87,14,30,117,0,0,161,6,12,106,0,0,126,16,37,115,0,0,161,96,132,181,0,0,411,12,15,38,0,0,72,189,267,761,0,0,1213
POA2061,3,6,19,0,0,35,6,0,0,0,0,0,0,0,4,0,0,3,0,0,5,0,0,5,0,0,7,0,0,7,0,0,18,0,0,18,3,0,18,0,0,18,0,0,43,0,0,42,0,0,34,0,0,35,0,0,37,0,0,40,7,12,112,0,0,135,0,0,24,0,0,27,18,25,329,0,0,378
POA2062,27,9,23,0,0,61,0,3,3,0,0,9,0,0,4,0,0,4,4,3,8,0,0,13,3,0,7,0,0,10,16,12,25,0,0,54,10,6,29,0,0,40,13,8,70,0,0,97,12,19,51,0,0,81,31,27,87,0,0,138,153,61,92,0,0,300,19,12,15,0,0,40,293,145,418,0,0,860
POA2063,41,0,0,0,0,48,0,0,0,0,0,8,6,0,0,0,0,9,4,0,0,0,0,4,8,0,0,0,0,13,18,0,5,0,0,25,13,0,3,0,0,19,39,5,5,0,0,47,16,0,7,0,0,25,41,4,14,0,0,60,322,20,19,0,0,361,37,0,7,0,0,42,548,35,63,0,0,644
POA2064,19,12,30,0,0,54,6,0,4,0,0,10,0,0,9,0,0,6,0,0,7,0,0,12,0,0,14,0,0,15,14,8,35,0,0,59,9,10,26,0,0,46,22,18,82,0,0,123,24,7,75,0,0,110,36,17,96,0,0,155,135,29,42,0,0,210,16,4,25,0,0,46,283,112,442,0,0,830
POA2065,79,42,87,0,0,208,0,3,9,0,0,21,3,6,17,0,0,23,11,3,23,0,0,43,11,3,27,0,0,48,29,23,114,0,0,175,22,33,140,0,0,193,79,62,337,0,0,475,62,39,285,0,0,391,104,87,396,0,0,599,440,241,387,0,0,1068,64,24,89,0,4,180,907,571,1925,0,7,3410
POA2066,150,9,61,0,0,220,22,4,29,0,0,48,18,3,5,0,0,26,19,3,17,0,0,38,23,6,27,0,0,57,69,8,124,0,0,206,58,11,186,0,0,253,178,34,480,0,0,690,119,22,458,0,0,595,283,51,400,0,0,736,1087,113,223,0,0,1417,142,19,107,0,0,264,2161,275,2119,0,0,4552
POA2067,83,14,71,0,0,172,8,0,8,0,0,18,9,4,7,0,0,12,11,0,12,0,0,25,18,0,27,0,0,49,47,7,64,0,0,122,55,5,72,0,0,130,77,10,159,0,0,248,64,12,119,0,0,189,123,18,158,0,0,303,468,56,150,0,0,673,61,6,81,0,0,152,1031,138,928,0,0,2092
POA2068,96,9,10,0,0,114,17,0,7,0,0,24,16,0,0,0,0,16,18,5,3,0,0,28,27,0,5,0,0,31,57,7,19,0,0,87,51,7,23,0,0,76,115,20,49,0,0,175,74,18,43,0,0,145,193,20,60,0,4,275,801,106,31,0,0,942,110,10,14,0,0,135,1574,194,260,3,4,2036
POA2069,109,4,6,0,0,119,22,0,0,0,0,21,3,0,7,0,0,11,24,0,0,0,0,25,13,0,7,0,0,16,55,5,13,0,0,70,50,0,8,0,0,57,110,0,45,0,0,155,76,3,45,0,0,122,158,6,37,0,0,198,690,11,51,0,0,750,99,4,15,0,0,108,1401,33,231,0,0,1658
POA2070,90,0,18,0,0,110,12,0,9,0,0,22,8,0,4,0,0,15,15,0,7,0,0,23,19,0,0,0,0,24,40,0,24,0,0,62,43,4,27,0,0,64,85,4,73,0,0,161,58,0,59,0,0,119,135,4,76,0,0,215,611,12,82,0,0,702,77,5,21,0,0,109,1207,27,393,0,0,1631
POA2071,96,4,24,0,0,120,15,0,0,0,0,19,9,0,0,0,0,13,16,0,10,0,0,29,14,0,5,0,0,16,45,0,21,0,0,62,38,0,30,0,0,70,76,0,60,0,0,140,62,0,62,0,0,122,113,0,102,0,0,217,553,3,71,0,0,636,82,3,20,0,0,105,1117,8,411,0,0,1535
POA2072,32,0,10,0,0,53,4,0,0,0,0,4,3,0,3,0,0,9,6,0,3,0,0,7,10,0,9,0,0,18,29,0,15,5,0,49,17,5,28,0,0,48,34,4,74,15,0,132,18,3,70,7,0,100,59,0,91,11,0,161,251,16,58,5,0,323,41,3,26,0,0,69,506,39,384,45,0,978
POA2073,130,0,11,0,0,141,22,0,0,0,0,22,11,0,4,0,0,18,23,0,0,0,0,28,23,0,5,0,0,31,88,0,19,0,0,107,87,3,21,0,0,109,165,6,44,0,0,217,121,8,56,0,0,182,252,5,81,0,0,336,935,11,46,0,0,997,133,4,18,0,0,149,1986,30,309,0,0,2330
POA2074,131,11,7,0,0,149,25,0,0,0,0,25,21,0,5,0,0,28,19,0,6,0,0,27,35,7,8,0,0,45,123,5,17,0,0,145,112,4,17,0,0,134,208,11,80,0,0,299,172,7,73,0,0,259,381,20,75,0,0,472,1164,31,65,0,0,1255,142,11,30,0,0,183,2529,102,392,0,0,3023
POA2075,133,12,19,0,0,173,16,3,0,0,0,26,23,0,0,0,0,27,26,0,8,0,0,36,24,0,3,0,0,25,97,4,24,0,0,121,80,8,32,0,5,125,172,16,84,0,0,276,141,7,119,0,0,265,336,19,110,0,0,462,1179,44,38,0,0,1263,176,3,27,0,0,204,2400,117,472,0,4,2993
POA2076,149,11,21,0,0,181,25,0,0,0,0,30,24,4,6,0,0,36,23,0,4,0,0,34,37,5,4,0,0,46,127,7,20,0,0,159,124,7,14,0,0,143,271,26,65,0,0,368,237,19,45,0,0,304,472,47,36,0,0,561,1218,32,35,0,0,1284,206,4,16,0,0,224,2920,177,264,0,0,3364
POA2077,139,16,100,0,0,256,34,0,19,0,0,58,23,0,24,0,0,49,27,0,34,0,0,67,62,3,51,0,0,112,179,16,219,0,0,419,206,22,297,0,0,526,370,40,850,0,0,1266,317,57,501,0,0,880,589,60,248,0,0,902,647,30,118,0,0,800,161,12,122,0,0,291,2756,261,2593,3,0,5618
POA2079,49,3,3,0,0,56,8,0,0,0,0,8,14,0,0,0,0,19,13,0,0,0,0,14,13,0,3,0,0,12,61,0,6,0,0,73,82,4,25,0,0,110,172,9,63,0,0,249,142,8,35,0,0,188,224,16,21,0,0,257,222,0,4,0,0,225,59,5,8,0,0,67,1070,41,172,4,0,1289
POA2080,14,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,17,25,0,0,0,0,25,42,0,0,0,0,42,31,0,0,0,0,39,71,0,0,0,0,67,51,0,0,0,0,56,8,0,0,0,0,8,275,4,0,0,0,281
POA2081,33,0,0,0,0,31,13,0,0,0,0,13,9,0,0,0,0,8,16,0,0,0,0,16,19,0,0,0,0,19,55,4,0,0,0,62,66,0,0,0,0,67,127,3,0,0,0,136,117,9,0,0,0,124,183,9,0,0,0,196,146,0,0,0,0,146,49,0,0,0,0,47,833,33,0,0,0,866
POA2082,27,0,0,0,0,27,9,0,0,0,0,9,6,0,0,0,0,6,18,0,0,0,0,18,9,4,0,0,0,14,60,5,0,0,0,69,64,9,0,0,0,71,159,9,0,0,0,165,120,7,5,0,0,136,181,10,0,0,0,187,119,4,0,0,0,126,40,3,0,0,0,43,815,43,9,0,0,870
POA2083,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,7,6,0,0,0,0,6,23,0,0,0,0,25,30,0,0,0,0,30,38,0,0,0,0,42,32,0,0,0,0,36,43,0,0,0,0,42,30,0,0,0,0,31,19,0,0,0,0,19,249,0,4,0,0,255
POA2084,20,0,0,0,0,23,4,0,0,0,0,4,3,0,0,0,0,3,6,0,0,0,0,8,7,0,0,0,0,7,16,0,0,0,0,22,19,0,0,0,0,18,36,0,0,0,0,40,37,0,0,0,0,38,71,0,0,0,0,76,158,0,0,0,0,162,32,0,0,0,0,31,425,4,12,0,0,444
POA2085,64,7,3,0,0,76,10,0,0,0,0,12,17,0,0,0,0,18,18,0,0,0,0,18,26,0,0,0,0,25,58,5,0,0,0,66,89,9,0,0,0,94,141,9,3,0,0,154,128,4,6,0,0,132,305,16,0,0,0,318,546,24,3,0,0,573,87,0,3,0,0,92,1492,71,18,0,0,1582
POA2086,80,8,0,0,0,86,11,0,0,0,0,14,12,0,0,0,0,15,18,0,0,0,0,18,28,0,5,0,0,38,92,0,0,0,0,92,93,3,0,0,0,102,167,9,3,0,0,178,183,9,6,0,0,203,373,16,5,0,0,390,737,17,9,0,0,765,135,0,0,0,0,137,1946,67,28,0,0,2034
POA2087,72,5,0,0,0,79,19,0,0,0,0,19,12,0,0,0,0,12,12,0,0,0,0,12,35,0,0,0,0,36,77,3,5,0,0,89,78,4,0,0,0,87,144,7,3,0,0,163,134,3,4,0,0,139,277,14,3,0,0,293,589,10,6,0,0,607,83,5,0,0,0,89,1531,52,27,0,0,1616
