POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2646,1064,657,609,598,828,1072,1083,674,265,6841
POA2647,397,218,206,217,286,363,479,300,79,2557
POA2648,410,210,271,248,316,476,448,216,78,2671
POA2649,10,0,0,10,0,3,4,0,0,30
POA2650,12546,8161,8821,7491,6976,6908,5699,3387,1524,61511
POA2651,664,847,484,413,282,200,131,57,13,3081
POA2652,998,481,516,535,615,713,577,249,81,4757
POA2653,441,238,266,312,334,373,376,214,80,2636
POA2655,328,132,133,153,160,191,174,102,49,1416
POA2656,247,136,95,116,150,215,189,114,61,1327
POA2658,267,163,112,144,164,230,214,144,55,1488
POA2659,157,123,58,91,111,147,87,78,17,871
POA2660,339,181,108,191,187,197,237,135,37,1607
POA2661,79,150,115,44,15,0,3,0,0,395
POA2663,845,584,798,737,681,666,554,310,102,5281
POA2665,385,182,147,210,252,304,329,151,63,2017
POA2666,1029,605,497,515,659,837,781,503,231,5636
POA2668,84,38,20,35,76,68,54,21,7,404
POA2669,322,156,139,172,204,247,184,95,26,1539
POA2671,776,407,460,464,433,503,465,314,149,3969
POA2672,323,149,175,186,162,197,175,99,44,1511
POA2675,312,162,323,206,200,208,130,73,44,1659
POA2678,0,401,32,0,3,0,0,0,0,433
POA2680,4921,3019,3817,3216,3171,2985,2207,1331,667,25339
POA2681,343,263,211,187,260,239,167,104,20,1793
POA2700,978,494,476,525,569,692,587,393,168,4873
POA2701,512,279,267,267,288,302,293,179,93,2492
POA2702,150,88,66,73,112,110,113,72,17,793
POA2703,182,183,67,54,79,65,71,37,5,744
POA2705,2229,1339,1301,1202,1305,1374,987,666,279,10687
POA2706,156,125,135,109,138,176,127,55,10,1030
POA2707,217,122,127,142,148,187,130,58,40,1167
POA2710,1683,979,973,972,1193,1478,1342,801,323,9743
POA2711,516,338,355,292,384,579,372,273,90,3197
POA2712,207,131,110,122,153,215,229,137,70,1375
POA2713,463,251,241,257,332,422,404,265,113,2746
POA2714,409,193,207,253,281,413,679,372,116,2921
POA2715,259,126,150,133,186,224,171,88,43,1382
POA2716,167,74,119,82,106,160,159,90,30,988
POA2717,210,168,104,117,184,168,150,85,25,1205
POA2720,1630,905,883,979,1025,1200,1017,636,228,8501
POA2721,53,22,18,20,38,33,29,16,0,230
POA2722,641,384,357,371,400,482,450,243,89,3418
POA2725,54,26,21,26,53,60,70,32,5,347
POA2726,47,24,32,33,21,49,29,14,10,255
POA2727,76,45,24,46,41,44,40,13,0,348
POA2729,299,153,134,191,217,277,196,130,37,1622
POA2730,217,116,116,124,186,216,201,106,49,1335
POA2731,1275,653,668,746,877,1033,1232,748,219,7446
POA2732,264,123,162,134,206,355,321,201,106,1877
POA2733,115,48,70,59,58,102,85,41,18,598
POA2734,85,57,36,48,58,80,69,32,6,472
POA2735,76,47,39,38,52,60,57,22,8,408
POA2736,69,39,68,60,69,38,44,29,6,419
POA2737,180,97,128,88,93,107,106,27,8,822
POA2738,510,247,226,274,270,264,226,91,21,2132
POA2739,289,155,199,185,189,182,131,71,17,1414
POA2745,7345,4571,3960,4730,4534,3480,2176,850,203,31847
POA2747,12826,6704,9227,8874,6178,4649,3723,1704,530,54397
POA2748,250,275,169,157,270,298,190,144,40,1798
POA2749,3898,2289,2550,2324,2158,2011,1213,468,118,17029
POA2750,8759,6309,7465,6852,5880,5199,4845,2798,1099,49204
POA2752,1278,772,825,745,789,710,420,163,45,5747
POA2753,3017,2352,2445,1979,2334,2206,1683,1063,515,17587
POA2754,1335,798,962,840,867,723,794,549,189,7065
POA2756,7414,4655,4778,4491,4748,4529,2925,1421,358,35328
POA2757,151,112,103,77,120,118,99,59,22,850
POA2758,1578,1130,875,952,1419,1343,978,448,125,8848
POA2759,5382,3449,3781,3597,3271,3726,2353,693,179,26434
POA2760,8908,4616,5953,5867,4267,3518,2555,1429,514,37632
POA2761,7950,5067,4882,5176,4609,3891,2117,729,285,34702
POA2762,6042,2334,4245,5267,1908,1092,662,188,49,21780
POA2763,7588,3988,4922,6096,4057,3220,2281,800,243,33197
POA2765,11840,4675,8343,9345,4636,3178,2347,1002,245,45613
POA2766,3471,2205,2357,2450,2004,1853,1437,718,564,17047
POA2767,4687,3101,3285,3559,3044,2731,2014,750,220,23384
POA2768,5971,4173,3235,5248,4435,2984,1899,775,145,28864
POA2769,4798,1666,1523,4078,2001,905,786,409,142,16315
POA2770,14823,8777,8632,7909,7325,6462,4720,2361,493,61494
POA2773,1106,746,436,691,908,868,720,378,115,5978
POA2774,2687,1482,1358,1825,1715,1561,1495,730,157,13010
POA2775,164,112,111,156,274,317,225,133,21,1518
POA2776,874,447,412,580,581,558,448,198,53,4156
POA2777,3304,2003,1603,2176,2497,2345,2139,1165,581,17816
POA2778,395,284,249,277,362,411,318,104,32,2425
POA2779,999,581,516,693,735,658,569,271,59,5077
POA2780,1730,1187,1225,1517,1938,2094,2224,1070,354,13348
POA2782,1075,537,471,692,821,946,1090,568,229,6428
POA2783,436,292,254,336,377,467,323,127,40,2651
POA2784,218,136,121,164,201,216,156,73,9,1300
POA2785,668,310,376,514,665,882,837,463,111,4822
POA2786,153,92,104,121,165,205,207,110,18,1178
POA2787,770,429,463,494,574,679,722,371,103,4605
POA2790,2432,1573,1722,1584,1942,2325,2121,1311,438,15452
POA2791,52,19,21,24,50,65,49,28,12,322
POA2792,53,36,50,30,58,69,40,28,14,386
POA2793,149,73,91,87,127,200,223,111,11,1074
POA2794,1839,1166,1102,1012,1259,1404,1437,898,387,10504
POA2795,8448,5924,5817,5278,5642,5562,4701,2637,1061,45077
POA2797,95,27,35,59,62,67,55,36,9,434
POA2798,488,209,160,262,343,308,281,118,24,2193
POA2799,859,480,506,422,480,604,460,249,100,4156
POA2800,10394,5649,6272,6036,5876,5457,4753,2737,1103,48283
POA2803,41,21,23,26,40,56,46,38,3,286
POA2804,489,297,238,264,359,427,401,272,83,2832
POA2805,70,45,31,49,57,56,65,32,11,408
POA2806,154,75,80,86,74,146,136,73,34,862
POA2807,62,39,36,42,62,85,80,36,0,450
POA2808,24,19,14,12,33,45,53,16,0,216
POA2809,37,10,24,21,20,45,26,19,6,202
POA2810,484,277,246,293,366,484,529,317,128,3132
POA2817,70,24,42,45,46,76,50,13,4,359
POA2818,184,90,88,91,117,111,98,51,17,849
POA2820,1291,775,1052,855,854,999,850,509,191,7378
POA2821,1063,533,525,532,514,616,530,340,120,4778
POA2822,84,45,47,43,43,85,67,17,6,433
POA2823,261,122,168,138,138,182,175,104,44,1340
POA2824,395,198,214,189,230,310,253,182,82,2055
POA2825,421,270,287,198,297,273,196,192,69,2202
POA2826,27,29,12,18,29,29,20,9,3,178
POA2827,701,332,389,362,455,527,468,330,117,3678
POA2828,163,66,80,86,100,147,90,39,15,798
POA2829,657,331,376,312,334,373,323,193,64,2965
POA2830,9640,5180,7010,5501,5097,5032,4023,2512,957,44963
POA2831,418,164,198,217,241,295,189,88,23,1845
POA2832,470,220,294,230,276,316,242,83,15,2149
POA2833,123,90,73,61,78,77,84,30,12,634
POA2834,287,155,191,180,234,357,315,215,48,1984
POA2835,792,435,566,476,404,504,351,193,76,3793
POA2836,188,122,126,96,121,107,95,41,5,895
POA2838,43,20,30,24,27,29,33,14,0,223
POA2839,227,135,177,99,131,168,88,38,17,1079
POA2840,527,273,327,275,314,320,212,112,34,2389
POA2842,139,72,59,75,87,101,117,55,10,720
POA2843,219,129,123,110,152,185,161,132,44,1262
POA2844,215,113,127,117,146,200,189,158,49,1312
POA2845,433,226,238,226,242,284,241,96,26,2019
POA2846,28,22,16,16,38,47,54,18,4,253
POA2847,416,228,247,278,285,372,373,191,49,2447
POA2848,232,141,100,120,201,258,254,190,48,1540
POA2849,238,133,113,157,225,273,286,141,44,1610
POA2850,3896,1944,2363,2269,2506,2534,1969,1223,433,19146
POA2852,772,344,389,454,447,509,482,245,78,3734
POA2864,163,94,68,100,106,107,108,69,20,824
POA2865,178,93,81,117,139,108,145,48,25,927
POA2866,649,373,266,358,372,417,362,215,97,3112
POA2867,155,56,57,75,57,95,83,52,9,636
POA2868,113,58,50,63,63,93,58,59,25,579
POA2869,276,134,133,142,196,253,223,114,47,1528
POA2870,2487,1461,1428,1342,1402,1529,1222,828,343,12036
POA2871,1777,983,978,961,1031,1163,1067,734,278,8965
POA2873,88,42,59,54,71,93,84,45,35,560
POA2874,68,27,31,37,46,62,49,35,16,369
POA2875,140,72,67,81,88,144,128,53,31,802
POA2876,118,48,53,52,75,56,64,27,8,494
POA2877,778,353,428,393,407,490,372,240,112,3575
POA2878,48,30,35,40,33,39,31,12,6,286
POA2879,76,56,60,48,74,101,104,53,10,577
POA2880,3104,1908,2226,1959,2091,2641,2273,1292,599,18097
POA2898,66,11,64,69,43,82,56,38,15,445
POA3000,1457,12552,17665,5909,2466,1688,956,323,73,43084
POA3002,289,368,1144,786,552,663,651,324,119,4896
POA3003,589,1325,3248,1377,697,435,245,91,15,8025
POA3004,809,920,3363,2155,1224,1071,1042,659,242,11482
POA3006,1360,3321,9434,4225,1748,1322,868,358,65,22699
POA3008,1208,1813,6036,2891,1397,1204,695,207,42,15495
POA3011,2729,2305,6195,4188,2538,1993,1240,703,390,22278
POA3012,4580,2626,6061,4963,3452,2469,1525,873,479,27023
POA3013,2994,1416,2654,2901,2386,1611,870,511,300,15636
POA3015,4017,1672,2472,3486,2860,2053,1180,589,320,18634
POA3016,2808,1899,1297,1921,2658,2516,1796,821,303,16025
POA3018,2383,1104,1569,2238,2016,1602,1370,887,398,13556
POA3019,1508,1254,2222,1416,1098,985,789,287,116,9682
POA3020,7254,5278,8090,6370,5356,4759,3766,2442,1058,44372
POA3021,9354,6989,9237,7167,6386,6214,5672,2997,1087,55112
POA3022,542,285,605,546,398,276,257,150,107,3170
POA3023,14273,9066,9573,11292,9577,6340,4479,1968,575,67146
POA3024,9180,4089,6238,6714,3404,2295,1421,515,149,34004
POA3025,2624,1153,2047,2077,1508,1035,962,999,561,12962
POA3026,2441,1059,1181,1811,1132,678,324,117,16,8770
POA3027,2297,1124,1965,2199,969,532,300,52,12,9448
POA3028,4824,3031,4471,4232,3642,3673,2628,1196,496,28191
POA3029,33996,15302,24770,25580,12319,9079,5903,2408,541,129888
POA3030,28862,13563,18359,22767,14671,9998,6759,3076,1147,119201
POA3031,2564,1905,4272,3275,2199,1622,1181,511,241,17772
POA3032,4585,3483,6047,4968,4028,3220,2208,976,354,29874
POA3033,2640,1614,1642,1950,2139,1651,1479,1451,514,15078
POA3034,1977,1175,1376,1659,1510,1373,1424,1280,607,12388
POA3036,952,722,560,643,817,843,746,476,224,5974
POA3037,10290,7575,6622,7489,7932,5816,3520,1591,569,51402
POA3038,3874,3620,3127,2795,3749,4470,3188,1434,449,26703
POA3039,2250,1830,3138,2423,2130,1936,1361,752,415,16224
POA3040,4094,3687,3835,3598,3950,3393,2332,1195,655,26722
POA3041,2337,1754,1468,1790,2008,1602,1255,601,304,13111
POA3042,2895,1711,2288,2474,2305,1889,1605,1101,501,16763
POA3043,2995,1864,2572,2460,2199,2027,2061,1357,381,17912
POA3044,5108,3132,4833,4709,3900,2965,1847,1221,987,28701
POA3045,10,16,8,8,12,11,4,0,0,64
POA3046,6470,4269,7631,5814,3961,3363,2239,1829,1211,36772
POA3047,4612,3004,3932,2952,2293,2144,1329,889,327,21478
POA3048,3820,2605,2718,2265,2180,2133,1385,757,213,18081
POA3049,1653,1208,1329,1265,1330,1368,1004,488,159,9812
POA3051,1733,2767,4283,2355,1472,1105,779,333,126,14953
POA3052,487,2765,1696,760,446,400,342,245,155,7297
POA3053,859,4907,5417,1736,963,809,684,447,217,16034
POA3054,896,1104,2148,1112,858,809,732,391,141,8186
POA3055,1882,1761,3734,2507,1748,1332,927,580,289,14746
POA3056,2553,2995,7280,4432,2788,2086,1426,922,440,24912
POA3057,1252,1434,4445,2654,1399,932,597,372,173,13262
POA3058,5528,3830,6388,5860,4852,3473,2376,1624,963,34906
POA3059,4519,2897,3128,3056,2857,2574,1545,568,120,21274
POA3060,3027,1728,2371,2136,1501,1260,911,805,534,14274
POA3061,996,590,693,626,594,520,479,365,113,4977
POA3062,0,0,0,0,4,0,0,0,0,6
POA3063,82,97,40,53,102,92,55,32,7,563
POA3064,29534,15210,21003,19925,12262,9204,4897,1849,539,114413
POA3065,1067,994,3072,1841,1197,1108,697,324,135,10431
POA3066,898,847,3348,1752,1030,661,394,189,67,9179
POA3067,733,859,3278,1785,888,692,508,249,97,9096
POA3068,2616,1796,4582,3099,2373,1946,1658,922,385,19382
POA3070,3787,2521,5164,4021,3830,2629,1682,1111,528,25276
POA3071,2806,1860,3851,3370,2685,1856,1233,852,495,19005
POA3072,5058,3444,6682,5931,4742,3410,2294,1484,740,33790
POA3073,7958,5233,9460,8024,6424,5178,4003,3075,1753,51096
POA3074,3153,2330,3221,2679,2222,2219,2269,1599,543,20234
POA3075,4265,2757,3495,3361,2759,2308,2122,1534,630,23219
POA3076,6970,4042,5240,5404,4067,3570,2465,1172,567,33489
POA3078,1882,1347,2149,1921,1741,1519,987,477,215,12237
POA3079,2603,2117,2216,2315,2371,2293,1757,906,464,17055
POA3081,2356,1610,2890,2120,1601,1625,1068,487,245,14003
POA3082,4439,3647,4165,3668,3752,4461,2946,1212,417,28712
POA3083,4482,4936,5214,3901,4030,3456,2736,1963,812,31529
POA3084,4936,2902,3020,3867,3732,3180,2586,1864,952,27045
POA3085,2587,1671,1775,2036,1999,1468,1295,768,453,14050
POA3087,1690,904,1292,1399,1194,1012,884,580,201,9156
POA3088,5047,2796,2908,4050,3715,3266,3038,1693,670,27181
POA3089,2426,1781,1401,1618,1910,1729,1069,445,125,12503
POA3090,429,426,180,264,464,380,209,117,107,2575
POA3091,234,268,114,141,281,271,174,99,21,1602
POA3093,659,431,378,483,584,513,466,303,150,3962
POA3094,1852,865,921,1399,1297,1118,1078,570,148,9250
POA3095,5373,3596,2281,3491,4433,4172,3297,1356,366,28373
POA3096,324,280,221,195,270,296,166,108,57,1911
POA3097,256,232,115,161,249,240,183,80,13,1536
POA3099,935,616,444,574,735,800,602,247,46,4993
POA3101,3705,3463,3169,2829,3436,3154,2468,1491,786,24499
POA3102,1192,916,664,817,978,891,618,383,163,6620
POA3103,2487,2158,1535,1915,2175,1944,1649,1132,624,15621
POA3104,3794,3354,1834,2292,3385,2912,1909,1209,622,21302
POA3105,1604,1279,1235,1332,1533,1449,1104,1077,512,11124
POA3106,2618,1939,1571,2010,2112,2459,2113,1447,696,16966
POA3107,2375,1521,1358,1801,2048,1622,1397,1424,613,14164
POA3108,3491,2857,3891,3495,2941,2862,2446,2074,993,25054
POA3109,5585,3333,3366,4587,3857,3713,3120,2382,989,30926
POA3111,2084,1532,1059,1526,1816,1648,1357,1040,584,12644
POA3113,1573,1281,572,922,1546,1278,899,407,79,8562
POA3114,673,674,212,332,708,586,381,210,62,3835
POA3115,628,608,278,363,634,671,438,176,43,3843
POA3116,2301,1421,1536,1629,1502,1362,1174,691,165,11779
POA3121,3027,3330,10056,5200,3581,2896,1998,1036,411,31534
POA3122,2748,3507,4984,3183,2598,2111,1741,1050,409,22322
POA3123,2202,1942,2922,2121,1886,1517,1183,745,319,14834
POA3124,3470,3096,2349,2488,3045,2757,2264,1492,1008,21965
POA3125,2016,3012,2765,1802,1713,1398,1060,838,545,15147
POA3126,1232,1152,603,795,1095,1083,923,570,323,7773
POA3127,2977,2648,1950,2210,2814,2452,2076,994,494,18608
POA3128,2825,3758,4879,3067,2762,2197,1665,1019,673,22841
POA3129,3056,2359,2479,2481,2520,2115,1580,913,435,17946
POA3130,5712,4169,3737,4592,4743,3897,2867,2079,1241,33044
POA3131,3927,2542,3038,3478,3115,2491,2085,1625,895,23191
POA3132,2975,1858,2374,2675,2308,1876,1484,909,326,16795
POA3133,4027,2802,2031,3069,3171,2602,2617,1864,758,22951
POA3134,6089,4173,4504,5004,4788,4082,3141,1964,863,34607
POA3135,3990,2283,2545,3153,2906,2329,1856,1160,476,20698
POA3136,8486,4976,6097,6632,5903,5477,4606,2886,1221,46296
POA3137,2636,1697,2071,1974,1783,1799,1343,920,346,14558
POA3138,4568,2794,3358,3351,2897,2520,2074,1141,346,23059
POA3139,2771,1751,1888,1701,1973,1945,1416,650,158,14257
POA3140,2975,2140,2302,2132,2405,2194,1708,1068,425,17348
POA3141,1761,2934,8542,4185,2443,2095,1692,1024,360,25028
POA3142,1396,1498,1870,1361,1530,1678,1746,1226,514,12817
POA3143,1192,1004,1938,1388,1186,901,905,647,218,9376
POA3144,1616,1333,1304,1232,1485,1311,1142,913,419,10763
POA3145,3707,3470,3558,2974,3235,2668,2088,1221,680,23594
POA3146,4518,3621,3208,3406,3891,3207,2323,1407,548,26131
POA3147,2782,1863,1756,2053,2205,1825,1299,835,489,15102
POA3148,1505,1120,2094,1561,1106,880,660,439,181,9552
POA3149,5992,4724,4286,4812,4847,4094,2997,2397,1186,35340
POA3150,10097,8168,6723,8253,8285,7282,6710,5209,2567,63298
POA3151,1461,1341,1592,1360,1367,1183,1015,996,372,10675
POA3152,5908,4030,3958,4851,4337,4440,4136,2140,1139,34940
POA3153,3693,2176,3345,3414,2614,2374,1903,1139,612,21276
POA3154,869,499,525,599,658,574,435,225,115,4500
POA3155,4033,2405,3750,3608,2978,2649,2356,1365,517,23660
POA3156,6701,4726,4772,5309,5521,5126,3675,1980,670,38484
POA3158,1317,779,744,962,1044,971,721,222,56,6818
POA3159,503,329,225,380,415,357,262,106,20,2593
POA3160,1674,1075,974,1359,1371,1238,926,343,73,9024
POA3161,2660,2158,3062,2235,1882,1650,1799,878,580,16903
POA3162,3127,1999,2236,2429,2439,2030,2078,1079,649,18075
POA3163,4731,3733,6918,5306,3949,3342,2593,1529,718,32810
POA3165,6154,3493,3090,4691,4718,3373,2387,1422,830,30159
POA3166,3821,3235,4401,3572,3379,2643,1773,1230,699,24753
POA3167,1632,1011,1471,1435,1235,1197,981,616,271,9851
POA3168,1931,5961,6618,2511,1454,1226,927,732,525,21880
POA3169,2989,2520,3982,2888,2344,2165,2020,1339,575,20820
POA3170,3516,2190,2704,2894,2599,2073,1965,1420,519,19889
POA3171,3214,2953,4535,2990,2524,2332,1821,1197,614,22174
POA3172,3937,2955,2795,3069,3098,3004,2424,1422,552,23261
POA3173,5896,3865,4260,4723,3843,3188,2507,1276,456,30018
POA3174,6521,4953,7405,5684,4524,4194,3401,2145,868,39693
POA3175,9682,6464,9625,7909,6032,5326,4447,2828,1233,53545
POA3177,2327,1437,2272,1790,1287,1156,889,522,200,11889
POA3178,5623,4575,3783,4175,5010,5126,3073,1661,554,33571
POA3179,1051,833,693,913,885,746,603,272,64,6066
POA3180,1276,919,934,1125,992,900,806,563,129,7645
POA3181,1526,2038,6275,3405,2090,1634,1217,909,555,19636
POA3182,1672,1864,6460,4273,3063,2619,1624,679,184,22438
POA3183,2756,1924,4506,3155,2145,1565,1159,535,225,17964
POA3184,1979,1244,3301,2841,2401,1779,1042,425,147,15153
POA3185,2289,1485,2322,1984,1827,1464,1158,606,288,13433
POA3186,3619,2719,1845,2442,3506,3338,2878,1957,958,23252
POA3187,3167,2063,1139,1916,2653,2123,1617,1221,854,16757
POA3188,3268,2323,1663,2338,3035,2686,1811,1071,394,18587
POA3189,1169,611,832,1061,876,695,530,358,161,6287
POA3190,2212,1189,1602,1884,1855,1323,1043,603,291,12007
POA3191,1731,1213,832,1297,1748,1580,1262,764,488,10926
POA3192,4348,2463,3028,3776,3402,2623,2063,1477,954,24129
POA3193,3456,2547,1135,1937,3352,3044,2581,1513,631,20207
POA3194,2075,1330,1710,1902,2010,1599,1299,889,403,13221
POA3195,6975,4619,3595,5080,6126,4844,3344,1920,863,37364
POA3196,4839,2385,3520,4212,3779,3231,2590,1596,718,26876
POA3197,1993,1193,1299,1558,1846,1736,1430,721,252,12032
POA3198,3032,1589,2352,2682,2445,2036,1682,1016,385,17215
POA3199,9767,6261,7461,7548,7493,6781,5745,3516,1559,56127
POA3200,1016,629,963,711,671,700,473,349,194,5711
POA3201,4218,2481,3684,3199,2883,2557,1703,835,423,21976
POA3202,576,344,271,382,528,317,246,120,43,2826
POA3204,6064,4354,4204,4746,5219,3868,2601,1412,665,33130
POA3205,1339,1013,2507,1999,1653,1323,903,531,278,11548
POA3206,1690,899,899,1355,1656,1426,1093,782,231,10043
POA3207,2428,1377,2713,3128,2905,2242,1671,924,240,17633
POA3211,265,191,97,167,218,220,137,52,16,1353
POA3212,3720,2161,3035,2892,2572,2032,1747,819,291,19272
POA3213,916,689,543,558,743,689,370,187,45,4753
POA3214,4301,3546,3861,2829,2974,2952,2343,1242,453,24500
POA3215,3508,2426,3335,2646,2679,2493,2442,1622,839,21994
POA3216,10325,8518,8409,7511,7154,6475,5857,3913,1953,60123
POA3217,5003,2530,4741,3436,1809,1366,1025,410,168,20499
POA3218,2757,1615,2530,2335,1897,1695,1240,626,239,14942
POA3219,2952,2429,3107,2350,2546,2701,2290,1384,561,20309
POA3220,2774,2219,2430,2114,2258,2279,1875,956,362,17270
POA3221,164,106,57,96,131,113,97,27,12,801
POA3222,3218,1876,1871,2120,2205,2575,2736,1456,522,18576
POA3223,1004,588,627,752,1108,1762,2250,1134,314,9536
POA3224,2617,1607,1768,1766,1854,1851,1893,1298,439,15101
POA3225,621,346,277,407,534,873,1275,771,298,5408
POA3226,3547,1609,1584,2416,2292,2333,2420,1097,424,17714
POA3227,1045,512,298,644,843,796,860,356,112,5459
POA3228,5309,2376,2397,3860,3438,2690,2537,1151,420,24181
POA3230,460,229,254,333,361,543,613,306,102,3208
POA3231,174,121,99,114,221,358,317,138,33,1571
POA3232,129,105,172,108,130,226,271,125,56,1327
POA3233,297,154,220,228,320,410,449,218,69,2363
POA3234,38,15,17,18,35,45,54,16,0,237
POA3235,94,43,39,67,77,99,69,22,6,515
POA3236,29,17,29,26,33,57,39,16,4,257
POA3237,28,23,23,32,56,67,36,10,0,276
POA3238,36,16,15,35,43,69,24,5,4,251
POA3239,73,44,47,45,81,90,89,17,0,491
POA3240,465,256,175,322,320,322,213,82,20,2169
POA3241,521,317,402,373,378,438,375,191,77,3072
POA3242,183,73,104,125,110,140,147,52,5,942
POA3243,60,36,36,48,62,52,85,23,6,392
POA3249,624,361,289,363,468,570,459,182,44,3368
POA3250,2176,1387,1657,1409,1489,1553,1536,1056,502,12756
POA3251,80,40,49,70,72,90,94,27,11,524
POA3254,86,41,53,44,36,55,22,14,0,358
POA3260,773,471,442,472,597,698,743,455,148,4801
POA3264,347,222,232,220,262,359,298,204,105,2254
POA3265,576,342,312,294,412,463,277,114,40,2827
POA3266,530,345,309,272,419,443,354,264,111,3047
POA3267,28,21,23,17,28,48,23,12,4,214
POA3268,422,310,259,294,328,407,296,168,66,2552
POA3269,131,63,85,79,92,96,91,27,14,676
POA3270,53,18,31,29,39,61,51,33,6,322
POA3271,29,25,18,16,29,33,28,8,3,188
POA3272,296,145,165,157,189,245,243,144,64,1641
POA3273,15,23,8,4,22,32,15,10,0,130
POA3274,49,31,18,28,25,35,42,15,3,256
POA3275,103,79,62,60,80,55,44,7,3,490
POA3276,65,60,39,45,54,80,54,12,4,437
POA3277,358,189,215,212,243,259,227,89,26,1820
POA3278,68,28,43,37,59,46,30,16,7,343
POA3279,71,57,31,26,57,30,23,12,0,300
POA3280,5752,3706,4326,3958,4113,4290,3832,2269,1049,33298
POA3281,425,206,153,259,288,248,199,74,14,1857
POA3282,492,245,274,283,313,369,318,155,43,2488
POA3283,269,149,133,155,205,238,205,58,6,1423
POA3284,678,282,285,431,432,532,686,368,166,3860
POA3285,229,132,84,150,198,198,183,68,9,1255
POA3286,85,51,40,55,63,91,95,36,13,532
POA3287,76,62,50,45,69,76,23,19,4,418
POA3289,142,77,57,83,105,149,125,47,30,804
POA3292,11,6,13,19,23,40,62,14,4,191
POA3293,57,35,24,38,51,57,51,21,3,336
POA3294,177,77,96,115,110,131,175,68,17,967
POA3300,1768,1157,1169,1066,1189,1388,1373,939,426,10479
POA3301,236,132,114,105,196,210,206,59,6,1267
POA3302,55,34,39,43,54,60,49,27,4,356
POA3303,41,27,35,34,59,34,27,14,7,282
POA3304,466,229,260,287,331,473,458,194,79,2786
POA3305,2082,1383,1291,1416,1808,2126,1932,937,374,13344
POA3309,27,15,0,11,20,11,16,14,0,122
POA3310,22,20,16,26,31,71,54,30,3,263
POA3311,189,143,136,110,170,321,299,226,110,1707
POA3312,186,82,92,95,146,171,165,75,8,1023
POA3314,108,50,47,72,71,82,94,30,10,569
POA3315,254,155,126,168,207,306,265,131,80,1686
POA3317,29,19,15,17,35,32,22,18,7,184
POA3318,182,77,114,119,150,209,214,110,65,1243
POA3319,56,28,33,32,56,92,67,30,3,410
POA3321,437,191,157,265,268,252,151,53,7,1780
POA3322,27,12,18,14,19,35,29,22,5,176
POA3323,12,10,12,5,12,15,12,5,6,91
POA3324,90,60,51,71,53,109,95,40,19,577
POA3325,75,28,40,41,47,97,78,43,11,456
POA3328,551,251,251,354,329,293,206,64,19,2308
POA3329,64,30,37,43,34,42,41,12,0,309
POA3330,32,26,32,28,32,22,22,8,3,208
POA3331,1745,801,881,1062,978,665,632,313,127,7202
POA3332,272,132,128,167,166,181,96,29,7,1181
POA3333,151,77,88,106,126,145,107,46,14,864
POA3334,75,66,45,57,90,95,80,30,4,544
POA3335,1490,642,1693,1088,513,406,276,79,8,6195
POA3336,5268,1837,3653,3947,1560,836,497,115,19,17737
POA3337,9486,5104,5925,6076,4958,4084,3370,1403,317,40724
POA3338,10198,4175,6658,6242,3697,2677,2249,872,293,37062
POA3340,5324,2862,3634,3580,3240,2788,2510,1229,448,25614
POA3341,312,188,142,202,285,262,160,77,12,1644
POA3342,735,353,431,523,525,587,439,254,93,3946
POA3345,282,132,127,199,211,220,150,59,11,1393
POA3350,12153,8281,8965,8546,8075,7719,6800,3809,1662,66022
POA3351,1807,1086,898,1106,1328,1374,1044,397,75,9106
POA3352,3966,2137,2048,2452,2754,2579,2032,786,165,18922
POA3355,2064,1639,1752,1246,1550,1586,1553,1137,530,13059
POA3356,2711,1943,2323,1753,1713,1781,1775,1090,517,15601
POA3357,822,365,228,461,581,532,536,209,58,3797
POA3358,902,433,806,485,336,243,159,74,13,3440
POA3360,136,61,87,72,129,117,131,62,12,803
POA3361,103,71,50,71,90,137,80,61,29,695
POA3363,596,288,314,377,477,535,548,314,145,3598
POA3364,398,190,189,265,331,361,379,127,35,2272
POA3370,262,154,149,197,274,342,316,158,54,1900
POA3371,115,110,55,72,159,262,226,62,27,1090
POA3373,360,240,187,236,348,373,425,200,77,2453
POA3374,55,34,24,44,70,70,86,39,3,425
POA3375,55,15,11,30,37,40,24,17,3,236
POA3377,1408,951,1260,1056,1206,1359,1291,744,321,9602
POA3378,41,17,12,19,16,17,14,0,0,140
POA3379,112,54,53,71,108,131,127,69,23,749
POA3380,958,640,782,588,714,916,882,518,221,6220
POA3381,217,112,189,136,181,250,221,79,16,1401
POA3384,92,61,43,49,92,119,82,50,12,608
POA3385,73,36,40,58,75,102,110,31,11,541
POA3387,45,24,30,37,40,52,39,19,3,289
POA3388,85,44,53,51,62,122,77,51,20,567
POA3390,185,97,76,89,118,142,138,82,27,957
POA3391,26,21,14,22,18,30,22,13,5,181
POA3392,69,46,37,48,74,116,88,61,42,584
POA3393,425,250,272,224,307,394,381,250,118,2614
POA3395,51,22,37,32,37,76,53,35,16,350
POA3396,92,48,63,66,60,117,130,73,49,694
POA3400,2763,1730,2097,1689,1595,1842,1674,1173,570,15134
POA3401,901,564,384,502,737,761,494,207,48,4596
POA3407,74,43,27,35,67,71,57,40,10,416
