POA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
POA2019,20,61,23,4,4,0,0,0,114,0,5,0,0,0,0,0,0,6,0,8,15,24,22,19,18,15,116,23,68,36,33,27,19,18,15,237,662,947,1032,860,631,387,186,38,4742,46,88,73,34,32,31,23,13,339,725,1099,1141,928,694,436,231,64,5315,20,24,4,5,0,0,0,0,50,0,0,0,0,0,0,0,0,4,0,5,5,0,3,0,0,0,13,23,28,12,0,0,0,0,0,67,674,1068,1099,938,656,461,231,65,5191,37,92,59,39,31,26,39,27,353,734,1188,1166,975,685,488,267,95,5613,43,82,31,11,4,0,0,0,166,3,6,0,0,0,0,0,0,12,0,11,22,25,26,17,18,14,130,44,102,50,35,27,17,18,14,306,1332,2011,2131,1798,1286,848,420,106,9927,82,185,126,71,62,62,59,39,684,1457,2296,2304,1907,1381,925,499,155,10924
POA2020,56,80,27,6,5,0,0,0,167,0,6,3,0,0,0,0,0,11,0,24,17,12,12,13,10,10,93,52,106,44,21,12,13,10,10,273,1658,3471,1585,838,634,411,199,61,8850,125,266,110,37,33,28,18,3,621,1833,3842,1733,897,689,447,231,77,9743,36,39,10,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,9,0,0,3,6,3,0,8,43,46,10,0,3,6,3,0,96,1590,3294,1427,872,675,445,275,102,8678,117,229,85,26,30,22,17,12,542,1744,3565,1522,896,707,471,295,112,9319,88,116,36,10,5,0,0,0,249,0,6,3,0,0,0,0,0,15,3,29,17,12,11,16,13,10,107,95,148,52,19,17,16,13,10,370,3249,6761,3013,1707,1312,853,475,164,17528,239,498,194,63,69,50,35,19,1158,3579,7408,3256,1794,1394,917,522,190,19057
POA2021,3,13,0,10,3,0,0,0,29,0,0,0,5,0,0,0,0,11,0,5,14,23,17,32,22,12,131,7,18,25,37,22,32,22,12,175,625,1411,1128,911,734,518,296,75,5700,38,77,66,38,35,31,26,23,326,664,1508,1213,987,787,583,346,108,6200,0,4,7,0,0,0,0,0,11,0,6,0,3,0,0,0,0,7,0,0,0,4,0,4,5,0,14,4,4,3,9,0,4,5,0,31,764,1703,1134,1009,728,580,389,105,6421,40,73,49,46,20,28,33,55,351,810,1780,1191,1061,755,617,429,159,6800,3,14,4,11,3,0,0,0,41,0,6,5,9,0,0,0,0,15,0,9,15,29,23,33,24,12,148,4,23,25,46,28,33,24,12,205,1395,3116,2260,1924,1467,1105,690,174,12120,74,149,114,87,53,61,60,79,671,1469,3288,2406,2051,1549,1195,772,267,12998
POA2022,10,20,4,3,4,0,0,0,41,0,0,0,0,0,0,0,0,6,0,10,10,8,19,13,23,14,102,13,32,18,17,21,13,23,14,148,531,1383,1021,754,530,439,241,96,5005,46,137,84,38,32,31,23,10,400,588,1552,1117,817,590,489,293,119,5553,7,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,7,9,4,0,4,3,0,0,0,21,605,1518,1042,779,586,527,357,160,5562,48,140,65,30,30,34,38,29,413,656,1659,1107,815,617,557,399,189,5998,11,19,7,9,5,0,0,0,50,0,0,4,0,0,0,0,0,10,4,10,12,12,24,21,23,14,110,19,33,17,17,25,21,23,14,167,1128,2898,2060,1534,1118,964,603,257,10568,92,276,144,72,65,65,63,39,818,1244,3211,2222,1628,1206,1046,688,306,11551
POA2023,4,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,7,8,7,24,20,9,83,9,8,7,8,9,24,20,9,91,608,641,619,606,568,483,237,64,3827,51,54,31,28,12,14,7,10,199,666,705,660,639,587,519,263,79,4117,3,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,4,0,3,0,0,0,12,555,842,754,750,645,541,273,88,4453,26,45,27,20,20,24,16,8,188,582,893,785,773,667,564,289,98,4652,4,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,9,11,9,24,20,9,83,10,7,13,11,12,24,20,9,102,1161,1484,1379,1356,1212,1022,511,155,8283,77,100,61,48,32,37,23,11,385,1246,1593,1449,1409,1257,1083,555,177,8772
POA2024,4,3,0,6,0,0,0,0,15,0,3,3,0,0,0,0,0,8,0,3,14,13,18,19,14,10,93,4,11,15,22,16,19,14,10,117,492,798,785,738,564,325,203,57,3956,19,72,37,30,34,26,34,68,314,514,880,836,790,614,368,252,143,4385,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,14,0,7,0,0,0,0,0,0,16,531,950,895,807,561,410,215,123,4496,31,73,34,28,29,31,73,135,425,555,1026,935,842,585,441,289,262,4940,4,7,0,6,0,0,0,0,14,0,3,5,0,0,0,0,0,8,0,8,14,18,16,18,17,16,111,4,23,17,21,23,18,17,16,133,1015,1745,1682,1543,1121,734,413,183,8446,43,144,69,63,58,54,106,204,738,1070,1909,1765,1630,1199,813,542,401,9320
POA2025,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,8,0,3,7,8,3,20,16,20,84,5,7,10,8,11,20,16,20,92,274,461,407,384,332,317,200,59,2444,15,22,11,24,13,14,18,31,145,292,494,435,413,353,354,236,105,2685,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,14,0,0,0,5,0,0,4,0,16,335,626,521,449,399,411,308,114,3174,11,21,24,14,10,15,44,63,206,351,650,552,474,419,430,354,175,3395,0,3,0,0,0,0,0,0,8,0,0,3,0,3,0,0,0,8,0,3,13,10,11,27,17,20,97,5,8,14,9,12,27,17,20,113,612,1088,929,837,733,735,512,172,5623,29,44,37,35,26,28,59,97,353,645,1143,983,886,768,789,589,284,6081
POA2026,10,20,5,4,0,0,0,0,41,0,6,8,3,0,0,0,0,15,0,34,27,25,31,41,33,19,208,10,60,39,31,30,41,33,19,267,1129,4083,2783,1898,1167,780,396,132,12371,90,338,209,110,68,49,44,18,928,1234,4478,3039,2034,1270,873,473,171,13563,4,5,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,4,0,9,9,0,4,6,3,0,29,4,14,9,0,4,6,3,0,43,1342,4839,2738,1801,1163,866,541,224,13517,82,335,170,92,63,52,57,52,901,1433,5185,2914,1895,1227,915,608,282,14465,13,26,9,4,0,0,0,0,56,0,7,9,3,0,0,0,0,21,0,39,38,27,36,44,43,15,232,13,72,52,34,36,44,43,15,308,2473,8928,5519,3696,2330,1642,942,361,25885,176,667,382,202,128,97,103,74,1826,2661,9669,5951,3931,2496,1791,1079,449,28025
POA2027,8,8,0,4,0,0,0,0,18,0,3,0,0,0,0,0,0,3,0,9,9,3,12,26,31,28,114,8,13,10,13,10,26,31,28,140,239,511,455,366,411,417,351,95,2837,29,32,37,28,26,24,17,10,198,270,552,502,406,446,461,395,129,3174,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,13,324,647,510,446,475,545,411,170,3531,24,50,29,28,29,18,25,42,250,350,706,547,475,510,566,432,216,3788,8,14,0,4,0,0,0,0,25,0,6,0,0,0,0,0,0,5,0,9,9,5,12,27,30,29,122,8,18,7,7,10,27,30,29,149,557,1157,971,811,887,957,757,262,6367,50,81,69,57,55,42,43,53,448,615,1257,1048,882,954,1025,831,341,6961
POA2028,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,9,0,0,4,5,17,8,45,0,7,3,0,4,5,17,8,48,172,411,312,223,196,211,133,30,1688,11,21,13,8,9,3,11,4,75,177,440,325,233,209,219,161,48,1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,4,237,540,321,263,265,295,199,84,2207,14,31,22,6,8,17,5,16,111,248,568,339,276,275,312,210,97,2321,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,9,4,3,4,5,22,9,50,0,7,4,3,4,5,22,9,56,405,952,627,486,463,505,334,116,3890,20,45,29,12,18,16,20,18,188,426,1005,663,509,488,532,365,144,4126
