POA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA2084,88,12,136,651,945,480,336,582,105,3097
POA2085,267,27,484,1966,2875,1509,844,1923,193,9308
POA2086,89,3,256,2553,3467,1773,1073,1946,255,11066
POA2087,150,68,470,2332,3076,1641,998,1957,357,10358
POA2088,409,71,916,5675,7825,3191,1909,4204,913,23719
POA2089,92,67,248,2518,3430,1107,563,1904,480,10007
POA2090,81,32,270,2909,4118,1455,711,1912,450,11558
POA2092,64,17,147,1258,1783,905,575,930,221,5672
POA2093,255,31,538,4321,6065,2662,1559,3349,564,18517
POA2094,33,3,102,1279,1814,704,304,791,194,5083
POA2095,179,21,357,3632,4785,1561,744,2711,675,14116
POA2096,82,16,197,3179,4185,1491,863,2148,439,12308
POA2097,207,20,385,3040,4041,1762,1084,2596,476,12995
POA2099,421,109,932,7769,10533,4130,2514,8849,1633,35433
POA2100,227,152,601,3977,5369,2486,1395,3559,772,17554
POA2101,553,103,974,3615,5043,2265,1296,3403,784,16413
POA2102,83,155,304,1439,1960,895,516,1266,468,6545
POA2103,160,103,419,1917,2843,1323,735,1716,543,9083
POA2104,161,40,305,686,913,506,286,763,201,3345
POA2105,6,0,31,339,578,313,186,218,93,1733
POA2106,67,9,164,1900,2644,1184,748,1334,305,8116
POA2107,124,72,408,2654,4146,2043,1276,1907,507,12537
POA2108,16,6,44,299,480,285,153,256,82,1561
POA2110,216,244,598,1714,2347,1123,705,1529,699,8119
POA2111,142,123,434,2834,4077,1712,1054,2608,567,12850
POA2112,361,181,901,6008,8589,3856,2635,8726,1634,31444
POA2113,344,71,664,4585,6483,2688,1634,6770,1344,23514
POA2114,193,33,410,4241,5983,2648,1794,5740,814,21221
POA2115,119,26,231,1803,2405,1163,990,3219,653,10235
POA2116,40,7,106,1111,1434,714,550,1712,357,5883
POA2117,247,28,471,3270,4522,2212,1742,5362,922,18028
POA2118,268,40,561,4123,5591,3085,2324,6125,810,22057
POA2119,103,65,348,2128,3079,1712,1059,1741,382,10099
POA2120,212,22,442,3594,5359,2688,1692,3180,460,16969
POA2121,303,42,650,5367,7588,4019,2615,7227,908,27722
POA2122,449,72,900,4834,6710,3376,2312,7811,1245,26287
POA2125,139,25,291,2890,3975,2270,1472,2636,342,13584
POA2126,157,177,511,3169,4635,2418,1563,3196,587,15571
POA2127,37,6,63,3587,5368,1934,1307,6351,969,19524
POA2128,4,0,13,318,409,178,170,615,1438,3125
POA2130,97,22,145,1460,2210,825,301,1177,309,6290
POA2131,587,38,816,3937,5581,2042,1268,6507,985,20315
POA2132,193,118,453,1807,2562,1130,753,2325,486,9063
POA2133,134,14,245,1774,2379,1104,882,2477,397,9014
POA2134,176,92,428,2709,3185,1382,987,6976,1266,16497
POA2135,409,48,704,4134,4849,2179,1703,8737,1397,22989
POA2136,86,38,202,1214,1646,843,573,1822,380,6476
POA2137,376,54,715,4843,6509,2957,1969,6013,981,23270
POA2138,90,34,202,3138,4396,1822,1189,5346,930,16820
POA2140,70,11,123,2766,3896,1531,1105,7001,1352,17653
POA2141,216,71,439,4465,5431,2455,2184,11297,1983,27822
POA2142,148,18,252,3149,3993,1808,1676,9896,2344,22873
POA2143,74,9,148,1260,1484,801,699,3125,514,7894
POA2144,309,102,515,4274,4761,2193,2414,15405,3427,32463
POA2145,675,319,1476,10642,15679,8146,6573,22865,5278,69180
POA2146,107,24,261,2512,3783,1979,1480,4817,944,15510
POA2147,342,68,643,5303,7537,3779,3043,8700,1805,30164
POA2148,757,133,1229,8588,11412,5571,5102,19778,3970,54421
POA2150,150,45,274,4304,6598,2768,2032,11551,2356,29599
POA2151,243,24,396,3258,4586,2166,1554,4824,957,17345
POA2152,153,52,346,1730,2618,1256,838,2220,434,9098
POA2153,698,153,1294,9760,14174,7395,5164,11612,1580,49688
POA2154,660,227,1371,6760,9372,4783,3293,7710,1293,33204
POA2155,214,158,559,12177,16601,7887,5464,13682,2002,57820
POA2156,201,40,443,2238,3075,1779,1384,2273,343,11092
POA2157,32,4,66,655,948,447,468,635,86,3240
POA2158,182,46,326,1442,1944,1102,839,1739,311,7379
POA2159,94,15,182,835,1237,694,524,787,184,4257
POA2160,339,66,633,4307,5492,2609,2660,12894,3331,31293
POA2161,271,135,569,3543,4422,2057,2273,11339,2788,26427
POA2162,223,121,493,2354,2691,1347,1418,6443,1591,15829
POA2163,87,101,235,1064,1204,586,655,3502,1504,8503
POA2164,286,82,499,2376,2976,1508,1585,7509,1104,17053
POA2165,472,117,831,4639,5328,2508,2595,18533,3017,36632
POA2166,676,310,1253,6356,6966,3339,3355,21404,3758,45170
POA2167,88,207,327,1326,1964,901,830,2543,764,8339
POA2168,300,49,486,5068,5777,2722,3076,15784,2814,35243
POA2170,979,478,1947,13879,17481,8268,8172,35001,7540,90344
POA2171,159,14,248,5271,6283,3052,2844,10793,1353,29586
POA2172,8,0,17,516,681,368,239,458,51,2310
POA2173,60,8,90,2201,3029,1522,1063,2958,507,11284
POA2174,30,0,36,1432,2058,1001,910,2866,550,8822
POA2175,26,3,42,235,306,183,231,425,106,1499
POA2176,595,187,1028,6445,7554,3732,3796,17659,2284,41467
POA2177,143,75,274,2195,2445,1226,1167,6136,833,14003
POA2178,69,3,109,546,712,370,431,1161,262,3485
POA2179,56,100,211,1951,2748,1313,1333,3955,802,12111
POA2190,320,37,512,3149,3524,1788,2078,8671,1826,21031
POA2191,81,8,159,934,1123,630,523,1832,275,5309
POA2192,157,88,348,1844,2312,1005,973,4235,1203,11563
POA2193,149,17,335,2884,4146,1842,1145,4290,765,15068
POA2194,300,57,493,3411,4197,1970,1553,9386,2224,22740
POA2195,184,128,409,2753,3293,1562,1999,8653,2269,20525
POA2196,329,83,637,3887,4933,2381,2536,10847,2129,26706
POA2197,107,53,239,1051,1295,699,720,3090,858,7714
POA2198,165,117,340,1147,1509,760,796,2558,772,7553
POA2199,245,35,400,2247,2721,1282,1426,6322,1326,15324
POA2200,466,170,864,5324,6274,3075,3298,16387,3493,37856
POA2203,108,27,226,2708,4186,1447,699,2256,674,11966
POA2204,278,102,570,5163,7418,2598,1387,5052,1398,23018
POA2205,112,71,280,3966,5048,1762,1211,8258,1935,22174
POA2206,309,162,758,3175,4232,2146,1615,4324,958,16450
POA2207,531,254,1059,4098,5545,2698,2076,7388,1542,23339
POA2208,190,23,406,1925,2548,1361,1022,3217,480,10563
POA2209,206,29,433,2362,2919,1551,1225,4470,675,13198
POA2210,508,232,1132,4843,6544,3328,2594,8548,1833,27681
POA2211,226,132,604,2725,3549,1780,1397,4333,846,14630
POA2212,194,184,538,2475,3212,1607,1302,4387,946,13928
POA2213,214,50,494,3578,4899,2479,1885,5070,773,18690
POA2214,26,4,43,602,864,459,350,856,91,3220
POA2216,322,70,611,3973,5417,2312,1756,8844,1697,24000
POA2217,416,248,959,4272,5910,2586,1810,8040,1634,24255
POA2218,136,23,292,2541,3228,1515,1155,4568,765,13760
POA2219,184,74,443,2216,2918,1399,1005,3223,777,11534
POA2220,308,152,672,4505,5849,2949,2229,11940,1771,29240
POA2221,296,94,587,2797,3396,1795,1379,4045,667,14084
POA2222,117,74,291,1962,2631,1291,873,3299,665,10726
POA2223,285,71,576,3578,5172,2472,1575,4101,688,17596
POA2224,372,58,649,2367,3089,1633,1183,3275,518,12063
POA2225,31,4,83,927,1374,757,418,739,92,4308
POA2226,88,100,302,2228,3332,1532,996,1776,469,10340
POA2227,163,25,377,2773,3704,1811,1163,2495,405,12346
POA2228,508,94,941,3481,4842,2159,1464,4521,839,17315
POA2229,335,184,1050,5381,7429,3539,2216,5325,1156,25052
POA2230,322,124,792,5900,8180,3452,2110,5365,1239,26249
POA2231,9,0,35,365,526,249,248,469,81,1936
POA2232,399,242,1025,6134,9051,3955,2390,6104,1297,28924
POA2233,223,212,707,4988,7355,3701,2470,4417,797,23727
POA2234,261,63,479,5300,7346,3825,2465,5404,603,24944
POA2250,1093,543,2431,11451,16497,7837,5573,13709,3513,58575
POA2251,458,252,1173,5315,8159,4278,2897,5657,1322,27627
POA2256,365,67,653,2393,3699,1803,1360,3526,882,13669
POA2257,454,178,1015,4526,7145,3575,2605,5872,1641,25363
POA2258,27,12,75,895,1198,651,522,832,200,4302
POA2259,769,423,1678,9851,13830,6785,5532,14056,3536,53591
POA2260,179,57,467,4294,6396,3218,2098,3891,1013,20916
POA2261,778,470,1851,8310,12041,5884,4351,11529,3076,45189
POA2262,241,49,451,3012,4325,2198,1710,4933,1036,17207
POA2263,494,123,910,3290,4927,2398,2068,6206,1544,20435
POA2264,342,51,620,2437,3475,1862,1453,3533,771,13526
POA2265,192,32,344,1195,1676,832,625,1416,256,5998
POA2267,38,4,79,408,719,413,277,527,150,2501
POA2278,11,0,15,399,629,280,198,532,47,2089
POA2280,368,119,820,4355,6586,3264,2001,5261,992,22461
POA2281,248,65,494,2324,3415,1831,1377,3274,631,12859
POA2282,210,35,450,2740,4111,2104,1202,2744,444,13342
POA2283,358,97,746,3652,5714,2989,2102,5019,1031,20511
POA2284,180,121,425,1982,2890,1398,937,2502,693,10409
POA2285,312,123,669,5420,7877,3470,2379,6520,1225,26887
POA2286,22,3,55,711,1087,498,358,956,156,3768
POA2287,572,176,1027,6726,9279,4077,2655,8767,1576,33083
POA2289,228,35,521,3587,5254,2297,1328,3251,528,16253
POA2290,530,176,1161,5825,8372,3953,2428,6446,1281,28305
POA2291,164,20,325,2921,3852,1653,822,2213,399,11856
POA2292,22,0,42,536,697,261,113,481,137,2222
POA2293,20,0,34,813,997,326,174,498,112,2907
POA2294,21,4,30,403,575,190,102,388,91,1745
POA2295,80,90,233,1211,1884,959,593,1549,475,6675
POA2296,10,0,15,457,589,214,98,341,66,1759
POA2297,12,6,21,379,485,186,83,287,74,1502
POA2298,273,205,569,1852,2469,867,522,2355,705,8772
POA2299,120,76,310,2108,2778,1019,704,2528,750,9880
POA2300,66,13,149,2857,3666,1089,529,2120,639,10901
POA2302,47,0,73,299,414,132,53,377,54,1332
POA2303,149,28,281,1802,2462,987,539,1902,632,8329
POA2304,278,161,541,2718,3948,1505,900,3381,880,13334
POA2305,144,25,316,2385,3367,1510,805,2099,428,10598
POA2306,25,5,42,376,453,236,242,979,379,2659
POA2307,50,14,120,783,1029,450,276,1077,219,3835
POA2308,0,0,0,410,174,18,10,341,403,1358
POA2311,9,6,22,124,191,132,100,160,38,738
POA2312,16,0,21,218,318,210,170,258,68,1240
POA2315,281,164,653,2292,3799,1910,1268,3145,856,13270
POA2316,50,18,124,999,1569,776,606,1290,372,5618
POA2317,150,34,329,1025,1514,801,565,1491,322,5722
POA2318,68,22,155,2092,3126,1565,1256,2274,504,10824
POA2319,85,20,163,953,1473,768,629,1610,364,5792
POA2320,383,102,712,5880,8679,4240,2963,7511,1470,30747
POA2321,92,15,230,2979,4659,2114,1638,3237,669,15292
POA2322,116,21,247,3704,5342,2429,1862,4964,769,19080
POA2323,209,93,545,4146,5945,2805,1921,5312,1108,21235
POA2324,302,93,671,3486,5587,2851,2211,5526,1512,21181
POA2325,444,96,736,4002,5952,3163,2581,6637,2939,25278
POA2326,54,9,103,987,1647,741,648,1808,365,6200
POA2327,113,24,202,1098,1549,714,582,2044,398,6386
POA2328,37,8,70,383,532,269,237,466,170,2056
POA2329,43,8,77,276,464,193,192,396,200,1720
POA2330,201,15,340,3040,4680,2292,1863,3897,1110,16875
POA2331,0,0,0,45,17,0,3,337,172,575
POA2333,92,34,189,1898,2746,1238,1031,2849,1047,10799
POA2334,10,0,20,477,731,314,286,665,104,2572
POA2335,24,9,55,1198,1783,930,686,1283,306,6191
POA2336,24,12,56,393,548,277,213,529,160,2115
POA2337,103,36,221,1198,1786,784,662,1651,435,6514
POA2338,30,6,51,212,306,158,142,280,112,1217
POA2339,0,0,11,101,141,73,57,133,93,598
POA2340,572,223,1292,7699,10948,5259,3612,10753,3258,41533
POA2341,30,8,45,171,270,157,162,375,104,1233
POA2342,0,0,6,73,110,48,52,64,29,374
POA2343,60,31,128,641,926,546,407,925,538,3983
POA2344,3,0,6,122,155,83,64,113,37,572
POA2345,5,0,10,110,143,103,57,125,33,575
POA2346,49,10,79,366,595,290,284,753,269,2546
POA2347,37,9,73,224,390,188,180,435,162,1582
POA2350,226,118,628,4244,6422,2840,1681,4709,2194,22094
POA2352,16,0,39,410,658,346,255,529,121,2325
POA2353,57,9,68,160,252,143,106,268,76,1014
POA2354,49,7,86,529,743,386,335,596,317,2906
POA2355,12,5,17,91,127,79,61,122,52,534
POA2356,0,0,0,15,14,10,9,49,19,105
POA2357,88,56,196,514,762,404,348,805,548,3384
POA2358,40,13,87,557,838,464,338,639,229,3069
POA2359,6,4,13,86,115,59,74,163,80,581
POA2360,204,65,411,1971,3018,1499,1235,3162,1182,12065
POA2361,18,0,24,109,171,92,95,243,84,783
POA2365,37,26,105,542,727,391,309,687,421,3067
POA2369,9,0,20,98,140,83,79,242,74,722
POA2370,111,70,265,1054,1643,865,692,1443,841,6535
POA2371,27,3,37,126,211,159,131,281,124,1037
POA2372,93,19,166,613,1046,599,499,974,370,4105
POA2379,0,0,8,56,61,35,12,39,36,241
POA2380,168,39,308,1520,2195,1023,828,2187,841,8600
POA2381,12,4,21,159,238,117,106,284,139,1041
POA2382,24,11,48,192,244,113,109,292,176,1129
POA2386,0,0,7,26,65,23,26,54,46,244
POA2387,0,0,6,30,35,8,21,36,31,158
POA2388,35,8,53,307,443,208,200,521,320,2007
POA2390,114,18,194,1195,1802,869,642,1660,666,6838
POA2395,3,0,7,99,144,79,64,142,91,619
POA2396,15,5,32,105,140,67,62,218,92,683
POA2397,0,0,4,40,44,22,20,69,33,229
POA2398,0,0,3,30,43,10,20,30,61,196
POA2399,3,0,3,72,73,42,54,148,112,500
POA2400,66,38,156,1160,1698,736,624,1919,1565,7697
POA2401,0,0,7,45,66,33,29,59,7,236
POA2402,37,7,58,227,324,178,157,417,134,1439
POA2403,6,5,14,84,119,55,75,118,108,567
POA2404,54,5,96,228,296,186,203,418,117,1447
POA2405,3,0,9,74,63,31,31,73,146,417
POA2406,0,7,11,88,120,58,49,160,98,569
POA2408,0,0,0,48,50,24,26,40,51,238
POA2409,7,4,9,100,94,69,65,250,248,834
POA2410,0,0,0,28,43,29,26,46,37,204
POA2411,0,0,0,15,16,8,9,14,16,84
POA2415,0,0,7,55,86,55,39,89,46,358
POA2420,68,10,125,526,894,534,417,812,204,3381
POA2421,11,0,22,312,459,274,208,288,99,1647
POA2422,102,20,222,761,1206,698,640,1170,361,4833
POA2423,62,5,93,423,700,424,398,636,267,2840
POA2424,3,0,6,47,96,53,66,106,44,412
POA2425,23,7,47,274,435,254,213,300,183,1654
POA2426,7,3,11,109,173,108,83,167,57,702
POA2427,75,19,141,436,810,500,410,858,173,3184
POA2428,650,288,1416,3428,5659,3075,2194,5892,1793,22044
POA2429,96,43,237,1241,2149,1186,1044,1813,644,8076
POA2430,663,188,1319,4881,7714,4342,3342,7818,2510,30602
POA2431,126,25,233,723,1344,756,515,1245,320,4905
POA2439,40,7,99,551,935,594,447,700,205,3427
POA2440,309,106,595,2849,4272,2303,2036,5069,2572,19097
POA2441,29,3,56,608,982,530,457,725,274,3581
POA2443,332,61,580,1186,2057,1162,895,2056,484,7832
POA2444,972,410,2183,8462,12367,5694,3588,10250,2567,42920
POA2445,60,5,145,1125,1894,982,651,1342,209,6201
POA2446,205,35,398,2198,3365,1776,1406,2698,708,12155
POA2447,115,28,255,1070,1721,913,831,1421,516,6462
POA2448,237,39,422,1309,2187,1125,877,2109,676,8271
POA2449,17,9,33,287,396,249,257,393,213,1790
POA2450,620,298,1408,7295,10665,5236,3532,9171,3107,39011
POA2452,254,76,544,2324,3486,1779,1041,3107,781,12526
POA2453,41,8,88,368,601,434,339,421,201,2362
POA2454,84,37,196,1139,1883,1144,744,996,568,6477
POA2455,53,13,119,449,735,433,300,596,227,2738
POA2456,174,52,379,2544,3973,1898,1278,3448,863,14003
POA2460,463,113,936,4123,6209,3427,2712,6274,3020,25759
POA2462,33,3,62,334,557,310,269,552,149,2168
POA2463,179,39,322,1113,1870,1088,810,1627,491,7003
POA2464,168,27,310,1049,1723,908,601,1415,450,6142
POA2465,0,0,5,65,57,33,50,55,22,281
POA2466,23,11,70,211,420,246,208,392,120,1601
POA2469,31,19,75,485,884,510,504,894,501,3771
POA2470,230,93,512,2031,3086,1505,1197,3432,1218,12469
POA2471,34,12,65,416,543,294,232,522,320,2321
POA2472,14,4,28,261,398,237,202,362,163,1620
POA2473,64,26,146,498,727,396,285,598,247,2753
POA2474,75,56,186,837,1457,814,626,1119,553,5413
POA2475,12,3,14,54,75,47,44,92,40,351
POA2476,3,4,17,101,183,98,89,154,110,733
POA2477,196,62,478,2056,3160,1661,1110,2139,571,10696
POA2478,670,224,1347,5360,7815,3668,2321,5955,1817,26942
POA2479,52,10,89,912,1458,666,495,643,468,4646
POA2480,522,149,1099,7168,11132,5298,3624,7735,3146,38110
POA2481,102,29,204,2546,3349,1342,808,2457,1240,11748
POA2482,80,13,133,1096,1681,843,533,894,735,5781
POA2483,90,23,189,1917,2960,1401,848,1656,944,9728
POA2484,217,184,603,3002,4560,2341,1758,3197,1790,16651
POA2485,406,138,822,2432,3402,1509,1038,3821,1245,13453
POA2486,912,208,1652,5210,7183,3720,2371,7462,1763,27704
POA2487,243,40,419,2421,3708,1698,1009,2803,701,12347
POA2488,23,18,72,533,878,378,232,568,213,2806
POA2489,116,44,244,1090,1776,953,614,1340,399,6170
POA2490,4,0,8,100,163,94,48,105,32,541
POA2500,393,209,1052,8618,11011,4140,2556,9389,2426,38144
POA2502,215,26,422,1602,2202,1100,1063,3472,683,10130
POA2505,108,11,199,736,1102,512,408,1206,261,4216
POA2506,120,27,220,1026,1375,687,633,2133,455,6313
POA2508,41,57,142,1455,2351,1169,814,1266,304,7355
POA2515,80,28,197,1951,3177,1626,961,1393,311,9425
POA2516,48,5,107,1057,1690,855,502,1039,166,5304
POA2517,322,71,538,2222,3368,1630,1041,2554,479,11290
POA2518,318,117,670,3144,4518,2157,1531,4224,934,16509
POA2519,220,48,476,2859,3938,1958,1370,3463,701,14288
POA2525,140,60,322,1966,2767,1532,1050,2247,353,9916
POA2526,232,140,504,2700,3856,1858,1431,3053,689,13594
POA2527,241,133,526,3819,5673,2720,2161,5289,914,20585
POA2528,318,144,694,3234,4701,2372,1963,5993,1470,19737
POA2529,249,146,598,4637,6499,3252,2365,5774,1132,23656
POA2530,422,60,781,5172,7479,3814,2956,7500,1181,28108
POA2533,195,133,572,2750,4539,2334,1474,2479,786,14365
POA2534,119,15,205,949,1492,758,439,932,232,4804
POA2535,151,78,394,1150,2019,1132,833,1273,477,6881
POA2536,388,55,675,2628,4438,2366,1704,4053,1320,16506
POA2537,193,54,449,1986,3274,1800,1209,2059,917,11243
POA2538,99,12,144,360,602,362,257,446,163,2190
POA2539,274,70,631,2949,4925,2655,1904,3778,1097,17304
POA2540,652,185,1377,6909,11040,5770,4306,9459,3454,40949
POA2541,540,71,932,3959,5721,2674,2123,6428,1766,22680
POA2545,3,0,12,145,241,149,162,184,102,990
POA2546,220,63,447,1392,2470,1472,988,1708,760,8795
POA2548,136,50,337,1369,2254,1151,679,1469,451,7372
POA2549,74,11,133,597,987,592,378,679,198,3425
POA2550,130,98,390,2449,4060,2265,1729,2471,1168,14145
POA2551,65,37,140,469,810,475,305,757,315,3131
POA2555,0,0,6,19,34,3,18,41,20,134
POA2556,14,4,42,315,429,260,245,586,204,2042
POA2557,54,10,105,2732,3745,1747,1614,4292,652,14778
POA2558,32,5,76,1589,2196,1029,875,2695,431,8810
POA2559,3,0,11,244,344,174,214,816,289,2083
POA2560,478,173,973,11118,15529,7191,6570,20154,4527,65085
POA2563,0,0,7,44,59,20,29,50,22,226
POA2564,65,18,126,1674,2160,1112,1137,3973,910,10966
POA2565,143,24,275,3947,5686,2790,2514,7900,1323,24155
POA2566,98,34,202,3574,4925,2306,2165,7141,1384,21499
POA2567,109,25,242,6683,8827,4099,2980,7623,1057,31271
POA2568,22,67,121,170,260,148,109,210,181,1074
POA2569,6,0,18,204,331,180,163,186,57,1120
POA2570,505,155,951,9148,13291,6422,5264,11479,2269,47868
POA2571,40,7,96,2068,2942,1458,1145,2034,539,10184
POA2572,48,83,178,833,1145,576,552,965,349,4416
POA2573,36,9,91,849,1207,596,475,1104,197,4435
POA2574,46,7,91,854,1288,654,545,1162,240,4749
POA2575,190,23,395,2773,4153,2159,1502,3180,692,14459
POA2576,330,169,859,2191,3587,1998,1384,2331,683,12174
POA2577,126,88,369,2628,4123,2159,1500,2518,973,13902
POA2578,65,21,129,431,776,466,317,407,121,2519
POA2579,18,19,67,629,1087,618,473,650,319,3774
POA2580,465,75,834,4854,6899,3300,2346,6363,2283,26053
POA2581,11,5,30,424,615,286,199,287,176,1977
POA2582,171,35,305,2279,3521,1591,1028,1955,620,11000
POA2583,82,24,166,733,1000,489,500,838,338,3904
POA2584,5,0,11,85,128,56,49,82,40,440
POA2585,0,0,5,31,42,28,23,43,38,198
POA2586,43,13,81,413,563,305,256,524,307,2366
POA2587,36,5,72,395,595,329,310,569,212,2422
POA2588,3,3,7,46,73,26,15,64,20,249
POA2590,157,29,275,964,1497,818,631,1635,436,5981
POA2594,203,37,357,1718,2386,1231,987,2626,760,9709
POA2619,15,0,55,1872,2659,1004,582,1198,190,7509
POA2620,280,78,596,8004,11410,4479,2721,7704,2655,36975
POA2621,23,4,57,1168,1861,789,474,713,252,5248
POA2622,37,10,85,553,1111,602,394,505,298,3457
POA2623,0,3,7,63,164,73,52,99,33,489
POA2624,0,0,0,30,29,9,8,46,23,142
POA2625,0,0,5,71,83,15,5,69,118,363
POA2626,4,0,4,84,139,63,48,46,38,420
POA2627,18,4,43,1177,1361,516,263,812,271,4407
POA2628,23,0,44,359,560,250,156,323,141,1793
POA2629,9,3,18,84,117,45,54,104,75,475
POA2630,146,33,284,1422,2065,933,666,1605,746,7432
POA2631,9,3,10,85,131,74,55,116,68,527
POA2632,41,0,52,292,404,201,185,346,135,1564
POA2633,9,0,18,52,62,42,36,63,17,276
POA2640,511,105,1009,6743,9454,4174,2528,7483,1928,32307
POA2641,186,53,385,2512,3436,1531,1113,3913,991,13496
POA2642,29,11,70,833,1147,595,441,797,446,4258
POA2643,63,9,99,426,638,348,263,678,149,2501
POA2644,37,0,64,386,502,270,207,464,192,2032
POA2645,8,0,18,59,86,41,23,85,25,310
POA2646,126,30,265,1048,1428,738,588,1505,470,5783
POA2647,36,19,79,341,553,297,217,524,225,2158
POA2648,51,6,78,309,491,302,224,522,404,2262
POA2649,0,0,0,0,11,4,6,0,0,22
POA2650,734,235,1524,10091,13995,5920,3845,12015,3099,48965
POA2651,3,0,13,423,546,225,179,743,303,2422
POA2652,29,13,81,785,956,488,446,737,340,3760
POA2653,41,14,80,355,498,280,240,480,336,2188
POA2655,26,9,49,173,301,169,119,245,77,1088
POA2656,38,3,61,192,274,139,132,260,74,1073
POA2658,29,6,55,215,285,160,156,283,118,1219
POA2659,8,0,17,141,160,89,76,156,88,710
POA2660,20,0,37,231,326,163,161,301,86,1268
POA2661,0,0,0,34,51,23,23,186,8,321
POA2663,57,6,102,655,873,435,333,1075,1065,4436
POA2665,26,5,63,293,382,209,225,399,120,1627
POA2666,128,25,231,832,1191,590,486,1223,286,4610
