POA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
POA2019,166,574,442,2172,15,3369,4,24,12,321,3,364,1034,24,28,52,0,1138,120,27,17,42,3,209,62,11,17,37,0,127,925,379,286,1786,23,3399,364,17,60,13,3,457,82,11,3,21,0,117,132,34,21,151,0,338,235,59,59,177,0,530,61,15,6,17,0,99,183,11,17,6,0,217,649,132,113,804,14,1712,290,73,49,233,5,650,42,0,0,0,0,42,78,25,21,42,0,166,44,0,5,17,0,66,93,25,16,91,0,225,103,27,16,19,0,165,96,36,18,13,0,163,107,32,6,27,0,172,112,10,15,20,0,157,47,10,6,0,0,63,257,77,66,531,3,934,128,4,13,22,0,167,89,16,19,3,0,127,135,10,9,11,0,165,18,0,0,3,0,21,75,6,14,7,0,102,47,4,13,35,0,99,1675,196,177,227,0,2275,72,7,9,26,731,845,6125,1079,871,4593,799,13467
POA2020,284,356,338,1425,13,2416,15,25,5,209,0,254,5566,46,82,38,22,5754,76,19,7,21,0,123,58,21,7,24,0,110,1144,274,214,1174,26,2832,566,10,35,4,4,619,95,10,19,12,0,136,147,23,18,119,5,312,493,92,49,206,0,840,30,6,5,10,0,51,662,4,4,3,0,673,776,76,72,565,14,1503,440,69,29,172,0,710,205,0,12,0,6,223,120,16,4,47,0,187,48,3,0,14,0,65,116,31,14,39,3,203,103,35,20,6,0,164,72,16,15,9,0,112,69,6,6,20,0,101,119,8,10,11,0,148,34,8,3,8,0,53,193,66,50,326,7,642,76,7,10,0,0,93,52,3,0,0,0,55,235,17,3,22,0,277,35,0,0,0,0,35,357,10,7,7,0,381,36,5,4,21,0,66,5878,186,190,197,32,6483,252,0,10,31,1084,1377,15690,845,703,3152,1204,21594
POA2021,143,752,565,2514,14,3988,5,11,10,40,0,66,427,39,36,68,5,575,50,21,14,30,0,115,89,41,16,56,0,202,1811,753,470,2846,24,5904,100,0,16,4,0,120,198,18,27,59,0,302,247,56,60,333,0,696,184,65,31,183,0,463,63,16,7,20,0,106,145,15,19,17,0,196,572,198,159,1524,11,2464,309,99,40,272,7,727,40,5,4,0,0,49,38,21,13,53,0,125,18,3,3,3,0,27,28,14,4,24,0,70,26,5,0,3,0,34,115,35,20,17,0,187,148,23,31,57,0,259,89,11,14,20,4,138,9,0,0,0,0,9,498,159,135,1068,7,1867,32,11,7,9,0,59,83,22,16,10,0,131,100,8,7,12,0,127,23,7,4,0,0,34,55,0,4,0,0,59,71,17,6,44,0,138,1423,250,213,276,11,2173,62,7,0,32,676,777,5462,1510,1112,6125,736,14945
POA2022,155,483,421,1534,11,2604,3,0,0,41,0,44,811,37,59,46,3,956,49,7,3,19,0,78,60,15,13,35,0,123,1722,351,301,1482,15,3871,188,5,9,4,0,206,196,20,12,23,0,251,249,45,30,156,3,483,187,28,17,100,0,332,118,20,8,29,0,175,144,9,16,3,0,172,783,136,85,727,9,1740,518,69,33,128,4,752,91,0,4,0,0,95,29,9,7,25,0,70,6,5,4,0,0,15,43,8,4,12,0,67,47,6,0,0,0,53,86,20,13,12,0,131,201,38,16,42,0,297,271,15,14,26,0,326,4,0,0,0,0,4,318,96,73,503,0,990,30,5,3,7,0,45,212,23,15,0,0,250,213,0,7,7,0,227,13,4,0,4,0,21,67,0,3,4,0,74,74,9,4,21,0,108,2209,185,210,207,12,2823,122,13,7,21,818,981,7467,948,797,3416,882,13510
POA2023,141,497,406,1496,12,2552,0,0,0,25,0,25,615,28,53,23,9,728,25,9,0,13,0,47,63,21,15,22,0,121,1089,353,273,1342,16,3073,53,3,3,0,0,59,99,13,8,10,0,130,229,51,33,150,4,467,121,44,31,175,3,374,204,33,27,51,3,318,124,12,10,7,0,153,288,102,57,632,3,1082,208,60,28,114,5,415,15,0,5,0,0,20,46,15,9,36,0,106,6,10,0,0,0,16,7,4,4,8,0,23,16,0,0,0,0,16,68,12,16,12,0,108,246,44,30,68,3,391,193,20,18,31,4,266,9,0,6,0,0,15,215,67,58,522,3,865,28,0,3,5,0,36,350,24,36,0,0,410,73,0,3,8,0,84,9,5,3,0,0,17,38,0,8,0,0,46,43,4,0,11,0,58,1635,258,222,246,6,2367,77,18,8,25,390,518,4960,1003,814,3378,440,10595
POA2024,121,593,437,1804,18,2973,3,9,0,53,0,65,222,16,37,63,5,343,52,4,7,22,0,85,88,25,18,42,0,173,1492,507,357,1864,30,4250,49,0,13,12,0,74,174,22,21,52,4,273,215,56,28,171,4,474,143,44,31,113,4,335,75,14,8,33,0,130,78,16,20,15,0,129,558,130,101,984,6,1779,289,73,31,186,4,583,27,0,0,0,0,27,50,4,3,58,0,115,12,5,0,3,0,20,23,6,17,22,0,68,30,9,12,0,0,51,90,24,21,15,0,150,83,11,6,17,0,117,120,7,8,7,3,145,3,0,0,0,0,3,327,115,83,606,0,1131,30,3,4,0,0,37,107,41,19,5,0,172,106,4,9,9,0,128,18,6,0,5,0,29,26,3,3,0,0,32,53,10,4,29,0,96,1116,183,158,164,13,1634,59,12,7,27,710,815,4502,1111,841,4133,790,11377
POA2025,75,290,255,1221,6,1847,0,5,3,14,0,22,327,19,33,18,3,400,34,8,8,4,0,54,58,13,6,18,0,95,777,278,198,1394,13,2660,51,0,8,0,3,62,74,9,9,16,0,108,133,32,20,111,0,296,58,21,7,73,4,163,51,16,5,19,0,91,100,15,14,4,0,133,203,79,60,704,4,1050,122,34,10,95,0,261,21,0,0,0,0,21,25,10,5,41,0,81,4,4,0,0,0,8,12,3,0,8,0,23,16,0,0,3,0,19,41,5,6,3,0,55,100,15,17,22,0,154,66,4,8,9,0,87,9,0,0,0,0,9,174,73,48,508,3,806,9,0,10,0,0,19,101,11,3,4,0,119,58,0,0,7,0,65,25,0,9,5,0,39,52,0,4,4,0,60,31,6,5,19,0,61,705,135,101,131,13,1085,39,6,3,21,362,431,2765,625,498,2901,399,7188
POA2026,391,1415,1148,3891,38,6883,18,16,8,114,0,156,544,57,78,71,0,750,117,40,19,60,0,236,287,64,49,104,8,512,4701,1018,836,3822,65,10442,215,9,37,13,4,278,763,58,44,95,4,964,870,125,97,392,9,1493,318,99,60,267,7,751,275,70,32,81,0,458,265,24,31,12,0,332,1537,247,207,1929,23,3943,1309,169,115,458,13,2064,91,7,18,5,0,121,118,29,18,71,0,236,46,6,0,7,0,59,61,17,15,56,3,152,113,25,11,3,0,152,230,77,57,17,0,381,487,82,71,134,0,774,563,45,24,64,3,699,22,10,7,4,0,43,930,272,183,1221,10,2616,72,13,10,9,0,104,764,81,62,22,5,934,674,20,25,27,5,751,32,9,5,7,0,53,72,0,14,3,0,89,196,29,16,53,0,294,5194,635,565,530,39,6963,256,19,28,71,1919,2293,16675,2773,2197,8944,2098,32687
POA2027,86,298,261,1145,19,1809,0,4,0,23,0,27,452,22,18,29,0,521,29,10,3,3,0,45,33,24,5,16,0,78,811,269,209,1401,21,2711,61,0,3,3,0,67,82,6,8,26,0,122,172,28,23,108,0,331,112,31,5,58,0,206,98,16,12,13,0,139,79,7,3,4,0,93,253,77,64,652,5,1051,175,50,33,110,0,368,14,0,4,0,0,18,30,17,8,27,0,82,10,0,3,0,0,13,13,0,4,10,0,27,15,3,0,4,0,22,40,13,7,0,0,60,156,26,15,28,0,225,87,21,18,12,0,138,3,0,0,0,0,3,222,64,55,481,5,827,17,6,10,4,0,37,113,13,11,3,0,140,56,7,6,5,0,74,7,5,0,0,0,12,36,0,0,4,0,40,23,8,3,11,0,45,860,99,74,124,9,1166,30,5,3,20,454,512,3302,649,492,2857,515,7815
POA2028,43,222,160,711,14,1150,0,3,4,12,0,19,229,3,20,29,0,281,17,6,0,11,0,34,30,9,0,17,0,56,510,182,131,682,4,1509,16,0,0,0,0,16,62,11,9,13,0,95,103,26,17,81,0,227,46,15,6,40,0,107,80,21,12,20,0,133,41,3,0,0,0,44,139,61,36,385,0,621,99,30,8,76,0,213,22,0,0,0,0,22,16,10,5,24,0,55,8,0,3,0,0,11,13,4,4,15,0,36,11,0,0,0,0,11,36,11,7,0,0,54,85,17,7,25,0,134,85,3,3,5,0,96,0,0,0,0,0,0,117,39,29,247,3,435,14,4,0,0,0,18,96,11,7,3,0,117,26,3,0,0,0,29,12,0,0,0,0,12,31,0,0,0,0,31,17,7,0,10,0,34,620,87,73,84,9,873,17,0,0,19,183,219,2068,458,324,1652,217,4719
POA2029,161,441,330,1080,15,2027,0,0,0,38,0,38,379,11,32,17,4,443,42,4,3,24,0,73,60,10,7,17,0,94,1152,311,209,1109,19,2800,95,0,12,0,0,107,78,13,8,22,0,121,230,34,11,107,3,385,149,28,23,86,4,290,144,21,15,40,0,220,88,9,5,6,0,108,273,93,60,482,0,908,268,62,25,138,5,498,42,3,8,0,0,53,35,18,13,24,0,90,6,0,0,0,0,6,13,0,7,27,0,47,12,4,0,0,0,16,53,15,22,9,0,99,214,37,36,52,3,342,256,22,22,23,3,326,0,0,0,0,0,0,192,65,41,372,9,679,34,0,4,0,0,38,598,48,26,6,6,684,98,9,6,0,0,113,16,7,3,0,0,26,20,0,0,0,0,20,22,18,0,12,0,52,1729,230,160,180,12,2311,83,10,9,15,523,640,5225,898,653,2548,588,9912
