POA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA2019,12,30,114,570,412,139,37,16,1324,0,20,125,126,14,0,0,0,296,0,21,108,448,136,8,0,6,722,0,40,235,578,154,11,0,6,1018,20,82,93,22,0,0,0,9,225,11,55,362,154,13,0,0,4,600,13,489,942,242,0,0,0,18,1706,0,6,15,4,0,0,0,0,24,0,4,10,4,0,0,0,0,10,41,639,1411,423,11,0,0,33,2565,0,10,14,11,5,0,0,0,36,0,0,4,6,0,0,0,0,13,54,710,1781,1591,575,144,41,55,4957
POA2020,0,15,230,830,441,126,39,23,1704,0,5,91,135,44,13,5,0,304,0,0,0,7,12,0,0,0,17,0,5,91,140,54,13,10,0,320,3,81,184,42,7,9,0,10,339,4,74,243,61,4,0,0,3,388,5,517,1128,257,7,0,0,21,1935,5,737,1789,747,20,0,0,47,3347,0,0,4,3,0,0,0,0,14,16,1413,3341,1114,46,10,0,81,6026,0,3,23,7,0,3,0,0,35,0,4,11,3,0,0,0,3,23,14,1445,3704,2096,543,151,47,110,8105
POA2021,4,17,59,195,121,45,19,3,465,4,37,98,83,26,3,0,0,245,15,103,801,1541,628,76,15,18,3196,16,136,901,1624,658,77,17,19,3441,33,136,131,29,4,0,0,0,325,81,190,352,63,0,0,0,9,685,215,472,360,83,5,0,5,8,1144,41,252,156,5,0,0,0,3,459,0,0,0,0,0,0,0,0,0,369,1043,996,178,4,0,4,25,2621,4,13,27,14,0,0,0,0,55,0,0,0,0,0,0,0,0,4,393,1207,1981,2011,783,127,40,45,6586
POA2022,0,0,53,260,229,81,19,0,647,0,13,150,220,115,12,0,0,525,0,19,164,438,244,58,13,13,959,0,34,319,664,360,70,15,11,1481,7,121,181,43,11,3,4,9,386,22,212,386,72,0,0,6,9,705,46,123,185,80,0,0,0,5,443,48,511,715,296,10,0,0,21,1612,4,0,0,6,0,0,0,0,13,128,967,1476,496,33,5,4,50,3155,21,97,82,56,4,0,0,9,263,9,0,0,4,0,0,0,0,15,152,1096,1931,1483,622,156,40,78,5559
POA2023,4,13,35,250,550,391,121,10,1372,0,0,13,29,8,9,0,0,58,0,0,11,52,44,4,6,0,116,0,0,19,79,49,15,6,3,169,0,24,121,113,20,8,0,0,283,9,134,611,348,29,7,0,7,1151,4,100,491,284,17,6,0,15,910,0,36,60,31,0,0,0,0,126,0,0,8,3,0,0,0,0,13,20,294,1292,780,64,14,0,24,2489,3,7,0,6,0,0,0,0,14,0,0,4,0,0,0,0,0,7,25,313,1344,1117,667,419,126,39,4056
POA2024,5,4,72,321,453,187,36,7,1083,0,10,121,166,96,13,0,6,411,3,11,80,183,167,45,0,3,494,5,12,201,353,265,58,0,16,908,5,110,325,99,11,6,3,18,580,24,261,704,60,9,0,0,36,1096,24,80,215,35,4,0,0,3,357,0,13,75,34,0,0,0,0,120,0,0,0,3,0,0,0,0,6,60,461,1324,229,26,8,3,52,2164,0,16,18,12,3,0,0,0,49,0,0,0,0,0,0,0,3,8,74,502,1619,915,743,252,36,80,4212
POA2025,0,9,49,150,206,92,26,7,532,0,23,96,100,42,11,0,4,273,0,15,128,314,162,27,0,3,656,0,40,226,411,212,34,0,4,928,0,62,167,70,13,3,0,0,319,0,136,369,106,16,0,0,9,636,18,78,192,57,5,0,0,5,356,0,60,62,65,0,0,0,0,185,0,5,0,0,0,0,0,0,10,24,339,790,295,33,6,0,12,1506,0,0,5,0,0,0,0,0,6,0,0,4,0,0,0,0,0,10,26,393,1067,859,447,132,25,32,2988
POA2026,0,13,60,410,545,183,48,19,1283,0,10,338,534,168,35,5,9,1104,0,7,78,340,438,92,10,7,982,0,16,421,871,606,129,13,21,2083,31,476,1288,397,73,14,5,31,2304,153,1120,3124,564,47,8,4,61,5072,73,583,1286,264,16,0,0,31,2258,82,73,191,122,4,0,0,7,481,0,0,0,5,0,0,0,0,4,333,2250,5890,1349,143,17,11,132,10129,5,21,48,16,0,0,0,0,86,0,11,0,4,0,0,0,5,23,348,2316,6411,2649,1297,332,80,170,13603
POA2027,0,9,21,80,103,77,40,4,326,0,0,13,9,3,0,0,0,27,0,4,131,172,55,9,4,4,385,0,6,141,182,60,9,4,4,410,0,24,67,64,4,3,4,0,167,15,141,275,192,29,3,4,0,668,22,215,435,333,27,7,0,20,1059,8,170,412,276,11,0,0,20,903,0,0,4,4,0,4,0,0,18,52,550,1195,869,80,14,9,45,2821,0,0,0,0,0,0,0,0,0,3,9,3,3,0,0,0,0,19,57,570,1366,1136,241,101,49,50,3578
POA2028,0,0,15,97,114,62,6,4,286,0,0,7,9,0,0,0,0,13,0,0,13,109,30,10,8,0,170,0,0,21,119,35,7,8,0,190,0,6,75,78,3,0,0,0,166,0,64,408,143,7,0,0,12,641,0,82,455,218,13,0,0,6,772,0,5,28,10,0,0,0,0,42,0,0,0,0,0,0,0,0,0,4,159,973,440,25,0,0,17,1632,0,8,5,0,0,0,0,0,21,0,0,6,0,0,0,0,0,3,7,174,1013,660,173,66,9,26,2130
POA2029,0,5,36,198,378,157,37,14,826,0,0,28,66,19,0,0,0,116,0,32,41,103,52,8,0,4,236,0,32,64,169,76,9,0,4,349,0,82,266,153,15,5,3,4,526,15,245,1102,496,40,3,0,20,1916,12,44,111,72,4,0,0,6,249,8,12,8,0,0,0,0,0,32,0,0,16,12,4,0,0,0,30,32,383,1507,735,68,7,3,26,2758,4,22,21,14,0,0,0,0,59,0,0,3,0,0,0,0,0,8,36,448,1634,1113,516,167,46,49,4006
POA2030,3,7,93,531,1098,657,175,31,2596,0,4,40,37,16,4,0,0,104,0,0,47,141,133,28,0,6,368,0,11,92,178,151,37,4,11,469,0,56,300,172,19,10,9,11,574,4,60,394,192,10,0,0,10,668,4,49,278,81,7,0,0,0,415,0,10,22,17,0,0,0,0,44,0,0,0,0,0,0,0,0,4,3,166,999,456,35,13,6,21,1705,0,14,40,33,0,0,0,0,96,0,5,3,3,0,0,0,0,15,11,207,1224,1194,1294,707,184,63,4881
POA2031,11,25,129,690,799,346,82,6,2081,5,22,262,598,241,45,5,3,1181,0,60,219,473,369,54,8,11,1191,7,80,481,1066,609,97,12,13,2366,8,343,931,238,46,3,10,13,1592,11,733,3324,521,9,9,3,39,4650,16,483,1407,310,3,0,0,25,2252,27,94,223,23,0,0,0,0,373,6,8,3,3,5,0,3,0,29,70,1673,5894,1090,61,15,10,87,8892,9,70,103,60,11,0,3,0,258,0,0,6,4,0,0,0,4,16,87,1847,6615,2910,1483,462,112,108,13615
POA2032,8,26,170,799,549,246,91,12,1901,10,41,193,221,34,15,6,16,531,6,85,99,189,80,19,4,9,496,10,132,290,413,116,41,9,29,1031,29,120,230,123,13,5,3,5,533,34,243,820,156,13,0,0,15,1285,27,74,290,44,5,0,0,5,447,3,12,173,139,17,0,0,0,346,0,3,5,0,0,3,0,0,15,88,461,1523,462,50,10,3,36,2621,0,14,3,4,5,0,4,0,34,0,0,0,0,0,0,4,0,13,108,629,1992,1672,719,294,108,79,5599
POA2033,4,15,41,300,333,167,49,9,915,0,8,22,82,20,5,0,0,143,3,4,13,78,54,13,0,0,161,3,12,35,159,69,14,0,3,304,0,63,237,40,8,0,0,4,356,38,377,656,124,10,3,3,12,1220,19,200,743,120,5,26,0,13,1130,0,33,235,122,3,0,0,0,403,0,0,0,0,0,0,0,0,8,57,680,1873,413,26,24,7,27,3110,0,0,0,0,0,0,0,0,7,0,0,0,3,5,0,0,3,14,68,712,1947,876,436,204,59,41,4354
POA2034,0,12,58,386,677,262,55,13,1454,5,14,76,160,54,16,0,0,333,0,6,70,292,179,32,0,3,593,7,19,155,457,234,51,3,8,928,44,256,690,287,34,6,5,18,1338,27,596,2402,735,24,0,6,60,3848,8,112,268,159,8,0,0,7,559,0,15,27,10,0,0,0,0,52,0,6,8,11,10,0,0,0,32,79,981,3384,1201,75,8,6,87,5829,0,9,17,9,0,0,0,0,38,0,3,4,0,0,0,0,4,7,91,1023,3618,2046,997,314,70,109,8258
POA2035,8,23,262,1668,1642,701,199,36,4535,6,25,484,493,107,22,3,14,1148,7,73,237,744,349,72,8,13,1507,10,103,722,1236,455,99,15,23,2653,67,198,543,356,13,4,0,24,1206,10,351,1450,273,7,0,0,34,2119,41,390,931,181,5,0,3,30,1581,19,241,641,136,7,0,0,12,1051,0,3,9,0,4,4,0,0,25,131,1181,3570,953,35,9,7,98,5978,0,32,48,19,0,0,0,0,100,5,3,4,7,0,0,0,0,18,154,1346,4603,3871,2131,809,216,164,13296
POA2036,5,19,288,1581,1614,595,163,45,4305,35,60,89,128,29,0,0,4,355,0,75,224,914,423,29,7,27,1704,35,134,309,1041,457,31,13,33,2052,53,249,117,73,23,8,0,31,551,0,248,1108,357,7,0,0,43,1762,10,552,1352,511,26,0,4,29,2485,0,184,413,154,11,0,0,5,775,3,9,14,10,7,0,0,0,41,68,1244,3003,1101,72,8,3,115,5611,0,0,4,3,0,0,0,0,14,0,9,11,0,3,0,0,0,21,108,1400,3621,3726,2149,632,178,185,12002
POA2037,0,19,62,112,89,37,5,8,337,5,104,242,238,91,10,4,12,707,41,246,812,933,390,73,28,40,2555,45,349,1055,1173,483,84,33,48,3264,52,149,116,51,16,4,4,34,422,144,348,526,97,16,0,0,22,1152,33,556,433,81,6,0,0,7,1111,39,394,552,127,0,0,0,9,1120,0,0,0,0,0,0,0,0,0,266,1451,1618,366,39,11,4,67,3820,0,32,33,10,3,7,0,5,92,8,6,0,9,0,0,4,0,23,320,1856,2771,1663,612,128,48,128,7533
POA2038,0,19,197,397,192,42,6,9,864,3,49,427,424,141,19,0,5,1068,8,73,171,329,125,16,5,4,718,6,116,599,754,268,41,6,9,1790,35,103,192,71,11,0,0,3,421,45,136,75,17,4,0,0,0,275,56,180,125,6,0,0,0,6,375,0,0,0,0,0,0,0,0,0,0,6,18,0,0,4,0,0,22,135,425,409,94,15,4,0,11,1093,0,15,18,11,0,0,0,0,47,0,4,0,0,0,0,0,0,8,141,577,1221,1250,478,81,16,25,3794
POA2039,0,14,180,429,216,38,0,5,884,0,39,253,196,58,0,0,0,548,6,57,270,396,109,10,0,3,852,6,94,518,593,168,17,0,8,1397,14,91,101,34,6,0,0,0,243,0,60,101,32,5,0,0,0,197,9,234,329,153,3,0,0,5,741,11,24,10,12,0,0,0,0,59,0,0,5,4,0,0,0,0,12,37,412,546,241,15,0,0,10,1258,0,20,23,8,0,0,0,0,55,0,0,0,0,0,0,0,0,3,51,544,1265,1263,402,54,0,26,3603
POA2040,15,58,867,1740,778,138,11,18,3626,0,76,661,541,147,13,0,11,1451,18,58,392,567,150,23,8,8,1214,13,132,1051,1110,299,37,9,17,2664,24,220,491,229,16,3,0,14,992,25,201,425,57,0,0,0,14,716,30,245,279,62,0,0,0,4,617,0,73,84,15,0,0,0,0,171,5,4,3,0,0,0,0,0,11,85,740,1277,357,22,5,0,29,2515,4,12,14,8,4,0,0,3,42,0,0,7,3,3,0,0,0,15,114,945,3212,3219,1108,179,25,70,8865
POA2041,0,35,277,561,459,113,15,3,1459,3,61,358,314,141,15,0,3,899,9,80,476,899,383,70,13,13,1932,6,138,833,1216,526,86,14,16,2831,11,147,208,85,17,0,0,5,471,52,313,525,63,5,0,0,11,977,34,157,363,81,11,0,0,9,648,3,25,48,36,0,0,0,0,110,0,3,3,0,0,0,0,0,11,102,640,1152,258,32,0,0,23,2220,0,5,12,3,0,0,0,0,24,0,3,4,0,0,0,0,0,13,114,822,2275,2043,1023,192,30,45,6544
POA2042,3,32,112,285,142,33,17,6,620,4,165,1050,675,124,20,8,14,2062,20,91,566,924,401,69,15,25,2104,25,255,1615,1598,524,89,18,40,4165,100,228,229,46,10,0,4,5,626,173,403,488,39,0,0,3,10,1120,130,588,351,65,0,0,0,19,1152,57,87,32,18,3,0,0,0,197,3,10,8,3,5,0,0,0,29,463,1324,1106,168,21,5,11,31,3121,16,64,87,59,8,0,6,9,242,6,4,4,4,0,0,0,0,23,503,1679,2923,2112,694,130,50,81,8179
POA2043,0,8,37,60,35,0,0,0,146,6,74,287,123,30,0,0,3,532,10,78,436,386,112,11,4,0,1034,17,144,725,511,142,11,4,8,1566,13,30,116,30,0,0,0,8,191,13,35,85,11,0,0,0,3,143,8,620,812,90,0,0,0,3,1538,4,336,518,67,0,0,0,9,932,0,0,0,0,0,0,0,0,0,35,1026,1526,192,3,0,0,19,2801,0,4,8,3,0,0,0,0,19,0,3,4,0,0,0,0,0,10,50,1184,2299,768,184,16,4,29,4540
POA2044,3,30,306,661,238,55,11,20,1325,3,28,393,261,49,5,0,9,758,0,10,88,201,64,10,0,0,372,6,38,477,459,116,18,3,6,1124,3,35,52,4,0,0,0,0,97,5,76,109,20,0,0,0,6,211,5,68,248,17,3,0,0,0,343,0,0,0,0,0,0,0,0,0,5,11,5,11,6,0,0,0,35,12,190,415,51,7,0,0,5,683,3,8,13,4,3,0,0,0,37,0,0,4,0,0,0,0,0,4,28,268,1211,1177,369,80,17,32,3176
POA2045,0,10,117,753,692,162,22,15,1773,0,27,67,114,20,0,0,0,236,0,0,0,16,16,0,0,0,38,0,30,68,133,36,0,0,0,274,0,5,36,6,0,0,3,0,57,0,9,67,0,0,0,0,0,77,0,5,16,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,7,0,24,118,9,0,0,3,0,158,0,0,4,7,0,0,0,0,12,0,0,3,0,0,0,0,0,5,0,73,315,896,727,165,28,19,2224
