POA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2019,0,0,4,3,0,0,0,0,0,16,0,0,0,5,7,0,0,0,0,9,0,12,15,98,61,48,36,7,3,285,0,3,0,20,7,5,7,0,0,46,0,0,0,6,0,0,0,0,0,11,0,0,6,24,15,11,13,3,0,76,0,6,3,8,5,3,0,0,0,33,0,0,8,53,40,27,12,8,0,140,0,0,0,9,6,3,0,0,0,22,0,0,0,9,11,0,0,0,0,16,0,6,0,23,3,0,0,0,0,33,0,0,0,6,3,6,0,6,0,27,6,3,0,18,7,8,0,3,0,47,0,0,3,27,9,3,6,0,0,59,0,0,4,7,8,3,0,0,0,21,0,0,0,6,3,3,0,0,0,9,4,15,24,287,114,106,102,46,13,715,34,62,84,289,67,57,40,41,4,679,938,1606,1457,4601,1907,1381,925,499,155,13467
POA2020,0,3,6,40,3,0,0,0,0,51,0,0,0,0,0,0,0,0,0,4,3,14,32,289,60,46,25,14,5,475,0,0,0,25,0,6,3,0,0,42,0,0,0,0,0,0,0,6,0,5,0,0,0,32,11,8,11,0,0,59,7,4,6,63,6,3,0,0,0,88,0,0,7,38,4,9,5,0,0,60,0,0,8,25,6,3,8,0,0,55,0,0,17,108,9,3,4,0,0,139,0,3,22,274,37,17,4,0,0,373,0,0,0,29,25,41,16,13,0,121,3,9,11,50,4,5,3,0,0,81,0,5,103,133,33,17,16,0,0,308,0,0,0,10,3,0,0,0,0,18,0,0,0,5,0,0,0,0,0,11,24,100,188,1171,143,126,109,58,24,1948,39,50,223,585,48,60,58,30,18,1106,1138,1393,3579,10665,1794,1394,917,522,190,21591
POA2021,0,0,0,6,0,0,0,0,0,9,0,0,0,3,9,8,0,0,0,23,0,0,5,57,12,9,0,0,0,90,0,0,0,14,8,11,3,5,3,41,0,0,0,0,3,0,0,0,0,3,0,0,0,30,20,16,10,21,0,92,3,11,4,16,12,3,0,0,0,45,0,9,11,81,35,24,18,14,4,181,0,0,0,11,0,4,0,0,0,19,0,0,0,13,0,0,0,0,0,13,0,4,4,44,10,6,0,0,0,80,0,0,0,5,0,0,0,0,0,11,17,40,28,108,53,31,13,14,0,292,0,7,5,13,13,3,0,0,0,40,0,0,0,14,6,4,0,0,0,31,0,0,0,8,0,3,0,0,0,19,0,13,22,306,84,49,78,53,25,635,15,31,71,252,80,52,46,28,14,603,714,1238,1469,5695,2051,1549,1195,772,267,14946
POA2022,0,0,0,6,3,0,5,0,0,15,0,0,0,3,4,0,0,0,0,14,0,4,7,100,19,22,10,0,0,167,0,0,4,24,12,5,11,4,0,65,0,0,0,0,0,0,0,0,0,0,0,0,6,40,10,11,8,10,3,87,4,3,5,17,6,8,11,0,0,53,0,13,9,105,66,48,42,39,18,339,0,0,0,0,4,0,0,6,0,16,0,0,0,11,10,5,5,0,0,34,0,0,4,34,5,0,4,0,0,53,0,0,3,13,9,0,3,0,0,26,8,19,23,67,30,11,14,6,3,176,0,3,5,14,20,0,6,0,0,55,0,0,4,36,4,0,5,0,0,46,0,0,0,7,3,3,0,0,0,14,6,18,38,523,123,123,155,120,67,1176,22,45,82,392,65,67,73,71,31,847,666,1288,1244,5437,1628,1206,1046,688,306,13509
POA2023,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,15,0,3,3,20,8,15,0,0,0,52,0,0,0,9,0,9,19,9,4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,10,0,0,0,33,0,13,10,10,9,8,10,4,0,60,0,13,25,124,97,119,150,38,9,582,0,0,0,3,0,0,5,0,0,14,0,0,0,0,0,3,5,0,0,10,0,0,0,14,3,0,0,5,0,30,0,0,0,5,5,0,0,3,0,5,8,26,29,62,21,14,15,3,0,176,0,5,6,10,8,3,0,0,0,30,0,0,0,5,6,0,8,0,0,14,0,0,0,3,3,6,4,0,0,18,0,15,34,249,111,74,153,76,35,747,13,40,63,147,42,28,33,22,9,400,509,1314,1246,3040,1409,1257,1083,555,177,10590
POA2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,12,0,0,0,22,7,8,4,5,0,38,0,0,0,8,11,0,8,4,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,14,11,10,0,70,4,14,3,11,6,4,5,0,0,53,0,0,5,63,62,26,26,11,4,190,0,0,0,0,0,3,0,4,0,14,0,0,0,5,0,0,0,0,0,6,0,5,6,9,0,4,0,0,0,23,0,0,0,0,0,0,0,0,0,6,7,43,12,68,23,16,3,4,3,184,0,0,0,10,4,0,0,0,0,16,0,0,0,15,0,3,0,0,3,20,0,0,0,5,5,3,0,0,0,6,0,16,16,255,84,72,80,80,40,643,28,46,45,190,64,52,41,34,29,528,631,1421,1070,3672,1630,1199,813,542,401,11380
POA2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,10,0,3,4,33,3,6,0,0,0,55,0,0,0,4,6,0,5,6,5,26,0,0,0,0,0,0,0,0,0,3,0,0,0,9,5,6,3,4,0,26,0,14,11,13,7,0,3,0,0,52,0,3,10,57,26,26,33,30,16,204,0,0,0,10,8,0,0,0,0,18,0,0,0,12,3,0,0,0,0,21,0,0,0,13,4,0,0,0,0,21,0,0,0,5,3,0,0,0,0,9,6,29,11,35,10,20,15,0,0,125,0,0,0,14,7,0,0,0,0,23,0,0,0,4,7,0,0,0,0,13,0,0,0,4,7,0,0,0,3,11,0,16,19,121,47,41,50,41,38,372,15,29,23,76,36,20,23,25,18,262,357,744,645,2126,886,768,789,589,284,7189
POA2026,0,0,0,8,0,0,0,0,0,12,0,0,0,5,6,0,0,0,0,13,0,0,8,93,28,21,14,0,4,168,0,0,0,67,14,8,31,0,17,139,0,0,0,0,0,3,0,0,0,9,0,0,11,114,41,24,12,11,0,216,0,16,6,25,6,7,14,16,4,102,0,21,50,439,246,177,136,79,38,1167,0,0,0,14,6,3,0,4,0,19,0,0,0,8,0,0,0,0,0,10,0,0,6,52,13,6,4,5,0,89,0,0,0,32,8,13,9,0,0,57,20,61,46,458,71,45,16,6,0,720,0,3,0,22,12,3,0,0,0,42,0,3,3,83,14,3,7,4,0,113,0,0,0,11,7,9,6,7,0,41,13,47,106,1566,276,237,323,235,100,2909,73,144,149,999,199,127,87,76,29,1888,1858,2815,2661,15618,3931,2496,1791,1079,449,32693
POA2027,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,6,0,0,0,5,0,0,0,20,12,9,9,0,0,53,0,0,0,6,3,3,7,7,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,11,3,0,42,0,9,15,21,3,10,6,0,0,70,0,0,5,49,27,40,58,36,13,233,0,0,0,6,0,0,0,0,0,5,0,3,0,12,8,0,0,0,0,23,0,5,0,18,4,3,0,0,0,32,0,0,0,3,8,0,0,0,0,15,8,14,16,40,16,15,18,10,7,133,0,0,5,8,9,0,0,0,0,20,0,0,0,7,0,0,0,0,0,5,0,0,0,3,3,0,0,0,0,9,0,7,10,124,36,53,74,67,44,413,19,32,47,147,55,60,50,42,16,463,281,565,615,2311,882,954,1025,831,341,7810
POA2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,9,0,3,5,0,0,21,0,0,0,4,0,0,7,0,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,6,0,0,16,0,0,6,4,5,0,7,0,0,15,0,4,7,55,22,20,44,20,8,177,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,4,0,0,6,0,0,0,3,3,0,0,0,0,11,0,0,0,8,5,0,0,0,0,10,0,9,9,29,12,10,5,0,0,73,0,5,0,8,6,0,4,0,0,18,0,0,0,4,3,0,0,0,0,9,0,0,0,0,6,0,0,0,0,9,4,13,0,102,30,39,66,43,17,317,7,22,12,81,15,24,17,12,13,196,242,342,426,1667,509,488,532,365,144,4709
POA2029,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,39,28,10,0,0,0,84,0,0,0,7,4,6,14,11,6,51,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,4,6,0,4,31,0,19,4,3,0,9,3,0,0,40,4,24,34,221,175,201,140,93,29,926,0,0,3,4,5,0,3,0,0,12,0,0,0,9,0,0,0,0,0,15,0,8,3,11,3,6,0,0,0,29,0,0,0,4,0,0,3,0,0,13,7,16,8,44,9,9,6,3,5,113,0,0,0,3,10,0,0,0,0,12,0,0,0,4,4,0,0,0,0,10,0,0,0,3,5,12,3,0,3,28,7,26,18,235,135,92,145,99,48,802,18,43,47,127,48,57,46,49,58,487,514,1108,1011,2873,1326,1063,936,710,361,9911
POA2030,0,0,0,4,0,0,4,0,0,6,0,0,0,0,4,5,0,0,0,16,0,7,8,35,21,5,4,0,0,80,0,0,0,10,6,5,25,9,9,63,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,9,4,0,4,44,0,16,0,3,8,8,3,8,0,50,0,18,93,275,332,353,177,82,36,1366,0,0,0,0,4,4,3,3,0,14,0,0,0,16,6,0,9,0,0,30,0,6,0,5,3,4,0,0,0,16,0,0,0,5,6,4,3,5,0,19,11,39,35,41,26,31,10,3,0,193,0,0,0,5,11,0,0,0,0,19,0,0,0,3,4,0,0,0,0,17,0,0,0,4,6,18,3,3,0,38,6,35,35,246,208,152,200,101,70,1045,22,64,78,162,93,51,48,46,36,612,664,2088,1954,2956,2315,1825,1391,814,428,14434
POA2031,0,3,0,16,0,0,0,0,0,23,0,0,0,3,9,5,3,0,0,26,3,6,25,144,68,47,28,14,4,325,0,0,0,47,24,10,24,10,21,140,0,0,0,0,0,4,0,0,0,7,0,0,5,137,47,47,29,13,6,294,0,16,23,48,14,7,12,9,3,131,0,0,50,170,117,94,44,57,36,576,0,0,0,22,11,6,7,8,4,60,0,4,5,20,3,3,12,0,0,51,0,12,17,74,19,18,5,0,0,140,0,0,0,17,8,4,5,4,0,39,24,56,30,169,67,40,25,6,4,424,0,6,15,50,32,9,9,5,0,127,0,3,5,47,10,17,5,4,3,89,0,0,4,10,9,6,3,3,0,34,13,56,85,799,279,221,244,186,141,2024,66,92,188,536,141,110,97,75,87,1406,1873,3364,3498,12730,4386,3218,2368,1502,890,33830
POA2032,0,5,14,42,4,0,0,0,0,76,0,0,0,0,5,3,5,0,0,9,0,3,34,128,41,24,10,4,0,259,0,0,0,15,8,10,23,7,3,64,0,0,0,0,0,0,0,0,0,4,0,0,0,22,8,6,11,4,3,44,0,5,16,31,0,16,16,4,0,85,0,8,20,36,44,13,6,0,0,122,0,0,0,27,0,3,12,4,0,49,0,0,0,38,6,14,15,0,0,79,0,0,8,89,15,13,5,0,0,145,0,0,3,17,5,11,8,3,0,50,0,10,21,38,11,8,3,4,0,96,0,0,28,57,16,12,14,16,4,145,0,0,0,7,4,4,0,0,0,15,0,0,0,5,0,0,0,0,0,7,11,39,44,357,99,101,113,97,39,905,17,41,132,284,66,55,54,48,17,708,622,1356,2456,4801,1691,1407,1126,781,397,14643
