POA_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
POA2019,0,0,0,15,15,214,6,0,0,0,0,0,0,0,23,245,13,0,0,0,0,0,0,0,0,0,13,21,0,0,0,0,0,0,0,0,0,21,27,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,22,22,60,0,0,0,0,0,0,0,0,22,78,1161,327,319,49,33,33,51,15,4,28,2030,1065,345,362,72,67,61,60,24,3,27,2079,174,35,23,5,9,15,15,8,0,8,293,0,0,0,0,0,0,0,0,0,0,7,1231,379,387,82,79,73,75,40,3,31,2381,0,0,0,0,0,0,0,0,0,45,47,2397,707,704,132,112,102,124,55,9,116,4461
POA2020,0,0,0,0,0,332,7,0,0,0,0,0,0,0,15,362,24,0,0,0,0,0,0,0,0,0,27,50,0,0,0,0,0,0,0,0,0,49,51,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,134,981,298,454,159,198,199,242,83,10,61,2689,2165,1136,1874,716,787,910,840,256,29,182,8903,454,74,156,61,99,148,166,64,15,42,1286,6,0,0,4,0,0,0,0,0,3,14,2620,1217,2033,779,885,1055,1009,326,43,230,10205,0,0,0,0,0,0,0,0,0,16,28,3604,1516,2491,942,1079,1257,1246,413,56,311,12916
POA2021,0,0,0,8,8,272,3,3,0,0,0,0,0,0,16,295,54,0,0,0,0,0,0,0,0,0,58,17,0,0,0,0,0,0,0,0,0,17,15,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,23,23,84,4,0,0,0,0,0,0,0,25,110,1885,374,371,126,98,105,140,90,34,62,3274,520,174,183,57,61,85,119,34,13,7,1248,44,9,13,6,0,3,3,0,0,0,85,0,0,0,0,0,0,0,0,0,0,5,567,186,191,62,61,95,119,30,11,15,1335,4,0,0,0,0,0,0,0,0,34,39,2453,561,562,184,159,199,256,127,45,106,4648
POA2022,0,0,0,0,5,342,13,11,0,0,5,5,4,0,7,379,79,6,0,0,0,0,0,0,0,0,86,59,0,0,0,0,0,0,0,0,0,61,27,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,8,8,169,7,0,0,0,0,0,0,0,6,185,1498,337,493,170,181,266,266,135,33,58,3445,957,252,350,136,207,206,231,91,10,40,2481,126,21,23,5,9,12,30,17,0,9,261,0,0,0,0,0,0,0,0,0,4,3,1084,271,371,141,223,221,263,107,17,54,2751,3,0,0,0,0,3,0,0,0,11,21,2587,615,864,316,402,493,525,244,53,123,6216
POA2023,0,0,0,0,0,247,8,9,0,0,0,0,0,0,6,265,61,0,0,0,0,0,0,0,0,0,64,29,0,0,0,0,0,0,0,0,0,32,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,97,1580,272,319,79,95,74,91,28,13,37,2584,593,125,146,50,52,75,64,32,14,22,1165,41,8,10,6,3,3,8,3,0,0,92,0,0,0,0,0,0,0,0,0,0,7,632,138,153,55,58,81,72,45,14,23,1261,0,0,0,0,0,0,0,0,0,3,3,2218,410,470,129,151,150,166,67,26,59,3855
POA2024,0,0,0,7,7,214,0,0,0,0,0,0,0,0,31,248,43,0,0,5,0,0,0,0,0,11,57,44,0,0,0,0,0,0,0,0,15,52,25,0,0,0,0,0,0,0,0,12,29,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,24,90,0,0,0,0,0,0,0,0,0,18,18,108,0,0,5,0,0,0,0,0,54,169,1263,333,370,105,110,101,116,52,19,55,2523,499,139,187,52,53,47,64,15,4,23,1073,54,3,0,0,0,4,0,0,0,19,91,0,0,0,0,0,0,0,0,0,3,3,552,144,188,47,52,48,69,15,4,51,1169,0,0,0,0,0,0,0,0,0,36,36,1822,477,562,157,162,154,182,72,26,141,3727
POA2025,0,0,0,23,28,176,3,0,0,0,0,0,0,0,26,218,56,0,0,0,0,0,0,0,0,0,61,13,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,47,47,73,0,0,0,0,0,0,0,0,51,128,956,154,170,45,42,68,46,21,15,35,1549,302,83,127,28,31,40,45,22,8,13,691,33,5,4,0,0,6,9,0,0,0,62,0,0,0,0,0,0,0,0,0,0,4,335,89,130,29,31,41,55,18,6,16,758,0,0,0,0,0,0,0,0,0,80,81,1290,243,301,75,74,110,98,41,19,133,2384
POA2026,0,0,0,9,15,580,9,13,3,0,0,4,4,0,23,639,110,7,0,0,0,0,0,0,0,0,116,86,0,0,0,0,0,0,0,0,7,88,45,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,4,132,3,0,0,0,0,0,0,0,0,30,31,240,7,0,0,0,0,0,0,0,32,280,3571,915,1434,466,472,558,703,302,69,128,8606,1482,542,838,298,353,470,608,220,28,60,4907,163,19,15,11,5,18,44,33,4,13,311,4,0,0,0,0,0,0,0,0,0,5,1648,567,855,311,361,485,652,255,33,70,5235,3,0,6,0,0,0,3,0,0,61,78,5222,1482,2290,777,833,1046,1357,554,100,261,13916
POA2027,0,0,0,0,0,297,9,0,0,0,0,4,0,0,11,318,97,0,0,0,0,0,0,0,0,0,102,30,0,0,0,0,0,0,0,0,5,36,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,5,36,0,0,0,0,0,0,0,0,0,5,7,132,0,0,0,0,0,0,0,0,7,146,1155,176,225,47,39,51,60,38,10,48,1850,434,89,112,35,43,46,32,24,9,19,829,24,0,11,0,3,0,5,3,0,4,61,0,0,0,0,0,0,0,0,0,0,4,460,100,116,31,42,43,35,24,10,18,883,3,0,0,0,0,0,0,0,0,13,11,1612,274,342,80,82,96,96,63,14,75,2746
POA2028,0,0,0,0,0,151,9,0,0,0,0,3,0,0,0,166,49,0,0,0,0,0,0,0,0,0,50,14,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,65,650,103,126,45,36,38,50,25,6,17,1094,242,53,98,18,22,25,15,25,6,11,522,11,5,6,0,0,0,9,4,0,3,41,0,0,0,0,0,0,0,0,0,0,0,256,55,107,23,22,23,27,32,8,14,565,0,0,0,0,0,0,0,0,0,3,3,908,158,230,62,64,64,72,54,17,34,1664
POA2029,0,0,0,5,6,332,15,8,0,3,0,3,7,0,14,383,101,3,0,0,0,0,0,0,0,9,111,27,0,0,0,0,0,0,0,0,0,32,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,16,16,140,5,0,0,0,0,0,0,0,25,168,1668,290,282,42,75,64,75,51,10,34,2596,635,167,169,53,43,58,48,20,5,23,1228,56,18,21,0,4,10,7,0,4,0,126,0,0,0,0,0,0,0,0,0,0,0,695,185,192,54,51,66,57,24,19,26,1356,4,0,0,0,0,0,0,0,0,27,30,2361,479,476,100,125,130,133,76,28,91,3988
POA2030,0,0,0,0,0,388,28,6,0,0,0,0,7,0,17,447,117,0,0,0,0,0,0,0,0,6,131,67,0,0,0,0,0,0,0,0,0,72,13,0,0,0,0,0,0,0,0,3,19,5,0,0,0,0,0,0,0,0,0,5,89,0,0,0,0,0,0,0,0,3,94,4,0,0,0,0,0,0,0,0,6,11,206,0,4,0,0,0,0,0,0,16,233,2480,427,303,58,26,59,53,50,18,59,3533,1040,222,224,42,25,36,49,35,5,23,1699,79,17,32,8,3,7,16,11,0,7,192,4,0,0,0,0,0,0,0,0,0,8,1127,238,257,46,31,43,68,47,7,28,1887,7,0,0,0,0,0,0,0,0,13,17,3611,661,558,98,60,101,118,96,17,107,5438
POA2031,0,0,0,38,40,656,8,20,0,0,0,10,0,0,56,751,114,0,0,0,0,0,0,0,0,4,124,92,0,0,0,0,0,0,0,0,0,98,54,3,0,0,0,0,0,0,0,5,64,3,0,0,0,0,0,0,0,0,0,3,150,3,0,0,0,0,0,0,0,8,159,0,0,0,0,0,0,0,0,0,145,145,262,4,0,0,0,0,0,0,0,153,422,3523,985,1257,351,358,455,543,243,57,116,7889,1894,578,745,208,242,281,339,178,33,44,4542,219,25,42,6,9,13,24,10,6,15,367,4,0,0,0,0,0,0,0,0,0,6,2108,600,789,218,246,293,364,192,43,60,4914,3,0,0,0,0,0,0,0,0,195,201,5638,1581,2051,570,615,748,913,427,99,365,13007
POA2032,0,0,0,4,9,471,11,4,3,0,0,3,6,0,9,502,31,0,0,0,0,0,0,0,0,0,34,88,0,0,0,0,0,0,0,0,6,92,99,0,0,0,0,0,0,0,0,0,103,3,0,0,0,0,0,0,0,0,0,3,193,0,0,0,0,0,0,0,0,4,203,0,0,0,0,0,0,0,0,0,15,15,224,0,5,0,0,0,0,0,0,26,251,1074,249,236,59,72,97,115,49,19,44,2014,1600,400,490,201,256,399,548,208,28,47,4178,425,54,52,18,27,35,91,33,8,21,772,6,0,0,0,0,0,0,0,0,3,9,2028,458,545,218,283,436,636,242,39,70,4958,5,0,0,0,0,0,0,0,0,29,35,3115,705,781,278,357,534,752,289,59,144,7009
POA2033,0,0,0,8,8,240,14,0,0,0,0,0,3,0,20,282,19,0,0,0,0,0,0,0,0,0,26,61,0,0,0,0,0,0,0,0,7,72,40,0,3,0,0,0,0,0,0,11,56,0,0,0,0,0,0,0,0,0,0,0,96,0,3,0,0,0,0,0,0,25,127,0,0,0,0,0,0,0,0,0,9,9,119,0,4,0,0,0,0,0,0,32,157,867,209,235,71,64,83,103,53,19,30,1740,1033,383,463,176,242,290,372,191,31,46,3229,179,36,38,14,11,8,42,9,0,22,365,0,0,0,0,0,0,0,0,0,0,3,1210,412,500,187,258,305,415,201,31,70,3591,0,0,0,0,0,4,0,0,0,15,22,2075,627,740,257,324,393,521,255,53,115,5356
