POA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA2048,36,3000,1283,490,3373,1,2395,2.3
POA2049,35,2850,1262,480,3225,1,2284,2.2
POA2050,33,2817,1291,570,3384,1.1,2331,1.9
POA2060,38,3000,1576,580,3700,1,2463,1.9
POA2061,44,3000,1691,600,4008,1,2475,1.7
POA2062,40,3033,1612,580,4078,1,2870,2.2
POA2063,44,4649,1375,740,4650,0.8,3874,2.9
POA2064,37,2772,1202,525,3052,1.1,2420,2.5
POA2065,37,3000,1591,580,3693,1,2743,2.1
POA2066,38,3000,1378,520,3560,1,2754,2.5
POA2067,38,3000,944,580,2489,1.1,2185,2.5
POA2068,42,3900,1233,640,4047,0.9,3232,2.8
POA2069,41,3800,1205,633,3795,0.9,3310,2.9
POA2070,41,3500,1164,630,3455,0.9,2970,2.8
POA2071,42,3467,1071,650,3247,0.9,2839,2.9
POA2072,39,3033,1075,577,2924,1,2460,2.7
POA2073,41,3500,1188,650,3810,0.8,3414,3
POA2074,44,3500,1084,617,3501,0.8,3004,2.8
POA2075,43,3500,1070,700,3314,0.8,2965,2.9
POA2076,43,3250,1015,600,3360,0.8,2923,2.9
POA2077,38,2350,947,460,2426,1,2108,2.6
POA2079,40,2544,1032,525,2805,0.9,2505,2.9
POA2080,42,2648,961,568,2643,0.8,2428,3
POA2081,41,2600,975,575,2986,0.8,2698,3
POA2082,42,2500,977,580,2804,0.8,2449,2.9
POA2083,51,2290,908,429,2585,0.8,1950,2.3
POA2084,47,3200,1015,600,3184,0.8,2882,3
POA2085,46,3335,932,900,3167,0.8,2770,2.9
POA2086,40,3467,1040,800,3301,0.8,3107,3.2
POA2087,43,3400,975,720,3328,0.8,2794,3
POA2088,45,3870,1487,590,4502,0.9,2892,2.3
POA2089,38,2903,1575,562,3667,1,2469,2
POA2090,41,3153,1527,600,3815,0.9,2537,2.1
POA2092,42,4333,1263,875,4620,0.8,4184,3.1
POA2093,40,3467,1236,600,3658,0.9,2954,2.7
POA2094,39,3467,1491,720,4187,0.9,3251,2.4
POA2095,38,3467,1595,725,4266,1,3164,2.2
POA2096,37,3207,1389,620,3469,1,2901,2.5
POA2097,41,3033,1063,623,3067,0.9,2702,2.8
POA2099,38,2700,1009,550,2604,1,2187,2.5
POA2100,40,3142,1040,600,3092,1,2719,2.9
POA2101,43,3000,1035,600,2827,0.9,2231,2.5
POA2102,41,3077,1060,750,2925,0.9,2598,2.9
POA2103,46,3033,1020,650,2824,0.9,2296,2.6
POA2104,58,3691,876,850,3050,0.7,1885,2.3
POA2105,52,3000,1125,595,3122,0.8,2601,2.5
POA2106,46,3000,1126,600,3054,0.9,2479,2.6
POA2107,47,3297,1045,750,2972,0.8,2627,2.8
POA2108,58,3742,1275,850,3261,0.7,2702,2.3
POA2110,46,4333,1243,540,4584,0.8,3368,2.7
POA2111,40,3000,1198,460,3178,0.9,2315,2.4
POA2112,37,2600,985,472,2509,1,2094,2.5
POA2113,34,2600,1013,480,2661,1.1,2156,2.4
POA2114,37,2480,990,430,2467,1,2089,2.5
POA2115,37,2600,812,420,2317,0.9,1993,2.8
POA2116,37,2500,792,430,2199,0.9,1871,2.8
POA2117,39,2600,757,417,2176,0.9,1861,2.8
POA2118,38,2500,791,500,2181,1,2084,3
POA2119,44,3467,1090,600,3368,0.8,3070,3
POA2120,42,2817,997,520,3025,0.8,2643,2.9
POA2121,37,2612,956,500,2538,1,2304,2.8
POA2122,39,2500,784,460,2248,0.9,1944,2.6
POA2125,43,3033,1032,641,3264,0.8,3078,3.1
POA2126,43,3000,940,695,3098,0.8,2924,3.1
POA2127,33,2300,1160,510,2385,1.2,2084,2.2
POA2128,35,2167,857,450,2055,1.1,1875,2.7
POA2130,36,2708,1317,460,3076,1,2260,2.1
POA2131,36,2210,890,440,2256,1,1888,2.3
POA2132,42,2700,835,480,2526,0.9,2157,2.7
POA2133,41,2522,807,410,2318,0.9,1843,2.7
POA2134,32,2449,707,500,1862,1.1,1671,2.5
POA2135,32,2765,815,480,2423,1.1,2262,2.8
POA2136,39,2375,827,460,2285,1,1943,2.7
POA2137,41,3000,1055,560,2784,0.9,2377,2.6
POA2138,34,2573,1073,550,2535,1.1,2248,2.4
POA2140,31,2119,913,450,2169,1.2,2042,2.6
POA2141,34,2253,705,468,1825,1.1,1801,2.9
POA2142,31,2000,666,400,1661,1.2,1547,2.8
POA2143,35,2167,594,400,1714,1,1561,3.1
POA2144,31,2000,580,410,1440,1.2,1533,3.3
POA2145,35,2239,849,425,2296,1,2090,2.9
POA2146,36,2167,853,425,2278,1,2116,2.9
POA2147,38,2209,794,390,2211,0.9,1925,2.8
POA2148,35,2142,763,400,1981,0.9,1800,2.9
POA2150,32,2002,970,425,2262,1.2,2055,2.4
POA2151,38,2376,900,420,2344,0.9,1957,2.6
POA2152,39,2300,941,420,2414,0.9,1924,2.5
POA2153,39,2759,979,540,2794,0.9,2496,3
POA2154,42,3000,931,560,2858,0.8,2551,3
POA2155,35,3000,1103,600,3128,0.9,3042,3.3
POA2156,46,3200,940,600,3019,0.7,2756,3.1
POA2157,42,3000,879,525,2612,0.8,2493,3.2
POA2158,45,3074,918,600,2898,0.8,2548,3
POA2159,46,2817,893,480,2727,0.8,2400,2.9
POA2160,33,2051,603,400,1661,1.1,1455,3
POA2161,32,2152,511,380,1493,1.1,1347,3.2
POA2162,34,2167,513,400,1580,1,1404,3.2
POA2163,36,1920,461,250,1271,1,993,2.8
POA2164,38,2167,496,420,1570,1,1401,3.1
POA2165,38,1950,456,400,1337,1.1,1225,3.2
POA2166,39,1733,474,350,1391,1.1,1325,3.2
POA2167,36,2167,844,420,2203,0.9,2070,3
POA2168,35,2000,501,350,1510,1,1387,3.3
POA2170,35,2165,644,395,1799,1,1566,2.9
POA2171,33,2383,786,530,2369,0.9,2379,3.6
POA2172,38,2708,1184,369,3233,0.8,3185,3.2
POA2173,33,2200,1049,500,2642,0.9,2495,3.2
POA2174,31,2800,1008,550,2619,0.9,2562,3.4
POA2175,45,3250,764,428,2337,0.8,2135,3.2
POA2176,41,2167,519,460,1714,0.9,1664,3.3
POA2177,38,2000,513,400,1611,1,1571,3.3
POA2178,43,2200,751,470,2320,0.8,2214,3.4
POA2179,32,2600,918,540,2303,0.8,2224,3.2
POA2190,34,2300,498,420,1651,1,1453,3.4
POA2191,40,2500,672,460,2056,1,1727,2.9
POA2192,38,2156,640,380,1737,1,1456,2.6
POA2193,37,2403,885,470,2316,1,2022,2.5
POA2194,36,2000,652,400,1600,1.2,1497,2.6
POA2195,32,1700,532,350,1298,1.3,1234,3.1
POA2196,35,2167,560,400,1635,1.1,1479,3.1
POA2197,34,2383,533,450,1575,1,1409,3.3
POA2198,36,2500,647,520,1923,0.9,1779,3.2
POA2199,34,2167,524,400,1592,1.1,1438,3.2
POA2200,34,1973,548,410,1490,1.1,1392,3
POA2203,38,2500,1158,470,2774,1,2096,2.2
POA2204,37,2600,1075,480,2711,1,2166,2.3
POA2205,32,2383,960,520,2259,1.2,2117,2.5
POA2206,44,2800,818,550,2464,0.9,2139,2.8
POA2207,40,2421,754,480,2214,1,1938,2.8
POA2208,42,2600,716,500,2167,0.9,1898,2.9
POA2209,40,2300,681,420,2002,0.9,1697,2.8
POA2210,41,2500,714,370,2111,0.9,1691,2.7
POA2211,40,2443,761,470,2261,0.9,1898,2.8
POA2212,38,2500,750,460,2211,0.9,1941,2.9
POA2213,39,2600,843,470,2440,0.8,2116,2.9
POA2214,39,2600,806,538,2326,0.8,2117,3
POA2216,37,2218,796,460,2050,1,1792,2.5
POA2217,38,2333,861,460,2211,1,1900,2.5
POA2218,37,2167,763,440,2036,1,1833,2.6
POA2219,45,2600,884,500,2422,0.8,1856,2.4
POA2220,34,2200,707,470,1846,1.1,1841,2.9
POA2221,42,3000,851,520,2512,0.9,2261,3
POA2222,38,2168,808,400,2094,1,1840,2.6
POA2223,40,2600,975,440,2699,0.9,2229,2.7
POA2224,45,2817,868,550,2442,0.8,2085,2.7
POA2225,40,3165,1116,655,3447,0.8,3204,3.1
POA2226,40,2800,1064,460,3028,0.9,2569,2.8
POA2227,40,2817,1032,525,2822,0.8,2338,2.7
POA2228,40,2600,938,490,2472,0.9,2009,2.5
POA2229,41,3000,1033,500,2870,0.8,2235,2.6
POA2230,42,2600,1156,500,2860,0.9,2199,2.3
POA2231,38,2600,811,550,2299,0.9,2161,3.1
POA2232,39,2500,1040,460,2655,0.9,2157,2.5
POA2233,40,2600,960,500,2683,0.8,2385,2.9
POA2234,41,2700,984,600,2901,0.8,2743,3.1
POA2250,41,2000,771,400,2102,0.8,1630,2.5
POA2251,46,2167,763,450,2192,0.8,1717,2.6
POA2256,48,2000,654,380,1758,0.8,1293,2.2
POA2257,47,2140,697,400,1871,0.8,1390,2.3
POA2258,41,2000,822,400,2234,0.8,1960,2.8
POA2259,41,1950,699,410,1875,0.8,1532,2.7
POA2260,42,2492,920,510,2528,0.8,2161,2.7
POA2261,42,2000,722,385,1908,0.8,1455,2.4
POA2262,39,1733,657,385,1596,0.8,1350,2.5
POA2263,44,1733,615,350,1492,0.8,1157,2.3
POA2264,47,1759,662,395,1656,0.7,1344,2.4
POA2265,40,2072,733,380,2030,0.8,1648,2.7
POA2267,54,1830,680,340,1670,0.8,1339,2.3
POA2278,39,1750,798,360,2070,0.8,1892,2.8
POA2280,45,2000,761,360,2096,0.8,1598,2.5
POA2281,49,2000,680,370,1825,0.8,1400,2.4
POA2282,45,2167,826,430,2287,0.8,1825,2.5
POA2283,47,1748,694,345,1810,0.7,1441,2.4
POA2284,42,1907,762,365,2063,0.8,1611,2.5
POA2285,36,1928,839,400,2171,0.8,1859,2.7
POA2286,37,1800,759,400,1985,0.8,1695,2.7
POA2287,36,1928,774,400,2117,0.8,1746,2.6
POA2289,38,2167,943,420,2545,0.8,2115,2.6
POA2290,40,1993,835,390,2242,0.8,1771,2.5
POA2291,40,2500,1097,430,3010,0.8,2302,2.5
POA2292,35,1961,913,400,2239,0.8,1761,2.3
POA2293,35,2000,1080,480,2556,0.9,1970,2.1
POA2294,36,1950,930,430,2324,0.8,1766,2.2
POA2295,45,2167,745,430,2097,0.8,1481,2.3
POA2296,35,2000,995,430,2315,0.9,1828,2.1
POA2297,36,1810,914,400,2433,0.9,2084,2.4
POA2298,36,1896,778,380,2129,0.8,1617,2.3
POA2299,34,1950,739,370,2035,0.9,1486,2.4
POA2300,38,2225,1143,435,2771,0.9,1933,1.9
POA2302,42,1929,1051,465,2319,0.9,1684,1.7
POA2303,42,2167,861,360,2460,0.8,1654,2.2
POA2304,37,1875,807,380,2104,0.8,1591,2.2
POA2305,41,2167,944,400,2565,0.8,1992,2.5
POA2306,37,1478,462,186,1007,0.9,775,2.3
POA2307,33,1679,681,377,1629,0.8,1344,2.3
POA2308,20,0,302,0,0,0,0,0
POA2311,46,1733,627,270,1687,0.8,1346,2.4
POA2312,49,1517,564,330,1379,0.8,1266,2.6
POA2315,54,1887,661,390,1640,0.7,1310,2.2
POA2316,52,1842,629,395,1579,0.7,1287,2.4
POA2317,57,1840,623,380,1498,0.7,1169,2.2
POA2318,40,1950,774,420,2052,0.8,1844,2.8
POA2319,50,1517,562,365,1365,0.7,1111,2.3
POA2320,37,1850,794,373,2108,0.8,1807,2.7
POA2321,34,1950,874,427,2176,0.8,1963,2.8
POA2322,34,1800,816,370,2090,0.8,1811,2.7
POA2323,39,1733,752,350,1967,0.8,1541,2.5
POA2324,47,1560,631,330,1482,0.7,1254,2.4
POA2325,39,1530,635,320,1646,0.8,1360,2.5
POA2326,38,1517,642,315,1655,0.8,1373,2.7
POA2327,39,1430,634,320,1589,0.8,1248,2.4
POA2328,42,1733,753,280,2042,0.7,1473,2.4
POA2329,45,1224,600,240,1478,0.8,1224,2.4
POA2330,37,1820,802,335,2272,0.8,1952,2.6
POA2331,21,0,936,0,3374,1,1625,3.3
POA2333,36,1517,761,300,2001,0.7,1640,2.5
POA2334,33,1755,803,360,2207,0.8,1929,2.8
POA2335,34,1963,916,415,2421,0.8,2207,2.9
POA2336,42,1602,757,270,2026,0.7,1505,2.4
POA2337,40,1668,823,290,2062,0.7,1561,2.4
POA2338,52,1100,569,250,1385,0.7,1006,2.1
POA2339,45,1500,687,190,1597,0.8,1312,2.4
POA2340,38,1517,784,300,1879,0.8,1468,2.5
POA2341,50,906,498,220,1214,0.7,941,2.2
POA2342,43,1543,749,255,1763,0.7,1487,2.6
POA2343,46,1138,660,240,1599,0.7,1229,2.3
POA2344,47,1562,772,320,1941,0.7,1712,2.5
POA2345,43,1300,765,290,1857,0.7,1493,2.5
POA2346,48,1170,571,260,1414,0.7,1083,2.3
POA2347,55,758,482,187,1204,0.7,852,2
POA2350,36,1500,740,290,1920,0.7,1459,2.3
POA2352,40,1400,740,320,1738,0.7,1396,2.5
POA2353,50,1484,660,220,1583,0.8,1354,2.4
POA2354,50,1083,684,200,1588,0.7,1242,2.2
POA2355,53,1067,525,300,1274,0.8,949,2.2
POA2356,54,698,454,23,974,0.8,860,2.2
POA2357,50,1000,588,206,1409,0.7,1145,2.3
POA2358,47,1300,650,250,1535,0.7,1213,2.3
POA2359,48,910,464,190,1182,0.8,987,2.5
POA2360,42,1261,652,270,1497,0.7,1212,2.4
POA2361,52,658,477,185,1159,0.7,917,2.2
POA2365,45,1192,653,250,1491,0.7,1146,2.4
POA2369,47,867,458,180,1039,0.8,890,2.4
POA2370,48,1083,542,225,1354,0.7,955,2.2
POA2371,57,867,458,163,1100,0.8,765,2
POA2372,56,1159,515,250,1248,0.7,933,2.1
POA2379,43,575,677,200,1642,0.8,1474,2.7
POA2380,37,1517,794,300,2041,0.7,1590,2.5
POA2381,42,968,657,250,1507,0.8,1284,2.5
POA2382,43,1200,700,290,1898,0.7,1477,2.3
POA2386,48,0,671,110,1687,0.8,1328,2.5
POA2387,33,0,915,50,2094,0.9,1781,2.6
POA2388,40,1040,699,200,1683,0.8,1292,2.4
POA2390,40,1454,812,260,2040,0.8,1604,2.5
POA2395,54,613,457,150,993,0.7,777,2.1
POA2396,50,672,519,157,1281,0.8,1033,2.2
POA2397,45,680,749,165,1775,0.8,1292,2.4
POA2398,42,618,860,200,1937,0.8,1562,2.9
POA2399,42,867,762,190,1937,0.8,1615,2.5
POA2400,38,1300,859,230,1989,0.8,1592,2.4
POA2401,42,815,759,160,1699,0.8,1406,2.8
POA2402,49,1000,508,228,1306,0.7,972,2.2
POA2403,44,1008,582,200,1205,0.8,1062,2.5
POA2404,57,1083,489,200,1120,0.7,889,2.1
POA2405,43,600,749,173,1875,0.7,1343,2.4
POA2406,41,884,784,170,1812,0.7,1204,2.2
POA2408,40,0,1108,140,2139,0.7,1839,2.4
POA2409,36,867,502,160,1266,0.9,1150,2.9
POA2410,49,600,497,150,1218,0.8,1055,2.3
POA2411,38,269,1125,200,2600,0.8,2416,3
POA2415,50,1625,617,220,1525,0.9,1366,2.6
POA2420,50,1600,648,300,1543,0.7,1235,2.3
POA2421,42,2167,795,300,2103,0.8,1867,2.7
POA2422,55,1300,557,275,1353,0.7,1053,2.2
POA2423,55,1300,526,300,1303,0.7,1040,2.3
POA2424,48,1133,453,235,1312,0.9,1105,2.5
POA2425,47,1733,635,310,1767,0.8,1366,2.5
POA2426,46,1387,501,300,1388,0.8,1125,2.5
POA2427,64,1517,482,340,1076,0.6,889,2
POA2428,58,1517,561,330,1300,0.7,980,2.1
POA2429,51,1387,567,300,1382,0.8,1126,2.4
POA2430,49,1500,582,305,1386,0.7,1107,2.3
POA2431,58,1517,537,330,1254,0.7,997,2.1
POA2439,54,1600,578,350,1415,0.8,1242,2.4
POA2440,45,1300,557,295,1377,0.8,1126,2.4
POA2441,50,1500,546,290,1395,0.8,1123,2.5
POA2443,61,1517,519,330,1236,0.7,913,2
POA2444,47,1800,687,385,1708,0.7,1306,2.3
POA2445,52,1842,666,410,1579,0.7,1330,2.4
POA2446,44,1733,643,350,1567,0.8,1347,2.6
POA2447,50,1400,534,320,1339,0.8,1048,2.4
POA2448,55,1495,528,297,1324,0.7,931,2.1
POA2449,48,1083,494,250,1162,0.8,965,2.4
POA2450,44,1733,694,370,1730,0.8,1386,2.4
POA2452,45,1603,663,370,1582,0.8,1260,2.3
POA2453,55,1220,548,280,1296,0.7,965,2.1
POA2454,47,1517,637,370,1613,0.8,1327,2.5
POA2455,55,1647,590,340,1348,0.7,1071,2.2
POA2456,43,1798,692,395,1656,0.8,1404,2.6
POA2460,45,1300,590,300,1428,0.8,1165,2.4
POA2462,53,1200,535,280,1281,0.8,944,2.3
POA2463,52,1517,563,340,1381,0.7,1129,2.4
POA2464,56,1608,617,400,1435,0.7,1141,2.1
POA2465,45,1300,593,330,1346,0.8,1101,2.4
POA2466,62,1300,488,300,1073,0.7,834,1.9
POA2469,54,1065,467,240,1136,0.8,847,2.2
POA2470,44,1300,615,280,1432,0.8,1145,2.4
POA2471,44,1517,599,300,1503,0.8,1258,2.6
POA2472,45,1517,650,300,1555,0.9,1218,2.4
POA2473,54,1601,623,320,1424,0.8,1058,2.1
POA2474,51,1300,541,280,1341,0.8,1003,2.2
POA2475,53,867,465,210,1125,0.7,845,2.1
POA2476,53,1083,510,200,1264,0.7,918,2.1
POA2477,47,1733,720,390,1811,0.8,1451,2.4
POA2478,48,2000,740,430,1850,0.8,1403,2.3
POA2479,43,2315,886,550,2243,0.9,2048,2.7
POA2480,44,1517,685,310,1729,0.8,1326,2.4
POA2481,40,2383,832,600,2115,0.9,1792,2.4
POA2482,46,1950,635,460,1583,0.9,1333,2.5
POA2483,44,1898,708,480,1731,0.8,1442,2.4
POA2484,47,1733,612,350,1521,0.8,1263,2.5
POA2485,52,1700,638,380,1457,0.8,1096,2
POA2486,48,1891,635,420,1626,0.8,1278,2.4
POA2487,46,2230,767,480,2073,0.8,1542,2.4
POA2488,41,1860,763,450,1952,0.8,1610,2.5
POA2489,43,2036,696,500,1734,0.8,1430,2.6
POA2490,40,2167,786,350,2312,0.9,1989,2.7
POA2500,34,2056,778,400,2137,0.9,1621,2.2
POA2502,39,1755,526,330,1436,0.8,1138,2.5
POA2505,42,1950,648,340,1759,0.8,1308,2.4
POA2506,40,1733,568,290,1541,0.8,1217,2.5
POA2508,39,2540,1007,530,2784,0.9,2548,2.9
POA2515,42,2600,1013,550,2833,0.8,2418,2.7
POA2516,40,2525,952,370,2796,0.8,2331,2.8
POA2517,42,2167,786,400,2368,0.8,1806,2.5
POA2518,41,2167,728,340,2047,0.8,1434,2.3
POA2519,41,2240,755,400,2190,0.8,1685,2.5
POA2525,40,2229,815,430,2427,0.8,2042,2.8
POA2526,39,2167,784,370,2317,0.8,2000,2.7
POA2527,35,2167,794,450,2099,0.8,1884,2.8
POA2528,45,1842,592,350,1505,0.8,1166,2.4
POA2529,40,2167,776,470,2176,0.8,1878,2.7
POA2530,39,2000,722,410,1977,0.8,1653,2.7
POA2533,48,2240,827,480,2183,0.7,1805,2.5
POA2534,47,2167,834,500,2278,0.7,1925,2.5
POA2535,57,2167,720,400,1894,0.7,1384,2.2
POA2536,53,1550,620,350,1423,0.7,1184,2.2
POA2537,55,1517,642,320,1510,0.7,1222,2.2
POA2538,54,1733,596,380,1633,0.8,1353,2.4
POA2539,53,1625,607,350,1419,0.7,1141,2.2
POA2540,49,1733,633,360,1537,0.7,1275,2.3
POA2541,40,1692,635,320,1536,0.7,1235,2.4
POA2545,55,1300,618,300,1403,0.8,1187,2.2
POA2546,59,1473,580,290,1344,0.7,1019,2.1
POA2548,55,1625,692,343,1610,0.7,1228,2.1
POA2549,51,1517,652,330,1621,0.8,1307,2.4
POA2550,49,1421,651,300,1535,0.8,1245,2.3
POA2551,53,1517,571,270,1327,0.7,1015,2.2
POA2555,40,1300,490,505,1312,0.8,1271,3
POA2556,42,2167,686,500,1912,0.8,1833,3.2
POA2557,31,2600,1028,530,2508,0.8,2453,3.2
POA2558,36,1950,788,400,2025,0.8,1878,3
POA2559,28,2500,509,222,1309,0.9,1141,3.1
POA2560,35,2000,722,380,1876,0.8,1609,2.8
POA2563,37,2167,788,500,1968,0.8,1924,3
POA2564,36,1800,592,340,1580,0.9,1378,2.9
POA2565,34,2470,838,420,2195,0.9,2025,3
POA2566,35,2000,734,380,1937,0.9,1772,3.1
POA2567,34,2379,948,470,2567,0.8,2423,3.2
POA2568,54,2500,687,450,2034,0.8,1476,2.6
POA2569,42,2368,861,446,2407,0.8,2250,3.1
POA2570,33,2513,973,500,2434,0.8,2281,3
POA2571,36,2400,946,415,2529,0.8,2326,3
POA2572,39,2318,785,420,2077,0.8,1756,2.7
POA2573,34,2167,792,410,2030,0.8,1739,2.7
POA2574,40,2167,763,415,2101,0.8,1841,2.9
POA2575,42,2167,800,430,2123,0.8,1772,2.6
POA2576,56,2370,829,495,2204,0.7,1677,2.3
POA2577,47,2004,794,400,2070,0.7,1667,2.4
POA2578,59,1820,663,400,1650,0.6,1289,2.2
POA2579,46,2000,744,380,1903,0.7,1589,2.5
POA2580,42,1700,757,320,1948,0.7,1470,2.4
POA2581,42,1885,1039,300,2396,0.8,2118,2.7
POA2582,42,2100,1015,350,2596,0.8,2175,2.7
POA2583,52,1300,657,270,1690,0.7,1267,2.3
POA2584,45,1300,821,280,2046,0.7,1433,2.3
POA2585,44,1047,679,200,1583,0.7,1111,2.3
POA2586,50,1300,680,240,1672,0.7,1232,2.3
POA2587,49,1027,616,220,1485,0.7,1126,2.2
POA2588,54,1042,753,200,1847,0.7,1416,2.3
POA2590,51,1128,586,220,1426,0.7,1035,2.2
POA2594,42,1300,666,250,1551,0.7,1186,2.4
POA2619,38,2405,1485,490,3680,0.8,3403,3
POA2620,37,2167,1135,340,2683,0.8,2181,2.5
POA2621,40,2383,1289,500,3151,0.8,2939,2.9
POA2622,50,1733,777,350,1912,0.8,1428,2.2
POA2623,40,1309,1011,300,2211,0.9,1644,2.4
POA2624,31,0,916,252,1375,1.4,1437,2.3
POA2625,37,2659,1031,400,2388,1.1,1666,2
POA2626,45,1902,964,350,2411,0.8,2202,2.5
POA2627,35,1800,946,410,2415,0.9,2124,2.6
POA2628,45,1336,782,280,1993,0.8,1531,2.4
POA2629,58,1083,622,285,1350,0.6,1008,1.9
POA2630,46,1300,787,290,1981,0.7,1446,2.3
POA2631,50,934,620,260,1625,0.7,1222,2.2
POA2632,47,1083,734,200,1807,0.7,1307,2.2
POA2633,55,806,493,150,1316,0.6,817,2
POA2640,39,1517,838,280,2061,0.7,1570,2.4
POA2641,39,1300,663,250,1557,0.8,1172,2.3
POA2642,41,1473,795,256,2072,0.8,1786,2.8
POA2643,49,1300,673,290,1612,0.7,1293,2.3
POA2644,49,1250,708,200,1726,0.7,1301,2.3
POA2645,58,490,527,110,1562,0.7,933,2.2
POA2646,51,1192,647,220,1605,0.7,1165,2.2
POA2647,53,1509,638,270,1562,0.7,1185,2.3
POA2648,51,910,596,200,1413,0.8,1066,2.2
POA2649,38,1000,739,0,1792,1.1,1375,2.8
POA2650,36,1517,841,300,2064,0.7,1629,2.5
POA2651,25,1300,932,310,2031,0.8,1788,2.8
POA2652,42,1257,752,225,1850,0.8,1504,2.6
POA2653,46,1146,690,220,1584,0.7,1304,2.3
POA2655,42,1300,642,245,1755,0.8,1382,2.6
POA2656,49,867,640,194,1664,0.7,1184,2.3
POA2658,49,997,589,200,1431,0.7,1069,2.3
POA2659,45,953,616,230,1583,0.7,1209,2.3
POA2660,44,1021,638,203,1544,0.8,1190,2.5
POA2661,23,0,938,254,2408,0.9,2386,3.4
POA2663,39,1250,740,260,1761,0.7,1375,2.4
POA2665,48,700,613,150,1413,0.8,1087,2.3
POA2666,47,1183,664,230,1642,0.7,1231,2.3
POA2668,48,650,479,190,1125,0.7,864,2.4
POA2669,43,520,653,100,1552,0.7,1167,2.4
POA2671,42,1200,775,225,1897,0.7,1432,2.3
POA2672,40,867,602,160,1426,0.8,1116,2.4
POA2675,36,884,863,220,1781,0.8,1506,2.4
POA2678,20,0,317,315,2750,0.6,2750,2
POA2680,37,1500,838,300,1998,0.8,1743,2.7
POA2681,40,1300,826,250,2105,0.8,1685,2.7
POA2700,44,1083,642,209,1513,0.7,1164,2.3
POA2701,42,1498,760,265,1868,0.7,1444,2.6
POA2702,48,867,623,200,1660,0.8,1175,2.4
POA2703,25,1083,473,200,1447,0.8,1256,2.5
POA2705,38,1300,763,250,1841,0.8,1429,2.5
POA2706,44,1083,736,200,1690,0.7,1312,2.3
POA2707,43,867,843,180,1812,0.7,1559,2.4
POA2710,47,1083,678,220,1627,0.7,1211,2.2
POA2711,47,884,713,175,1685,0.7,1269,2.3
POA2712,53,943,598,178,1320,0.7,1020,2.3
POA2713,49,953,651,168,1484,0.7,1085,2.2
POA2714,59,1300,560,250,1398,0.7,1069,2.2
POA2715,46,936,705,200,1704,0.8,1253,2.3
POA2716,50,842,715,175,1756,0.7,1239,2.2
POA2717,45,1083,554,180,1383,0.8,1095,2.5
POA2720,43,1387,694,250,1755,0.8,1336,2.4
POA2721,45,433,510,140,1271,0.7,959,2.5
POA2722,44,1213,710,220,1790,0.8,1327,2.4
POA2725,53,1013,519,155,1199,0.7,986,2.2
POA2726,43,964,754,185,1825,0.7,1303,2.4
