POA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA2019,2490,1385,2218,2268,1866,1343,893,475,154,13092,0,0,0,3,3,0,0,0,0,7,19,30,41,24,34,19,16,9,8,195,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,7,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,49,28,32,18,19,12,8,218,20,31,50,27,42,18,24,11,8,229,2511,1421,2259,2291,1901,1366,915,490,160,13322
POA2020,2496,3429,7213,3182,1758,1356,894,513,184,21020,0,4,3,0,0,3,0,0,0,19,56,224,336,175,144,84,37,12,6,1075,8,14,29,15,17,10,0,0,0,92,4,14,25,16,18,22,3,0,0,101,0,4,0,0,8,0,0,0,0,10,0,8,6,3,10,4,0,0,0,37,0,0,0,0,0,0,0,0,0,9,0,0,3,0,4,3,0,0,0,11,0,8,13,11,4,11,0,0,0,42,0,0,0,0,0,0,0,0,0,0,64,265,420,219,201,132,47,15,6,1367,68,265,423,221,203,134,47,20,6,1384,2563,3694,7633,3404,1962,1494,937,530,185,22404
POA2021,1840,1317,3068,2263,1952,1469,1096,717,185,13905,0,4,6,0,0,0,10,16,54,93,37,39,71,35,25,34,23,21,3,292,0,0,0,3,7,0,0,0,0,14,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,38,53,80,45,33,37,27,27,3,333,38,54,88,45,37,38,39,42,57,427,1880,1363,3153,2304,1991,1504,1130,759,250,14335
POA2022,1901,1158,3095,2150,1579,1156,998,661,290,12981,0,0,0,0,0,0,3,0,0,7,30,37,56,46,29,38,21,6,0,271,0,0,3,0,4,0,0,0,0,9,0,3,0,3,4,8,3,3,0,24,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,30,42,64,55,33,50,26,17,0,319,30,47,68,51,32,45,26,14,0,323,1928,1207,3155,2208,1608,1209,1023,680,295,13307
POA2023,1732,1123,1495,1388,1350,1201,1025,540,176,10036,0,0,0,0,0,0,5,3,0,7,22,37,44,45,16,24,11,11,3,209,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,22,44,40,44,19,23,19,12,3,229,26,41,47,44,23,28,19,12,3,239,1753,1164,1545,1428,1376,1230,1047,555,174,10272
POA2024,1971,997,1810,1693,1565,1140,764,511,379,10820,0,0,0,3,0,0,0,0,0,12,15,22,41,30,19,22,25,19,23,215,0,3,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,46,29,22,28,31,21,23,232,14,22,46,31,25,28,30,24,23,240,1983,1019,1852,1730,1587,1165,791,535,406,11062
POA2025,1048,592,1086,925,838,712,730,543,204,6664,0,0,0,0,0,4,10,26,64,105,12,18,33,6,17,13,28,27,14,171,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,22,33,9,17,15,28,27,14,187,12,22,37,10,20,18,40,52,80,290,1059,614,1123,934,855,735,769,595,280,6954
POA2026,4508,2499,9246,5689,3759,2377,1698,1029,421,31228,0,0,4,4,0,0,0,6,0,16,60,75,193,104,62,55,30,6,8,590,0,9,8,13,5,6,0,0,0,34,0,0,5,0,3,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,59,90,209,119,70,68,39,8,8,660,58,90,208,126,72,70,40,13,3,678,4567,2588,9454,5814,3830,2451,1735,1042,429,31902
POA2027,807,537,1169,985,838,887,952,778,329,7276,0,0,0,0,0,0,0,4,0,6,19,27,31,43,29,33,22,9,0,208,0,0,3,0,0,0,4,0,0,9,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,27,37,43,31,39,30,9,0,235,19,27,37,43,31,39,30,18,5,242,821,560,1209,1025,867,922,975,792,330,7521
POA2028,560,374,947,648,479,460,509,356,134,4465,0,0,0,0,0,0,0,0,0,0,3,11,12,16,6,6,10,9,0,78,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,15,11,15,4,12,10,8,0,93,3,15,11,15,4,12,10,8,3,96,565,392,964,662,484,475,520,364,138,4562
POA2029,1567,950,1355,1409,1280,1023,912,688,343,9521,5,0,0,0,0,0,0,0,3,9,22,27,16,19,25,20,16,16,3,169,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,22,28,21,20,28,20,17,16,4,180,27,28,21,20,28,18,16,15,7,187,1591,977,1373,1429,1303,1042,931,703,350,9704
POA2030,2662,1841,1197,1651,2227,1750,1332,778,410,13857,0,0,0,0,0,0,0,3,0,4,27,52,45,37,26,27,23,12,3,251,0,6,0,0,0,0,0,0,0,13,0,0,4,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,24,62,63,38,31,29,29,12,0,296,24,62,63,38,31,29,31,13,3,303,2694,1905,1256,1688,2254,1782,1362,794,412,14156
POA2031,5081,3236,6941,5333,4243,3091,2241,1395,627,32175,0,0,7,5,5,0,25,45,192,278,205,134,211,166,89,91,121,116,114,1253,3,11,5,9,4,5,4,0,0,33,0,22,5,8,3,4,5,0,0,48,3,0,6,7,4,0,0,0,0,24,0,6,6,0,0,4,3,0,0,17,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,13,7,3,3,0,4,0,0,0,38,0,0,0,0,0,0,0,0,0,0,225,183,234,189,108,113,137,123,114,1418,226,182,238,188,114,113,162,169,307,1696,5308,3419,7179,5517,4353,3205,2400,1559,934,33875
POA2032,1932,2345,2782,1863,1655,1383,1105,768,378,14205,0,0,0,0,7,3,4,3,0,13,25,44,56,27,29,23,14,15,8,230,0,0,0,3,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,25,50,59,29,30,30,16,19,8,257,23,52,59,32,34,28,15,20,8,271,1955,2392,2844,1898,1690,1411,1114,781,389,14475
POA2033,1408,2282,2394,1637,1191,979,695,518,281,11379,0,7,0,0,0,0,0,0,0,11,21,75,44,18,13,18,14,8,0,213,0,5,5,0,0,0,0,0,0,10,0,9,0,7,0,0,4,0,0,14,0,3,0,0,0,0,7,0,0,5,0,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,19,108,50,23,18,22,22,8,0,265,21,109,50,24,21,20,22,8,0,279,1427,2396,2450,1659,1208,997,714,527,281,11655
POA2034,2964,1805,4453,3214,2549,1969,1400,794,298,19447,0,0,0,0,4,0,0,0,0,7,36,48,86,43,46,31,33,8,5,342,0,0,4,3,0,4,5,0,0,13,0,0,0,0,6,0,5,6,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,36,57,95,53,59,36,33,12,8,378,39,57,95,52,61,36,33,12,9,389,3000,1861,4548,3264,2606,2006,1435,803,304,19837
POA2035,5528,3646,4982,5076,4553,3830,2962,2099,965,33644,0,0,3,0,7,6,7,22,21,74,58,90,101,53,62,49,27,17,9,462,0,0,7,3,0,0,0,4,0,16,0,0,3,3,0,3,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,59,94,112,57,68,55,42,23,12,519,57,96,117,60,77,62,52,45,31,594,5586,3741,5097,5138,4627,3890,3014,2144,997,34238
POA2036,5631,3773,4765,4818,4518,3865,3001,1794,691,32855,5,4,0,8,5,3,5,16,0,47,67,64,96,89,57,45,38,25,13,498,0,0,3,0,0,0,0,0,0,13,3,0,0,4,0,4,3,6,0,23,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,73,105,98,59,54,50,33,13,545,73,75,110,102,64,59,51,42,17,592,5706,3850,4876,4920,4582,3925,3055,1841,703,33448
POA2037,1702,1983,3621,2620,1915,1774,1404,642,161,15816,0,0,0,3,0,0,8,4,4,16,34,84,101,56,29,39,30,17,3,399,0,7,3,0,0,3,3,0,0,15,0,5,4,0,0,5,0,0,0,8,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,3,0,0,6,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,34,94,109,57,33,53,35,17,3,443,34,99,111,59,33,52,39,19,5,467,1738,2078,3730,2682,1956,1821,1441,660,168,16282
