POA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA2019,484,232,252,4,4,986,604,466,900,3,0,1981,137,190,1094,20,3,1441,6,68,96,0,0,174,6,5,23,0,0,28,37,19,81,8,0,148,3,25,61,5,0,94,0,0,6,0,0,8,194,303,1359,29,5,1893,19,4,21,0,0,40,16,4,32,0,0,52,1324,1018,2565,36,13,4957
POA2020,740,99,465,5,0,1310,596,114,1261,5,3,1978,234,63,3599,23,14,3918,7,20,34,0,0,63,5,0,24,0,0,30,68,19,335,4,0,433,0,4,128,0,0,134,4,0,17,0,0,20,315,100,4140,26,18,4597,19,4,79,0,0,98,25,4,82,0,0,111,1704,320,6026,35,23,8105
POA2021,183,1165,371,8,0,1722,182,1070,371,9,0,1635,71,918,1491,24,0,2500,0,7,35,0,0,43,0,4,11,0,0,16,16,205,224,8,0,446,8,11,15,0,0,37,0,0,7,0,0,8,87,1152,1773,37,4,3057,8,33,82,0,0,118,9,23,18,0,0,52,465,3441,2621,55,4,6586
POA2022,311,510,625,61,0,1508,216,535,414,26,0,1195,82,315,1655,131,4,2182,0,6,51,0,0,53,0,6,37,0,4,49,24,68,223,26,0,349,4,6,33,3,0,45,0,0,9,4,0,9,107,407,2003,166,10,2695,8,17,51,6,0,90,5,12,56,4,0,76,647,1481,3155,263,15,5559
POA2023,737,77,619,0,0,1436,497,51,615,0,0,1159,69,25,1018,13,0,1129,0,0,0,0,0,0,0,0,6,0,0,6,30,10,152,0,0,187,6,0,11,0,0,13,0,0,3,0,0,6,104,38,1189,12,5,1347,27,5,37,0,3,74,12,4,23,0,0,44,1372,169,2489,14,7,4056
POA2024,547,312,344,5,0,1206,414,378,374,3,0,1171,56,159,1085,30,4,1340,0,0,62,0,0,68,0,0,6,0,0,11,34,27,185,6,3,260,0,0,9,0,0,11,0,0,7,0,0,10,93,193,1362,39,9,1691,20,9,30,0,0,53,13,13,51,0,3,84,1083,908,2164,49,8,4212
POA2025,279,398,375,0,0,1064,174,247,302,5,0,723,44,190,595,0,3,829,0,0,13,0,0,13,0,6,6,0,0,12,16,54,111,4,0,172,0,5,9,0,0,12,0,0,0,0,0,0,53,254,726,4,5,1041,8,21,89,0,0,122,10,8,14,0,0,37,532,928,1506,6,10,2988
POA2026,557,727,1392,15,0,2690,492,850,1517,14,0,2876,128,353,5592,44,12,6128,0,0,210,0,0,207,7,4,38,0,0,43,58,110,969,14,0,1158,3,0,82,0,4,90,0,5,27,0,0,30,192,469,6915,59,19,7662,14,19,184,0,0,213,20,22,120,0,3,165,1283,2083,10129,86,23,13603
POA2027,194,193,1008,0,0,1390,94,109,438,0,5,646,23,79,1033,0,0,1138,0,0,0,0,0,3,0,0,3,0,0,3,5,22,224,0,0,249,0,0,3,0,0,11,0,0,6,0,0,6,30,100,1270,0,8,1405,3,3,60,0,4,71,6,6,50,0,0,66,326,410,2821,0,19,3578
POA2028,171,80,472,0,0,721,70,59,285,0,0,412,34,37,663,10,5,746,0,0,0,0,0,0,0,0,0,0,0,0,10,11,146,3,0,161,0,0,4,0,0,4,0,0,0,0,0,0,44,44,809,14,5,914,4,3,37,0,0,50,6,0,23,0,0,30,286,190,1632,21,3,2130
POA2029,423,106,665,9,0,1202,289,144,501,12,0,954,55,53,1208,29,5,1357,0,0,9,0,0,9,0,3,10,0,0,17,28,16,238,7,0,286,3,0,15,0,0,22,0,3,9,0,0,7,84,79,1494,37,5,1700,10,16,64,0,0,98,13,5,30,0,0,49,826,349,2758,59,8,4006
POA2030,1357,171,406,27,3,1970,919,201,458,14,4,1586,170,56,592,27,3,848,0,0,6,0,0,3,0,0,8,0,0,13,71,23,118,13,0,230,16,3,6,5,6,27,0,0,3,0,0,3,261,90,730,48,8,1130,31,5,88,3,0,131,32,10,20,0,0,66,2596,469,1705,96,15,4881
POA2031,971,913,1421,36,0,3336,771,914,1585,30,4,3297,205,415,4692,155,4,5467,3,4,126,0,0,135,5,0,62,0,0,70,62,82,667,30,5,847,40,8,44,3,0,96,3,0,15,0,0,16,310,510,5616,185,7,6630,25,18,185,5,0,233,12,15,82,0,4,115,2081,2366,8892,258,16,13615
POA2032,878,248,274,4,0,1397,548,206,288,3,0,1045,257,195,1597,24,3,2081,58,271,159,0,0,480,6,7,40,0,0,56,78,39,201,0,0,327,12,8,15,0,0,27,7,0,4,0,0,11,419,521,2008,29,10,2978,28,36,27,0,0,91,27,19,24,0,4,79,1901,1031,2621,34,13,5599
POA2033,475,99,479,0,0,1060,280,69,454,0,0,812,94,104,1771,3,5,1981,5,0,46,0,0,49,0,0,33,0,0,34,29,17,227,0,5,276,3,0,40,0,0,47,0,0,4,0,0,4,136,125,2114,7,8,2388,8,6,41,0,0,60,7,3,20,0,3,33,915,304,3110,7,14,4354
POA2034,720,284,928,4,0,1936,551,349,867,4,0,1768,122,173,2789,21,0,3107,0,11,566,0,0,580,0,0,67,0,0,64,30,26,421,4,0,490,3,59,16,0,0,86,0,0,13,0,0,12,156,275,3868,29,4,4331,21,10,86,0,0,116,10,10,80,0,0,104,1454,928,5829,38,7,8258
POA2035,2315,849,878,20,0,4059,1448,965,908,8,4,3334,453,507,2605,63,9,3643,45,138,872,0,4,1063,10,21,73,0,0,113,130,97,314,4,0,547,12,15,26,0,0,51,8,0,16,0,0,18,654,785,3905,70,18,5427,59,29,184,6,0,279,56,33,107,0,0,198,4535,2653,5978,100,18,13296
POA2036,2009,459,785,3,3,3266,1554,652,1154,0,5,3356,400,365,2477,5,8,3262,67,380,560,0,0,1004,28,41,117,0,0,189,119,60,230,4,0,413,17,29,80,0,5,128,4,4,27,0,0,38,633,887,3484,10,15,5034,53,24,83,0,0,160,55,37,103,0,4,186,4305,2052,5611,14,21,12002
POA2037,106,793,487,9,4,1396,86,662,507,11,0,1271,64,786,1989,52,13,2908,39,655,269,0,0,958,4,30,202,0,0,238,16,214,221,14,5,471,0,10,15,0,0,30,0,15,7,0,0,18,125,1704,2695,66,19,4611,9,58,62,0,0,134,7,40,67,4,3,116,337,3264,3820,92,23,7533
POA2038,336,518,119,8,0,976,308,671,188,5,0,1164,151,459,617,28,8,1257,3,5,45,0,0,57,0,0,40,0,0,45,46,104,58,7,0,215,0,4,3,0,0,7,0,0,0,0,0,6,204,574,762,31,8,1584,15,19,12,0,0,42,9,13,8,0,0,29,864,1790,1093,47,8,3794
POA2039,322,317,291,11,0,941,393,554,219,5,0,1170,117,370,648,30,6,1158,0,33,17,0,0,49,0,0,0,0,0,3,36,82,58,9,0,186,0,15,3,4,0,22,4,0,0,0,0,5,153,504,724,42,3,1428,5,15,11,0,0,34,9,10,9,0,0,30,884,1397,1258,55,3,3603
POA2040,1307,651,283,6,0,2242,1473,1067,478,4,3,3024,618,719,1178,28,5,2541,22,23,339,0,0,385,22,19,45,0,0,87,126,138,115,3,0,380,7,16,17,0,0,46,0,4,5,0,0,11,794,911,1706,35,5,3451,24,29,26,0,0,75,26,16,29,3,0,69,3626,2664,2515,42,15,8865
POA2041,681,1058,336,0,0,2075,535,963,337,0,0,1828,172,603,1092,3,3,1872,5,35,246,0,0,286,0,0,38,0,0,38,45,123,126,10,0,301,0,6,11,0,0,20,0,4,0,0,0,3,224,768,1511,17,8,2529,17,27,29,0,0,77,5,18,18,0,0,44,1459,2831,2220,24,13,6544
POA2042,190,976,259,14,0,1437,225,1309,475,10,0,2019,146,1358,1893,165,12,3575,9,99,143,0,3,245,0,12,41,0,0,54,36,314,219,33,4,612,3,24,41,7,4,73,0,0,4,0,0,10,197,1807,2339,206,20,4568,13,47,21,10,0,87,3,28,24,10,0,68,620,4165,3121,242,23,8179
POA2043,48,295,235,0,0,576,59,598,819,0,0,1476,26,508,1458,10,3,2002,4,25,80,4,3,117,0,17,25,0,0,39,7,96,137,0,0,246,0,7,16,0,0,16,0,0,0,0,0,0,38,655,1714,12,5,2421,3,11,13,0,0,30,0,6,19,0,0,33,146,1566,2801,19,10,4540
POA2044,458,253,50,4,0,768,501,485,202,5,0,1189,243,282,376,21,4,931,5,4,0,0,0,11,4,0,5,0,0,14,76,71,38,0,0,189,0,6,0,0,0,10,0,5,0,0,0,5,329,366,430,24,0,1153,13,9,6,0,0,28,20,11,4,0,0,37,1325,1124,683,37,4,3176
POA2045,995,85,19,0,0,1104,576,87,27,0,0,692,132,45,92,3,0,278,0,32,0,0,0,36,0,0,0,0,0,0,36,7,13,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,168,92,110,11,3,381,24,3,0,0,0,32,18,0,0,0,0,19,1773,274,158,12,5,2224
POA2046,2352,394,899,10,0,3653,1714,409,1017,20,0,3164,515,309,1728,82,0,2633,46,100,261,0,0,400,3,4,103,0,0,113,114,44,218,18,0,397,11,3,11,0,0,27,3,0,7,0,0,11,685,464,2323,104,3,3576,51,21,60,4,0,139,52,10,45,0,0,111,4854,1303,4341,137,3,10643
POA2047,690,180,767,4,0,1650,593,200,594,11,5,1398,141,112,1179,43,8,1476,0,0,51,0,0,51,0,0,12,0,0,14,35,28,144,0,0,204,5,0,8,0,0,11,0,0,0,0,0,0,182,143,1386,46,5,1762,18,11,43,0,0,72,14,0,28,0,0,40,1496,533,2810,70,13,4919
POA2048,243,379,95,8,0,730,206,490,223,4,0,919,96,289,730,45,6,1157,4,4,34,0,0,41,5,0,4,0,0,10,28,61,93,13,4,191,0,9,5,0,0,7,0,0,3,0,0,7,129,359,860,53,7,1411,6,17,15,0,4,42,0,12,12,7,0,26,587,1258,1202,68,8,3127
POA2049,492,292,184,11,0,988,467,488,539,11,4,1501,198,248,1456,67,13,1987,5,4,75,0,0,89,18,11,93,5,0,112,50,52,157,22,3,286,3,13,22,0,0,39,0,5,8,0,0,7,271,321,1809,102,17,2521,15,10,24,0,0,47,5,9,16,0,0,36,1252,1123,2571,124,19,5099
POA2050,35,233,322,0,0,588,46,285,596,3,0,931,27,305,1690,11,4,2037,0,16,114,0,0,130,0,3,64,0,0,68,4,59,139,4,0,207,0,0,14,0,0,20,0,4,9,0,0,9,35,385,2030,15,3,2477,0,11,26,0,0,36,0,8,23,0,0,28,126,919,2987,19,9,4057
POA2060,356,460,899,0,7,1721,189,267,761,0,0,1213,98,323,3028,5,9,3463,0,10,21,0,0,29,5,4,32,0,0,40,15,83,347,0,4,448,5,3,42,0,5,51,0,0,16,0,0,19,122,426,3478,8,16,4048,7,28,117,0,0,159,10,13,43,0,0,59,686,1188,5295,8,18,7201
POA2061,66,65,651,0,0,790,18,25,329,0,0,378,10,21,1375,0,0,1409,0,0,169,0,6,180,0,0,70,0,0,77,0,10,206,0,0,223,0,0,0,0,0,0,0,0,7,0,0,7,12,31,1832,0,11,1890,0,4,54,0,0,57,0,3,26,0,0,29,105,136,2889,0,15,3147
POA2062,347,154,382,0,0,886,293,145,418,0,0,860,84,123,806,7,0,1015,0,0,20,0,0,22,0,0,13,0,0,18,26,32,137,0,0,198,0,0,4,0,0,4,0,0,4,0,0,4,105,153,989,9,0,1260,5,4,25,0,0,31,4,0,14,0,0,16,759,465,1819,14,7,3054
POA2063,843,53,128,0,0,1032,548,35,63,0,0,644,123,34,184,4,0,348,0,0,0,0,0,0,0,0,4,0,0,4,35,6,15,5,0,68,4,0,0,0,0,4,0,0,0,0,0,0,166,41,203,6,0,421,16,6,9,0,0,34,5,0,3,0,0,18,1588,136,412,6,0,2142
POA2064,434,75,387,0,0,897,283,112,442,0,0,830,61,112,1250,0,5,1430,0,0,122,0,0,121,0,0,67,0,0,71,22,10,129,3,0,168,0,0,7,0,0,9,0,0,6,0,0,6,88,130,1581,3,5,1811,9,6,55,0,0,62,6,0,20,0,0,23,820,320,2483,3,0,3629
POA2065,1185,608,1649,0,0,3445,907,571,1925,0,7,3410,355,421,5258,25,13,6069,0,6,110,0,0,116,0,10,80,0,0,91,109,88,549,5,0,747,4,0,39,0,0,47,0,0,14,0,0,17,477,518,6050,32,17,7089,27,25,149,0,0,201,17,10,62,0,4,91,2607,1732,9837,37,25,14244
POA2066,2353,197,1091,0,0,3646,2161,275,2119,0,0,4552,443,165,2991,9,4,3624,16,48,40,0,0,108,12,39,101,0,0,156,121,27,364,0,0,511,8,8,64,0,3,81,0,0,15,0,0,12,602,290,3569,9,14,4491,42,10,164,0,3,216,22,7,66,0,3,97,5186,781,7004,11,23,13006
POA2067,1432,142,1137,0,0,2710,1031,138,928,0,0,2092,420,113,3548,0,4,4084,5,0,58,0,0,58,0,3,52,0,0,55,122,20,378,0,3,534,9,5,80,0,0,100,0,0,18,0,0,23,565,142,4129,7,8,4849,63,17,183,0,0,257,32,13,69,0,0,109,3130,444,6440,7,8,10028
POA2068,1897,191,225,0,0,2318,1574,194,260,3,4,2036,398,130,568,29,0,1124,0,0,37,0,0,38,6,3,46,0,0,52,115,36,78,13,0,233,10,0,6,6,0,19,0,0,0,0,0,3,526,174,731,39,3,1469,45,12,10,3,0,74,27,0,14,0,0,38,4068,574,1244,52,3,5940
POA2069,1746,62,192,0,0,2005,1401,33,231,0,0,1658,332,33,489,0,3,856,8,0,0,0,0,3,3,0,0,0,0,4,99,4,55,3,0,160,5,0,0,0,0,8,3,0,0,0,0,4,440,41,549,5,3,1036,43,30,33,0,0,112,29,0,9,0,0,35,3664,166,1014,3,3,4848
POA2070,1417,41,496,0,0,1960,1207,27,393,0,0,1631,273,33,680,4,6,993,0,0,3,0,0,3,0,0,14,0,0,14,61,9,80,0,0,149,9,8,37,0,0,58,6,0,7,0,0,10,345,47,817,4,6,1226,38,5,112,0,0,149,16,5,16,0,0,37,3023,129,1840,4,8,5003
POA2071,1428,33,406,0,0,1874,1117,8,411,0,0,1535,250,14,619,0,3,883,0,0,0,0,0,0,0,0,0,0,0,5,46,0,80,0,0,134,9,3,8,0,0,17,0,0,0,0,0,7,301,27,714,0,4,1046,32,35,25,0,0,91,18,0,13,0,0,32,2893,107,1575,0,4,4578
POA2072,695,40,292,6,0,1033,506,39,384,45,0,978,165,29,762,40,0,997,0,0,3,0,0,3,0,0,4,0,0,4,47,4,64,3,0,112,0,0,14,0,0,12,0,0,3,0,0,3,208,37,846,45,0,1129,10,0,17,0,0,31,22,0,14,3,0,36,1448,111,1546,93,0,3199
POA2073,1938,57,176,0,0,2172,1986,30,309,0,0,2330,379,21,418,3,0,822,4,0,0,0,0,4,4,11,3,0,0,18,71,3,46,0,0,123,10,0,0,0,0,9,0,0,0,0,0,0,462,33,471,3,0,974,41,8,23,0,0,66,27,4,14,0,0,44,4458,136,995,3,0,5595
POA2074,2618,167,619,3,0,3409,2529,102,392,0,0,3023,354,67,558,0,0,987,4,0,3,0,0,6,0,0,32,0,0,44,110,12,56,0,0,174,3,0,4,0,0,10,3,0,9,0,0,9,488,84,662,3,0,1238,107,6,168,0,4,285,37,0,33,0,0,69,5776,358,1870,12,7,8022
POA2075,2167,314,581,0,0,3065,2400,117,472,0,4,2993,379,49,497,0,0,933,0,0,0,0,0,0,3,0,6,0,0,7,91,11,58,0,0,158,7,0,6,0,0,19,0,0,0,0,0,0,489,61,569,0,3,1117,38,6,24,0,0,72,27,0,15,0,0,45,5120,503,1664,0,10,7291
POA2076,2546,243,352,0,0,3140,2920,177,264,0,0,3364,574,95,328,0,0,1000,8,31,36,0,0,78,9,21,33,0,0,66,130,22,60,0,0,208,26,4,4,0,0,42,0,3,3,0,0,15,738,184,471,4,3,1406,86,23,142,0,3,254,32,7,14,0,0,58,6329,632,1245,4,10,8218
POA2077,2406,163,1275,3,0,3855,2756,261,2593,3,0,5618,746,212,4008,17,3,4985,29,32,213,0,0,276,26,13,145,0,0,184,180,36,452,3,4,675,27,0,67,0,0,93,6,0,20,0,0,28,1013,296,4903,26,5,6244,58,18,111,0,0,189,52,8,81,0,0,141,6292,756,8961,24,14,16044
POA2079,841,25,22,0,0,880,1070,41,172,4,0,1289,227,24,119,0,0,371,3,0,0,0,0,6,6,0,0,0,0,6,69,6,9,0,0,85,8,0,0,0,0,7,4,0,0,0,0,4,310,26,130,0,0,473,7,0,0,0,0,9,14,0,4,0,0,20,2236,100,328,5,0,2664
POA2080,212,4,0,0,0,217,275,4,0,0,0,281,39,10,0,0,0,45,0,5,0,0,0,5,0,5,0,0,0,5,17,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,57,15,0,0,0,74,3,0,0,0,0,3,4,0,0,0,0,3,555,25,3,0,0,585
POA2081,653,30,0,0,0,678,833,33,0,0,0,866,136,15,5,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,42,8,0,0,0,47,7,0,0,0,0,7,0,0,0,0,0,0,176,25,5,0,0,209,7,0,0,0,0,10,5,0,0,0,0,5,1675,80,10,0,3,1769
POA2082,733,15,5,0,0,762,815,43,9,0,0,870,112,12,4,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,49,6,5,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,169,17,10,0,0,198,7,0,0,0,0,7,9,0,0,0,0,9,1734,79,19,0,0,1838
POA2083,247,0,3,5,4,260,249,0,4,0,0,255,70,0,11,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,34,4,0,3,0,43,0,0,0,0,0,4,0,0,0,0,0,0,113,4,20,8,0,141,8,0,0,0,0,14,9,0,0,0,0,8,627,9,25,10,10,679
POA2084,466,19,40,26,0,551,425,4,12,0,0,444,60,9,6,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,69,8,3,0,4,85,7,0,4,10,0,21,0,0,0,0,0,0,142,15,13,14,3,179,15,0,3,0,0,16,3,0,0,0,0,8,1047,39,66,39,3,1192
POA2085,1323,132,205,0,0,1659,1492,71,18,0,0,1582,237,29,27,0,0,300,0,0,0,0,0,0,3,4,0,0,0,9,66,3,9,0,0,80,3,3,0,0,0,4,0,0,0,0,0,0,313,42,41,0,0,393,11,40,52,0,0,100,24,4,18,0,0,46,3167,289,328,0,3,3780
POA2086,1537,52,23,0,0,1614,1946,67,28,0,0,2034,405,47,42,0,0,495,6,0,0,0,0,6,5,0,22,0,0,25,112,12,16,0,5,135,9,7,0,0,0,13,0,0,6,0,0,6,532,64,86,0,7,683,30,3,4,0,0,32,29,0,4,0,0,35,4070,184,136,0,7,4401
POA2087,1608,124,79,0,0,1810,1531,52,27,0,0,1616,359,44,73,0,0,481,0,52,0,0,0,53,4,47,0,0,0,55,100,10,19,0,0,137,10,3,0,0,0,14,0,0,0,0,0,0,482,164,95,0,4,737,26,70,6,0,0,109,24,12,0,0,0,36,3673,423,208,0,9,4307
POA2088,2129,673,1587,22,7,4422,1432,431,1099,12,0,2980,295,194,2604,39,4,3140,4,5,41,0,0,51,0,9,37,0,3,43,87,42,408,12,4,550,9,0,12,0,0,21,0,0,5,0,0,8,403,249,3103,57,13,3822,42,17,144,0,0,207,20,13,69,0,9,112,4028,1389,6001,96,29,11544
POA2089,247,206,885,0,0,1333,157,169,799,0,3,1123,55,130,2206,9,17,2418,0,0,3,0,0,3,0,0,10,0,0,18,16,32,296,0,0,350,0,4,15,0,0,21,0,0,0,0,0,0,75,171,2537,9,17,2806,13,7,52,4,0,70,3,0,32,0,0,33,485,547,4308,13,19,5375
POA2090,522,241,1120,0,0,1890,371,203,807,0,0,1382,81,150,2133,10,4,2367,0,6,18,0,0,24,0,4,11,0,0,21,34,26,297,0,0,362,0,0,3,0,0,7,0,0,5,0,0,5,109,189,2470,5,4,2778,7,4,58,0,0,67,8,3,37,0,0,48,1018,641,4496,10,8,6169
