POA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA2019,29,8,9,0,49,6,0,4,0,13,4,0,6,0,7,6,0,4,0,12,23,5,17,0,45,20,0,16,4,44,80,18,17,4,117,36,19,35,7,93,45,24,46,3,123,52,55,50,9,169,50,54,40,6,147,53,83,42,5,183,174,195,95,5,471,165,179,39,8,390,125,243,29,7,403,102,174,15,4,290,228,634,35,4,906,37,90,32,4,167,18,18,12,4,45,1258,1801,539,69,3664
POA2020,85,11,24,14,134,14,0,5,0,16,13,10,8,0,32,13,0,7,0,20,35,5,14,7,65,37,12,29,8,84,106,21,30,5,164,84,50,51,18,198,130,86,52,19,292,163,117,60,14,353,132,102,38,17,289,157,100,30,18,313,411,272,85,42,807,312,214,35,19,580,264,193,45,15,518,187,165,10,0,368,418,502,30,9,965,123,78,26,0,231,26,14,4,3,47,2708,1960,578,233,5478
POA2021,14,0,8,0,30,9,0,0,0,11,0,0,0,0,3,3,0,4,0,13,15,0,5,0,17,12,0,14,0,30,33,6,11,0,48,30,4,13,0,50,42,8,17,0,67,56,14,20,0,92,46,12,22,0,82,80,16,24,0,126,131,58,54,13,255,131,51,21,3,209,149,64,30,3,248,122,66,9,4,204,820,917,121,12,1869,44,82,30,3,158,16,6,8,0,24,1752,1302,417,57,3527
POA2022,31,10,15,3,54,9,0,5,0,15,3,4,0,0,8,3,0,4,0,8,15,0,6,0,28,17,7,21,3,46,43,3,11,0,64,32,9,25,0,74,61,16,33,4,113,88,27,19,7,137,43,22,23,3,91,79,28,16,11,133,214,59,53,6,334,165,58,21,8,250,135,89,19,4,252,112,69,8,4,189,497,784,76,5,1372,53,71,26,0,150,10,6,9,0,26,1611,1279,395,58,3337
POA2023,16,8,17,4,40,3,0,5,0,9,6,0,4,0,11,0,3,8,0,10,6,0,10,0,15,7,0,9,0,18,21,4,12,0,33,27,8,18,4,49,28,13,17,6,65,52,13,16,0,82,23,23,11,0,56,40,19,24,0,88,100,59,40,4,204,97,59,17,4,173,90,62,22,8,181,87,58,4,0,152,528,794,52,10,1389,39,117,32,5,187,15,11,0,0,27,1190,1247,311,38,2787
POA2024,9,0,9,0,18,6,0,0,0,4,4,0,4,0,14,0,0,4,0,3,10,3,3,0,23,6,3,5,0,14,30,4,10,0,45,25,8,17,0,54,39,10,19,7,70,52,12,18,3,85,25,19,24,0,63,48,21,22,0,90,109,52,46,0,213,113,66,17,3,204,100,73,21,3,186,81,71,5,0,158,403,892,65,0,1357,30,103,28,0,166,5,14,5,0,24,1095,1348,317,35,2798
POA2025,12,7,5,0,18,4,5,0,0,7,0,0,3,0,5,0,0,3,0,7,10,0,0,0,10,11,4,6,0,14,13,0,9,0,25,16,0,6,0,20,23,11,15,4,52,27,5,8,3,49,21,0,11,3,42,39,11,19,3,67,65,21,45,9,140,49,20,4,3,83,60,35,16,0,116,57,26,4,0,91,384,471,63,4,922,36,59,24,0,120,11,3,6,0,18,836,694,247,41,1814
POA2026,40,10,27,0,76,15,0,3,0,17,10,0,7,0,21,4,4,10,0,14,44,4,23,0,68,17,3,23,0,46,102,14,34,0,156,94,12,36,6,153,95,33,88,19,231,149,43,63,12,269,119,57,61,4,236,169,58,52,7,286,351,189,99,21,663,318,190,31,19,560,342,217,51,11,622,288,174,8,4,483,1385,1771,125,12,3299,125,191,72,4,385,44,32,6,3,80,3717,3015,816,129,7667
POA2027,18,3,15,4,37,4,0,0,0,9,6,0,0,0,5,0,0,0,0,0,9,0,0,0,7,0,0,8,0,7,19,0,9,0,29,13,3,8,0,26,23,6,21,0,52,42,0,17,7,66,26,3,14,0,45,45,6,11,0,62,87,29,23,5,148,89,32,13,0,130,79,23,17,0,122,67,23,6,4,99,569,382,62,6,1022,61,43,21,0,123,20,7,3,0,34,1182,571,241,28,2027
POA2028,9,3,7,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,4,0,4,8,0,8,0,20,15,5,10,0,26,17,4,12,0,24,28,6,10,3,44,17,7,12,0,37,22,8,0,6,35,41,16,24,5,83,43,20,5,4,72,55,20,13,5,94,51,21,0,0,69,297,260,33,3,587,25,33,13,0,76,14,4,3,0,19,632,412,159,29,1228
POA2029,20,0,6,0,32,5,0,3,0,7,5,0,3,0,11,7,5,7,0,14,9,0,7,0,16,7,5,13,4,25,32,4,10,0,48,32,4,17,0,58,31,12,30,0,72,61,17,32,4,116,45,24,32,6,98,56,32,28,3,119,121,69,64,3,258,76,70,10,8,168,93,75,18,0,189,76,67,8,0,155,417,617,52,6,1086,33,76,31,0,141,26,8,4,0,35,1156,1087,377,36,2654
POA2030,24,16,12,5,58,6,0,0,0,9,9,0,3,0,16,0,0,5,0,5,15,0,9,0,20,11,0,10,6,30,43,3,18,0,65,28,13,20,4,59,42,23,36,0,95,47,16,22,5,84,34,36,19,5,91,42,26,22,5,93,122,117,45,3,289,116,85,14,5,219,110,119,31,4,263,85,87,12,0,183,505,1305,84,4,1904,41,185,46,0,268,23,28,11,0,57,1288,2062,424,40,3811
POA2031,45,7,16,3,75,14,0,6,0,20,6,4,7,0,18,8,3,10,0,22,33,0,19,0,52,25,7,31,7,64,102,17,57,5,177,89,23,55,10,174,147,44,79,13,285,185,63,80,13,341,101,60,87,12,271,159,104,82,12,357,412,252,155,29,844,418,278,56,14,772,415,290,68,21,790,316,227,16,12,569,1091,2001,142,18,3243,122,207,81,5,417,47,23,7,0,75,3734,3609,1056,168,8568
POA2032,49,4,14,4,72,14,0,0,0,16,6,0,10,0,16,4,0,18,0,24,31,7,16,3,60,30,6,20,5,63,102,17,35,7,161,63,19,61,7,145,83,36,42,22,186,88,51,43,12,196,50,36,40,3,129,71,46,37,10,165,147,151,61,14,365,110,140,27,10,281,84,142,18,7,254,51,106,17,0,175,147,625,37,3,815,50,89,30,0,165,11,15,0,0,25,1192,1493,520,110,3321
POA2033,24,3,10,9,44,4,0,3,0,14,10,0,5,0,15,7,0,3,0,17,10,5,12,4,25,16,0,10,0,30,50,11,14,0,81,44,15,18,3,72,64,26,36,11,132,83,39,30,9,164,47,27,32,4,108,54,31,28,5,125,179,95,45,11,329,129,79,22,12,237,106,91,13,10,221,91,72,8,0,177,240,462,35,9,737,43,57,18,0,119,12,6,0,0,20,1211,1021,338,83,2656
POA2034,23,5,10,0,37,11,0,0,0,16,3,0,14,0,20,5,0,13,0,22,31,3,25,0,56,15,7,45,0,63,67,9,37,7,116,40,8,50,4,96,51,15,53,5,129,90,31,38,3,162,57,36,39,8,128,93,32,38,11,172,235,112,79,14,444,221,118,20,12,371,238,152,41,4,435,216,127,10,3,352,793,1263,85,13,2152,74,128,47,0,251,23,13,13,3,52,2276,2058,644,93,5071
POA2035,84,13,30,0,128,30,4,4,0,39,21,3,25,0,47,16,4,33,0,61,82,9,58,5,156,43,19,51,14,117,258,31,91,9,385,173,36,121,20,355,170,71,117,22,384,217,133,101,13,468,141,116,102,18,376,178,135,102,17,425,420,363,166,18,969,338,364,91,13,799,272,389,56,12,737,201,319,19,3,542,578,1914,127,15,2635,123,234,95,10,460,46,34,19,4,99,3392,4197,1409,185,9182
POA2036,81,25,29,6,140,27,0,7,0,48,20,0,11,5,35,18,6,28,0,49,66,9,57,6,137,46,27,74,4,152,240,36,96,12,383,156,61,140,14,368,201,115,126,18,455,194,148,142,17,507,126,163,88,12,393,141,172,76,10,405,376,439,187,18,1025,317,434,78,23,850,226,436,57,10,730,176,345,32,6,561,400,1481,80,6,1969,100,258,84,7,446,38,36,21,0,101,2944,4190,1443,165,8748
POA2037,18,6,15,4,46,12,0,4,4,17,8,0,13,5,19,5,0,25,3,32,32,5,26,0,66,19,7,38,3,72,50,13,47,3,114,51,11,63,5,130,61,16,47,9,140,84,25,46,8,167,63,30,33,5,129,76,40,26,4,150,215,75,53,9,350,212,52,19,5,283,185,83,28,9,300,140,68,0,0,212,708,653,62,10,1430,63,54,34,0,159,18,4,9,0,31,2014,1152,592,92,3855
POA2038,12,0,0,0,17,0,0,4,0,6,4,0,3,0,10,0,0,0,0,0,10,0,13,0,23,6,4,7,0,15,25,4,10,0,39,25,5,9,6,47,24,12,15,3,55,42,15,21,8,82,26,13,16,0,56,51,20,13,3,83,120,53,53,0,227,88,64,15,9,170,89,81,20,3,189,78,56,6,3,142,372,696,43,6,1116,40,43,24,0,107,9,8,3,0,15,1021,1066,274,39,2402
POA2039,12,0,3,0,19,4,0,0,0,5,0,0,4,0,3,0,0,0,0,0,5,0,4,0,18,10,5,11,0,23,16,0,7,0,30,17,8,13,5,42,37,9,13,0,60,38,6,23,0,71,33,13,18,0,67,32,13,22,3,73,109,46,45,9,209,85,51,19,0,152,82,64,22,6,171,85,50,3,0,141,483,692,49,5,1226,28,40,17,0,88,3,3,0,0,9,1088,1003,280,35,2408
POA2040,20,4,13,0,45,13,0,3,0,19,4,0,9,4,22,4,0,16,0,20,28,3,22,4,56,18,4,39,0,62,110,13,33,4,158,66,16,59,12,145,81,42,74,4,198,86,38,50,10,188,60,53,77,6,194,98,58,60,8,219,204,174,126,10,513,209,202,42,9,455,199,237,60,6,495,178,225,12,7,425,750,1693,104,10,2562,84,129,56,0,266,21,7,7,0,35,2234,2881,862,98,6072
POA2041,14,7,11,0,24,9,4,7,0,23,7,0,11,0,13,0,0,5,0,9,6,0,18,3,29,11,0,19,0,33,35,0,21,0,61,30,4,20,3,61,69,13,25,7,118,79,17,40,3,145,45,16,25,0,87,80,31,26,0,134,169,72,69,3,310,156,71,21,10,258,172,89,24,6,284,132,92,4,0,225,847,1303,113,5,2273,62,94,36,0,196,12,12,0,0,19,1931,1826,498,49,4302
POA2042,12,6,3,0,22,9,3,7,0,16,5,3,5,0,12,0,0,12,0,11,31,3,12,0,48,10,10,17,0,31,43,16,19,6,90,33,13,35,3,92,64,20,33,13,130,112,14,44,14,181,80,29,34,0,152,94,33,29,7,167,254,84,76,13,419,257,93,29,7,383,227,111,23,4,366,204,99,8,4,324,806,696,38,13,1549,75,62,24,0,164,12,4,0,0,13,2319,1303,446,92,4167
POA2043,12,0,3,3,15,7,0,0,0,10,3,0,0,0,5,0,0,0,0,8,5,0,6,0,12,8,6,10,0,16,15,5,10,4,36,9,4,14,0,32,18,3,16,4,43,42,10,15,0,66,39,19,14,0,67,39,15,19,0,74,153,55,39,6,257,175,46,9,0,230,181,62,10,4,268,180,60,6,5,244,708,413,24,8,1148,55,24,8,0,85,3,0,5,0,10,1657,719,212,39,2620
POA2044,15,0,7,0,25,4,0,4,0,8,4,0,5,0,5,6,0,3,0,7,12,0,12,0,24,6,9,12,0,24,51,10,13,0,75,31,9,19,4,59,25,15,28,8,79,42,19,30,7,97,42,23,28,0,86,36,19,22,0,80,101,80,39,8,228,100,81,11,6,201,108,107,12,3,226,88,106,4,3,202,301,337,18,4,664,31,32,20,4,82,6,0,0,0,8,1001,846,296,48,2197
POA2045,20,5,6,0,28,11,0,0,0,16,0,0,3,0,5,0,0,0,0,3,15,0,6,0,21,12,0,10,3,21,49,8,10,3,67,31,7,23,4,64,35,11,18,0,61,45,19,21,0,83,24,15,12,3,53,26,23,14,6,65,42,53,29,4,124,35,51,13,3,106,24,64,15,3,111,24,67,4,0,98,121,585,25,0,734,15,54,14,0,81,16,3,3,0,24,548,967,231,21,1770
POA2046,58,12,14,5,95,20,4,10,0,31,12,0,12,7,26,4,0,14,0,21,73,14,24,4,109,34,13,34,3,84,232,23,50,7,311,134,30,78,5,251,144,60,90,5,309,178,76,73,12,343,106,84,78,16,283,123,118,72,10,318,294,271,169,12,741,279,298,68,21,664,234,346,67,4,653,207,284,17,3,508,651,1798,96,12,2555,95,155,81,0,327,30,27,18,6,77,2920,3613,1046,125,7708
POA2047,20,4,6,0,33,17,3,0,0,18,3,0,3,0,9,3,4,5,0,9,12,0,3,0,18,17,5,16,0,33,58,6,18,0,78,45,3,28,0,77,69,12,33,3,119,85,20,40,6,160,42,34,26,8,112,58,28,29,0,116,156,92,46,8,294,132,69,31,6,239,163,90,37,5,294,92,101,15,7,213,477,817,87,11,1390,54,50,31,6,132,8,4,0,0,15,1501,1352,443,59,3360
POA2048,8,4,8,0,15,0,0,0,0,8,3,0,3,0,6,4,0,0,0,3,14,0,5,0,17,7,6,11,0,20,26,0,3,4,38,19,3,7,8,41,34,5,15,6,59,46,13,19,11,88,42,21,12,5,77,30,17,12,0,58,106,58,40,6,219,80,47,3,3,135,77,64,16,4,157,58,58,0,0,123,280,421,34,6,739,18,25,19,0,69,3,4,0,0,9,863,745,216,53,1874
POA2049,18,0,3,3,29,10,0,0,0,9,0,0,4,0,6,5,0,5,0,12,10,3,12,0,27,13,0,15,0,29,60,4,17,0,86,36,4,17,3,63,48,22,42,4,117,70,21,27,6,123,57,16,34,6,108,51,31,24,13,115,154,87,66,10,311,143,86,24,3,255,143,120,26,9,296,112,90,7,5,215,390,614,31,9,1043,47,42,21,0,111,7,8,0,0,10,1356,1151,384,67,2949
POA2050,16,0,0,0,21,5,0,5,0,9,0,0,0,0,0,0,0,8,0,11,6,3,8,0,15,7,0,7,0,7,26,5,11,0,33,18,6,15,3,40,28,3,11,7,47,42,11,8,0,65,29,21,10,0,60,45,13,12,0,71,135,25,29,6,199,140,40,8,9,190,141,45,12,0,201,111,45,4,0,172,427,257,26,9,714,39,16,10,0,73,3,5,0,0,9,1226,497,178,43,1947
POA2060,28,11,11,0,51,16,0,8,0,22,8,0,0,0,14,4,0,11,0,11,21,0,4,0,23,16,3,12,0,29,32,3,9,0,54,46,6,16,3,80,51,11,31,3,94,80,24,23,0,134,65,28,18,7,113,91,22,29,14,150,240,74,54,11,377,195,54,23,7,284,221,93,21,11,348,177,62,8,6,250,912,697,94,7,1708,77,64,23,0,168,10,6,0,0,27,2282,1163,399,75,3914
POA2061,20,5,8,0,25,7,0,0,0,7,0,0,3,0,6,0,0,3,0,3,15,0,3,0,20,14,0,9,0,19,22,4,10,0,36,11,0,11,0,22,19,5,9,0,39,25,0,4,9,34,23,3,5,0,32,28,6,10,3,46,86,16,30,0,131,91,3,6,4,104,102,24,9,0,131,71,8,0,0,86,482,224,32,5,739,45,19,15,0,80,12,0,4,0,16,1060,326,152,26,1572
POA2062,9,3,3,0,10,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,8,0,0,0,11,0,6,10,0,16,29,0,14,0,44,17,3,15,0,39,21,4,16,0,46,35,14,19,5,73,20,15,16,0,52,21,13,11,0,47,82,43,47,4,180,72,29,16,6,121,83,51,25,0,160,68,36,7,0,115,321,568,53,3,952,28,41,22,3,86,8,0,0,0,12,846,832,271,30,1978
POA2063,9,6,7,0,17,9,0,0,0,9,0,0,4,0,9,0,0,5,0,5,8,4,0,0,14,5,9,5,0,17,17,4,3,0,26,18,0,3,0,25,22,7,11,0,48,34,21,8,0,60,23,5,6,0,37,29,15,9,0,62,71,36,30,0,134,42,28,12,0,79,34,38,11,0,81,38,41,0,0,81,200,701,32,5,940,13,75,15,0,101,8,8,0,0,10,579,996,164,19,1751
POA2064,22,6,10,0,36,6,0,7,0,13,4,0,0,0,11,0,0,6,0,12,15,3,17,0,29,7,9,18,0,38,31,9,19,5,59,21,26,24,0,72,33,33,30,0,103,54,38,18,5,117,30,50,21,0,96,48,46,22,0,119,107,142,40,8,294,85,83,15,7,194,83,117,12,0,214,75,87,0,4,177,202,600,40,10,851,27,69,14,0,110,0,11,5,0,22,868,1324,328,50,2568
POA2065,63,16,20,3,105,16,6,8,0,32,11,6,10,0,31,12,3,10,0,28,43,0,13,0,59,24,11,31,4,69,82,11,22,9,127,93,18,37,4,152,115,36,49,8,210,177,59,64,13,308,127,62,68,4,263,181,54,41,19,293,460,199,128,14,807,449,175,50,16,688,398,278,62,10,759,352,213,28,12,601,1621,1994,153,23,3788,136,165,50,6,359,25,25,7,0,56,4381,3333,860,152,8726
POA2066,62,12,16,0,85,15,4,6,3,29,15,3,14,3,39,6,4,17,0,27,47,10,30,3,89,31,15,35,0,79,115,11,37,0,170,95,30,56,7,185,121,45,81,5,261,179,90,76,17,365,130,98,83,5,317,173,106,64,10,345,419,274,172,23,880,376,276,70,9,721,318,369,64,13,761,252,295,14,11,576,1015,2737,149,9,3919,108,226,62,8,398,27,14,9,0,57,3495,4622,1061,120,9306
POA2067,140,35,91,9,272,35,7,19,0,71,25,8,19,4,58,14,4,28,0,50,72,13,31,5,126,65,20,45,0,136,163,48,40,5,257,127,61,63,4,256,155,90,76,13,328,190,114,85,10,404,136,121,85,16,350,151,149,61,6,369,331,368,107,25,833,227,270,35,15,541,170,324,51,16,560,137,194,19,4,348,512,1398,105,12,2029,78,181,54,4,316,18,23,12,0,59,2748,3425,1033,167,7379
POA2068,39,12,15,0,68,13,0,4,0,18,10,0,7,0,14,4,0,13,0,15,39,8,13,0,58,17,6,19,0,54,69,13,16,4,93,45,16,42,0,97,71,30,50,13,159,67,50,46,9,176,53,52,37,7,143,64,53,53,5,170,155,119,75,11,359,104,143,37,3,290,111,152,40,3,318,64,129,14,4,205,467,1708,114,8,2288,44,163,36,6,256,6,17,3,3,27,1461,2671,631,56,4834
