POA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
POA2019,0,0,7,12,5,3,0,7,0,35,0,3,0,5,8,10,19,19,21,77,0,0,3,23,7,19,9,0,0,60,0,8,4,57,17,16,3,4,0,109,0,5,27,113,48,29,31,10,0,245,0,0,0,38,3,0,0,0,0,44,0,0,0,8,0,3,6,0,0,16,0,6,12,249,27,20,5,4,0,321,0,0,0,22,18,12,19,8,7,90,0,0,3,11,4,3,0,0,0,26,0,0,0,18,13,3,0,0,0,35,0,0,0,10,11,9,4,4,0,42,0,0,4,54,8,11,20,0,0,95,0,0,0,0,0,4,10,11,0,32,0,0,0,15,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,0,0,0,10,3,3,5,0,0,17,0,8,19,121,88,56,33,5,6,330,0,0,0,5,0,6,7,8,3,26
POA2020,0,0,7,32,3,0,5,0,0,49,0,0,5,10,12,12,47,95,30,206,4,4,76,167,31,29,23,4,5,341,5,15,63,389,27,16,19,13,4,554,0,12,596,1204,137,72,59,16,4,2112,0,3,0,41,5,12,6,0,0,61,0,5,0,15,7,12,0,0,0,30,0,4,31,410,17,6,5,0,0,478,0,0,9,67,4,8,17,13,22,145,0,0,13,64,22,5,3,4,0,105,0,4,20,111,16,8,0,0,0,157,0,0,0,14,4,18,16,11,0,63,0,5,42,207,31,24,21,9,0,337,0,0,0,0,0,8,18,18,7,53,0,0,0,13,0,3,0,0,0,20,0,0,10,22,3,4,0,0,0,42,0,0,34,53,0,0,0,0,0,91,0,0,0,10,0,0,0,0,0,9,0,4,39,138,58,34,15,3,0,302,0,0,0,9,0,4,6,0,3,30
POA2021,0,4,5,29,21,7,10,9,3,97,0,0,0,8,4,7,15,13,8,45,5,17,13,41,15,7,5,0,0,104,0,0,0,34,4,16,7,5,0,67,0,0,3,18,4,3,0,6,0,41,0,0,0,27,4,0,0,6,0,34,0,0,0,3,0,0,0,0,0,7,0,0,0,66,26,15,14,6,4,129,0,0,0,42,8,11,10,7,7,91,0,5,4,23,12,6,3,3,0,62,0,0,3,20,8,0,3,0,0,35,0,0,0,0,5,7,0,0,0,14,0,0,0,38,11,16,19,0,0,94,0,0,0,0,0,0,3,3,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,5,0,3,4,7,0,0,0,0,0,15,0,0,0,12,4,0,4,8,0,37,0,7,29,175,89,88,67,36,10,508,0,0,0,0,0,0,0,0,0,0
POA2022,0,0,6,34,10,10,15,12,5,87,0,0,0,4,3,3,8,12,9,46,0,11,16,29,13,14,3,7,0,92,0,3,4,44,6,5,11,7,0,86,0,3,3,23,7,15,8,5,0,68,0,0,0,15,4,0,8,0,0,36,0,0,0,0,0,0,0,0,0,9,0,0,7,314,26,11,7,4,0,369,0,0,13,106,7,12,16,18,15,186,3,0,0,33,30,12,11,3,0,90,0,7,6,44,11,9,3,0,0,82,0,0,0,5,0,5,5,0,0,15,0,0,0,10,17,19,5,3,0,63,0,0,0,0,0,0,6,4,7,24,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,12,5,0,0,0,0,20,0,0,4,13,0,0,0,0,0,27,7,4,22,116,59,54,42,15,3,310,0,0,0,0,0,0,0,0,0,0
POA2023,0,7,5,19,4,3,18,5,9,70,0,0,0,0,0,7,6,6,0,17,0,37,26,27,14,14,14,7,0,143,0,3,5,19,12,13,3,10,0,61,0,0,3,8,3,3,0,0,0,25,0,0,0,18,3,3,0,0,0,25,0,0,0,0,0,0,8,0,5,10,0,0,0,46,15,6,9,3,0,83,0,0,0,33,5,5,6,10,0,63,0,0,0,15,4,0,3,0,0,21,0,0,0,5,9,5,0,0,0,13,0,0,0,4,3,6,0,3,0,17,0,0,0,12,16,9,13,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,8,3,5,5,3,0,28,0,0,11,76,46,42,23,11,3,215,0,0,0,0,0,0,0,0,0,0
POA2024,0,3,0,36,7,16,13,5,5,85,0,0,4,3,0,8,11,15,17,61,0,9,10,18,5,8,3,0,4,60,0,0,0,22,5,6,4,0,3,40,0,0,0,12,0,0,3,0,0,18,0,0,0,8,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,3,0,0,3,108,31,9,12,8,7,181,0,0,3,45,10,3,9,25,24,119,0,3,0,13,14,5,4,0,0,38,0,0,0,14,0,0,0,0,0,19,0,0,0,3,3,4,3,0,0,13,0,4,0,0,5,6,4,7,0,32,0,0,0,0,0,0,10,4,0,11,0,0,0,5,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,15,3,3,3,0,4,28,0,0,13,128,63,47,28,13,4,312,0,0,0,0,0,0,0,0,0,0
POA2025,0,0,0,12,6,5,9,8,4,42,0,0,0,0,0,0,5,4,5,12,0,18,5,11,10,7,3,0,0,56,0,3,0,11,9,5,3,5,4,43,0,0,3,6,6,0,0,0,0,19,0,0,0,11,0,5,0,0,0,14,0,0,0,0,0,4,0,0,5,11,0,0,0,27,8,5,3,4,0,45,0,0,5,16,4,6,3,9,6,51,4,0,4,14,6,3,0,3,0,36,0,0,0,4,0,3,0,0,0,12,0,0,0,0,4,0,0,3,0,11,0,0,0,14,10,8,4,0,0,39,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,0,0,0,6,0,0,0,0,0,6,0,0,0,3,3,3,6,5,3,23,0,0,14,74,28,37,38,16,6,207,0,0,0,0,6,0,0,0,0,6
POA2026,7,4,14,195,45,25,20,15,13,321,0,6,0,15,0,0,19,30,8,74,3,6,8,43,14,0,3,3,0,95,0,3,0,80,12,20,20,20,3,163,0,5,7,28,9,6,10,0,0,64,0,0,0,29,4,9,0,0,0,44,0,0,0,7,0,4,5,10,4,17,0,3,4,385,55,26,7,6,5,489,0,0,17,354,22,17,21,27,18,479,0,0,5,39,35,12,3,0,0,96,0,3,0,39,9,3,0,0,0,64,0,0,0,14,10,16,9,4,5,49,0,0,0,25,6,12,8,3,0,59,0,0,0,0,0,0,3,6,6,27,0,0,0,14,5,6,0,0,0,21,0,0,0,4,0,0,0,0,0,8,0,0,0,7,4,0,0,0,0,9,0,8,0,103,15,5,6,6,3,145,11,8,31,403,180,120,39,14,5,806,0,0,0,7,0,3,4,0,0,26
POA2027,0,0,0,16,5,11,8,19,13,76,0,0,0,0,0,0,7,4,0,20,0,6,14,23,12,9,11,9,0,88,0,4,0,18,3,4,9,8,0,50,0,0,0,3,4,3,0,0,3,14,0,0,0,6,5,3,4,0,0,23,0,0,0,0,0,0,0,0,0,6,0,3,0,40,5,8,7,3,4,66,0,0,0,24,8,0,13,9,3,69,0,4,0,9,8,7,3,0,0,39,0,0,0,0,7,4,0,0,0,12,0,0,0,3,4,5,0,4,3,18,0,0,0,20,10,5,9,3,3,51,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,13,0,5,13,81,32,48,36,25,0,233,0,0,0,0,0,0,0,0,0,4
POA2028,0,0,0,13,0,4,6,4,0,36,0,0,0,0,0,3,0,0,3,13,3,8,8,14,7,5,7,0,0,56,0,3,0,12,3,5,4,3,3,26,0,0,3,9,0,7,5,0,0,20,0,0,0,3,6,0,3,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,19,9,0,6,0,0,31,0,0,0,11,0,3,7,9,0,37,0,0,0,9,4,0,0,9,0,19,0,0,0,11,4,3,0,5,0,17,0,0,0,0,0,4,0,0,0,4,0,0,0,0,7,0,6,6,0,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,61,11,22,18,9,0,134,0,0,0,0,0,0,0,0,0,0
POA2029,0,0,0,21,3,6,19,13,5,60,0,0,0,0,0,4,6,11,5,29,0,14,3,6,15,3,9,0,0,53,0,0,0,3,9,13,8,12,3,48,0,0,4,11,3,3,0,3,0,25,0,0,5,12,0,3,0,5,0,28,0,0,0,0,0,0,0,0,0,3,0,0,3,35,19,8,4,4,0,75,0,0,0,42,9,3,10,23,7,88,0,4,0,13,12,4,0,0,0,38,0,0,0,18,9,0,0,0,0,38,0,0,0,5,0,6,0,0,0,12,0,0,0,7,9,4,8,3,0,34,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,8,0,0,0,0,0,5,0,0,0,3,0,3,0,0,3,21,0,5,8,75,41,27,29,22,8,210,0,0,0,4,0,0,0,0,0,3
POA2030,0,0,4,13,21,16,15,12,3,83,0,0,0,3,4,13,21,20,18,81,0,36,29,19,22,14,4,4,0,127,0,3,3,13,7,11,8,14,5,66,0,3,0,16,7,12,11,10,3,60,0,0,0,20,9,11,8,6,0,50,0,0,0,3,3,0,0,0,7,14,0,0,0,18,10,11,7,0,0,46,0,0,0,21,16,9,19,7,9,89,0,3,4,10,8,5,0,0,0,29,0,0,4,12,16,3,0,0,0,31,0,0,0,6,8,6,0,6,0,27,0,0,7,11,13,11,9,3,0,61,0,0,0,0,0,0,3,3,0,9,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,5,3,4,4,0,31,0,11,14,54,52,48,34,18,3,232,0,0,0,4,0,0,0,0,0,7
