POA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
POA2019,0,0,0,9,0,0,0,0,0,10,0,0,4,133,18,10,4,0,0,175,0,0,0,17,8,3,5,5,0,43,0,0,0,3,0,0,0,0,0,10,0,0,0,7,4,0,0,0,0,12,0,0,0,0,4,3,0,7,0,18,0,0,0,26,4,3,7,0,0,43,0,0,0,0,6,0,4,4,0,16,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,5,0,0,0,0,0,10,0,0,14,74,41,28,20,5,0,187,0,0,0,0,0,0,4,4,3,11,0,0,4,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,3,3,36,21,17,12,5,0,100,0,3,0,11,7,5,5,0,0,23,0,0,0,3,0,0,0,0,0,11,0,0,0,11,8,6,3,0,0,34
POA2020,0,5,0,4,5,3,0,0,0,12,0,0,13,212,9,5,0,0,0,244,0,0,9,53,5,6,8,4,9,91,0,0,4,21,7,0,3,0,0,36,0,0,5,50,6,0,0,0,0,74,0,0,0,12,5,9,11,9,0,34,0,0,27,110,12,13,6,6,0,177,0,0,0,0,0,3,10,7,8,26,0,0,0,9,0,0,0,0,0,5,0,0,5,9,0,0,0,0,0,20,0,0,14,31,0,0,0,0,0,48,0,0,0,9,0,0,0,0,0,9,0,3,15,88,35,17,10,3,0,175,0,0,0,7,0,0,6,0,3,12,0,3,10,29,3,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,8,12,123,27,25,3,0,0,203,0,0,0,16,0,3,6,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,9,4,0,0,34
POA2021,0,0,0,4,0,0,0,0,0,7,0,0,0,33,17,9,4,0,0,67,0,0,0,27,3,4,6,7,4,54,0,5,0,3,4,0,0,0,0,14,0,0,3,0,6,0,0,0,0,15,0,0,0,0,6,3,0,0,0,6,0,0,0,14,7,9,7,0,0,40,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,3,9,0,0,0,0,0,0,9,0,0,0,9,4,0,4,3,0,17,0,0,15,90,37,46,36,14,4,246,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,3,9,3,0,0,0,13,0,0,0,25,5,7,0,0,0,34,0,0,0,13,3,7,7,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,6,7,7,0,55
POA2022,0,0,0,0,0,0,0,0,0,3,0,0,6,159,16,6,6,0,0,192,0,0,5,72,9,7,5,6,3,110,0,0,0,7,8,8,9,0,0,31,0,6,0,18,0,3,0,0,0,25,0,0,0,3,0,0,5,0,0,9,0,0,0,8,10,4,0,3,0,22,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,12,0,0,4,9,0,0,0,0,0,16,0,3,4,69,38,29,17,11,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,4,3,0,0,0,0,5,0,0,0,38,7,9,0,0,0,69,0,0,0,12,8,0,3,5,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,7,0,7,0,43
POA2023,0,0,0,0,0,0,4,0,0,6,0,0,0,22,9,4,5,3,0,36,0,0,0,17,6,4,0,8,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,12,0,0,0,4,12,5,10,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,6,0,0,5,0,0,12,0,0,5,35,22,27,7,8,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,8,8,0,0,0,0,18,0,0,0,3,0,0,8,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,0,3,0,19
POA2024,0,0,0,0,0,0,0,0,0,3,0,0,0,62,16,8,8,0,4,97,0,0,4,21,3,4,5,11,12,59,0,3,0,10,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,15,0,0,6,55,34,22,10,5,5,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,14,0,0,0,5,5,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,7,8,3,0,33
POA2025,0,0,0,0,0,0,0,0,0,3,0,0,0,14,8,0,0,0,0,23,0,0,4,5,3,0,0,3,4,26,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,5,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,8,39,11,22,17,6,3,100,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,14,0,3,0,0,0,16,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,4,0,17
POA2026,0,0,0,3,0,4,0,3,0,11,0,3,0,189,31,14,6,5,3,246,0,4,7,187,12,10,7,7,3,243,0,0,0,7,3,0,0,0,0,23,0,3,0,3,3,4,0,0,0,16,0,0,0,5,3,5,3,0,4,24,0,0,0,6,4,3,5,0,0,28,0,0,0,0,0,0,0,7,6,8,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,8,0,50,10,0,3,6,0,69,5,4,9,206,111,60,24,6,5,436,0,0,0,6,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,6,0,0,0,32,10,3,0,0,0,57,0,0,0,28,7,5,13,0,6,54,0,0,0,0,0,0,0,0,0,4,0,0,0,63,31,12,7,4,0,125
POA2027,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,8,5,0,0,37,0,0,0,18,3,0,4,5,0,40,0,0,0,3,3,0,0,0,0,8,0,0,0,0,3,0,0,0,0,7,0,0,0,0,4,0,0,3,0,11,0,0,0,8,4,0,7,0,3,21,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,4,26,11,18,15,9,4,93,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,4,0,0,0,15,0,0,0,0,0,18,0,0,0,4,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,3,3,0,24
POA2028,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,3,0,0,0,8,0,15,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7,14,7,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,10
POA2029,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,0,0,0,0,35,0,0,0,25,5,5,0,8,4,50,0,4,0,5,0,0,0,0,0,15,0,3,0,10,0,0,0,0,0,17,0,0,0,5,0,9,0,0,0,10,0,0,0,0,3,3,3,0,0,7,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,11,0,0,0,29,21,14,11,9,4,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,16,7,0,0,0,0,29,0,0,0,8,0,6,5,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15
POA2030,0,0,0,0,3,0,0,0,6,10,0,0,0,7,9,3,0,0,0,25,0,0,0,9,12,10,9,5,10,53,0,0,0,4,0,0,4,0,0,15,0,0,0,4,3,0,0,0,0,15,0,0,0,0,5,6,0,6,0,14,0,0,0,0,11,0,3,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,0,16,0,10,11,20,27,21,18,8,0,106,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,8,0,0,0,0,3,0,0,0,0,11,0,0,9,7,9,0,0,0,0,24,0,0,0,3,0,0,12,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,8,0,0,0,19
POA2031,0,0,0,5,7,0,6,6,0,22,0,4,20,482,59,22,6,5,0,610,0,0,0,71,14,12,19,19,8,142,0,0,0,4,4,0,4,0,0,17,0,0,3,9,3,0,0,0,0,15,0,0,0,0,4,3,0,0,5,17,0,0,34,29,17,11,17,7,0,115,0,0,0,0,0,0,4,0,4,15,0,0,0,6,0,0,0,0,0,5,0,0,0,3,0,3,0,0,0,9,0,0,13,32,0,0,0,0,0,41,0,4,0,8,10,6,3,3,0,31,0,10,21,139,82,78,35,21,7,381,0,0,0,0,0,0,0,0,0,6,0,3,0,9,0,0,0,0,0,16,0,0,0,0,3,0,3,0,0,13,3,4,8,48,23,15,3,3,0,109,0,0,0,20,5,7,14,5,11,58,0,0,0,0,0,0,0,0,0,0,0,0,0,70,28,27,17,13,5,160
