POA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA2019,1324,4094,296,720,722,2153,1018,2873,225,382,600,1465,1706,3649,24,48,10,17,2565,5556,0,0,0,0,0,0,36,92,36,92,13,20,4957,12641,468,..,5423,12641
POA2020,1704,5164,304,823,17,61,320,886,339,695,388,933,1935,4578,3347,8055,14,26,6026,14281,0,0,0,0,0,9,35,71,35,78,23,36,8105,20451,1035,..,9146,20451
POA2021,465,1223,245,506,3196,7673,3441,8181,325,548,685,1165,1144,1619,459,637,0,0,2621,3967,0,0,0,0,0,0,55,98,55,98,4,3,6586,13476,1107,..,7690,13476
POA2022,647,1945,525,1372,959,2627,1481,3997,386,700,705,1290,443,826,1612,3018,13,35,3155,5873,0,0,0,0,0,0,263,487,263,487,15,20,5559,12315,773,..,6332,12315
POA2023,1372,4420,58,142,116,314,169,456,283,635,1151,2351,910,1758,126,211,13,36,2489,4993,0,0,0,0,0,0,14,28,14,28,7,15,4056,9911,467,..,4521,9911
POA2024,1083,3429,411,1132,494,1431,908,2567,580,1188,1096,1991,357,634,120,229,6,27,2164,4066,0,0,0,0,0,0,49,105,49,105,8,15,4212,10174,428,..,4638,10174
POA2025,532,1485,273,632,656,1613,928,2241,319,600,636,1151,356,595,185,328,10,17,1506,2697,0,0,0,0,0,0,6,22,6,22,10,12,2988,6451,535,..,3523,6451
POA2026,1283,4141,1104,3018,982,3155,2083,6174,2304,4772,5072,9548,2258,4113,481,890,4,17,10129,19340,0,0,0,0,0,0,86,183,86,183,23,37,13603,29874,2105,..,15716,29874
POA2027,326,922,27,52,385,873,410,922,167,373,668,1244,1059,1894,903,1549,18,38,2821,5095,0,0,0,0,0,0,0,0,0,0,19,36,3578,6978,885,..,4463,6978
POA2028,286,795,13,40,170,445,190,484,166,351,641,1189,772,1426,42,77,0,0,1632,3049,0,0,0,0,0,0,21,27,21,27,3,9,2130,4358,399,..,2525,4358
POA2029,826,2541,116,354,236,613,349,968,526,1076,1916,3887,249,446,32,45,30,68,2758,5521,0,0,0,0,0,0,59,126,59,126,8,16,4006,9166,513,..,4520,9166
POA2030,2596,8367,104,262,368,1048,469,1314,574,1191,668,1404,415,804,44,89,4,17,1705,3500,0,0,0,0,0,0,96,197,96,197,15,33,4881,13421,517,..,5399,13421
POA2031,2081,6434,1181,3187,1191,3275,2366,6464,1592,3271,4650,9054,2252,4354,373,600,29,65,8892,17337,0,0,0,0,0,0,258,517,258,517,16,28,13615,30779,1684,..,15296,30779
POA2032,1901,5553,531,1289,496,1193,1031,2483,533,1089,1285,2491,447,920,346,837,15,28,2621,5366,0,0,0,0,0,0,34,89,34,89,13,21,5599,13510,597,..,6195,13510
POA2033,915,2832,143,382,161,490,304,876,356,714,1220,2259,1130,2269,403,825,8,15,3110,6083,0,0,0,0,0,0,7,12,7,12,14,22,4354,9824,931,..,5284,9824
POA2034,1454,4737,333,909,593,1767,928,2678,1338,2687,3848,7320,559,1087,52,86,32,84,5829,11264,0,0,0,0,0,0,38,78,38,78,7,24,8258,18771,1098,..,9353,18771
POA2035,4535,13806,1148,3007,1507,4248,2653,7252,1206,2444,2119,3943,1581,2950,1051,2217,25,48,5978,11591,0,0,0,0,0,0,100,178,100,178,18,43,13296,32871,1127,..,14423,32871
POA2036,4305,13333,355,792,1704,4849,2052,5636,551,901,1762,3527,2485,5369,775,1740,41,89,5611,11627,0,0,0,0,0,0,14,22,14,22,21,46,12002,30671,1129,..,13130,30671
POA2037,337,897,707,1542,2555,5800,3264,7336,422,688,1152,1848,1111,1822,1120,2138,0,9,3820,6503,0,0,0,0,0,0,92,174,92,174,23,54,7533,14959,1188,..,8720,14959
POA2038,864,2317,1068,2626,718,1790,1790,4415,421,767,275,409,375,539,0,0,22,42,1093,1758,0,0,0,0,0,0,47,94,47,94,8,9,3794,8594,458,..,4248,8594
POA2039,884,2365,548,1317,852,2100,1397,3414,243,424,197,340,741,1329,59,107,12,29,1258,2227,0,0,0,0,0,0,51,112,55,108,3,5,3603,8119,421,..,4027,8119
POA2040,3626,9952,1451,3614,1214,3158,2664,6765,992,1894,716,1210,617,1056,171,342,11,26,2515,4528,0,0,0,0,0,0,42,86,42,86,15,30,8865,21360,922,..,9785,21360
POA2041,1459,3918,899,2093,1932,4778,2831,6869,471,843,977,1599,648,1107,110,202,11,10,2220,3763,0,0,3,5,0,0,11,29,24,36,13,19,6544,14606,878,..,7428,14606
POA2042,620,1646,2062,4631,2104,5260,4165,9885,626,1050,1120,1761,1152,1723,197,295,29,43,3121,4869,0,0,0,0,0,0,242,485,242,485,23,37,8179,16928,1010,..,9194,16928
POA2043,146,364,532,1119,1034,2458,1566,3573,191,318,143,250,1538,2818,932,1749,0,0,2801,5136,0,0,0,0,0,0,19,32,19,32,10,11,4540,9126,494,..,5031,9126
POA2044,1325,3696,758,1785,372,990,1124,2776,97,172,211,383,343,673,0,0,35,71,683,1296,0,0,0,0,0,0,37,66,37,66,4,16,3176,7844,307,..,3484,7844
POA2045,1773,5178,236,576,38,111,274,682,57,120,77,112,21,31,0,0,7,5,158,272,0,0,0,0,0,0,12,29,12,29,5,5,2224,6165,109,..,2332,6165
POA2046,4854,14178,431,1105,867,2082,1303,3185,1547,3016,1202,2276,1546,3118,27,45,15,38,4341,8494,0,0,0,0,0,0,137,275,137,275,3,9,10643,26139,888,..,11527,26139
POA2047,1496,4374,377,945,159,382,533,1328,987,1947,842,1587,737,1412,234,452,7,22,2810,5412,0,0,0,0,0,0,70,113,70,113,13,22,4919,11250,599,..,5527,11250
POA2048,587,1653,894,2256,360,1008,1258,3260,543,845,377,642,252,425,0,0,31,70,1202,1977,0,0,0,0,0,0,68,146,68,146,8,25,3127,7059,357,..,3487,7059
POA2049,1252,3409,594,1487,531,1450,1123,2940,1093,1876,495,803,847,1534,100,193,45,72,2571,4475,0,0,0,0,0,0,124,241,124,241,19,39,5099,11102,632,..,5733,11102
POA2050,126,337,464,1030,449,1147,919,2181,146,271,543,936,1346,2211,953,1545,0,0,2987,4962,0,0,0,0,0,0,19,45,19,45,9,14,4057,7539,622,..,4672,7539
POA2060,686,1804,249,577,942,2130,1188,2708,407,728,831,1492,1246,2126,2815,4877,3,6,5295,9224,0,0,0,0,0,0,8,17,8,17,18,41,7201,13788,1341,..,8545,13788
POA2061,105,262,14,25,120,299,136,324,193,317,432,715,397,678,1869,3122,0,0,2889,4839,0,0,0,0,0,0,0,6,0,6,15,20,3147,5444,856,..,4003,5444
POA2062,759,2189,133,329,324,769,465,1096,631,1250,760,1357,353,658,69,122,0,0,1819,3393,0,0,5,6,0,0,8,19,14,21,7,4,3054,6704,375,..,3429,6704
POA2063,1588,4961,56,143,81,204,136,346,180,331,115,231,105,208,0,0,3,10,412,786,0,0,0,0,0,0,8,7,6,11,0,3,2142,6106,137,..,2283,6106
POA2064,820,2544,26,82,295,818,320,900,380,794,1071,2428,611,1314,414,1014,0,0,2483,5549,0,0,0,0,0,0,3,13,3,13,0,4,3629,9013,325,..,3948,9013
POA2065,2607,7487,619,1495,1116,2609,1732,4101,1133,2296,2434,4449,2757,5049,3484,6610,30,82,9837,18486,0,0,0,0,0,0,31,78,37,76,25,38,14244,30185,1614,..,15854,30185
POA2066,5186,16246,150,389,633,1524,781,1920,662,1228,2682,5235,2860,5755,773,1631,30,67,7004,13910,0,0,0,0,0,0,13,33,11,34,23,45,13006,32156,1086,..,14088,32156
POA2067,3130,9620,227,566,216,629,444,1197,310,713,1236,2839,1616,3774,3254,7354,26,72,6440,14749,0,0,0,0,0,0,7,5,7,5,8,16,10028,25585,1281,..,11302,25585
POA2068,4068,12473,345,891,229,637,574,1526,273,559,495,976,441,898,30,67,17,34,1244,2543,0,0,0,0,0,0,52,106,52,106,3,9,5940,16659,440,..,6382,16659
POA2069,3664,11554,42,110,121,272,166,378,138,269,265,528,598,1329,0,0,13,34,1014,2165,0,0,0,0,0,0,3,14,3,14,3,3,4848,14114,342,..,5192,14114
POA2070,3023,9910,12,35,115,298,129,332,268,453,263,491,1153,2652,142,297,7,13,1840,3907,0,0,0,0,0,0,4,11,4,11,8,17,5003,14181,475,..,5482,14181
POA2071,2893,9367,6,24,97,179,107,203,166,322,298,649,1103,2517,0,0,9,17,1575,3513,0,0,0,0,0,0,0,0,0,0,4,11,4578,13087,451,..,5023,13087
POA2072,1448,4505,11,18,106,292,111,314,181,374,218,463,928,2109,216,488,3,10,1546,3451,0,0,0,0,0,0,93,213,93,213,0,3,3199,8487,335,..,3539,8487
POA2073,4458,14210,32,67,103,230,136,295,132,279,65,132,518,1137,261,601,22,53,995,2204,0,0,0,4,0,0,4,7,3,15,0,0,5595,16731,367,..,5963,16731
POA2074,5776,17832,37,86,323,798,358,889,410,669,428,722,870,1883,145,316,16,33,1870,3628,0,0,9,7,0,0,6,9,12,16,7,13,8022,22378,592,..,8610,22378
POA2075,5120,16463,57,98,445,989,503,1083,284,457,45,126,1318,2946,0,0,18,46,1664,3573,0,0,0,0,0,0,0,0,0,0,10,23,7291,21147,414,..,7706,21147
POA2076,6329,19823,79,207,545,1277,632,1478,257,435,185,338,708,1501,71,149,27,65,1245,2496,0,0,0,0,0,0,4,0,4,0,10,20,8218,23819,508,..,8728,23819
POA2077,6292,19156,127,239,625,1708,756,1948,687,1313,2922,5948,2776,6646,2525,6099,51,114,8961,20119,0,0,0,0,0,0,27,54,24,56,14,30,16044,41305,1130,..,17173,41305
POA2079,2236,6706,26,63,77,217,100,279,0,0,0,0,316,701,0,0,10,22,328,726,0,0,0,0,0,0,5,10,5,10,0,0,2664,7711,101,..,2768,7711
POA2080,555,1648,18,43,8,22,25,64,0,0,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,585,1715,28,..,613,1715
POA2081,1675,5072,9,24,75,190,80,209,0,0,0,0,0,0,0,0,10,21,10,21,0,0,0,0,0,0,0,0,0,0,3,3,1769,5303,59,..,1831,5303
POA2082,1734,5072,15,44,70,162,79,204,10,35,0,0,0,0,0,0,9,27,19,59,0,0,0,0,0,0,0,0,0,0,0,3,1838,5336,118,..,1954,5336
POA2083,627,1441,0,4,4,11,9,13,17,33,3,13,0,0,0,0,4,4,25,51,0,0,5,13,0,0,3,10,10,20,10,12,679,1533,210,..,885,1533
POA2084,1047,3252,4,15,35,91,39,104,20,40,0,0,41,76,0,0,10,14,66,131,11,7,27,32,0,0,0,5,39,51,3,9,1192,3550,69,..,1258,3550
POA2085,3167,9874,48,75,238,531,289,606,284,404,26,35,4,10,0,0,14,16,328,465,0,0,0,0,0,0,0,0,0,0,3,4,3780,10951,195,..,3977,10951
POA2086,4070,13106,35,94,147,381,184,473,104,179,9,13,0,0,0,0,29,78,136,273,0,0,0,0,0,0,0,4,0,4,7,7,4401,13872,134,..,4527,13872
POA2087,3673,11662,128,189,291,505,423,696,56,103,124,220,0,0,0,0,29,82,208,405,0,0,0,0,0,0,0,3,0,3,9,11,4307,12771,193,..,4496,12771
POA2088,4028,12192,755,1939,629,1487,1389,3428,1353,2742,2847,4913,1144,1941,589,931,67,120,6001,10652,0,0,3,15,0,0,91,191,96,203,29,41,11544,26522,1472,..,13019,26522
POA2089,485,1340,220,556,329,790,547,1344,976,1945,1693,3067,1217,2140,412,688,0,7,4308,7847,0,0,0,0,0,0,13,24,13,24,19,36,5375,10592,886,..,6257,10592
POA2090,1018,2937,155,432,485,1220,641,1649,799,1640,1581,2907,1413,2417,681,1240,23,49,4496,8248,0,0,0,0,0,0,10,17,10,17,8,9,6169,12866,830,..,6992,12866
POA2092,1964,6301,17,59,163,430,182,487,31,66,42,83,32,69,0,0,7,17,116,239,0,0,0,0,0,0,0,6,0,6,3,4,2267,7031,126,..,2395,7031
POA2093,4499,14361,170,376,768,1907,934,2288,677,1477,1767,3515,318,553,75,129,41,95,2882,5766,0,0,0,6,0,0,68,134,69,133,5,15,8394,22573,500,..,8899,22573
POA2094,635,1995,184,476,359,814,538,1296,369,777,538,1072,184,359,129,275,0,0,1223,2479,0,0,0,0,0,0,5,16,5,16,6,8,2407,5790,219,..,2623,5790
POA2095,790,2404,408,966,390,1013,799,1977,1171,2519,1563,3165,1626,3061,995,1824,6,6,5352,10568,0,0,0,0,0,0,30,62,30,62,5,8,6973,15023,1362,..,8337,15023
POA2096,2304,7373,60,118,206,528,265,646,433,856,1982,3833,674,1234,99,175,24,60,3215,6165,0,0,0,0,0,0,14,31,14,31,11,21,5811,14229,511,..,6325,14229
POA2097,3510,11299,16,41,167,438,184,479,122,268,727,1485,791,1502,27,49,29,66,1695,3372,0,0,0,0,0,0,23,53,23,53,3,26,5413,15229,321,..,5730,15229
POA2099,6505,21012,137,305,926,1929,1063,2235,904,1727,4272,8957,2817,5666,571,1164,119,313,8681,17821,0,0,0,0,0,0,30,97,30,97,30,55,16318,41218,1150,..,17471,41218
POA2100,5318,17073,110,210,404,1018,511,1233,806,1488,302,621,151,312,0,0,90,213,1351,2640,0,0,0,0,0,0,25,46,25,46,22,40,7211,21027,331,..,7546,21027
POA2101,3920,12177,391,578,360,623,755,1195,539,1067,1015,1998,998,1902,0,0,40,96,2595,5065,14,38,0,5,0,8,17,36,37,89,26,59,7328,18592,475,..,7807,18592
POA2102,1418,4582,61,155,621,1723,681,1875,136,263,224,500,235,532,0,0,11,22,602,1307,0,0,0,0,0,0,0,0,0,0,8,17,2712,7783,132,..,2848,7783
POA2103,2129,6503,105,302,531,1184,636,1495,425,833,478,818,232,423,0,0,16,36,1158,2107,0,0,0,0,0,0,40,85,40,85,13,21,3974,10213,271,..,4243,10213
POA2104,878,2527,28,66,329,526,359,592,220,285,68,94,0,0,0,0,8,15,301,402,0,0,3,4,0,0,0,0,3,4,3,13,1544,3535,164,..,1707,3535
POA2105,705,1797,0,11,12,19,11,28,9,16,8,17,0,0,0,0,0,0,18,28,0,0,3,5,0,0,0,0,3,5,11,9,739,1869,149,..,890,1869
POA2106,2271,6722,63,121,207,440,274,560,152,271,413,766,383,754,9,11,23,55,974,1865,0,0,6,7,0,0,52,112,60,124,3,7,3584,9276,287,..,3870,9276
POA2107,4616,13314,126,179,46,125,168,305,254,527,187,333,51,109,0,3,26,60,515,1030,0,0,3,0,0,0,3,5,4,4,13,27,5316,14681,519,..,5833,14681
POA2108,628,1477,0,0,8,6,8,6,52,114,5,15,0,0,0,0,0,3,63,129,0,0,0,0,0,0,0,4,0,4,0,0,704,1626,533,..,1233,1626
POA2110,2251,6966,66,161,292,658,361,819,323,502,144,230,116,190,0,0,0,0,581,921,0,0,0,4,0,0,3,3,4,12,9,9,3206,8724,325,..,3529,8724
POA2111,2799,8559,252,557,543,1363,799,1926,285,434,1253,2014,861,1534,158,269,11,20,2558,4271,0,0,0,0,0,0,13,24,13,24,5,17,6165,14789,554,..,6721,14789
POA2112,6065,18595,716,1736,746,2045,1461,3778,356,609,2048,3729,2616,5883,1766,3626,41,89,6822,13938,0,0,0,0,0,0,8,10,8,10,17,30,14376,36353,1359,..,15735,36353
POA2113,3671,11001,346,770,743,1878,1094,2650,228,372,724,1391,970,1961,3854,7710,21,44,5797,11472,4,3,0,0,0,0,4,11,6,17,40,68,10611,25201,1427,..,12035,25201
POA2114,3877,11894,543,1350,292,856,840,2205,253,564,1118,1984,2959,6050,670,1380,37,85,5041,10065,0,0,0,0,0,0,52,89,52,89,8,14,9823,24262,921,..,10745,24262
POA2115,2579,7801,269,634,640,1854,904,2484,98,139,102,168,544,1246,0,0,22,54,767,1607,0,0,0,0,0,0,10,21,10,21,10,26,4274,11936,315,..,4590,11936
POA2116,1339,3897,81,141,745,2134,822,2271,50,59,253,571,35,83,0,0,11,28,348,747,0,0,0,0,0,0,0,0,0,0,4,11,2524,6923,180,..,2703,6923
POA2117,4018,12327,365,720,2161,5941,2529,6666,217,376,419,803,287,581,39,58,32,89,999,1905,0,0,0,0,0,0,12,23,12,23,15,30,7568,20946,695,..,8264,20946
POA2118,5243,16621,128,354,991,3099,1120,3452,196,313,204,445,1624,4419,615,1770,32,89,2676,7029,0,0,0,0,0,0,0,0,0,0,9,11,9049,27112,819,..,9866,27112
POA2119,3402,10589,62,135,137,333,201,464,116,197,30,76,270,622,0,0,16,42,440,948,0,0,0,0,0,0,4,10,4,10,15,16,4058,12022,191,..,4254,12022
POA2120,5648,17131,234,414,575,1539,805,1952,59,113,134,266,333,695,69,145,33,59,625,1274,0,0,0,0,0,0,6,15,6,15,8,15,7092,20385,344,..,7435,20385
POA2121,5783,18196,268,723,823,2375,1092,3099,120,202,1296,3134,2508,6250,957,2278,61,142,4943,12002,0,0,0,0,0,0,0,3,0,3,28,63,11837,33366,960,..,12802,33366
POA2122,4946,15363,907,2303,2477,6044,3376,8342,302,496,1704,3614,674,1463,143,337,49,115,2868,6023,0,0,0,0,0,3,45,112,49,120,27,42,11255,29892,903,..,12165,29892
POA2125,4772,15181,31,68,309,792,343,854,114,164,0,0,15,33,0,0,17,37,147,232,0,0,0,0,0,0,0,0,0,0,0,3,5258,16276,185,..,5443,16276
POA2126,4841,15739,143,326,878,2360,1023,2688,59,70,0,0,0,0,0,0,24,60,74,128,0,0,0,0,0,0,4,5,4,5,0,4,5942,18564,198,..,6139,18564
POA2127,751,2533,0,0,337,1081,337,1081,5,16,239,564,3584,7452,5059,10448,0,0,8887,18477,0,0,0,0,0,0,0,0,0,0,62,135,10041,22230,1608,..,11656,22230
POA2128,241,792,5,12,163,503,167,510,22,59,54,131,302,676,0,0,0,0,379,871,0,0,0,0,0,0,0,0,0,0,5,5,789,2177,96,..,886,2177
POA2130,609,1720,266,680,263,596,528,1278,984,1842,632,1096,218,431,122,236,0,0,1961,3604,0,0,0,0,0,0,3,4,3,4,8,17,3109,6622,378,..,3491,6622
POA2131,2047,6294,386,910,303,822,682,1733,1577,3058,3185,6474,1457,3001,239,530,18,33,6474,13101,0,0,0,0,0,0,42,108,42,108,14,37,9266,21276,1104,..,10368,21276
POA2132,2032,6243,316,820,311,935,636,1760,334,663,198,397,342,632,105,221,16,35,997,1945,0,0,0,0,0,0,34,66,34,66,4,4,3691,10013,226,..,3921,10013
POA2133,1885,5699,313,827,796,2273,1110,3101,569,962,277,521,96,164,0,0,12,30,952,1678,0,0,0,0,0,0,18,40,18,40,4,3,3966,10522,294,..,4260,10522
POA2134,1427,4506,246,574,382,1168,629,1747,321,745,931,2314,1394,3262,1871,4324,23,59,4536,10694,0,0,0,0,0,0,66,110,66,110,59,111,6721,17180,776,..,7487,17180
POA2135,3893,12714,89,223,299,900,394,1127,446,917,1254,3152,1455,3598,1063,2816,9,23,4227,10502,0,0,0,0,0,0,39,100,39,100,34,61,8581,24501,939,..,9522,24501
POA2136,1327,4051,140,369,419,1193,563,1556,142,313,363,781,262,607,40,81,10,19,826,1806,0,0,0,0,0,0,9,16,9,16,7,15,2732,7443,174,..,2908,7443
POA2137,4484,13890,235,565,745,1893,977,2462,570,1245,1073,2428,2482,5078,483,976,51,110,4659,9840,0,0,0,0,0,0,143,340,143,340,18,29,10281,26558,908,..,11190,26558
POA2138,1848,5516,31,90,422,1165,451,1255,170,285,197,457,1726,3917,3347,7223,20,41,5456,11924,0,0,0,0,0,0,22,59,22,59,10,26,7793,18783,825,..,8618,18783
POA2140,697,2159,35,88,235,684,272,775,604,1444,1351,3446,3405,8543,1234,3042,0,0,6593,16480,0,0,0,0,0,0,40,138,40,138,40,83,7641,19637,1052,..,8701,19637
POA2141,4690,15637,247,569,1351,4325,1591,4896,647,1446,532,1390,1912,4671,964,2291,132,353,4186,10146,0,0,0,0,0,0,48,139,48,139,25,42,10538,30857,1085,..,11627,30857
POA2142,3348,11662,221,444,764,2456,984,2901,985,2118,1370,3305,1673,4365,496,1029,66,235,4591,11047,5,24,0,0,0,0,17,56,24,81,47,77,8990,25774,1336,..,10327,25774
POA2143,2012,6786,70,207,139,468,206,674,268,509,170,467,228,628,0,0,58,187,728,1791,0,0,0,0,0,0,16,35,16,35,5,14,2969,9301,222,..,3188,9301
POA2144,4615,17274,147,394,954,3017,1102,3406,1413,3730,1119,3344,1004,3142,1465,4842,186,602,5189,15658,0,0,0,0,0,0,30,126,38,129,49,126,10982,36595,1152,..,12132,36595
POA2145,14510,45083,1940,4916,3461,10481,5401,15400,1530,3819,2354,5731,3973,10250,538,1478,140,372,8536,21648,0,0,0,0,0,0,3,19,3,19,69,167,28521,82311,2653,..,31174,82311
POA2146,4016,12071,411,1003,863,2708,1277,3708,152,315,112,302,743,2028,0,0,42,106,1046,2758,0,0,0,0,0,0,9,9,9,9,14,36,6354,18574,391,..,6748,18574
POA2147,11196,32262,149,282,700,1610,847,1894,236,294,8,10,260,586,0,0,118,296,623,1186,0,0,5,6,5,3,19,51,30,55,16,39,12716,35430,715,..,13433,35430
POA2148,15644,46778,827,1922,2632,7756,3457,9678,344,518,13,24,2159,5211,219,575,166,428,2895,6753,0,0,0,0,0,0,3,10,3,10,38,89,22040,63307,1538,..,23572,63307
POA2150,1063,3202,126,298,595,1546,726,1851,1282,2999,2986,6982,2050,4771,5319,12503,14,35,11650,27287,0,0,0,0,0,0,140,400,140,400,45,76,13624,32816,2012,..,15639,32816
POA2151,3489,10555,168,381,875,2346,1039,2732,592,1038,1248,2431,918,2075,361,871,24,61,3142,6474,0,0,0,0,0,0,6,8,6,8,8,16,7680,19786,658,..,8339,19786
POA2152,2131,6284,281,525,563,1376,844,1903,401,543,430,913,518,1100,0,0,20,53,1369,2611,0,0,0,0,0,0,0,3,0,3,5,12,4351,10807,420,..,4775,10807
POA2153,15540,48868,438,847,1913,5337,2354,6182,464,778,527,1178,1040,2260,550,1201,74,192,2667,5617,0,0,0,0,0,0,0,0,0,0,32,91,20591,60749,1210,..,21802,60749
POA2154,9748,31239,229,381,1208,3243,1436,3623,456,847,579,1320,601,1306,361,797,27,81,2026,4341,0,0,0,0,0,0,0,5,0,5,7,20,13224,39223,835,..,14059,39223
POA2155,18502,64131,178,392,1358,4116,1532,4506,61,140,204,472,2042,4229,111,237,39,100,2455,5177,0,0,0,0,0,0,0,0,0,0,50,126,22542,73945,1044,..,23583,73945
POA2156,3567,11785,367,567,202,430,567,994,43,54,0,0,0,0,0,0,29,58,68,113,0,0,0,0,0,0,0,0,0,0,7,8,4208,12901,189,..,4393,12901
POA2157,1192,3922,0,4,3,8,9,14,0,3,0,0,0,0,0,0,8,17,7,20,0,0,0,0,0,0,0,10,0,10,4,8,1209,3970,94,..,1302,3970
