POA_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
POA2194,0,80,4,89,..,231,24,258,5,259,..,185,9,193,3,199,..,22,16,37,0,37,..,524,47,573,11,583,..,141,13,149,5,149,..,22,0,26,0,26,..,63,35,96,5,94,..,38,11,46,0,46,..,324,128,454,4,454,..,241,42,289,10,301,..,6182,3192,9371,101,9476,..,109,34,139,1054,1199,2831,6288,3224,9509,1162,13504,2389,..,..,..,..,2389,..,0,0,0,0,0,..,533,161,694,0,696,..,3,0,3,0,3,..,581,537,1119,5,1127,..,1148,1425,2577,27,2605,..,43,37,82,0,79,..,1774,2005,3774,34,3813,..,8,0,12,0,12,..,15,0,15,0,15,..,4,0,4,0,4,..,229,96,332,0,333,..,143,20,163,3,168,..,11,0,11,0,11,..,110,12,121,0,120,..,986,72,1055,6,1063,..,73,11,80,0,85,..,11,0,11,0,11,..,45,3,43,0,43,..,13,0,13
POA2195,0,19,0,19,..,290,66,354,5,359,..,64,0,70,0,70,..,87,22,112,0,114,..,463,94,561,8,561,..,47,9,60,0,60,..,93,3,95,3,101,..,12,0,19,0,19,..,16,5,26,0,26,..,341,166,506,3,510,..,881,335,1217,35,1250,..,8922,1697,10615,135,10753,..,145,66,210,1253,1461,2467,9062,1758,10830,1387,14681,2144,..,..,..,..,2144,..,7,0,7,0,7,..,1234,376,1613,24,1636,..,3,0,3,0,3,..,181,181,365,4,370,..,105,118,222,0,222,..,18,8,25,0,25,..,302,306,609,5,614,..,11,3,17,0,17,..,21,3,24,0,24,..,6,0,7,0,7,..,261,95,356,0,356,..,1739,368,2102,16,2123,..,27,8,39,0,37,..,169,12,186,0,186,..,115,10,120,0,120,..,22,4,24,0,24,..,0,0,0,0,0,..,1046,171,1216,20,1234,..,16,7,25
POA2196,0,40,4,38,..,290,60,352,0,352,..,72,3,78,0,78,..,68,13,77,3,84,..,463,77,542,8,545,..,145,13,155,3,162,..,21,0,21,0,20,..,15,4,22,0,25,..,54,16,67,0,67,..,549,256,814,0,813,..,410,88,492,10,505,..,9260,1908,11171,89,11258,..,97,20,116,1053,1170,4717,9356,1927,11287,1136,17143,4518,..,..,..,..,4518,..,0,0,0,0,0,..,3684,828,4510,24,4537,..,0,0,0,0,0,..,307,234,542,0,541,..,271,213,482,3,488,..,17,16,38,0,38,..,603,459,1059,3,1064,..,25,8,32,0,30,..,36,0,37,0,37,..,11,0,11,0,11,..,933,226,1164,3,1167,..,434,56,492,3,494,..,4,0,9,0,9,..,95,5,104,0,103,..,61,4,61,0,63,..,25,0,25,0,25,..,0,0,0,0,0,..,339,39,381,0,378,..,15,3,17
POA2197,0,0,0,0,..,16,0,16,0,16,..,19,0,19,0,19,..,4,0,7,0,7,..,43,0,44,0,44,..,20,4,23,0,23,..,0,0,0,0,0,..,3,0,3,0,5,..,16,5,18,0,18,..,351,129,485,6,489,..,189,34,227,5,229,..,2339,451,2788,20,2808,..,23,7,32,432,470,1734,2366,454,2819,457,5011,1658,..,..,..,..,1658,..,0,0,0,0,0,..,1364,207,1570,15,1587,..,0,0,0,0,0,..,54,25,78,0,78,..,21,24,52,0,52,..,4,0,10,0,10,..,77,56,135,0,135,..,16,13,20,0,20,..,0,0,0,0,0,..,10,0,10,0,10,..,82,22,107,0,106,..,5,0,5,0,4,..,0,0,0,0,0,..,9,0,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,26,0,29,0,29,..,4,0,4
POA2198,0,13,0,13,..,11,0,11,0,9,..,6,0,6,0,6,..,0,0,6,0,6,..,28,0,28,0,31,..,24,0,20,0,20,..,0,0,0,0,0,..,5,0,7,0,7,..,15,3,22,0,22,..,247,85,333,4,334,..,92,27,116,3,119,..,1985,299,2285,21,2306,..,9,4,16,435,452,2124,1999,304,2300,457,4874,2150,..,..,..,..,2150,..,0,0,0,0,0,..,1020,109,1132,11,1143,..,0,0,0,0,0,..,36,12,46,0,46,..,39,10,47,0,47,..,0,0,0,0,0,..,73,25,101,0,101,..,12,3,13,0,13,..,0,0,0,0,0,..,12,0,12,0,12,..,177,28,210,5,208,..,8,5,12,0,12,..,0,0,0,0,0,..,6,0,10,0,10,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,18,3,26,0,26,..,0,0,0
POA2199,0,20,0,22,..,58,3,62,0,63,..,41,0,44,0,44,..,15,0,14,0,14,..,134,7,141,0,146,..,37,10,46,0,46,..,15,0,15,0,15,..,15,3,18,0,18,..,19,4,28,0,28,..,1055,434,1492,12,1497,..,241,42,282,11,293,..,4961,1183,6146,61,6210,..,32,16,49,685,736,2844,4994,1205,6193,752,9790,2644,..,..,..,..,2644,..,0,0,0,0,0,..,2280,426,2705,18,2723,..,10,0,10,0,6,..,156,101,256,0,256,..,98,81,180,0,180,..,8,3,13,0,13,..,265,183,454,0,454,..,15,0,19,0,19,..,17,0,17,3,16,..,5,0,5,0,5,..,110,42,147,0,147,..,60,4,65,0,65,..,0,0,6,0,6,..,30,3,36,0,36,..,16,0,16,0,21,..,8,0,9,0,9,..,4,0,8,0,8,..,134,17,149,0,149,..,10,0,10
POA2200,0,80,0,80,..,214,27,239,0,241,..,121,4,124,0,124,..,55,9,65,0,61,..,466,43,507,3,511,..,116,16,137,4,137,..,8,0,5,0,5,..,29,8,35,0,35,..,61,10,72,0,76,..,2855,1308,4166,24,4190,..,603,116,722,27,751,..,13193,3343,16540,155,16694,..,117,31,146,1760,1910,5260,13311,3378,16688,1918,23863,4812,..,..,..,..,4812,..,4,0,4,0,4,..,4316,979,5292,41,5333,..,0,0,0,0,0,..,329,261,591,3,591,..,501,474,968,0,978,..,30,32,56,0,56,..,857,766,1617,10,1627,..,28,6,33,0,33,..,26,0,30,0,30,..,13,0,15,0,15,..,546,164,712,3,716,..,554,68,627,8,637,..,9,0,9,0,9,..,145,4,147,0,147,..,127,18,146,0,146,..,39,3,42,0,42,..,8,0,7,0,7,..,731,107,841,11,851,..,40,4,44
POA2203,0,25,0,25,..,22,0,22,0,22,..,19,0,19,0,19,..,8,3,7,0,7,..,74,3,72,0,72,..,114,10,126,0,126,..,15,0,15,0,15,..,17,9,24,0,24,..,32,7,39,0,39,..,105,47,145,0,149,..,119,13,134,4,135,..,1454,277,1733,16,1744,..,21,3,25,312,343,4556,1475,285,1762,327,6642,4898,..,..,..,..,4898,..,0,0,0,0,0,..,156,44,204,0,204,..,4,0,4,0,4,..,70,21,93,0,96,..,97,29,130,0,130,..,13,4,9,0,9,..,183,54,234,0,234,..,22,5,27,0,27,..,31,0,31,0,31,..,33,0,33,0,33,..,242,140,382,0,384,..,13,0,17,0,13,..,3,0,3,0,3,..,25,4,26,0,26,..,0,0,0,0,0,..,4,0,3,0,3,..,4,0,4,0,8,..,8,0,12,0,12,..,6,0,6
POA2204,0,39,0,40,..,62,13,71,0,71,..,39,0,39,0,35,..,18,5,24,0,24,..,150,16,164,3,171,..,163,17,181,0,187,..,19,0,19,0,20,..,60,15,75,0,72,..,53,23,74,0,75,..,579,284,858,3,864,..,229,43,268,4,272,..,3211,919,4128,39,4165,..,60,8,73,604,678,8179,3280,926,4205,647,13029,8313,..,..,..,..,8313,..,4,0,4,0,4,..,268,98,367,3,369,..,16,0,15,0,15,..,173,90,268,3,267,..,137,65,198,0,198,..,27,14,40,0,40,..,337,168,500,8,509,..,23,8,25,0,25,..,59,3,59,0,62,..,52,0,56,0,56,..,608,353,965,6,968,..,16,3,24,0,24,..,5,0,5,0,5,..,39,0,37,0,37,..,45,5,50,0,49,..,7,0,7,0,11,..,3,0,3,0,3,..,3,0,6,0,6,..,10,0,10
POA2205,7,97,0,97,..,263,18,279,6,288,..,102,0,100,0,106,..,50,11,58,0,57,..,512,28,542,12,550,..,488,68,555,0,558,..,21,0,21,0,21,..,95,31,130,0,133,..,27,3,32,0,32,..,257,30,288,10,298,..,441,272,709,19,728,..,6244,1063,7308,80,7384,..,73,50,124,987,1108,4425,6318,1114,7432,1062,12923,3622,..,..,..,..,3622,..,5,0,5,0,8,..,1002,177,1181,5,1187,..,9,0,9,0,9,..,455,103,553,6,564,..,1488,308,1797,9,1805,..,55,17,65,0,71,..,1992,428,2421,16,2436,..,16,6,20,0,20,..,39,0,41,0,41,..,16,0,16,0,14,..,139,48,191,3,190,..,71,11,80,0,80,..,13,3,12,0,12,..,106,6,111,0,111,..,165,10,177,0,177,..,13,0,13,0,9,..,6,0,12,0,12,..,30,0,31,0,31,..,19,0,17
POA2206,0,16,0,16,..,48,8,64,0,64,..,30,0,31,0,31,..,5,0,5,0,5,..,102,10,114,0,114,..,89,10,102,0,100,..,3,0,6,0,6,..,14,8,19,0,25,..,50,10,56,0,59,..,234,77,308,0,308,..,108,19,132,4,137,..,3652,712,4361,35,4394,..,31,13,41,374,416,4903,3676,726,4403,412,9711,4683,..,..,..,..,4683,..,0,0,0,0,0,..,523,62,583,6,588,..,5,0,5,0,5,..,161,62,222,4,222,..,202,109,311,0,311,..,11,13,24,0,24,..,376,186,555,4,557,..,19,4,23,0,23,..,33,0,32,0,34,..,28,0,28,0,29,..,1459,407,1861,7,1872,..,13,0,14,0,14,..,0,0,0,0,0,..,25,0,28,0,28,..,4,0,4,0,4,..,13,0,15,0,15,..,6,0,6,0,6,..,14,0,13,0,13,..,5,0,5
POA2207,0,48,0,52,..,69,11,75,0,79,..,81,4,90,7,95,..,9,0,9,0,9,..,207,16,221,5,228,..,195,19,214,0,214,..,16,0,15,0,15,..,30,16,41,0,41,..,30,9,37,0,45,..,127,30,148,0,148,..,206,38,245,8,255,..,6033,1103,7139,61,7198,..,72,14,88,695,782,5921,6103,1115,7221,757,13901,5789,..,..,..,..,5789,..,3,0,3,0,3,..,1372,228,1603,20,1621,..,8,0,8,0,8,..,528,233,761,3,766,..,585,294,880,3,881,..,36,21,58,0,58,..,1156,548,1703,6,1710,..,50,17,67,0,67,..,30,6,30,0,30,..,14,0,14,0,14,..,1139,243,1380,12,1391,..,131,17,145,0,143,..,8,3,14,0,14,..,55,4,57,0,59,..,115,3,117,0,121,..,10,0,10,0,10,..,9,0,11,0,11,..,11,0,15,0,15,..,5,0,5
POA2208,0,13,0,13,..,85,13,94,0,94,..,30,0,33,0,36,..,10,0,10,0,10,..,134,15,145,0,146,..,65,9,72,0,76,..,7,0,7,0,7,..,24,0,27,0,27,..,16,3,22,0,24,..,115,28,145,0,145,..,115,23,137,3,139,..,2774,578,3356,28,3385,..,24,10,36,194,228,2673,2796,585,3383,226,6282,2574,..,..,..,..,2574,..,0,0,0,0,0,..,388,55,448,0,445,..,0,0,0,0,0,..,364,188,549,0,550,..,263,198,462,5,463,..,22,8,32,0,32,..,644,394,1039,3,1041,..,35,4,45,0,45,..,5,0,8,0,8,..,8,0,8,0,5,..,820,181,1002,6,1005,..,5,0,5,0,5,..,5,0,9,0,9,..,27,0,27,0,27,..,17,0,17,0,17,..,6,0,6,0,6,..,3,0,3,0,3,..,5,4,7,0,7,..,0,0,0
POA2209,0,51,0,53,..,124,7,131,0,135,..,75,3,78,5,77,..,17,0,19,0,24,..,265,15,280,3,289,..,83,12,92,0,93,..,14,0,10,0,10,..,21,11,31,0,31,..,0,0,0,0,0,..,115,24,138,0,138,..,170,27,195,7,207,..,3491,942,4434,31,4465,..,31,11,43,288,333,2975,3526,952,4484,316,7766,2830,..,..,..,..,2830,..,10,0,10,0,10,..,422,81,505,8,507,..,3,0,3,0,3,..,721,401,1121,0,1123,..,604,360,961,13,977,..,39,19,59,0,59,..,1365,775,2136,10,2151,..,31,8,40,0,40,..,20,0,24,0,24,..,6,0,9,0,9,..,468,79,545,0,552,..,63,4,61,0,61,..,8,0,12,0,12,..,51,0,52,0,51,..,64,8,69,0,69,..,17,0,17,0,17,..,11,0,11,0,11,..,39,8,42,0,42,..,8,0,8
POA2210,6,68,0,68,..,162,23,182,0,181,..,112,6,123,0,125,..,20,0,21,0,21,..,358,33,397,3,398,..,163,26,188,3,187,..,14,0,14,0,14,..,37,16,46,0,46,..,20,5,23,0,25,..,159,55,216,0,216,..,264,38,302,15,319,..,5483,1459,6943,71,7016,..,71,17,89,807,895,8406,5549,1475,7034,880,16322,8232,..,..,..,..,8232,..,7,0,5,0,5,..,833,173,1006,11,1017,..,4,0,4,0,4,..,789,535,1325,11,1337,..,930,643,1579,10,1586,..,49,36,87,0,87,..,1767,1220,2986,18,3007,..,78,6,88,0,90,..,18,0,18,0,18,..,20,0,20,0,20,..,674,73,750,5,758,..,64,9,68,0,68,..,15,0,17,0,17,..,94,9,102,4,110,..,141,8,148,0,148,..,15,3,23,0,23,..,17,0,17,0,17,..,36,6,40,0,46,..,11,3,10
POA2211,0,23,0,23,..,78,6,84,0,85,..,61,0,61,3,63,..,5,0,5,0,5,..,168,6,170,0,175,..,83,8,89,0,89,..,9,0,11,0,11,..,7,4,9,0,13,..,10,0,10,0,10,..,288,98,379,4,380,..,134,14,155,7,165,..,2937,586,3529,37,3567,..,31,10,37,357,393,4687,2968,595,3568,400,8647,4762,..,..,..,..,4762,..,0,0,0,0,0,..,531,95,623,5,632,..,5,0,5,0,5,..,366,189,547,0,549,..,335,178,510,6,519,..,10,5,17,0,17,..,706,370,1077,3,1087,..,23,12,32,0,32,..,26,0,26,0,26,..,14,0,19,0,19,..,291,39,331,0,332,..,22,4,27,0,27,..,9,0,8,0,8,..,71,4,76,0,76,..,54,3,59,0,59,..,35,4,39,0,39,..,8,0,13,0,13,..,46,0,48,0,48,..,10,0,10
POA2212,0,29,0,29,..,80,15,89,0,91,..,55,4,58,0,58,..,12,0,12,0,12,..,171,20,196,0,199,..,65,4,71,4,71,..,8,0,8,0,8,..,12,8,20,0,21,..,29,3,30,0,30,..,362,105,467,4,477,..,171,32,204,12,213,..,3154,631,3781,42,3827,..,42,3,44,369,419,4119,3190,639,3826,416,8360,4165,..,..,..,..,4165,..,7,0,7,0,7,..,806,150,956,3,956,..,0,0,0,0,0,..,225,104,330,3,328,..,287,180,464,4,474,..,30,10,39,0,39,..,547,290,829,10,840,..,38,3,49,0,49,..,17,0,22,0,22,..,6,0,6,0,6,..,231,57,293,0,292,..,26,3,29,0,32,..,0,0,0,0,0,..,47,0,47,0,47,..,57,3,62,0,67,..,111,17,132,0,130,..,13,0,14,0,14,..,61,6,66,0,66,..,22,3,26
POA2213,0,22,0,22,..,63,3,72,0,71,..,27,0,28,0,28,..,24,0,22,0,22,..,143,6,151,0,151,..,89,13,93,0,94,..,8,0,8,0,8,..,25,6,34,0,31,..,23,3,23,0,23,..,333,82,418,3,421,..,170,30,198,5,198,..,3250,488,3740,33,3776,..,40,11,50,351,404,7217,3288,505,3791,382,11389,7254,..,..,..,..,7254,..,4,0,4,0,4,..,720,114,830,0,834,..,3,0,3,0,3,..,268,87,357,6,363,..,299,141,439,5,439,..,10,4,7,0,7,..,577,236,807,6,814,..,19,5,24,0,24,..,20,0,20,0,20,..,24,0,25,0,25,..,430,44,471,0,471,..,23,5,23,0,23,..,15,0,15,0,15,..,76,6,81,3,83,..,89,8,97,0,97,..,50,5,57,0,53,..,7,0,7,0,7,..,51,3,54,0,56,..,22,0,26
POA2214,0,4,0,4,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,13,0,9,0,9,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,26,5,35,0,35,..,25,6,29,0,32,..,347,38,384,4,390,..,9,5,10,45,55,1559,355,45,396,46,2006,1597,..,..,..,..,1597,..,0,0,0,0,0,..,116,9,128,0,128,..,0,0,0,0,0,..,14,11,23,0,23,..,16,5,31,0,31,..,0,0,0,0,0,..,33,19,51,0,51,..,7,0,7,0,7,..,4,0,4,0,4,..,0,0,0,0,0,..,50,4,50,0,55,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0
POA2216,7,85,3,90,..,100,3,111,0,111,..,142,12,151,4,154,..,13,3,17,0,17,..,339,22,364,3,369,..,351,54,409,0,408,..,17,0,19,0,16,..,74,28,108,0,108,..,87,10,96,0,96,..,139,21,157,4,160,..,286,58,341,14,353,..,6984,973,7952,70,8027,..,124,22,145,817,959,5193,7114,988,8102,886,14171,4819,..,..,..,..,4819,..,7,0,7,0,7,..,676,110,786,3,791,..,0,0,0,0,0,..,288,198,486,0,485,..,424,182,602,3,604,..,26,8,33,0,33,..,734,390,1122,0,1128,..,53,6,60,0,60,..,41,8,45,0,45,..,12,0,11,0,11,..,762,190,952,10,957,..,231,37,268,3,270,..,23,4,20,0,20,..,151,6,156,0,156,..,995,67,1062,13,1070,..,16,0,19,0,19,..,14,0,14,0,14,..,50,0,54,0,54,..,39,0,39
POA2217,8,104,0,105,..,79,3,83,0,88,..,155,5,155,0,155,..,27,0,27,0,27,..,361,14,373,0,378,..,289,43,328,0,328,..,56,0,53,4,57,..,54,24,72,0,72,..,66,8,66,0,66,..,86,23,113,5,112,..,323,49,378,11,390,..,6630,901,7534,75,7608,..,83,21,102,716,820,5697,6714,924,7640,790,14123,5457,..,..,..,..,5457,..,0,0,0,0,0,..,478,70,544,0,547,..,5,0,5,0,5,..,447,202,652,5,655,..,639,257,894,9,904,..,31,12,45,0,44,..,1119,471,1590,17,1605,..,69,8,75,0,75,..,36,0,37,0,37,..,19,0,19,0,19,..,1103,227,1328,5,1329,..,249,32,278,3,285,..,35,3,37,0,37,..,190,9,204,3,207,..,786,50,836,4,842,..,29,0,30,0,38,..,15,0,15,0,16,..,31,4,34,0,34,..,66,0,70
POA2218,0,80,0,80,..,54,5,58,0,62,..,100,3,99,0,107,..,7,0,10,0,10,..,239,11,252,8,258,..,134,15,147,3,151,..,20,0,20,0,20,..,31,4,33,0,33,..,11,0,13,0,13,..,37,8,48,0,51,..,134,35,165,3,167,..,4069,801,4875,43,4917,..,59,15,69,346,415,2803,4128,811,4940,393,8143,2598,..,..,..,..,2598,..,5,0,5,0,5,..,288,44,336,0,339,..,0,0,0,0,0,..,462,279,738,0,735,..,655,319,974,12,984,..,27,16,36,0,36,..,1142,608,1750,8,1759,..,60,7,66,0,66,..,16,0,21,0,21,..,11,0,11,0,10,..,330,81,417,0,417,..,112,8,124,0,124,..,16,0,16,0,16,..,59,0,55,0,55,..,504,41,548,6,551,..,12,0,13,0,13,..,8,0,8,0,8,..,15,0,15,0,13,..,26,0,26
POA2219,0,5,0,5,..,7,0,11,0,11,..,12,3,16,0,16,..,3,0,3,0,3,..,29,3,31,0,31,..,111,16,125,0,130,..,3,0,3,0,3,..,12,0,12,0,12,..,36,4,40,0,40,..,26,3,25,0,25,..,97,11,108,5,112,..,2070,266,2333,19,2352,..,23,8,29,350,376,3796,2097,267,2364,371,6535,4002,..,..,..,..,4002,..,5,0,5,0,5,..,247,31,281,0,279,..,4,0,4,0,4,..,84,28,112,0,112,..,125,59,183,0,185,..,3,0,7,0,7,..,218,93,308,0,306,..,38,9,45,0,45,..,32,0,36,0,36,..,24,0,24,0,24,..,866,145,1008,3,1012,..,12,0,13,0,13,..,3,0,3,0,3,..,15,0,15,0,15,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,9
POA2220,10,85,0,85,..,212,29,235,6,239,..,114,3,124,0,125,..,17,0,17,0,17,..,423,42,465,4,464,..,106,9,116,0,120,..,22,0,22,0,22,..,41,10,52,0,52,..,13,0,12,0,12,..,51,17,72,0,78,..,167,41,208,14,219,..,9659,2586,12242,88,12328,..,106,19,128,708,836,3740,9769,2605,12374,789,16906,3215,..,..,..,..,3215,..,6,0,6,0,6,..,407,51,461,0,461,..,0,0,0,0,0,..,1723,1067,2786,19,2801,..,2814,1646,4466,31,4496,..,97,67,163,0,163,..,4633,2781,7411,47,7456,..,82,20,103,0,103,..,13,0,15,0,15,..,9,0,9,0,9,..,364,80,443,9,447,..,75,5,81,0,80,..,19,0,17,0,17,..,97,3,101,0,105,..,1983,53,2034,14,2052,..,14,0,16,0,16,..,12,0,16,0,16,..,35,0,34,0,34,..,12,0,18
