POA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
POA2342,42,32,19,0,20,14,3,9,35,5,31,262,9,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,23,0,0,0,0,0,0,0,0,0,0,0,0,36,32,45,35,18,0,20,17,3,8,35,5,34,273,46,465,..,..,..,..
POA2343,490,443,129,34,263,190,61,109,357,58,278,2333,183,3989,7,3,5,0,4,0,0,0,8,0,3,28,0,46,21,7,11,0,14,13,3,5,11,0,10,32,5,83,5,0,0,0,0,0,0,0,0,0,3,12,0,20,6,0,0,0,3,0,0,0,0,0,0,6,4,16,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,15,14,3,25,9,3,7,17,0,15,148,11,240,19,6,12,3,10,8,3,9,3,0,11,47,540,627,554,466,147,38,299,209,72,121,369,63,302,2518,727,4858,..,..,..,..
POA2344,60,58,24,0,32,34,9,12,59,10,38,359,17,597,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,4,3,0,0,0,0,6,8,0,26,4,6,0,0,4,0,0,0,0,0,0,18,27,54,75,68,27,0,37,35,9,12,58,12,45,383,48,674,..,..,..,..
POA2345,66,77,22,5,37,28,9,15,66,14,30,392,20,636,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,5,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,20,0,29,4,0,5,0,0,0,0,0,0,0,0,3,31,39,74,76,21,4,44,39,12,16,66,14,28,412,49,707,..,..,..,..
POA2346,376,384,123,22,197,181,47,119,321,46,229,1330,77,2576,0,0,0,0,0,0,0,4,3,0,0,15,0,28,15,5,3,0,10,3,4,3,7,3,9,16,3,56,0,0,0,0,4,0,0,0,0,0,0,3,0,10,5,0,0,0,0,0,0,5,0,0,4,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,12,27,7,9,4,16,8,3,9,15,7,15,77,4,150,16,12,3,0,5,9,0,7,10,0,12,30,241,309,417,405,130,27,224,196,50,134,343,57,254,1443,325,3033,..,..,..,..
POA2347,302,162,91,30,124,132,45,73,184,28,143,777,55,1565,7,0,0,0,0,0,0,0,0,0,0,5,0,14,10,3,4,0,4,8,5,3,4,0,4,17,0,37,5,6,3,0,0,3,0,0,0,0,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,10,5,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,5,9,0,9,8,5,3,14,4,19,46,3,112,12,8,4,0,6,3,5,5,0,0,0,20,147,188,344,180,107,27,134,146,44,84,197,33,153,845,206,1865,..,..,..,..
POA2350,2050,2274,750,125,887,926,180,430,2410,214,1853,11652,776,20252,37,39,12,3,25,18,0,9,29,0,44,195,10,353,102,70,41,9,51,71,8,28,81,11,83,323,17,685,32,14,12,5,20,26,6,10,14,0,40,165,9,277,11,0,0,0,7,8,0,4,10,0,7,57,3,102,11,18,3,4,14,13,7,4,29,5,44,632,7,742,11,21,5,0,12,7,3,6,11,0,27,292,4,358,11,9,4,0,6,4,0,0,0,0,16,197,5,239,7,15,5,0,30,11,0,0,15,0,23,693,15,800,29,34,14,0,17,12,0,3,32,6,45,200,9,323,12,15,6,3,12,3,0,0,15,0,18,219,5,297,265,230,110,28,201,169,29,56,223,28,346,2966,82,4172,46,26,20,3,21,17,7,13,20,4,17,131,2249,2485,2357,2530,881,150,1106,1109,217,502,2657,249,2217,14753,3105,26911,..,..,..,..
POA2352,295,381,98,18,158,130,37,62,333,29,232,1458,103,2660,6,4,4,0,0,4,0,3,0,0,5,12,0,31,9,3,4,0,7,5,0,0,3,0,3,12,0,32,4,6,0,0,0,0,0,0,0,0,0,9,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,5,5,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,8,19,10,7,0,17,11,0,3,11,4,10,63,5,123,0,3,4,0,0,5,0,5,3,3,0,19,125,162,313,401,108,15,172,144,36,70,346,34,248,1546,239,2950,..,..,..,..
POA2353,172,118,58,31,75,67,22,37,128,17,113,531,46,1036,7,0,0,0,4,4,0,0,0,0,0,9,0,13,19,0,5,9,0,0,0,0,4,0,10,12,0,39,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,22,0,7,9,8,7,0,5,8,0,17,38,0,80,7,0,0,0,3,7,0,3,0,0,0,8,70,90,200,125,60,36,81,79,20,43,137,22,125,574,115,1201,..,..,..,..
POA2354,405,288,135,27,158,174,34,85,224,39,214,1704,105,2917,9,6,5,0,0,8,0,8,3,0,7,31,0,46,19,10,7,0,6,8,0,0,4,0,9,33,0,73,10,0,6,0,3,3,0,4,5,0,7,14,0,29,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,0,0,4,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,11,45,20,14,8,17,21,4,11,18,0,13,107,0,200,24,3,11,0,8,8,0,3,13,0,13,35,291,368,469,314,157,31,185,200,34,93,252,41,241,1854,403,3484,..,..,..,..
POA2355,72,52,17,9,27,37,8,14,63,7,51,298,17,509,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,3,0,0,3,0,0,3,0,0,0,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,12,3,0,3,5,0,4,28,0,52,7,0,0,0,0,4,4,0,8,3,0,3,44,58,88,55,22,9,35,40,12,17,64,12,57,328,63,627,..,..,..,..
POA2356,10,7,0,0,7,8,0,5,4,3,10,37,10,91,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,0,0,0,0,0,0,0,0,24,26,15,13,3,0,7,4,0,5,7,3,10,47,33,124,..,..,..,..
POA2357,534,368,140,54,195,230,53,115,342,43,324,1660,120,3167,9,5,0,0,0,4,0,4,3,0,5,12,0,24,29,10,3,3,10,7,0,0,13,0,11,31,0,84,4,0,8,0,0,0,0,0,4,0,8,26,0,42,0,0,0,0,3,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,0,0,0,0,0,5,15,3,22,0,0,0,0,0,0,0,0,0,0,0,8,0,13,3,0,0,0,3,0,0,0,0,0,0,16,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,19,0,0,0,0,4,3,0,0,0,0,0,9,0,20,43,17,18,4,19,14,6,6,25,4,34,140,10,264,11,0,3,0,6,3,0,0,0,0,0,29,585,631,590,381,159,57,223,252,55,120,364,55,356,1828,713,4069,..,..,..,..
POA2358,442,367,138,19,195,165,46,93,377,32,324,1723,126,3184,5,5,3,0,7,0,0,3,5,0,13,22,0,44,23,11,11,0,11,13,5,5,17,0,21,42,3,100,8,0,0,0,0,4,0,0,4,0,5,13,0,34,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,31,0,37,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,3,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,6,0,6,46,26,13,0,19,17,3,10,29,5,30,137,10,251,15,10,3,0,6,3,0,0,9,0,6,28,218,290,501,398,163,21,228,190,53,107,413,41,366,1887,354,3727,..,..,..,..
POA2359,100,61,30,7,50,53,7,31,56,12,50,293,25,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,5,0,0,4,0,0,0,16,0,27,0,0,0,0,0,0,0,0,0,0,0,0,102,105,104,62,33,10,47,56,7,31,63,14,48,308,127,710,..,..,..,..
POA2360,1518,1349,451,96,780,658,135,335,1250,138,1038,7044,544,12389,15,11,6,0,10,3,0,0,15,0,11,183,0,227,54,24,13,3,21,25,5,13,16,3,33,90,5,215,15,4,4,0,9,9,0,3,3,0,5,34,4,73,13,0,0,0,3,7,0,4,0,0,0,14,0,28,0,0,0,0,0,0,0,0,0,0,0,7,0,16,7,11,0,0,8,0,0,0,3,0,4,162,8,204,0,0,0,0,0,0,0,0,0,0,0,60,0,65,0,4,0,0,0,0,0,0,3,0,4,51,3,63,4,12,4,0,0,0,0,0,3,4,10,162,4,189,0,0,3,0,3,3,0,0,3,0,0,33,3,46,113,63,37,10,60,46,13,21,54,12,76,804,31,1139,68,30,15,12,34,31,5,12,25,5,18,101,1217,1468,1702,1437,502,110,872,731,145,369,1332,157,1135,7951,1797,14995,..,..,..,..
POA2361,144,87,20,16,70,49,10,43,87,10,71,413,26,763,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7,6,0,0,0,3,0,5,4,0,4,4,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,7,0,4,8,0,5,11,0,0,19,0,47,14,4,0,0,8,0,0,3,0,0,0,16,86,116,174,102,24,20,80,59,10,41,94,12,72,447,110,927,..,..,..,..
POA2365,356,311,113,12,150,169,33,76,229,30,223,1714,130,2934,8,3,0,0,0,0,0,0,11,0,5,93,5,122,19,6,4,0,3,8,5,9,10,0,11,32,4,67,3,0,4,3,4,0,0,0,0,0,7,14,0,23,6,0,0,0,0,4,3,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,24,0,0,0,0,0,0,0,0,0,0,0,28,0,31,0,0,0,0,0,0,0,0,0,0,0,8,0,9,5,4,0,0,0,0,0,0,3,0,3,5,0,17,0,0,0,0,0,0,0,0,0,0,0,6,0,6,36,18,15,3,15,15,9,10,29,4,33,209,8,304,9,8,4,9,11,8,5,4,7,3,18,34,453,521,401,332,133,24,171,192,39,97,263,37,269,1952,587,3762,..,..,..,..
POA2369,124,68,24,8,77,46,12,34,87,5,59,390,24,742,3,5,0,0,0,0,0,0,0,0,0,3,0,6,4,0,3,0,0,4,0,0,0,0,3,5,0,17,4,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,8,4,3,0,0,0,22,0,35,8,4,0,0,0,6,0,7,0,0,0,8,68,88,140,74,30,7,80,56,18,43,93,10,65,417,90,871,..,..,..,..
POA2370,920,703,284,63,405,411,90,227,777,113,624,3341,334,6377,5,7,3,0,5,6,0,0,11,3,7,45,10,81,53,12,11,5,22,19,4,18,21,5,19,58,7,176,17,9,6,0,12,12,3,5,0,4,11,24,0,60,5,0,0,0,5,3,0,7,4,0,5,6,3,23,0,0,0,0,0,0,0,0,0,0,0,7,4,11,6,0,0,0,0,0,0,0,3,0,3,29,11,51,0,0,0,0,0,0,0,0,0,0,5,21,11,37,0,0,0,0,0,0,0,0,0,0,0,71,4,81,9,0,0,0,4,0,0,0,3,0,4,9,3,23,0,3,0,0,4,0,0,0,0,0,4,15,0,18,97,29,27,7,43,44,11,28,48,7,53,288,52,567,39,20,12,5,16,24,0,5,30,0,14,51,701,849,1053,753,327,71,463,476,98,263,850,123,691,3684,1094,7785,..,..,..,..
POA2371,159,114,34,11,82,70,15,46,124,12,107,446,33,911,0,0,0,0,0,3,0,0,0,0,0,8,0,18,17,5,7,0,4,7,0,3,10,4,8,10,0,39,7,0,4,0,0,0,0,0,6,0,4,7,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,9,30,11,10,0,11,15,0,6,20,4,16,41,7,101,10,7,4,0,3,3,0,7,4,0,0,18,104,143,196,129,47,11,97,84,16,56,145,22,125,501,148,1158,..,..,..,..
POA2372,670,399,197,51,281,262,67,119,475,65,377,2100,120,3949,16,12,3,0,7,16,3,0,8,0,14,23,3,64,37,13,8,4,19,17,0,8,14,3,20,42,0,127,13,7,6,0,4,0,0,3,10,3,8,29,0,67,5,3,0,0,0,3,0,0,0,0,5,12,0,27,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,5,0,0,21,0,33,6,0,0,0,0,0,0,0,0,0,4,6,0,13,4,0,0,0,4,0,0,0,0,0,0,23,0,27,3,0,0,0,0,3,0,0,4,0,6,10,0,20,0,0,4,0,0,0,0,0,3,0,0,15,0,23,90,39,30,5,36,40,8,14,42,5,41,189,6,406,30,13,12,0,9,17,4,5,12,4,4,65,325,435,785,453,237,56,324,319,78,139,525,74,424,2354,451,4789,..,..,..,..
POA2379,16,25,3,0,9,10,0,10,18,0,16,156,13,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,4,0,31,33,21,25,8,4,9,11,3,13,19,0,22,168,44,291,..,..,..,..
POA2380,991,1016,321,79,513,449,128,246,858,108,671,5583,504,9485,8,8,4,0,5,3,0,0,9,0,12,76,0,109,19,18,10,5,17,11,6,12,16,0,11,52,5,120,3,0,0,4,4,0,0,6,0,0,7,29,5,47,6,4,0,0,3,0,0,0,0,0,3,9,5,26,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,9,0,0,6,8,0,5,3,0,9,95,4,126,3,0,0,0,0,0,0,0,0,0,0,39,3,47,0,0,0,0,0,0,0,0,0,0,0,38,0,45,0,0,3,0,5,0,0,0,5,0,7,34,0,45,0,0,0,0,3,0,0,0,0,0,0,39,0,51,47,41,22,4,42,22,8,16,36,6,45,408,27,609,18,12,4,0,16,6,3,6,13,4,10,75,883,1019,1060,1074,342,85,577,480,140,267,903,124,726,6070,1412,11118,..,..,..,..
