SA2_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
102011039,98,36,253,2510,3750,1806,1122,2329,626,12143
102011040,401,170,879,3642,5738,2782,2057,4976,1437,20635
102011041,84,26,217,1740,2548,1358,953,1548,374,8528
102011042,349,62,598,2161,3211,1564,1173,3278,774,12162
102011043,282,87,504,1706,2460,1166,912,2441,586,9278
102021044,387,291,903,3303,4889,2376,1778,4581,1379,18298
102021045,76,16,153,1664,2148,1051,873,2579,426,8741
102021046,141,28,261,1320,2095,1100,797,2206,577,8092
102021047,169,103,423,2486,3643,1832,1303,2986,659,12905
102021048,397,219,840,3064,4401,2192,1782,5478,1587,18515
102021049,13,4,29,530,802,484,364,496,130,2809
102021050,170,61,382,1554,2397,1208,943,2665,596,9355
102021051,26,7,68,853,1131,605,488,764,175,4021
102021052,55,10,130,979,1398,757,585,1369,280,5371
102021053,220,78,514,2434,3421,1641,1223,3878,1028,13620
102021054,272,39,444,1328,2122,997,848,2452,569,8319
102021055,39,6,78,849,1168,554,426,1010,191,4196
102021056,144,186,401,3059,3925,1837,1565,3903,999,15288
102021057,90,11,162,1288,1793,824,798,2152,616,7467
103011059,147,19,273,1966,2626,1290,881,2329,525,9614
103011060,25,12,80,1040,1619,877,634,945,587,5704
103011061,61,14,102,624,995,481,423,905,603,4033
103011612,319,36,478,1669,2351,889,590,2604,1297,9413
103011613,93,25,225,2300,3400,1533,1017,2443,555,11252
103021062,102,38,211,828,1121,534,529,1374,633,5016
103021063,198,30,359,1327,1872,927,750,2128,607,7602
103021064,68,19,128,801,1154,673,517,1118,548,4814
103021065,158,29,314,1404,2024,1000,794,2036,797,8051
103021066,69,12,143,525,769,399,374,727,245,3037
103021067,182,32,330,1592,2182,1089,818,2372,623,8673
103021068,41,16,93,459,631,319,290,626,292,2613
103021069,77,31,176,798,1107,552,511,1024,447,4436
103031070,213,23,388,1691,2571,1300,1008,2831,990,10392
103031071,74,15,145,1130,1852,981,848,1638,580,7032
103031072,191,49,353,1899,2729,1239,956,2426,637,9889
103031073,40,12,93,432,668,411,356,717,309,2894
103031074,95,25,194,1438,2362,1251,1095,1864,919,8934
103031075,0,0,0,0,0,0,0,0,0,0
103041076,84,10,162,1119,1673,828,658,1274,446,5992
103041077,377,93,700,2864,4035,1822,1199,4344,1142,15407
103041078,132,61,343,3519,5171,2242,1452,4107,943,17432
103041079,97,24,207,1915,2656,1428,1045,1639,674,9365
104011080,386,104,777,2694,3907,1968,1464,4360,1229,15625
104011081,122,19,265,2064,3423,2117,1760,2850,2187,14405
104011082,373,86,712,2430,4052,2229,1711,3552,1093,15064
104021083,33,32,125,860,1492,881,576,694,451,4954
104021084,231,77,539,2868,3902,1829,1286,3986,1091,14968
104021085,298,194,642,1729,2359,1123,671,2601,1053,9533
104021086,11,8,32,570,923,518,370,540,286,3205
104021087,42,9,97,431,700,484,375,504,282,2780
104021088,57,8,126,1567,2669,1277,850,1471,352,8184
104021089,283,78,614,3094,4655,2411,1463,3844,973,16446
104021090,101,21,187,723,1113,685,462,893,336,4211
104021091,159,50,354,2132,3295,1584,1069,3073,765,11922
105011092,34,11,50,380,550,224,182,843,502,2680
105011093,40,6,75,544,756,327,332,798,531,3289
105011094,56,9,85,533,659,291,248,892,438,3062
105011095,53,52,153,706,885,405,334,944,451,3729
105011096,34,23,83,594,840,400,324,1167,1186,4511
105021097,289,127,590,2192,3458,1608,1331,4566,1432,14592
105021098,12,7,28,272,361,180,153,553,356,1874
105031099,143,71,294,1053,1477,782,666,1592,1009,6575
105031100,99,28,185,1526,2235,910,675,2184,817,8344
105031101,289,59,513,3062,4102,1784,1210,4068,1314,15547
105031102,114,31,212,1443,1990,935,653,2148,782,7945
105031103,30,5,69,862,1354,637,535,836,483,4702
105031104,63,18,130,587,817,462,381,876,441,3552
105031105,52,55,173,882,1258,572,483,1156,731,5083
105031106,123,39,232,995,1558,729,640,1755,1516,7191
106011107,36,11,93,1880,2866,1465,1110,2152,437,9911
106011108,407,88,655,2972,4251,2220,1790,5397,2567,19195
106011109,45,8,103,1271,2085,1119,957,1486,468,7386
106011110,99,16,184,1310,2194,1285,987,1570,421,7769
106011111,184,35,331,2800,4275,1903,1552,4778,936,16246
106011112,188,15,306,2400,3654,1691,1317,3498,887,13458
106011113,13,0,36,734,1109,657,591,756,413,4263
106021114,76,50,180,1315,1941,786,624,1678,360,6696
106021116,80,12,145,1330,2171,1091,716,1252,218,6785
106021614,135,76,376,2892,4073,1889,1243,3711,763,14572
106021615,196,34,327,2580,3764,1819,1359,3494,648,13658
106021616,39,11,104,1175,1616,739,550,1836,407,6328
106021617,101,17,234,1600,2379,1180,796,1900,359,8211
106021618,39,0,85,2496,3751,1626,1189,2761,358,12183
106031119,44,15,121,971,1539,763,593,1276,361,5505
106031120,85,20,163,953,1473,768,629,1610,364,5792
106031121,432,201,978,3341,5337,2725,1842,4662,1193,19103
106031122,146,22,259,2001,2988,1324,1051,3480,825,11683
106031123,23,9,62,908,1377,756,539,813,190,4589
106031124,128,73,351,752,1474,877,653,1189,422,5368
106031125,71,17,166,2262,3370,1679,1394,2554,606,11876
106041126,86,29,179,1683,2370,1083,875,2623,934,9573
106041127,41,14,76,615,929,434,391,683,271,3323
106041128,100,37,201,886,1333,564,451,1281,333,4841
106041129,106,33,208,1186,1796,850,765,1590,555,6744
107011131,356,56,662,3426,5059,2689,2130,5532,946,19777
107011132,73,4,123,1971,2740,1258,922,2102,271,9270
107011133,0,0,0,4,0,0,0,5,0,5
107011134,232,140,499,2447,3502,1720,1328,2879,647,12527
107011545,192,39,383,1869,2518,1240,1188,3883,736,11432
107011546,230,25,410,1273,1869,884,776,2591,613,7996
107011547,72,25,171,644,847,475,352,1056,255,3630
107021135,0,0,0,0,0,4,0,0,0,4
107031136,96,117,308,2799,4244,2010,1593,3515,619,14780
107031137,135,17,220,1002,1412,692,552,1759,295,5709
107031138,129,110,400,1413,2342,1193,717,1344,459,7473
107031139,49,12,127,990,1584,791,475,863,231,4930
107031140,132,23,261,1304,2109,1118,718,1209,338,6792
107031141,103,102,311,3157,4372,2200,1492,3554,700,15473
107031142,150,49,309,1610,2294,1144,930,2398,474,8849
107031143,259,116,554,2720,4016,2010,1708,5148,1238,16847
107041144,297,109,675,3708,4877,2409,1654,4382,954,17983
107041145,246,55,471,2482,3646,1730,1266,3423,702,13250
107041146,249,79,588,3956,5245,2611,1774,4148,939,18677
107041147,41,57,141,1424,2293,1132,805,1235,291,7176
107041148,80,28,196,1987,3236,1666,975,1422,317,9605
107041150,375,68,640,3282,5053,2486,1544,3594,648,16600
107041548,161,125,464,3450,4484,1452,792,3701,901,14775
107041549,120,67,324,2988,3980,1578,1029,3672,911,14159
108011151,80,16,134,688,1108,640,586,938,420,4384
108011152,373,160,848,2023,3321,1844,1240,3361,1011,12795
108011153,54,17,114,872,1602,957,761,1173,567,5919
108011154,250,118,508,914,1353,662,544,1865,432,5766
108021155,250,82,460,1782,2645,1403,1260,3789,1921,12802
108021156,76,23,171,1349,2065,1149,977,1660,767,7968
108021157,97,23,209,717,1130,595,539,1000,321,4307
108021158,228,35,381,943,1523,775,610,1760,538,6148
108021159,39,19,121,1102,1830,1012,900,1287,607,6738
108021160,126,25,233,723,1344,756,515,1245,320,4905
108031161,8,0,15,81,115,58,34,50,34,379
108041162,424,75,811,2658,4497,2512,1829,3820,779,16093
108041164,423,271,1065,3460,4737,2130,1498,4756,1352,17928
108041165,33,9,66,720,1288,741,570,745,356,4419
108041166,196,34,375,1917,2818,1430,1149,2406,551,10275
108041619,119,18,247,2053,3137,1310,733,2136,523,9884
108041620,426,120,840,2830,4269,2119,1259,3207,632,14313
108051167,101,20,215,715,1149,657,593,1108,336,4560
108051168,175,21,347,1730,2967,1727,1190,2209,670,10490
108051169,460,159,912,2749,4041,2167,1743,5059,1620,17372
108051170,138,33,280,1651,2940,1865,1562,2496,817,11328
108051171,71,34,171,682,1177,545,514,1143,360,4426
109011172,152,42,339,2969,4249,1908,1181,3047,627,13974
109011173,138,28,261,1731,2319,996,641,2216,700,8607
109011174,223,36,404,1831,2640,1099,611,2168,565,8910
109011175,123,24,227,1934,2634,1397,1084,1997,894,9946
109011176,185,48,379,2379,3239,1443,1061,3762,946,12831
109021177,52,16,90,409,573,254,230,635,321,2429
109021178,76,13,132,928,1257,713,523,1191,639,5249
109021179,31,14,72,481,622,341,288,722,504,2962
109031180,123,31,251,845,1203,620,453,1345,319,4785
109031181,110,28,222,1034,1531,805,647,1472,560,6056
109031182,145,31,278,1057,1536,712,511,1461,601,5881
109031183,82,31,182,1003,1420,707,653,1244,589,5613
109031184,91,55,219,1061,1541,782,558,1392,413,5747
109031185,169,84,359,1438,2014,1024,896,1980,907,8261
110011186,212,114,599,3749,5691,2441,1420,4375,2024,19697
110011187,36,26,102,690,911,470,383,738,477,3669
110011188,52,15,109,895,1400,780,532,901,328,4842
110011189,43,7,84,481,653,342,295,548,301,2624
110021190,133,69,303,1194,1870,1015,809,1729,945,7563
110021191,196,56,374,1581,2343,1167,987,2712,905,9700
110021192,45,7,97,633,1045,535,490,1075,479,4260
110021193,101,24,187,798,1054,606,582,1197,502,4742
110021194,108,30,211,840,1417,839,748,1377,635,5856
110031195,66,32,146,867,1398,587,496,1686,1208,6242
110031196,14,15,49,687,751,379,372,933,1100,4229
110031197,102,18,163,946,1472,715,493,1403,482,5503
110031198,51,14,88,618,848,385,378,891,561,3680
110041199,161,37,295,1308,1894,872,720,2002,734,7538
110041200,35,20,89,626,852,427,353,806,423,3478
110041201,88,39,189,981,1432,814,684,1515,797,6222
110041202,197,45,469,3293,4527,2107,1431,4630,1197,17196
110041203,331,158,683,2393,3581,1625,1069,3449,1086,13203
110041204,15,8,42,671,864,416,350,1536,587,4425
110041205,209,44,387,2736,4186,2278,1717,3391,1090,15394
111011206,278,101,623,2873,4283,2044,1303,3611,717,14834
111011207,76,16,144,833,1282,679,425,1354,271,4846
111011208,279,52,676,4243,6151,2908,1739,4428,815,20286
111011209,244,57,507,3989,6030,2676,1835,4576,789,19896
111011210,222,24,337,1367,1864,909,662,2354,565,7722
111011211,73,112,225,605,876,440,265,658,283,3116
111011212,204,59,414,1903,2808,1484,1173,2623,503,10494
111011213,134,20,313,2080,3172,1745,983,1876,269,10130
111011214,176,30,374,2503,3647,1805,1085,2696,509,12248
111021215,163,122,386,1513,2250,1097,738,2102,642,8349
111021216,93,9,192,1500,2098,1158,886,1926,379,7953
111021217,162,76,318,2590,3672,1610,1101,3136,588,12691
111021218,554,85,945,2731,3990,1996,1561,4033,819,15130
111021219,256,63,508,2045,3284,1673,1229,2973,582,11793
111021220,88,20,200,1436,2313,1283,852,1689,391,7964
111021221,31,4,71,1114,1712,784,555,1484,207,5854
111031222,156,31,398,2993,4314,1853,1056,2684,455,13356
111031223,76,15,159,1243,1626,822,703,2221,370,6986
111031224,213,30,379,2394,3285,1284,675,2525,792,10962
111031225,205,36,428,3211,4414,1939,1083,2931,576,14157
111031226,46,11,103,2582,3728,1633,1091,3164,402,12603
111031227,278,89,464,2698,3924,1489,885,3342,748,13083
111031228,164,20,325,2976,3903,1662,824,2268,433,12072
111031229,69,13,168,3040,3904,1170,555,2294,640,11604
111031230,0,0,0,3,7,0,0,6,4,21
111031231,101,143,356,2338,2482,849,612,3292,1373,10935
111031232,88,94,257,1313,2055,1062,663,1695,566,7366
111031233,498,162,867,3486,4754,2174,1358,4782,1003,17561
111031234,297,206,634,2364,3165,1114,681,2824,836,10995
111031235,52,7,96,2045,2634,913,456,1507,342,7896
112011236,602,212,1186,2996,4402,2078,1300,4139,1250,16164
112011237,214,76,528,2972,4508,2325,1612,2831,856,15097
112011238,61,13,111,1084,1757,817,578,754,657,5648
112011239,74,12,144,1570,2370,1090,645,1326,684,7684
112011240,90,23,171,2114,2645,1022,597,2129,922,9431
112011241,77,29,181,822,1238,673,511,1021,487,4754
112011242,57,5,120,1652,2381,1075,645,1279,385,7414
112011243,87,15,156,1374,2156,1081,679,1115,980,7388
112021244,213,86,462,1604,2385,1153,878,2947,931,9899
112021245,71,28,145,973,1510,818,724,1307,767,6099
112021246,249,49,467,2137,3144,1490,992,2723,622,11110
112021247,74,60,205,984,1691,949,737,1325,680,6366
112021248,179,72,399,2494,3654,1519,1016,2979,1086,12755
112021249,80,33,220,2328,4003,2105,1488,1914,1279,13119
112031250,243,40,411,2387,3618,1670,989,2773,684,12118
112031251,162,155,442,1472,2138,1007,691,1787,710,7798
112031252,52,27,158,1520,2369,1308,1024,1401,1032,8656
112031253,154,67,358,2028,3338,1645,1070,2272,856,11207
112031254,460,188,965,3255,4613,2138,1477,4673,1651,17805
112031550,467,95,864,2617,3618,1900,1183,3679,748,13753
112031551,22,4,55,550,788,437,258,479,128,2631
112031552,369,61,597,1274,1669,827,537,2501,517,7331
113011256,253,143,603,2923,3731,1569,1243,5726,1399,16593
113011257,113,25,203,1966,2426,1193,888,2447,1320,10247
113011258,149,36,270,1491,1994,911,716,2382,693,8190
113011259,120,21,203,762,1094,587,453,1330,485,4717
113021260,42,17,94,498,685,375,328,630,394,2910
113021261,125,18,199,920,1339,635,520,1551,405,5374
113021262,48,10,105,666,973,560,440,895,369,3901
113031263,167,27,289,1049,1603,877,679,1748,465,6417
113031264,46,11,91,515,672,345,314,833,353,3027
113031265,65,15,123,821,1107,554,439,1252,1146,5312
113031266,134,21,254,972,1372,696,600,1432,339,5403
113031267,149,26,352,2750,3987,1736,1215,3081,634,13403
113031268,65,67,185,1096,1303,509,276,1006,311,4502
113031269,251,78,508,3602,4976,2160,1390,4455,1045,17622
113031270,255,46,446,1987,2589,980,641,3101,760,10063
113031271,172,33,318,2701,3752,1847,1364,3068,1250,13980
114011272,162,78,421,1362,2448,1376,1014,1425,549,8175
114011273,33,5,100,541,943,510,358,680,135,3167
114011274,109,18,201,737,1292,611,433,1117,244,4436
114011275,0,0,0,8,11,10,9,10,3,51
114011276,53,21,144,785,1296,689,368,777,233,4154
114011277,234,31,452,2383,3687,1806,1317,3264,755,13211
114011278,358,60,602,3086,4250,1987,1665,4907,2230,18121
114011279,272,54,511,2145,3317,1715,1368,3447,915,12909
114011280,108,58,252,596,1023,601,467,1155,382,4217
114011281,17,10,46,539,886,501,411,508,252,3102
114011282,307,72,644,2534,4068,2185,1466,3269,906,14419
114011283,66,8,131,772,1459,827,685,945,358,5054
114021284,320,164,852,2103,3445,1916,1337,2239,657,11698
114021285,26,0,51,1014,1400,714,573,1151,204,5049
114021286,161,29,338,1685,2655,1363,868,2001,423,8995
114021287,86,84,274,1680,2512,1280,861,1792,625,8753
114021288,21,5,59,606,1005,523,379,495,216,3226
114021289,84,31,195,1115,1832,1144,766,925,395,6174
115011290,355,25,552,3698,5620,2845,1995,4579,583,19322
115011291,123,12,256,3557,4921,2685,1851,4056,526,17591
115011294,162,28,319,1098,1513,836,589,1099,145,5284
115011296,102,15,182,2241,2994,1736,1165,2114,254,10500
115011553,44,3,108,1242,1744,864,606,1397,196,6046
115011554,415,207,838,857,1210,624,396,1329,454,4875
115011555,86,7,194,2064,2869,1423,1107,2161,284,9911
115011556,91,5,180,1670,2458,1303,793,1883,271,8378
115011557,30,0,52,962,1157,604,406,979,86,4200
115011558,157,177,511,3169,4635,2418,1563,3196,587,15571
115011621,69,4,132,3121,3983,1931,1347,3232,331,13948
115011622,65,174,277,1719,2517,1170,789,2223,506,8928
115021297,277,59,547,3624,4937,2813,2419,3879,739,18402
115021298,94,15,185,876,1329,724,560,817,207,4518
115031299,14,5,38,342,654,393,384,382,246,2402
115031300,119,11,273,3261,5194,2949,2345,3497,630,17865
115041301,60,10,138,1783,2458,1291,1043,2046,419,9033
115041623,10,3,27,1325,2171,1023,819,1756,270,7356
115041624,29,72,125,2464,3627,1704,1222,3005,575,12598
115041625,38,10,92,3063,3979,1875,1318,3126,310,13666
116011303,151,54,278,2134,2847,1351,1222,5203,1134,13889
116011304,242,13,337,2587,3414,1773,1527,5959,1125,16379
116011306,130,24,220,2962,3990,1908,1723,6952,1158,18702
116011307,250,55,457,3623,5244,2630,2064,5571,1229,20360
116011560,74,14,160,1663,2172,1081,1013,3459,688,10073
116011561,290,51,452,2136,2868,1387,1290,5097,1088,13875
116011626,89,13,192,2127,2823,1432,1245,3925,673,12222
116011627,67,12,129,1401,2067,1093,888,3147,557,9152
116021309,49,7,82,2631,3415,1728,1272,3150,328,12515
116021562,5,0,16,590,796,383,281,756,47,2856
116021563,126,18,182,3394,5035,2455,1920,5310,821,18938
116021628,112,13,172,3015,4409,2286,1556,3671,462,15412
116021629,22,0,35,1640,2791,1403,1163,3300,577,10886
116021630,48,11,99,1774,2709,1280,1108,2879,676,10421
116021631,11,0,25,1195,2045,1003,742,1948,379,7315
116021632,38,6,60,2987,4664,2292,1804,5256,1081,18084
116021633,25,4,59,1727,2519,1254,839,2456,1578,10375
116031313,89,15,143,1851,2348,1073,1246,5699,1664,13882
116031314,86,3,102,1071,1374,685,597,2399,344,6469
116031315,109,12,172,2793,3484,1601,1538,6300,965,16681
116031316,87,26,173,2290,3082,1414,1499,5804,1705,15799
116031317,114,20,216,2332,3016,1413,1709,7479,1520,17470
116031318,0,0,0,3,3,0,0,4,4,12
116031319,330,192,590,2810,3787,1803,1613,6777,1356,18153
117011320,0,0,0,86,105,28,22,120,83,447
117011321,68,40,161,2298,3041,1159,667,2646,669,10479
117011323,102,63,266,2469,3034,1232,839,3902,877,12361
117011324,0,0,0,0,0,0,0,0,0,7
117011325,0,0,0,0,4,0,0,7,4,17
117011634,110,26,226,1383,1743,782,597,2596,440,7544
117011635,98,15,190,3633,4262,1441,972,7492,1243,19041
117021327,129,36,278,4363,6181,1992,880,2995,1012,17427
117021328,56,7,108,1582,2379,823,406,1547,291,7028
117021636,143,12,244,2390,3535,1263,602,2184,603,10578
117021637,136,92,334,2777,3894,1343,787,2886,799,12479
117031329,42,13,96,2765,3242,707,292,2215,842,10058
117031330,34,13,84,4462,6717,1675,645,2717,830,17041
117031331,85,20,190,4426,6134,1871,861,3703,1272,18268
117031333,163,130,418,4447,5408,1321,539,3878,1827,17417
117031336,131,46,231,3841,4640,1090,446,3685,1251,14950
117031638,16,5,38,2214,2545,635,261,1637,421,7707
117031639,8,6,13,1636,1870,423,198,2681,708,7527
117031640,43,14,98,3639,4826,1391,523,2161,703,13250
117031641,49,10,98,2446,3334,1105,602,2964,908,11362
117031642,98,46,216,3022,3809,977,506,3070,1134,12510
117031643,50,5,113,2469,3228,930,565,3025,654,10869
117031644,33,15,101,1661,2080,618,323,2235,642,7569
117031645,38,4,69,2961,3193,896,536,9609,1754,18947
117031646,26,16,56,1338,1590,425,226,2778,576,6930
117031647,96,57,212,3256,4076,1056,543,4722,1459,15106
117031648,13,0,19,2535,3295,821,438,3870,638,11595
118011339,122,104,385,4119,5094,1595,909,3325,1135,16170
118011340,89,55,253,4723,5396,1630,899,3742,1225,17617
118011341,173,159,522,3547,4333,1629,819,3458,1255,15037
118011342,0,0,0,0,0,0,0,0,0,0
118011344,104,21,231,2238,2633,1010,639,2012,437,8968
118011345,82,84,265,3529,4438,1380,653,2172,711,12884
118011346,169,119,473,2311,2808,1242,813,2073,638,9878
118011347,100,93,292,1593,2062,699,384,1173,391,6307
118011649,140,72,349,3147,3633,1347,812,2494,689,12123
118011650,151,67,412,2292,2875,890,489,1743,548,8840
118021564,157,22,286,2493,2903,944,541,2849,656,10384
118021565,157,22,326,2427,3143,1190,709,3629,636,11737
118021566,147,139,448,1861,2339,1002,567,1893,558,8226
118021567,137,25,265,1941,2665,1016,622,2323,669,9233
118021568,88,22,222,1892,2231,916,558,2386,349,8336
118021569,157,248,528,3391,4410,1549,762,2588,910,13611
118021570,132,67,323,2695,3425,1188,523,2525,709,11067
118021651,74,19,209,4484,5712,1842,891,2830,832,16593
118021652,113,119,333,1573,2371,1045,613,1783,1618,9002
118021653,158,27,299,2277,2807,1328,900,2936,626,10876
118021654,62,21,147,953,1176,590,340,1103,339,4499
119011354,308,182,646,2592,3235,1656,1776,7012,2031,18302
119011355,0,0,0,180,247,134,89,370,96,1123
119011356,113,28,221,1490,1749,858,978,3901,809,9784
119011358,223,135,597,2671,3482,1734,1370,4210,830,14296
119011360,198,182,551,2539,3285,1659,1337,4544,958,14311
119011361,279,32,468,2615,3133,1544,1625,7259,1455,17629
119011571,163,26,256,1871,2214,1153,1139,5798,1172,13350
119011572,200,119,386,2003,2349,1075,1203,6713,1517,14854
119011655,228,25,330,1751,1870,940,1038,4702,1018,11319
119011656,121,12,210,1429,1714,879,1085,4146,827,10082
119011657,84,16,177,1644,2299,1216,942,2597,377,9076
119011658,155,35,356,2528,3468,1721,1299,3314,492,12820
119021362,236,99,504,2774,3433,1636,1496,6063,1473,16868
119021366,159,31,322,2239,2803,1411,1599,7397,1540,16992
119021367,175,63,366,2013,2514,1251,1122,4070,707,11674
119021573,126,115,306,1682,2017,981,1217,5464,1508,12864
119021574,54,15,98,1087,1299,588,789,3217,778,7754
119021659,182,29,272,1595,1867,938,729,4511,823,10460
119021660,87,22,166,1114,1364,612,524,3331,983,7933
119021661,97,88,274,1792,2349,1053,787,3402,908,10279
119021662,283,88,631,2921,3920,1993,1484,3912,760,14985
119021663,91,16,202,865,1186,637,493,1597,251,5029
119031370,249,25,449,2020,2535,1326,1045,4052,580,11566
119031371,116,61,302,2177,3011,1544,1051,2277,351,10411
119031372,280,201,750,3159,4355,2261,1696,4184,993,16650
119031373,153,21,278,1502,1986,928,795,3869,784,9856
119031374,362,95,712,3789,4712,2508,1856,7369,1153,21384
119031664,110,11,186,1510,1927,898,718,4757,643,10455
119031665,126,128,344,1790,2216,1170,900,3675,621,10377
119031666,217,16,383,2415,3518,1632,1029,2982,476,12059
119031667,87,71,235,1426,1916,872,623,2701,597,8131
119041377,189,21,408,2031,2752,1407,1072,3076,457,10796
119041378,165,159,456,1853,2547,1116,763,3819,922,11019
119041379,202,76,414,2481,3310,1588,1141,4386,767,13668
119041380,211,37,419,2146,3005,1221,898,3795,814,11880
119041381,193,116,427,2712,3737,1607,1216,6534,1238,17049
119041382,233,83,553,2684,3563,1671,1228,3926,921,13986
119041668,118,74,307,2505,3204,1309,941,4653,1284,13893
119041669,144,129,369,1424,1884,909,698,2643,628,8184
119041670,301,40,443,2301,3015,1395,1117,4725,762,13317
119041671,5,0,12,1778,2256,673,384,4052,738,9875
120011383,352,47,658,4089,5530,2542,1705,4807,747,19422
120011385,277,116,621,3411,4934,2100,1150,2976,712,15289
120011386,257,166,665,3770,5336,2260,1384,3759,892,17398
120011672,87,14,202,2161,2841,1291,839,2876,607,10609
120011673,25,21,63,1733,2532,940,620,3678,556,10062
120021387,75,24,208,2998,4736,1859,845,1938,575,12950
120021389,79,59,193,2562,4137,1563,677,1853,540,11336
120021674,77,12,133,1825,2960,1025,487,1175,474,7945
120021675,146,45,299,3090,5096,2035,942,2383,620,14158
120031392,87,11,225,1961,2943,1324,755,2743,451,10178
120031393,228,117,554,2812,3821,1793,1314,3957,833,14531
120031394,131,72,313,3517,5432,1831,862,2816,966,15429
120031395,252,37,430,2546,3817,1581,749,2335,461,11492
120031396,82,11,133,2773,3929,1561,1130,6919,1334,17646
120031576,40,0,72,556,781,402,288,815,118,2961
120031676,166,15,250,1985,2834,986,578,3180,518,10076
120031677,432,27,588,2073,2913,1135,737,3475,484,10815
120031678,135,49,316,2337,2748,1153,831,6279,1117,14463
120031679,183,87,396,1867,2498,1147,783,2638,471,9393
120031680,227,27,389,2412,2943,1165,897,6522,1078,15008
120031681,171,17,305,1675,1834,959,776,2243,334,7819
121011399,200,29,411,3787,5623,2305,1318,3714,736,17486
121011401,36,19,107,2320,3374,1205,606,2091,482,10077
121011682,61,10,156,1697,2260,1013,568,1676,328,7549
121011683,220,38,476,2478,3315,1776,1058,1845,302,10779
121011684,314,37,542,3036,4132,1834,1364,5152,787,16294
121011685,73,36,276,2549,3501,1649,893,1690,352,10633
121011686,147,93,370,2720,4318,1760,1028,2452,469,12752
121011687,157,62,361,2241,3265,1399,917,1994,366,10187
121021403,104,19,254,3610,5549,2789,1656,3463,438,17502
121021404,53,18,148,2009,3122,1650,990,1410,190,9371
121021406,237,88,512,3183,4891,2452,1521,2806,448,15289
121021577,98,19,180,1836,2742,1143,786,3062,479,10045
121021578,97,61,252,1712,2564,1320,802,1800,334,8536
121021579,315,56,510,1629,2513,1289,858,2727,466,9482
121031407,292,86,612,3956,5334,2743,1767,4028,635,18460
121031408,240,61,636,4246,6036,3179,1935,3601,597,19592
121031409,133,28,370,3025,4240,2279,1465,2281,396,13692
121031410,331,44,760,3524,5193,2782,1724,3483,403,17110
121031411,450,143,1108,3488,5076,2725,1674,3057,478,16505
121031412,308,50,656,3216,4517,2392,1499,2751,418,14785
121041413,111,31,338,3980,5670,2084,999,2560,578,15864
121041414,82,13,252,3841,5881,1905,876,2498,552,15551
121041416,220,118,500,3805,5093,1647,820,3054,918,15333
121041417,41,16,124,2716,3819,1197,517,2270,734,11248
121041688,239,45,521,2746,3815,1498,904,2217,486,11662
