SA2_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
101031016,32,0,0,0,0,34,10,0,0,0,0,11,10,0,0,0,0,13,35,0,0,0,0,35,45,5,3,0,0,61,119,7,23,0,0,147,118,9,11,0,0,138,137,4,12,0,0,155,73,5,9,0,0,81,68,0,0,0,0,72,46,3,4,0,0,51,39,3,5,0,0,47,732,41,74,0,3,853
101041017,49,0,6,0,0,57,28,3,0,0,0,30,21,0,0,0,0,23,30,0,0,0,0,30,39,3,6,0,0,51,120,5,3,0,0,131,158,4,0,0,0,162,148,6,4,0,0,158,54,3,3,0,0,56,42,3,0,0,0,44,20,0,0,0,0,20,40,0,0,0,0,42,744,30,26,0,0,803
101041018,57,0,3,0,0,63,18,0,3,0,0,25,19,6,0,0,0,17,29,4,0,0,0,33,36,3,4,0,0,45,121,7,8,0,0,140,138,12,3,0,0,156,174,6,0,0,0,184,83,0,0,0,0,85,37,0,0,0,0,41,22,0,0,0,0,22,41,4,0,0,0,49,775,53,28,0,3,855
101041019,47,0,0,0,0,46,30,3,0,0,0,33,16,3,0,0,0,26,44,0,0,0,0,44,60,5,0,0,0,65,196,7,0,0,0,206,207,4,0,0,0,216,171,0,0,0,3,174,69,0,0,0,0,70,47,0,0,0,0,44,24,0,0,0,0,24,48,0,0,0,0,49,959,28,0,3,0,996
101041020,77,0,0,5,0,76,46,0,0,0,0,51,43,0,0,0,0,43,68,0,0,0,0,64,104,0,0,0,0,106,233,0,0,0,0,233,180,4,0,0,0,184,194,0,0,0,0,194,60,0,0,0,0,60,46,0,0,0,0,46,20,0,0,0,0,20,52,0,0,0,0,52,1123,5,0,5,0,1132
101041021,18,0,0,0,0,17,6,3,0,0,0,14,6,0,0,0,0,9,15,0,0,0,0,13,16,0,0,0,0,18,60,0,0,0,0,63,55,3,0,0,0,61,81,0,0,0,0,87,37,0,0,0,0,34,27,0,0,0,0,30,14,0,0,0,0,14,20,0,0,0,0,22,358,21,3,0,0,385
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,22,0,0,0,0,22,14,0,0,0,0,14,0,0,0,0,0,4,5,0,0,0,0,5,11,6,0,0,0,13,43,9,0,0,0,58,55,3,0,0,0,56,48,5,0,0,0,49,19,0,0,0,0,19,11,0,0,0,0,11,12,0,0,0,0,12,16,0,0,0,0,12,255,21,0,0,0,270
101041024,38,0,0,0,0,41,14,0,0,0,0,14,12,0,0,0,0,12,25,0,0,0,0,25,22,0,0,0,0,21,68,0,0,0,0,68,54,0,0,0,0,54,61,0,0,0,0,61,30,0,0,0,0,30,18,0,0,0,0,18,18,0,0,0,0,18,19,0,0,0,0,19,370,0,0,0,0,372
101041025,50,9,3,0,0,61,29,7,0,0,0,38,18,0,3,0,0,27,34,9,11,0,0,51,52,5,11,0,0,77,164,30,24,0,0,217,194,19,6,0,0,225,232,6,7,0,3,250,100,0,0,0,0,105,63,3,0,0,0,68,41,5,3,0,0,52,55,8,3,0,0,62,1038,102,80,0,11,1236
101041026,57,0,0,0,0,60,31,0,0,0,0,36,26,0,0,0,0,26,41,0,0,0,0,36,48,0,0,0,0,55,163,13,0,0,0,172,183,0,0,0,0,187,165,0,0,0,0,171,62,0,0,0,0,66,41,0,0,0,0,41,28,0,0,0,0,28,49,4,0,0,0,51,898,21,0,0,0,923
101041027,62,0,0,0,0,64,32,3,5,0,0,41,21,0,0,0,0,24,44,0,0,0,0,44,50,0,0,0,0,52,129,4,3,0,0,143,156,3,0,0,0,163,140,4,0,0,0,145,54,0,0,0,0,54,38,0,0,0,0,41,26,0,0,0,0,29,53,0,0,0,0,49,796,18,15,3,0,838
101051539,95,12,3,0,0,113,42,0,3,0,0,46,54,5,3,0,0,59,87,5,0,0,0,91,165,8,3,0,0,175,487,34,4,0,0,523,602,28,0,4,0,637,642,15,0,0,0,659,233,3,0,0,0,234,139,5,0,0,0,142,75,3,0,0,0,83,121,6,3,0,0,128,2752,111,16,6,3,2886
101051540,75,0,0,0,0,77,34,0,0,0,0,34,24,0,0,0,0,29,61,0,0,0,0,68,78,0,0,0,0,80,270,0,0,0,0,276,271,0,0,0,0,271,334,0,0,0,0,332,193,0,0,0,0,193,136,0,0,0,0,136,86,0,4,0,0,85,96,0,0,0,0,99,1665,5,4,7,3,1685
101061541,41,0,0,0,0,39,21,3,0,0,0,24,7,0,0,0,0,15,30,3,0,0,0,31,38,0,0,0,0,34,131,3,0,0,0,141,197,7,0,0,0,210,254,4,0,0,3,262,104,0,0,0,0,101,75,0,0,0,0,79,34,0,0,0,0,32,39,0,0,0,0,40,967,22,3,0,3,1006
101061542,83,0,0,0,0,82,27,0,0,0,0,27,28,0,0,0,0,28,46,0,0,0,0,46,56,0,0,0,0,60,191,0,0,0,0,193,237,0,0,0,4,241,340,0,0,0,0,341,282,0,0,0,6,288,372,0,0,0,0,372,244,0,0,0,0,250,97,0,0,0,0,101,2005,8,5,5,7,2030
101061543,47,5,0,0,0,52,18,5,0,0,0,22,41,0,0,0,0,41,85,5,0,0,0,88,129,7,5,0,0,146,306,9,0,0,0,316,213,0,0,0,0,216,163,0,0,0,0,163,57,0,0,0,0,59,38,0,0,0,0,38,22,0,0,0,0,22,63,0,0,0,0,63,1168,26,9,0,0,1206
101061544,70,0,0,0,0,71,38,0,0,0,0,40,37,4,0,0,0,41,85,0,0,0,0,89,89,0,0,0,0,89,172,3,0,0,0,175,108,0,0,0,0,109,70,0,0,0,0,70,20,0,0,0,0,23,24,0,0,0,0,29,20,0,0,0,0,24,57,0,0,0,0,57,779,10,0,0,0,797
102011028,46,0,0,0,0,48,21,0,0,0,0,20,9,0,0,0,0,9,24,0,0,0,0,27,26,0,0,0,0,26,67,3,3,0,0,76,95,4,3,0,0,102,180,0,5,0,0,186,152,8,7,0,0,164,199,4,4,0,0,206,139,0,0,0,0,139,64,5,3,0,0,72,1021,23,30,0,0,1077
102011029,85,0,0,0,0,82,30,0,0,0,0,30,8,3,0,0,0,14,31,0,0,0,0,34,54,0,0,0,0,55,145,0,8,3,0,155,138,5,3,0,0,144,277,3,0,0,0,284,211,0,0,0,0,215,210,8,0,0,0,217,182,0,0,0,0,188,93,0,0,0,0,91,1467,31,14,5,0,1517
102011030,27,0,0,0,0,27,8,0,0,0,0,12,9,0,0,0,0,9,11,0,0,0,0,11,17,0,0,0,0,17,59,0,0,0,0,58,61,0,0,0,0,61,61,0,0,0,0,60,63,0,0,0,0,62,65,0,0,0,0,65,90,0,0,0,0,93,42,0,0,0,0,44,519,0,0,0,5,530
102011031,63,9,3,4,0,84,20,0,3,0,0,29,18,8,0,0,0,27,45,10,0,0,0,54,58,6,5,0,0,70,126,8,7,0,0,150,151,6,13,0,0,171,297,11,3,0,0,317,250,5,4,0,0,257,232,0,3,0,0,237,216,3,0,0,0,226,98,4,0,0,0,105,1587,80,49,4,0,1711
102011032,52,14,26,0,0,89,27,9,16,0,0,47,23,10,6,0,0,41,33,7,18,0,0,63,43,9,34,0,0,86,130,36,124,0,0,292,212,87,170,0,0,466,380,66,183,0,0,628,234,28,55,0,0,313,142,4,30,0,0,184,94,6,18,0,0,117,77,16,34,0,0,124,1448,293,710,0,0,2445
102011033,39,3,0,0,0,40,13,0,0,0,0,13,12,0,0,0,0,16,17,0,0,0,0,21,33,0,0,0,0,33,98,7,0,0,0,107,147,12,0,0,0,160,262,14,0,0,0,277,173,5,0,0,0,184,113,0,0,0,0,113,40,4,0,0,0,43,66,5,0,0,0,70,1019,51,4,0,0,1071
102011034,36,6,0,0,0,40,16,3,0,0,0,17,13,5,0,0,0,23,24,0,0,0,0,27,25,10,0,0,0,32,87,4,0,0,0,91,116,14,0,0,0,128,211,16,0,0,0,231,133,7,0,0,0,143,121,4,0,0,0,120,61,0,0,0,0,57,66,11,0,0,0,71,896,76,7,0,0,976
102011035,49,4,0,0,0,49,23,0,0,0,0,23,16,0,0,0,0,14,20,0,0,0,0,22,38,4,0,0,0,41,103,15,0,0,0,120,174,17,0,0,0,200,289,11,0,0,0,304,152,7,0,0,0,158,137,3,0,0,0,141,35,0,0,0,0,37,50,3,0,0,0,56,1087,73,3,0,3,1161
102011036,43,0,0,0,0,45,16,0,0,0,0,16,22,0,0,0,0,25,27,7,0,0,0,36,45,4,0,0,0,54,128,25,0,0,0,150,170,22,0,0,0,189,277,23,0,0,0,301,184,6,0,0,0,191,171,4,0,0,0,172,79,0,0,0,0,80,72,7,0,0,0,80,1241,98,0,0,0,1340
102011037,29,0,0,0,0,28,19,0,0,0,0,19,13,5,0,0,0,15,20,0,0,0,0,22,40,0,0,0,0,45,85,0,0,0,0,89,131,4,0,0,0,138,216,7,0,0,0,228,139,0,0,0,0,140,119,0,0,0,0,121,35,0,0,0,0,35,44,0,0,0,0,44,897,23,6,0,0,928
102011038,50,0,0,0,0,50,16,0,0,0,0,16,10,0,0,0,0,14,18,0,3,0,0,25,40,8,0,0,0,41,90,0,3,0,0,93,114,7,6,0,0,127,244,6,6,0,0,254,186,5,0,0,0,190,143,0,0,0,0,142,81,0,0,0,0,81,71,0,3,0,0,74,1069,18,19,0,0,1107
102011039,71,0,17,0,0,96,22,0,6,0,0,31,26,3,0,0,0,28,39,0,0,0,0,38,35,0,3,0,0,42,120,3,26,0,0,150,129,10,23,0,0,168,275,20,48,0,0,347,265,15,23,0,0,296,320,13,23,0,0,360,270,9,29,0,0,309,94,0,17,0,0,109,1672,82,213,0,0,1965
102011040,114,20,3,0,0,137,40,7,5,0,0,57,33,10,0,0,0,41,53,10,10,0,0,67,74,20,10,0,0,99,195,46,7,3,0,249,270,48,11,6,0,336,489,87,13,11,0,592,391,42,8,0,0,443,291,20,14,5,0,321,141,9,3,0,0,150,123,27,4,0,0,142,2211,331,75,23,5,2645
102011041,65,0,4,0,0,65,14,0,0,0,0,21,20,8,0,0,0,22,17,9,7,0,0,24,27,7,0,0,0,32,110,3,3,0,0,117,136,8,3,0,0,153,237,17,8,0,0,257,216,8,5,0,0,225,259,3,3,0,0,264,222,3,5,0,0,233,82,5,0,0,0,85,1391,62,37,0,0,1492
102011042,64,11,3,0,0,74,27,5,0,0,0,33,21,4,0,0,0,28,39,7,0,0,0,44,41,15,5,0,0,57,133,29,3,0,0,173,184,46,11,0,0,246,307,64,5,0,0,376,208,17,7,0,0,232,164,9,0,0,0,175,83,3,4,0,0,92,72,12,0,0,0,87,1345,221,44,3,5,1614
102011043,57,4,0,0,0,60,19,7,0,0,0,25,27,12,0,0,0,36,29,0,0,0,0,29,68,0,0,0,0,69,168,20,6,0,0,192,248,22,0,0,0,264,430,25,15,0,0,466,246,5,0,0,0,254,102,3,0,0,0,102,39,6,0,0,0,38,89,4,0,0,0,96,1517,100,22,0,0,1638
102021044,132,6,3,0,0,145,43,8,3,0,0,58,42,0,0,0,0,48,86,4,4,0,0,96,106,7,5,0,0,119,322,13,16,0,0,346,413,20,17,0,0,448,774,31,10,0,0,817,488,9,3,0,0,495,278,0,0,0,0,283,124,5,0,0,0,131,169,7,0,0,0,179,2983,117,58,0,0,3150
102021045,51,0,0,0,0,53,25,0,0,0,0,22,24,0,0,0,0,24,40,0,0,0,0,44,68,0,0,0,0,71,232,3,0,0,0,240,371,5,0,5,0,380,457,7,0,0,0,463,122,0,0,0,0,124,47,0,0,0,0,46,22,0,0,0,0,22,91,0,0,0,0,91,1549,18,5,4,0,1575
102021046,58,0,0,0,0,58,16,0,0,0,0,23,22,0,0,0,0,25,45,0,0,0,0,47,56,0,0,0,0,56,169,0,3,0,0,171,263,3,8,3,0,276,345,7,5,0,0,347,110,0,0,0,0,115,61,0,0,0,0,61,24,0,0,0,0,28,71,0,3,0,0,69,1246,12,17,4,0,1282
102021047,106,5,0,0,0,108,44,0,0,0,0,48,25,3,0,0,0,29,56,0,0,0,0,57,81,0,0,0,0,84,254,6,0,0,0,260,415,12,0,0,0,423,662,10,3,0,0,670,373,5,0,0,0,379,228,7,0,0,0,231,115,0,0,0,0,110,120,3,3,0,0,126,2470,43,11,0,0,2531
102021048,103,6,4,0,0,120,41,3,3,0,0,49,54,7,5,0,0,68,79,7,3,0,0,92,127,8,7,0,0,143,325,12,42,0,0,374,567,16,26,0,0,610,671,9,24,0,0,698,216,0,4,0,0,218,97,0,6,0,0,105,53,0,0,0,0,50,148,8,8,0,0,165,2492,75,128,0,0,2699
102021049,15,0,0,0,0,15,6,0,0,0,0,6,8,0,0,0,0,8,6,0,0,0,0,6,12,0,0,0,0,12,38,0,0,0,0,38,46,0,0,0,0,46,61,0,0,0,0,61,64,0,0,0,0,64,98,0,0,0,0,101,87,0,0,0,0,94,34,0,0,0,0,34,479,0,0,0,0,485
102021050,63,0,0,0,0,63,25,0,0,0,0,25,23,0,0,0,0,23,49,5,0,0,0,50,69,0,0,0,0,76,177,0,0,0,0,176,258,0,0,0,0,262,330,0,0,0,0,330,110,3,0,0,0,114,68,0,0,0,0,68,22,0,0,0,0,22,94,0,0,0,0,97,1298,5,3,0,0,1314
102021051,28,0,0,0,0,32,8,0,0,0,0,12,7,0,0,0,0,9,18,4,0,0,0,27,25,11,0,0,0,35,78,13,0,0,0,93,79,31,0,0,0,106,137,24,3,0,0,156,86,9,0,0,0,93,82,0,0,0,0,85,55,0,0,0,0,57,37,5,0,0,0,45,626,103,3,3,0,733
102021052,48,0,0,0,0,46,16,0,0,0,0,16,17,0,0,0,0,17,31,0,0,0,0,31,32,0,0,0,0,32,124,0,3,0,0,127,189,0,0,0,0,194,242,0,0,0,0,244,115,0,0,0,0,115,59,0,0,0,0,59,18,0,0,0,0,18,67,0,0,0,0,64,954,0,8,0,0,965
102021053,42,18,22,0,0,81,8,11,9,0,0,26,21,0,6,0,0,27,11,12,13,0,0,26,26,8,16,0,0,54,86,42,27,4,0,157,120,48,44,0,0,215,213,66,31,0,0,317,142,31,16,0,0,187,128,29,6,0,0,163,84,10,3,0,0,92,55,18,3,0,0,78,946,293,188,9,0,1431
102021054,39,0,0,0,0,42,17,3,0,0,0,22,10,0,0,0,0,11,29,3,0,0,0,34,40,3,0,0,0,44,121,11,4,0,0,141,145,10,5,0,0,163,263,9,5,0,0,268,137,0,0,0,0,138,70,4,0,0,0,69,46,0,0,0,0,49,62,3,0,0,0,63,979,42,12,4,0,1038
102021055,35,3,0,0,0,35,11,0,0,0,0,14,7,0,0,0,0,7,15,3,0,0,0,24,26,0,0,0,0,22,56,18,0,0,0,74,93,36,0,0,0,128,153,21,0,0,0,179,83,8,0,0,0,92,59,0,0,0,0,59,28,0,0,0,0,28,33,5,0,0,0,38,608,100,0,0,0,708
102021056,51,0,0,0,0,51,18,6,0,0,0,25,21,0,0,0,0,22,47,4,0,0,0,55,61,6,0,0,0,60,190,9,0,0,0,199,341,11,0,0,0,347,775,9,0,0,0,788,550,4,0,0,0,549,269,0,0,0,4,278,108,0,0,0,0,110,143,3,0,0,0,143,2574,43,4,0,5,2622
102021057,38,3,0,0,0,46,13,0,0,0,0,17,8,0,0,0,0,8,27,0,0,0,0,34,41,3,0,0,0,51,150,15,3,0,0,169,201,24,4,0,0,229,218,4,0,0,0,222,92,0,0,0,0,97,49,0,0,0,0,50,20,0,0,0,0,20,52,0,0,0,0,54,921,54,17,0,0,991
103011059,49,0,0,0,0,53,26,5,0,0,0,28,18,0,0,0,0,23,41,0,0,0,0,48,66,0,0,0,0,66,216,3,0,0,0,217,351,4,0,0,0,355,480,6,0,0,0,480,178,3,0,0,0,177,94,0,0,0,0,95,42,0,0,0,0,41,70,5,0,0,0,75,1626,27,0,0,0,1659
103011060,47,0,0,0,0,47,13,0,0,0,0,13,28,0,0,0,0,30,42,0,0,0,0,43,39,0,0,0,0,38,118,0,0,0,0,122,119,0,0,0,0,124,192,0,0,0,0,189,104,0,0,0,0,104,103,0,0,0,0,103,58,0,0,0,0,63,67,0,0,0,0,67,935,0,3,0,3,940
103011061,19,0,0,0,0,19,4,0,0,0,0,4,15,0,0,0,0,15,27,0,0,0,0,27,34,0,0,0,0,34,114,0,0,0,0,114,108,0,0,0,0,109,102,0,0,0,0,102,33,0,0,0,0,33,27,0,0,0,0,27,18,0,0,0,0,18,37,0,0,0,0,37,532,0,0,0,0,530
103011612,32,3,7,0,0,38,7,3,0,0,0,15,15,4,0,0,0,24,18,0,0,0,0,24,44,11,0,0,0,61,133,35,10,0,0,186,153,23,0,0,0,178,113,16,0,0,0,127,35,6,0,0,0,39,24,0,0,0,0,31,15,3,0,0,0,22,35,5,0,0,0,48,638,110,27,0,0,777
103011613,73,0,0,0,0,73,17,0,0,0,0,15,28,0,0,0,0,28,54,6,0,0,0,57,83,4,3,0,0,89,300,6,3,0,0,313,458,9,0,0,0,474,478,7,0,0,0,484,175,0,0,0,0,175,104,0,0,0,0,104,67,0,0,0,0,71,89,5,0,0,0,91,1931,41,9,0,0,1983
103021062,78,0,0,0,0,77,31,0,0,0,0,37,30,0,0,0,0,32,67,0,0,0,0,67,67,0,0,0,0,69,92,0,0,0,0,94,47,0,0,0,0,42,33,0,0,0,0,33,10,0,0,0,0,10,13,0,0,0,0,13,18,0,0,0,0,19,51,0,0,0,0,51,533,0,0,5,5,547
103021063,36,4,0,0,0,42,33,6,0,0,0,32,28,0,0,0,0,28,67,4,0,0,0,72,139,0,0,0,0,141,237,0,0,0,0,240,176,0,0,0,0,182,105,0,0,0,0,107,33,0,0,0,0,33,15,0,0,0,0,15,13,0,0,0,0,16,59,0,0,0,0,62,936,12,3,0,3,959
103021064,50,0,0,0,0,50,32,0,0,0,0,32,41,0,0,0,0,41,53,0,0,0,0,51,58,0,0,0,0,59,130,0,0,0,0,131,89,0,0,0,0,89,59,0,0,0,0,58,30,0,0,0,0,30,23,0,0,0,0,24,24,0,0,0,0,24,32,0,0,0,0,32,607,10,0,3,0,621
103021065,72,0,0,0,0,71,29,0,0,0,0,30,35,0,0,0,0,35,92,0,0,0,0,97,121,0,0,0,0,128,265,4,0,0,0,274,182,4,0,0,0,185,131,0,0,0,0,137,43,0,0,0,0,43,29,0,0,0,0,36,32,0,0,0,0,27,70,0,0,0,0,66,1093,15,5,3,0,1121
103021066,43,0,0,0,0,43,33,0,0,0,0,33,27,0,0,0,0,26,40,0,0,0,0,40,34,0,0,0,0,36,77,0,0,0,0,75,32,0,0,0,0,38,23,0,0,0,0,25,13,0,0,0,0,13,9,0,0,0,0,9,13,0,0,0,0,13,22,0,0,0,0,22,357,3,0,0,0,369
103021067,50,0,0,0,0,54,25,0,0,0,0,27,37,0,0,0,0,37,94,0,0,0,0,97,143,0,0,0,0,143,389,0,0,0,0,393,223,0,0,0,3,235,180,4,0,0,0,183,45,0,0,0,0,48,46,0,0,0,0,48,21,0,0,0,0,25,66,0,0,0,0,74,1325,18,9,5,6,1356
103021068,33,0,0,0,0,33,16,0,0,0,0,16,21,0,0,0,0,21,22,0,0,0,0,22,30,0,0,0,0,30,44,0,0,0,0,44,33,0,0,0,0,40,33,0,0,0,0,33,20,0,0,0,0,20,9,0,0,0,0,9,9,0,0,0,0,13,24,0,0,0,0,24,292,0,0,0,0,296
